title,url,ingredients,steps,uuid,categoria
Batido de Papaya,https://www.mycolombianrecipes.com/es/batido-de-papaya/,"2 tazas de papaya fresca cortadas en trozos
3 tazas de leche
¾ taza de azúcar o a tu gusto
1 taza de hielo triturado",Mezcle todos los ingredientes en la licuadora hasta que quede suave. Agregue más leche según sea necesario para alcanzar la consistencia deseada.,86afb0a8-e16a-11ed-a9a5-a96d6180cd25,bebida
Batido de Papaya,https://www.mycolombianrecipes.com/es/batido-de-papaya/,"2 tazas de papaya fresca cortadas en trozos
3 tazas de leche
¾ taza de azúcar o a tu gusto
1 taza de hielo triturado",Mezcle todos los ingredientes en la licuadora hasta que quede suave. Agregue más leche según sea necesario para alcanzar la consistencia deseada.,86afb0d2-e16a-11ed-9388-a96d6180cd25,bebida
"Batido de naranja, ahuyama y jengibre",https://www.recetasnestle.com.co/recetas/batido-de-naranja-ahuyama-y-jengibre,"   1 taza de ahuyama, cocinada y cortada en trozos (120 g)
      2 cucharadas de LECHE CONDENSADA LA LECHERA® Light (30 g)
      2 cucharadas de CREMA DE LECHE NESTLÉ® Light (30 g)
      1 taza de jugo de naranja natural (250 ml)
      ½ taza de hielo o al gusto (125 g)
      1 cucharadita de jengibre fresco, pelado (3 g)
      Ralladura de 1 naranja (20 g)
  ","    1.  Licua la ahuyama, la LECHE CONDENSADA LA LECHERA® Light, la CREMA DE LECHE NESTLÉ® Light, el jugo de naranja natural, el hielo y el jengibre por 10 segundos o hasta integrar bien.                  
2.  Sirve y decora con la ralladura de limón             ",,bebida
Batido de coco vainilla y piña,https://www.recetasnestle.com.co/recetas/batido-de-coco-vainilla-y-pina,"   1 taza de BEBIDA DE COCO VAINILLA NATURE´S HEART® sin azúcar (200 g)
      2 tazas de piña fresca congelada (330 g)
      ½ taza de coco fresco rallado (40 g)
  ","    1.  Pon todos los ingredientes en el vaso de la licuadora y procesa hasta integrar bien.                  
2.  Retira y sirve.             ",,bebida
"Batido de banano, mora, coco y linaza",https://www.recetasnestle.com.co/recetas/batido-energetico-mora-banano-coco,"   1 taza de mora fresca (144 g)
      1 banano maduro (118 g)
      1 taza de leche de coco (250 ml)
      2 tazas de agua (500 ml)
      5 cucharadas de leche en polvo SVELTY® HI CALCIUM (60 g)
      3 cucharadas de linaza en polvo (21 g)
      2 cucharadas de LECHE CONDENSADA LA LECHERA® (30 g)
      2 tazas de hielo (500 ml)
      1/2 taza de coco deshidratado (40 g)
  ","    1.  En una licuadora agrega las moras, el banano, la leche de coco, el agua, la Leche SVELTY® , la linaza en polvo, la LECHE CONDENSADA LA LECHERA® y el hielo.                  
2.  Licúa hasta obtener un batido cremoso.                  
3.  Sirve en vasos altos y espolvorea con el coco deshidratado.             ",,bebida
Batido de guanábana,https://www.recetasnestle.com.co/recetas/batido-de-guanabana,"   2 tazas de guanábana sin pepa (480 g)
      1 taza de leche (250 ml)
      1 cucharada de NESQUIK® vainilla (13 g)
      4 cucharadas de LECHE CONDENSADA LA LECHERA®  (60 g)
      2 tazas de hielo (500 ml)
      Ralladura de 1 limón (10 g)
  ","    1.  En el vaso de la licuadora añade la pulpa de guanábana, la leche, el  NESQUIK®, la LECHE CONDENSADA LA LECHERA® y el hielo.                  
2.  Licua hasta integrar bien y logres una textura cremosa.                  
3.  Sirve en 4 vasos en porciones iguales, por último decora con la ralladura de limón.             ",,bebida
Batido de guayaba con leche KLIM® Deslactosada,https://www.recetasnestle.com.co/recetas/batido-de-guayaba-con-leche-klim-deslactosada,"   1 guayaba madura (110 g)
      1 vaso de agua (100 ml)
      ½ vaso de hielo (100 g)
      6 cucharadas de Leche en polvo KLIM® Deslactosada y semidescremada (48 g)
      1 cucharada de Leche condensada LA LECHERA® (20 g)
  ","    1.  Licúa todos los ingredientes hasta integrar bien.                  
2.  Cuela para retirar el exceso de semilla.                  
3.  Sirve.             ",,bebida
Batido de guayaba con leche KLIM®,https://www.recetasnestle.com.co/recetas/batido-de-guayaba-y-leche-klim,"   1 guayaba madura (110 g)
      ¼ de vaso de agua (50 ml)
      ½ vaso de hielo (100 g)
      3 cucharadas de Leche en polvo KLIM® Clásica (24 g)
      1/2 cucharadita de chocolate semiamargo rallado (2.5 g)
  ","    1.  Licúa todos los ingredientes hasta integrar bien.                  
2.  Cuela para retirar el exceso de semilla.                  
3.  Sirve y decora con el chocolate rallado encima.             ",,bebida
Batido mágico de pera y manzana,https://www.recetasnestle.com.co/recetas/batido-de-pera-y-manzana,"   1/2 pera verde con piel (80 g)
      1/2  manzana verde con piel (80 g)
      6 cucharadas de Leche en polvo KLIM® Clásica (48 g)
      1 vaso de agua bien fría (210 ml)
  ","    1.  Licúa todos los ingredientes por 40 segundos o hasta integrar bien.                  
2.  Sirve y disfruta tu bebida.             ",,bebida
Batido de maracuyá,https://www.recetasnestle.com.co/recetas/batido-de-maracuya,"   1/2 taza de zumo de maracuyá (120 ml)
      1/2 taza de hielo      6 cucharadas de KLIM® Clásica (48 g)
      1 cucharada de LECHE CONDENSADA LA LECHERA®   Light (20 g)
  ",    1.  Licúa todos los ingredientes por 20 segundos o hasta integrar                  2.  Sirve y disfruta.             ,,bebida
