title,url,ingredients,steps,uuid,categoria
Chocolate en Leche de Coco,https://www.mycolombianrecipes.com/es/chocolate-en-leche-de-coco/,"2 tazas de leche de coco
3 tazas de leche entera
7 oz de chocolate dulce picado
½ cucharadita de extracto de coco
Azúcar al gusto","Calentar la leche en una cacerola a fuego medio hasta justo por debajo del punto de hervir, agregar la leche de coco y chocolate. Cuando el chocolate esté derretido, añadir el extracto de coco  y el azúcar.
Batir enérgicamente o transferir a una licuadora. Vuelva a calentar un poco y servir inmediatamente",86afb09f-e16a-11ed-8047-a96d6180cd25,bebida
Chocolate Santafereño,https://www.mycolombianrecipes.com/es/chocolate-santafereno/,"4 ½ tazas de leche entera
2 ½ cucharadas de azúcar o al gusto
½ cucharadita de canela molida
5 oz de chocolate dulce picado","Hierva la leche con la canela. Cuando esté caliente agregue el chocolate y revuelva. Cuando el chocolate estué derretido, añadir el azuúcar.
Batir enérgicamente con un molinillo o transferir a una licuadora antes de servir para que esté espumoso.
Vuelva a calentar suavemente y servir inmediatamente.",86afb0b7-e16a-11ed-82c8-a96d6180cd25,bebida
Chocolate en Leche de Coco,https://www.mycolombianrecipes.com/es/chocolate-en-leche-de-coco/,"2 tazas de leche de coco
3 tazas de leche entera
7 oz de chocolate dulce picado
½ cucharadita de extracto de coco
Azúcar al gusto","Calentar la leche en una cacerola a fuego medio hasta justo por debajo del punto de hervir, agregar la leche de coco y chocolate. Cuando el chocolate esté derretido, añadir el extracto de coco  y el azúcar.
Batir enérgicamente o transferir a una licuadora. Vuelva a calentar un poco y servir inmediatamente",86afb0c4-e16a-11ed-a395-a96d6180cd25,bebida
Chocolate Caliente con Arequipe o Dulce de Leche,https://www.mycolombianrecipes.com/es/chocolate-caliente-con-arequipe-o-dulce-de-leche/,"4 tazas de leche
4 oz de chocolate negro finamente picado
4 oz de chips de chocolate
1 cucharadita de esencia de vainilla
2 cucharadas de dulce de leche o a su gusto y más para servir
Pizca de sal
½ cucharadita de canela molida","Caliente 2 tazas de leche con el chocolate, el dulce de leche y la sal, revolviendo hasta que el chocolate se derrita. Tenga cuidado de no dejar hervir la mezcla.
Vigorosamente mezcle las otras dos tazas de leche. Asegúrate de calentar completamente el chocolate. Apague el fuego y agregue la vainilla y la canela. Cubra con crema batida y más dulce de leche. Servir caliente.",86afb0cf-e16a-11ed-abcb-a96d6180cd25,bebida
Chocolate Caliente con Agua,https://www.mycolombianrecipes.com/es/chocolate-caliente-con-agua/,"4 oz de chocolate colombiano
2 cucharadas de azúcar o a su gusto
4 tazas de agua","Añadir todos los ingredientes a una olla mediana o chocolatera.
Calienta a fuego medio hasta que hierva a fuego lento,revolviendo con frecuencia hasta que el chocolate se derrita.
Retirar del fuego y servir caliente.",86afb0d0-e16a-11ed-aaa9-a96d6180cd25,bebida
Chocolate con leche de coco,https://www.recetasgratis.net/receta-de-chocolate-con-leche-de-coco-57553.html,"2 unidades de Chocolate en pastillas
1 pizca de Clavos
1 pizca de Canela
1 lata de Leche de coco
2 litros de Leche entera","1 Nuestro primer paso para realizar la receta de chocolate navideño es prealistar los ingredientes. Recuerda que puedes hacer leche de coco casera si tienes coco natural en casa. 
2 En una olla honda adiciona la leche entera con las pastillas de chocolate y calienta a fuego medio. Las pastillas de chocolate son un chocolate especial para hacer a la taza, pero puedes sustituirlo por el chocolate que compres normalmente. 
3 Una vez se desate el chocolate en la leche baja el fuego lo mínimo que puedas y añade la canela y los clavos. La idea es que éstos desprenden todo su sabor y su aroma en la bebida. 
4 Apaga el fuego y añade la leche de coco. Entonces, con la ayuda de un molinillo trata de hacer espuma al chocolate de manera que éste quede muy cremoso. 
5 Lo ideal es que la textura de nuestro chocolate con leche colombiano quede como se observa en la fotografía. Entonces estará listo para servir. 
6 El chocolate con leche de coco es una bebida muy popular así que no dejes de hacer. Otras bebidas típicas para Navidad son el coquito puertorriqueño o el ponche crema venezolano. Si deseas más recetas de cocteles y bebidas, tienes algún comentario o inquietud, escríbenos.¡Disfruta!",205e4e61-174e-4f52-b306-9357ee82538a,bebida
Chocolate con pimienta,https://www.recetasgratis.net/receta-de-chocolate-con-pimienta-56368.html,"1 taza de Leche entera
1 taza de Leche evaporada
2 cucharadas soperas de Cacao en polvo
2 cucharadas soperas de Fécula de maíz
½ cucharada sopera de Canela
½ cucharada postre de Clavo de olor
½ cucharadita de Pimienta de cayena","1 Antes de preparar el chocolate con pimienta alistaremos todos los ingredientes y utensilios necesarios para nuestra receta. 
2 Reservamos medio vaso de leche, vaciamos el resto de la leche entera, así como la leche evaporada, en una olla y calentamos a fuego medio. Añadimos el cacao en polvo y disolvemos perfectamente sin que la leche llegue a hervir. 
3 Sin dejar de mover añadimos pimienta de cayena, clavo de olor, canela y revolvemos bien. En este punto podemos endulzar la preparación con miel, azúcar o stevia al gusto. 
4 Aparte, disolver la fécula de maíz en el medio vaso de leche fría reservado y añadir al cazo. Si el chocolate no te gusta muy espeso, empieza con una sola cucharada de harina de maíz disuelta en leche fría y agrega más en caso de ser necesario. 
5 Dejamos hervir sin dejar de mover por un par de minutos hasta que el chocolate con pimienta comience a espesar. Retiramos del fuego, rectificamos sazón de especias o azúcar y servimos. Puedes preparar este chocolate para acompañar unos rollos dulces de nuez. Truco: Si lo prefieres puedes colar el chocolate antes de servir.",144bd514-71d0-4ba3-af42-ee4cb86b62f1,bebida
Chocolate al café,https://www.recetasgratis.net/receta-de-chocolate-al-cafe-19709.html,"1 pastilla de buen chocolate negro puro (sin leche)
1 taza de café cargado
1 vaso de leche o agua Nata para montar (o montada) Azúcar al gusto (el chocolate debe tener un punto de amargor que el azúcar destruye), Pan del día anterior","1 Poner en un cazo al baño María (no es lo mismo que el chocolate cueza que se derrita lentamente) el chocolate troceado, el café y la leche o agua. Dejar que se derrita lentamente, removiendo de vez en cuando (yo uso una cuchara de madera que solo utilizo para el chocolate). 
2 Entretanto, cortar el pan en rebanadas o picatostes y tostarlo. Montar la nata. 
3 El chocolate estará hecho cuando al remover no tenga grumos y el color sea uniforme sin manchas oscuras. No es necesario que hierva, de hecho no es aconsejable. 
4 Poner en unos bonitos tazones el chocolate y un par de cucharadas de nata, y acompañarlos a la mesa con los picatostes.",ec561829-0b4e-4606-9dd0-4ea1606ab984,bebida
Chocolate a la taza con especias,https://www.recetasgratis.net/receta-de-chocolate-a-la-taza-con-especias-66608.html,"500 mililitros de leche
100 gramos de azúcar (½ taza)
300 gramos de chocolate negro para postres de tableta
1 cucharadita de canela en polvo
2 pizcas de clavo de olor molido
2 pizcas de nuez moscada molida
1 pizca de pimienta negra molida","1 Ponemos un cazo al fuego con la leche y el azúcar para empezar a hacer nuestro chocolate a la taza con especias. Truco: La leche utilizada, puede ser desnatada. 
2 Cuando la leche empiece a calentarse, vamos añadiendo el chocolate troceado y removemos para que se vaya deshaciendo. Dejamos que cueza lentamente y vamos removiendo de vez en cuando, menos al final, cuando empiece a espesar, que lo tendremos que remover más a menudo para que no se pegue. 
3 Cuando esté espeso a nuestro gusto, retiramos del fuego y añadimos las especias. Removemos, dejamos reposar unos minutos y el chocolate a la taza con canela y nuez moscada ya estará listo para servir. 
4 Al día siguiente, el chocolate a la taza con especias está igual o más bueno, pues el sabor de las especias es un poco más fuerte. Podéis encontrar más recetas en mi blog, Cakes para ti.",c4981952-70ce-4bbc-b073-8a43cd258961,bebida
Chocolate a la taza,https://www.recetasgratis.net/receta-de-chocolate-a-la-taza-57414.html,"250 mililitros de Agua
25 gramos de Azúcar
15 gramos de Cacao en polvo
75 gramos de Chocolate para fundir","1 Antes de ponernos manos a la obra con este desayuno típico español, dejamos listos todos los ingredientes. Para obtener un chocolate a la taza más intenso, recomendamos que el chocolate para fundir tenga un 70% de cacao como mínimo. Por otro lado, si no dispones de cacao en polvo utiliza 90 gramos de cacao para fundir. 
2 Ahora que lo tenemos todo, ¡empezamos! Cogemos un cazo, vertemos el agua, añadimos el azúcar y lo ponemos a calentar a fuego alto. Dejamos que hierva, removemos para que el azúcar se disuelva bien y bajamos el fuego a medio. 
3 Incorporamos al cazo el cacao en polvo y lo disolvemos con ayuda de unas varillas manuales. Aparte, troceamos el chocolate para fundir y añadimos las onzas a la mezcla poco a poco. 
4 Bajamos un poco el fuego y vamos removiendo la mezcla con las varillas manuales para que el chocolate se funda mejor y no se queme. Es importante no dejar de remover para evitar que se formen grumos. 
5 Cuando el cacao se haya fundido por completo, ya podemos retirar el cazo del fuego y servir el chocolate a la taza bien caliente. Al momento de servirlo, podemos espolvorear un poco de canela en polvo, azúcar glass o añadir unas gotas de esencia de vainilla y mezclar. No lo pienses y acompaña tu chocolate con unos deliciosos churros caseros, donuts o galletas.",bccb3dae-230f-4e4a-a35f-69a317da5f5b,bebida
