title,url,ingredients,steps,uuid,categoria
Limonada de Coco,https://www.mycolombianrecipes.com/es/limonada-de-coco/,"1 taza de crema de coco
2 ½ tazas de hielo picado
El jugo de 3 limones grandes
2 cucharadas de azúcar o al gusto","Coloque todos los ingredientes en una licuadora hasta que quede bien mezclada.
Servir inmediatamente y disfrutar.",86afb0ba-e16a-11ed-90d4-a96d6180cd25,bebida
Limonada de Piña,https://www.mycolombianrecipes.com/es/limonada-de-pina/,"1 piña pelada, cortada en trozos de tamauño medio
6 tazas de agua
½ taza de azúcar o al gusto
¼ taza de jugo de limón","Trabajando en grupos coloque los trozos de piña con el agua, azúcar y limón en la licuadora y mezcle bien.
Colar la limonada y servir con hielo.",86afb0c8-e16a-11ed-b342-a96d6180cd25,bebida
Limonada con NESCAFÉ®,https://www.recetasnestle.com.co/recetas/limonada-nescafe,"   1 cucharada de CAFÉ NESCAFÉ® (5 g)
      1 1/2 taza de agua (187 ml)
      2 cucharadas de azúcar morena (20 g)
      2 bolsa de te (5 g)
      Zumo de un limón (48 ml)
      1/4 de taza de leche (63 ml)
      4 cubos de hielo (50 g)
      Ralladura de 1/2 limón (5 g)
  ","    1.  Mezcla el CAFÉ NESCAFÉ® TRADICIÓN""         data-title=""CAFÉ NESCAFÉ® TRADICIÓN""         data-image=""https://www.recetasnestle.com.co/sites/default/files/2022-05/Nescaf%C3%A9-logo_11.png"">CAFÉ NESCAFÉ® TRADICIÓN con la mitad del agua tibia y luego añade azúcar morena para crear un jarabe.                  
2.  Con la otra mitad del agua prepara las bolsas de té y prepara la infusión.                  
3.  Integra el café preparado con el té, el jugo de limón, la leche y el hielo.                  
4.  Sirve y decora con ralladura de limón.             ",,bebida
Limonada de yerbabuena o hierbabuena cremosa,https://www.recetasnestle.com.co/recetas/limonada-cremosa-de-hierbabuena,"   8 cucharadas de LECHE CONDENSADA LA LECHERA Light  (120 g)
      Zumo de 3 limones (144 ml)
      2 tazas de agua (500 ml)
      2 tazas de hielo      1 taza de hojas de hierbabuena  (50 g)
  ","    1.  Añade al vaso de la licuadora la LECHE CONDENSADA LA LECHERA® ligth, el zumo de limón, el agua, el hielo, las hojas de hierbabuena y licua a velocidad alta hasta que la hierbabuena quede totalmente triturada.                  
2.  Sirve la limonada en vasos individuales y decora con una hojita de hierbabuena.             ",,bebida
Limonada de coco,https://www.recetasnestle.com.co/recetas/limonada-de-coco,"   Zumo y ralladura de 1 limón (48 g)
      1 vaso de bebida de coco sin azúcar NATURE´S HEART® (210 ml)
      6 cucharadas de Leche en polvo KLIM® Clásica (48 g)
      ½ vaso de hielo triturado (100 ml)
      1 cucharada de LECHE CONDENSADA LA LECHERA®  Light  ","    1.  Añade al vaso de la licuadora el zumo de limón, la bebida de coco NATURE´S HEART®, la Leche en polvo KLIM® Clásica, el hielo  y la LECHE CONDENSADA LA LECHERA® Light, licúa por 10 segundos o hasta integrar.                  
2.  Sirve en dos vasos en porciones iguales, decora con la ralladura de limón, sirve y disfruta.             ",,bebida
Limonada con NESCAFÉ®,https://www.recetasnestle.com.co/recetas/limonada-nescafe,"   1 cucharada de CAFÉ NESCAFÉ® (5 g)
      1 1/2 taza de agua (187 ml)
      2 cucharadas de azúcar morena (20 g)
      2 bolsa de te (5 g)
      Zumo de un limón (48 ml)
      1/4 de taza de leche (63 ml)
      4 cubos de hielo (50 g)
      Ralladura de 1/2 limón (5 g)
  ","    1.  Mezcla el CAFÉ NESCAFÉ® TRADICIÓN""         data-title=""CAFÉ NESCAFÉ® TRADICIÓN""         data-image=""https://www.recetasnestle.com.co/sites/default/files/2022-05/Nescaf%C3%A9-logo_11.png"">CAFÉ NESCAFÉ® TRADICIÓN con la mitad del agua tibia y luego añade azúcar morena para crear un jarabe.                  
2.  Con la otra mitad del agua prepara las bolsas de té y prepara la infusión.                  
3.  Integra el café preparado con el té, el jugo de limón, la leche y el hielo.                  
4.  Sirve y decora con ralladura de limón.             ",,bebida
Limonada de yerbabuena o hierbabuena cremosa,https://www.recetasnestle.com.co/recetas/limonada-cremosa-de-hierbabuena,"   8 cucharadas de LECHE CONDENSADA LA LECHERA Light  (120 g)
      Zumo de 3 limones (144 ml)
      2 tazas de agua (500 ml)
      2 tazas de hielo      1 taza de hojas de hierbabuena  (50 g)
  ","    1.  Añade al vaso de la licuadora la LECHE CONDENSADA LA LECHERA® ligth, el zumo de limón, el agua, el hielo, las hojas de hierbabuena y licua a velocidad alta hasta que la hierbabuena quede totalmente triturada.                  
2.  Sirve la limonada en vasos individuales y decora con una hojita de hierbabuena.             ",,bebida
Limonada de coco,https://www.recetasnestle.com.co/recetas/limonada-de-coco,"   Zumo y ralladura de 1 limón (48 g)
      1 vaso de bebida de coco sin azúcar NATURE´S HEART® (210 ml)
      6 cucharadas de Leche en polvo KLIM® Clásica (48 g)
      ½ vaso de hielo triturado (100 ml)
      1 cucharada de LECHE CONDENSADA LA LECHERA®  Light  ","    1.  Añade al vaso de la licuadora el zumo de limón, la bebida de coco NATURE´S HEART®, la Leche en polvo KLIM® Clásica, el hielo  y la LECHE CONDENSADA LA LECHERA® Light, licúa por 10 segundos o hasta integrar.                  
2.  Sirve en dos vasos en porciones iguales, decora con la ralladura de limón, sirve y disfruta.             ",,bebida
Limonada con crema de coco fácil,https://www.recetasgratis.net/receta-de-limonada-con-crema-de-coco-facil-42075.html,"1 litro de Limonada
½ lata de Crema de coco
1 lata de Crema de leche pequeña
1 paquete de Hielo bien picado","1 Si quieres hacer tú mismo la limonada, no te pierdas esta receta de limonada casera. Luego, introdúcela en la licuadora junto con la crema de coco y la crema de leche y bátelo todo. 
2 Cuando los ingredientes estén bien mezclados, coge los vasos individuales, llénalos con abundante hielo picado y sobre él vierte la limonada con crema de coco. 
3 Esta bebida se sirve bien fría, es por ello que necesitamos tanto hielo. La limonada con crema de coco sobrante puedes reservarla en el frigorífico. Sirve los vasos con un poco de nuez moscada espolvoreada por encima y una rodaja de limón. Como ves, se trata de una receta de limonada de coco fácil, rápida y refrescante, ideal para combatir las altas temperaturas y sorprender a nuestros invitados con una bebida deliciosa. Y si quieres descubrir otras bebidas frías, no te pierdas las siguientes opciones:Smoothie de cereza y plátanoSorbete de mango",765d89d8-76d0-4837-a3e2-6d625fe89f6b,bebida
Limonada suiza,https://www.recetasgratis.net/receta-de-limonada-suiza-41859.html,"2 Limones pequeños
1 lata pequeña de Leche condensada
1 vaso de Agua mineral","1 Elaborar limonada suiza es muy sencillo y rápido. Para ello, pela los limones, córtalos por la mitad y tritúralos en la licuadora. 
2 Una vez triturados, agrega la leche condensada, el vaso de agua, y sigue batiendo para integrar completamente estos ingredientes. Si quieres que la limonada suiza tenga un porcentaje menor de azúcar, no te pierdas nuestra receta de leche condensada light y prepárala tú mismo. 
3 Tras batir los ingredientes a velocidad máxima durante un minuto aproximadamente, pasa la bebida por un colador para que quede lo más suave posible. 
4 ¡Listo! Ya puedes servir tu limonada suiza con leche condensada bien fría. Así, puedes dejarla en el frigorífico durante un par de horas para que tome la temperatura adecuada, o añadir hielos al vaso. Y si quieres conocer otras variantes de la tradicional limonada, no te pierdas las siguientes opciones:Limonada con crema de cocoLimonada con hierbabuena",4b7e3f6b-7c45-4b8b-a5d7-f68a567cc93b,bebida
Limonada alcalina casera,https://www.recetasgratis.net/receta-de-limonada-alcalina-casera-69142.html,"1 litro de agua (mineral o hervida)
1 cucharadita de sal
1 cucharadita de bicarbonato de sodio
2 cucharadas soperas de azúcar
1 limón (el zumo)","1 ¿List@s para preparar una bebida isotónica en un dos por tres? Dispón sobre la mesa de trabajo: agua, sal, azúcar, bicarbonato de sodio y limón, en las cantidades especificadas. Además, coloca los utensilios que consideres necesarios para elaborar esta fácil receta. Truco: Si hierves el agua sube su alcalinidad. 
2 Exprime los limones y vierte sobre el agua para seguir con la receta de limonada alcalina. 
3 Agrega el resto de los ingredientes (sal, azúcar y bicarbonato). Remueve muy bien, espera hasta que produzca espuma y envasa. Esta bebida se conserva durante 24 horas en perfectas condiciones refrigerada. Recuerda, la limonada alcalina sabe mejor fría. 
4 ¡Lista nuestra limonada alcalina casera! Esta bebida resulta perfecta para que te acompañe al gimnasio, a caminatas o a cualquier actividad física que demande de tu cuerpo un esfuerzo alto o medio. Además, esta limonada es ideal para personas celíacas porque es libre de gluten y resulta muy económica.¿Te gustó esta receta? Nos interesa tu opinión, por favor haznos saber tus comentarios. Y si eres deportista y quieres complementar esta bebida con otras recetas, consulta las siguientes:Bebida hidratante caseraBarritas energéticas con frutas",edbf077c-f348-4ab5-a6bc-003977fbc206,bebida
Limonada casera con hierbabuena,https://www.recetasgratis.net/receta-de-limonada-casera-con-hierbabuena-61463.html,"1½ litros de Agua
3 Limones
10 ramas de Hierbabuena o menta Azúcar al gusto","1 Antes de empezar con la receta de limonada casera con hierbabuena alistamos los ingredientes que vamos a necesitar. La menta o hierbabuena y los limones deben lavarse en este paso. 
2 Posteriormente, ponemos el agua en un recipiente o jarra donde vayamos a servir la limonada casera y extraemos el jugo de 2 limones. Una vez extraído el jugo, cortamos la piel del limón y la incluimos también en la jarra. 
3 A continuación, cortamos la mitad de las hojas de hierbabuena y las añadimos también a la jarra. 
4 Finalmente, añadimos el azúcar al gusto y mezclamos intensamente. A continuación dejamos la limonada con hierbabuena en la nevera hasta que se enfríe lo suficiente. 
5 Servimos la limonada casera con hierbabuena con algunos cubitos de hielo, con trozos del limón restante cortados y con hojas enteras de lo que nos ha sobrado de menta. ¡A disfrutar!Y no te olvides de probar otra recetas de bebidas refrescantes Mojito de fresa y limónSorbete de limón al vodkaSangría de cava caseraAgua de ValenciaGranizado de pepino y limónFrappé de café",d1858a67-763a-4345-9256-7750f291d1f7,bebida
Limonada con miel,https://www.recetasgratis.net/receta-de-limonada-con-miel-61232.html,"2 Limones
3 cucharadas de postre de Miel
1 litro de Agua","1 Lo primero que tenemos que hacer para elaborar esta rica limonada con miel es limpiar y partir por la mitad los limones, y recortar unas rodajitas finas de cada limón para poner dentro de la jarra.A continuación, calienta un poco del agua y disuelve la miel en ella. Después exprime los limones y echa el zumo obtenido en una jarra. Añade el agua con la miel disuelta y el resto de agua bien fría, mezcla bien. Truco: Puedes sustituir la miel por azúcar blanco, azúcar moreno o incluso con edulcorante líquido. 
2 Seguidamente, echa las rodajas de limón dentro de la jarra con la limonada.Puedes guardar esta limonada casera con miel en la nevera un par de horas para que tome más sabor, ¡o servir de inmediato y disfrutar de esta riquísima y refrescante bebida! Truco: Si la mantienes en la nevera aguanta varias horas perfectamente, lista para tomar en cualquier momento. 
3 Esta limonada con miel es una bebida ideal para tomar cuando aprieta el calor, y la pueden tomar hasta los niños porque no lleva nada de alcohol.Si te gusta esta receta o crees que puedes mejorarla, déjame un comentario. Tienes más recetas frescas como sorbetes o helados en mi blog Mandarinas y miel, ¡visítame y lo comprobarás! Truco: Puedes añadir unas hojitas de menta o hierbabuena y le dará un toque más refrescante.",37d874dc-6d84-4a6c-8737-129b26ca3ace,bebida
Limonada de moras,https://www.recetasgratis.net/receta-de-limonada-de-moras-59453.html,"2 cucharadas soperas de Moras
1 Limón
500 mililitros de Agua
1½ cucharadas soperas de Azúcar blanco","1 Reunimos todos los ingredientes para preparar la limonada de moras. 
2 Calentamos el agua en una olla, añadimos el azúcar y dejamos que se disuelva. Dejamos que se enfríe el agua. 
3 Exprimimos el zumo de un limón. Para esta limonada de moras vamos a utilizar medio limón por cada 300 mililitros de agua.El limón cuenta con un alto contenido en vitamina C, que nos ayuda a prevenir resfriados y combate infecciones. 
4 Mientras tanto, lavamos las moras metiéndolas en un bol con agua para eliminar cualquier resto de polvo. Una vez enjuagadas, las colocamos en un colador y reservamos. 
5 Mezclamos 3/4 partes de las moras con el agua azucarada y las batimos con ayuda de una batidora para continuar con la preparación del jugo de mora natural. 
6 Colamos el zumo de mora para que no queden semillas y lo colocamos en un vaso. 
7 Agregamos el zumo de limón al jugo de moras y mezclamos bien. Verás cómo el zumo de mora se aclara y queda un color rojizo. 
8 Añadimos un poco más de agua y mezclamos. Servimos la limonada de moras con una rodajas de limón y unas cuantas moras. También se puede agregar un poco de hielo picado.Si te apetece conocer otras bebidas refrescantes te recomendamos el mojito sin alcohol o el sorbete de limón bajo en calorías.",0962d500-357f-4a11-8d14-f057d3ccbef6,bebida
