title,url,ingredients,steps,uuid,categoria
Malteada de Arequipe o Dulce de Leche,https://www.mycolombianrecipes.com/es/malteada-de-arequipe-o-dulce-de-leche/,"3 tazas de leche
1 taza de dulce de leche o arequipe
1 y ½ tazas de hielo picado
Pizca de canela","Coloque todos los ingredientes excepto el hielo en una licuadora. Licúe hasta que quede suave, agregue el hielo y sirva.",86afb0d6-e16a-11ed-942f-a96d6180cd25,bebida
"Malteada de coco, vainilla y kiwi",https://www.recetasnestle.com.co/recetas/receta-malteada-coco-vainilla-y-kiwi,"   1 taza de kiwi, pelado y cortado en trozos (180 g)
      1 taza de BEBIDA DE COCO VAINILLA NATURE´S HEART® (250 ml)
      Zumo de 1 limón (48 ml)
      ½ taza de hielo o al gusto (125 g)
      Ralladura de limón (5 g)
  ","    1.  Licua todos los ingredientes por 10 segundos o hasta integrar bien.                  
2.  Sirve y decora con la ralladura de limón.             ",,bebida
Malteada de fresa,https://www.recetasnestle.com.co/recetas/malteada-de-fresa,"   8 cucharadas de LECHE CONDENSADA LA LECHERA® (120 g)
      2 tazas de fresas frescas (300 g)
      1/2 vaso de leche (100 ml)
      1 taza de hielo (250 g)
  ","    1.  En el vaso de la licuadora, adiciona la LECHE CONDENSADA LA LECHERA®, las fresas, la leche y el hielo.                  
2.  Licua por 30 segundos o hasta integrar bien y lograr una textura cremosa                  3.  sirve en 4 vasos en porciones iguales.             ",,bebida
"Malteada de coco, vainilla y kiwi",https://www.recetasnestle.com.co/recetas/receta-malteada-coco-vainilla-y-kiwi,"   1 taza de kiwi, pelado y cortado en trozos (180 g)
      1 taza de BEBIDA DE COCO VAINILLA NATURE´S HEART® (250 ml)
      Zumo de 1 limón (48 ml)
      ½ taza de hielo o al gusto (125 g)
      Ralladura de limón (5 g)
  ","    1.  Licua todos los ingredientes por 10 segundos o hasta integrar bien.                  
2.  Sirve y decora con la ralladura de limón.             ",,bebida
Malteada de fresa,https://www.recetasnestle.com.co/recetas/malteada-de-fresa,"   8 cucharadas de LECHE CONDENSADA LA LECHERA® (120 g)
      2 tazas de fresas frescas (300 g)
      1/2 vaso de leche (100 ml)
      1 taza de hielo (250 g)
  ","    1.  En el vaso de la licuadora, adiciona la LECHE CONDENSADA LA LECHERA®, las fresas, la leche y el hielo.                  
2.  Licua por 30 segundos o hasta integrar bien y lograr una textura cremosa                  3.  sirve en 4 vasos en porciones iguales.             ",,bebida
Malteada de chocolate,https://www.recetasgratis.net/receta-de-malteada-de-chocolate-43406.html,"4 cucharadas soperas de chocolate en polvo
1 vaso de leche
4 cubos de hielo
1 cucharadita de vainilla
1 chorro de chocolate líquido
1 cereza
1 chorro de crema","1 Añade todo los ingredientes, menos los de decoración, en una licuadora y bate a máxima potencia hasta que se mezcle todo por completo. Puedes añadir más chocolate en polvo si te gusta la malteada más fuerte. 
2 Vacía el contenido en un vaso alto y decora primero con la crema o nata montada y luego con el chocolate líquido. 
3 Coloca la cereza de cóctel en la punta antes de servir y disfruta de la auténtica malteada de chocolate casera.",aff765b5-7212-4ed2-ba9f-435100b3bfb1,bebida
Malteada de helado,https://www.recetasgratis.net/receta-de-malteada-de-helado-43375.html,"2 tazas de Helado
1 taza de Hielo
1 taza de Leche en polvo
1 taza de Leche entera","1 Para hacer esta malteada de helado debes saber que puedes usar cualquier tipo de helado, el sabor que más te guste. Entonces, cuando ya te hayas decidido, empieza por vaciar el helado en la licuadora junto con la leche en polvo y la leche líquida. 
2 Cuando se hayan integrado por completo estos ingredientes, añade el hielo y vuelve a triturar todo. Prueba y añade más dulce si lo consideras necesario, puedes añadir un poco de leche condensada o sirope. 
3 Sirve de inmediato la malteada de helado y decora con nata montada o crema chantilly. Esta bebida la puedes servir como merienda o como postre, ¡es deliciosa!Y si quieres probar una receta similar y con explicación paso a paso, puedes echar un vistazo a la receta de smoothie de piña con helado.",453d8bde-b8d4-4e37-92dd-6720c72f17f5,bebida
Malteada de fresa,https://www.recetasgratis.net/receta-de-malteada-de-fresa-33886.html,"2 cucharadas soperas de Helado de fresa
1 puñado de Fresas
1 vaso pequeño de Leche
1 chorro de Leche condensada
1 vaso de Hielo picado
½ chorro de Zumo de limón
1 bote de Nata montada o Crema chantillí","1 Licue todos los ingredientes hasta que se integren bien. 
2 Enseguida, sirva la malteada en un vaso con popote y añada encima fresa en trocitos o crema batida, o bien ambas cosas. 
3 Con esta misma preparación puede hacer malteadas de otros sabores, como chocolate, nuez, vainilla o mango, y encima puede poner el ingrediente de su elección.",76e7eee0-7d28-427a-bb6f-a2c2c03f2591,bebida
Malteada napolitana,https://www.recetasgratis.net/receta-de-malteada-napolitana-9301.html,"1 taza de nieve Napolitana
1 taza de leche",1 Pon en la licuadora la leche y la nieve licuala y ponle miel o azucar al gusto y listo ya esta su malteada Napolitana.,28ea123d-9cec-4642-b09e-701d69e34a84,bebida
Malteada morada,https://www.recetasgratis.net/receta-de-malteada-morada-8916.html,"4 tazas de Leche (960 mililitros)
2 tazas de Helado de vainilla
1 taza de Arándanos naturales o congelados","1 Para hacer esta deliciosa merengada de arándanos procura que todos los ingredientes estén bien fríos. En cuanto a la fruta, puedes usar natural o congelada, la que encentres. 
2 Añade en la licuadora los arándanos junto con la leche y procesa hasta que se haya triturado por completo la fruta. 
3 A continuación añade el helado a la mezcla y vuelve a triturar hasta que se integren todos los ingredientes. Este batido con leche no necesita azúcar pero puedes probar y añadir si lo consideras necesario. 
4 Sirve la malteada morada y decora cada vaso con fruta natural. Y si te gustan los batidos de leche y helado revisa estas recetas que seguro te encantarán:Malteada de vainillaMalteada de fresaMalteada de chocolate",80363e7e-e2e0-466a-984e-5adc0dcd3387,bebida
Malteada de vainilla,https://www.recetasgratis.net/receta-de-malteada-de-vainilla-52550.html,"500 ml de leche entera.
300 gramos de helado de vainilla.
100 gramos de coco dulce rallado. Cerezas marrosquinos.
150 ml de crema de coco.","1 Para empezar a realizar nuestra malteada de vainilla el primer paso es prealistar todos los ingredientes. 
2 En un bowl adicionar la crema de coco y el helado de vainilla.Mezclar hasta integrar bien los ingredientes. 
3 Adicionar el coco rallado dulce y mezclar muy bien para que se distrubuya por toda la malteada de vainilla. 
4 Decorar con dos cerezas en el borde de un vaso para poder servir la malteada de vainilla. 
5 Servirla malteada de vainilla en los vasos decorados, y si se quiere decorar con un poco del sirup de las cerezas.Si deseas mas recetas de malteadas y tienes algún comentario o inquietud por favor escribenos y con mucho gusto resolveremos dudas.A disfrutar de esta maravillosa receta.",34813ec4-4590-4bbe-a0a3-805819e97f85,bebida
