title,url,ingredients,steps,uuid,categoria
Smoothie de manzana verde,https://www.recetasnestle.com.co/recetas/smoothie-de-manzana-verde,"   1 manzana verde, con piel y cortada en trozos pequeños (180 g)
      1/2 vaso de vaso de agua (120 ml)
      ½ vaso de hielo (100 g)
      6 cucharadas de alimento lácteo KLIM® FORTICRECE® (52 g)
  ","    1.  Licúa todos los ingredientes por 40 segundos o hasta integrar bien.                  
2.  Sirve y decora con trozos de manzana encima.             ",,bebida
Smoothie bicolor de leche KLIM® y MILO®,https://www.recetasnestle.com.co/recetas/smoothie-chocolate-leche-bicolor,"   2 cucharadas de MILO® (25 g)
      1 taza de hielo      3 cucharadas de Leche en polvo KLIM® Clásica (24 g)
  ","    1.  Licúa las cucharadas de MILO® con media taza de hielo hasta que lo veas frapeado y pon la mezcla en un vaso, lleva al congelador mientras preparas la leche.                  
2.  Aparte, en el mismo vaso de la licuadora añade la media taza de hielo restante y las cucharadas de leche en polvo KLIM® Clásica, licúa por 5 segundos hasta que lo veas frapeado.                  
3.  Retira el vaso del congelador y sirve encima el licuado de la leche, así tendrás los dos colores, decora con fruta de tu preferencia.             ",,bebida
Smoothie de manzana verde,https://www.recetasnestle.com.co/recetas/smoothie-de-manzana-verde,"   1 manzana verde, con piel y cortada en trozos pequeños (180 g)
      1/2 vaso de vaso de agua (120 ml)
      ½ vaso de hielo (100 g)
      6 cucharadas de alimento lácteo KLIM® FORTICRECE® (52 g)
  ","    1.  Licúa todos los ingredientes por 40 segundos o hasta integrar bien.                  
2.  Sirve y decora con trozos de manzana encima.             ",,bebida
Smoothie bicolor de leche KLIM® y MILO®,https://www.recetasnestle.com.co/recetas/smoothie-chocolate-leche-bicolor,"   2 cucharadas de MILO® (25 g)
      1 taza de hielo      3 cucharadas de Leche en polvo KLIM® Clásica (24 g)
  ","    1.  Licúa las cucharadas de MILO® con media taza de hielo hasta que lo veas frapeado y pon la mezcla en un vaso, lleva al congelador mientras preparas la leche.                  
2.  Aparte, en el mismo vaso de la licuadora añade la media taza de hielo restante y las cucharadas de leche en polvo KLIM® Clásica, licúa por 5 segundos hasta que lo veas frapeado.                  
3.  Retira el vaso del congelador y sirve encima el licuado de la leche, así tendrás los dos colores, decora con fruta de tu preferencia.             ",,bebida
Smoothie de fresa,https://www.recetasgratis.net/receta-de-smoothie-de-fresa-45334.html,"12 unidades de Fresas
1 unidad de Yogur
1 cucharada sopera de Azúcar
1 pizca de Esencia de vainilla","1 Hacer smoothie de fresa es muy fácil, empezaremos por limpiar bien las fresas y retirar las hojas. 
2 Luego, cortamos las fresas por la mitad y las introducimos al vaso de la licuadora. Si no dispones de licuadora, puedes coger un recipiente de borde alto y utilizar una batidora. 
3 Añadimos a la licuadora el yogur, el azúcar y esencia de vainilla al gusto. Podemos utilizar yogur natural o de fresa, todo dependerá de la intensidad que queramos obtener. 
4 Licuamos bien todos los ingredientes e incorporamos hielo picado cuando estén bien batidos. Seguimos batiendo y ¡listo! Ya tenemos nuestro smoothie de fresa preparado para servir.",37543236-8d62-485b-aa81-282a8e185d10,bebida
Smoothie de aguacate y piña,https://www.recetasgratis.net/receta-de-smoothie-de-aguacate-y-pina-68390.html,"piña 1 aguacate
2 plátanos congelados
1 taza de frutos de bosque congelados
2 cucharadas soperas de pasas
1 taza de agua (240 mililitros)","1 Pon en remojo las pasas durante 10 minutos, escúrrelas. 
2 Introduce en la batidora los frutos rojos, un plátano, las pasas y media taza de agua. 
3 Bate hasta que de forme una mezcla espesa y homogénea. Vierte el smoothie de frutos rojos y plátano en los vasos llenándolos a la mitad. 
4 Combina en el vaso de la batidora el aguacate, la piña, un plátano congelado y media taza de agua, y bate hasta que quede un smoothie de aguacate y plátano espeso. Vierte el batido de aguacate en los vasos encima del smoothie de frutos rojos. 
5 Decora el smoothie de aguacate y piña con una rodaja de plátano y sírvelo.No dudes en visitar mi blog Vegspiration para encontrar infinidad de recetas más de smoothies y batidos veganos.",37250d17-6eac-4a7a-9741-b5a4084c150c,bebida
Smoothie bowl de papaya y cacao,https://www.recetasgratis.net/receta-de-smoothie-bowl-de-papaya-y-cacao-68293.html,"2 plátanos congelados
¼ papaya
2 cucharadas soperas de cacao puro
1 cucharadita de canela
4 dátiles
½ plátano fresco para decorar
1 mandarina
½ pera
1 cucharadita de uvas pasas
½ manzana
½ vaso de agua","1 Pela y trocea la papaya, también trocea los dátiles y los plátanos congelados. 
2 Introduce en el vaso de la batidora el agua, los plátanos, la papaya, los dátiles, la canela y el cacao. 
3 Bate hasta que se forme una mezcla chocolateada cremosa. 
4 Vierte el smoothie bowl de papaya y cacao en un bol y decóralo con láminas de manzana y pera, gajos de mandarina, rodajas de plátano y uvas pasas.Te recomiendo este smoothie bowl de chocolate si te gusta mucho este sabor y también pásate por mi blog Vegspiration para descubrir muchos otros desayunos veganos nutritivos y saludables.",5f8ee277-bee3-441b-b509-616a0070951b,bebida
Smoothie de chocolate y café,https://www.recetasgratis.net/receta-de-smoothie-de-chocolate-y-cafe-68219.html,"½ taza de café expreso frío
2 plátanos congelados
250 mililitros de leche de soja
2 cucharadas soperas de cacao puro
2 cucharadas soperas de sirope de agave
30 gramos de chocolate negro","1 Coloca todos los ingredientes en el vaso de la batidora, es decir, el café preparado y bien frío, los plátanos congelados, la leche de soja, el sirope de agave, el cacao puro y el chocolate negro. 
2 Bate a velocidad alta hasta que todos los ingredientes se integren y quede un smoothie de chocolate homogéneo. 
3 Vierte el smoothie de chocolate y café en vasos y espolvorea un poco más de cacao por encima. También puedes añadir un poco de sirope de chocolate. Delicioso, ¿verdad? ¡Y muy fácil! Otros smoothies igual de deliciosos son el smoothie de plátano y yogur y el smoothie de frutos rojos. Más recetas en mi blog Vegspiration, ¡te espero!",9ed314b1-17bb-430f-b010-7eee9d5d75e1,bebida
Smoothie de plátano y yogur,https://www.recetasgratis.net/receta-de-smoothie-de-platano-y-yogur-68084.html,"300 mililitros de leche de arroz
2 plátanos congelados
1 cucharada sopera de crema de cacahuete
1 bolsa de té chai
1 yogur de soja sabor chocolate
1 puñado de cacahuetes
1 puñado de galletas de chocolate
½ cucharadita de canela","1 Coloca en el vaso de la batidora los plátanos congelados, la crema de cacahuete, la canela y el contenido de la bolsita de té chai (he utilizado el té chai de la marca Hacendado que lleva té negro, canela, jengibre, cardamomo, pimienta, anís estrellado y clavo). 
2 Vierte la leche de arroz dentro y bate hasta que se forme un batido vegano homogéneo y suave. 
3 En un tarro o vaso de smoothie vierte el contenido de un vasito de yogur de soja sabor chocolate, coloca algunas galletitas de chocolate encima y añade el batido dentro. 
4 Tritura los cacahuetes en la batidora y decora el smoothie de plátano y yogur por encima junto con más galletas de chocolate. ¡Así de fácil! Otra receta de smoothie fácil y rápida para el desayuno es la del smoothie de frutos rojos. Y si te pasas por mi blog Vegspiration, ¡todavía encontrarás más recetas deliciosas!",081a6f6d-6544-4edb-8119-3968ed194d61,bebida
Smoothie de calabaza,https://www.recetasgratis.net/receta-de-smoothie-de-calabaza-67981.html,"1 taza de calabaza cocida
2 plátanos congelados
1 trozo de jengibre o
1/2 cucharadita de jengibre en polvo
1 taza de leche de almendras
¼ cucharadita de semillas de anís molidas
½ cucharadita de canela
1 pizca de pimienta
¼ cucharadita de nuez moscada
1 yogur de soja natural
1 cucharada sopera de muesli
1 chorro de sirope de caramelo","1 Pela la calabaza, córtala en dados y cuécela en un cazo en agua hirviendo hasta que quede blanda durante 10-12 minutos. Deja enfriar. 
2 En el vaso de la batidora combina todos los ingredientes y bátelos hasta que quede un batido de calabaza con leche homogéneo. 
3 Vierte el batido de calabaza con canela en un vaso y vierte el yogur de soja encima. 
4 Sirve el smoothie de calabaza con especias. Como opción de presentación decóralo con muesli y sirope de caramelo.Te recomiendo que pruebes otro batidos de diferentes sabores como estos o visites mi blog Vegspiration donde encontrarás muchas más recetas:Smoothie de plátano y canelaSmoothie de frutos rojos y plátanoSmoothie de plátano con mazana y espinacas",bb03f9fa-5870-49d4-8137-0c8b21fca421,bebida
