title,url,ingredients,steps,uuid,categoria
Té moruno,https://www.recetasgratis.net/receta-de-te-moruno-58322.html,"2 unidades de Té negro
2 ramas de Hierbabuena
2 cucharadas de postre de Azúcar moreno
450 mililitros de Agua","1 Reunimos todos los ingredientes para preparar el té moruno. El té marroquí se elabora tradicionalmente con té gunpowder, pero puedes utilizar cualquier tipo de té verde o negro. 
2 En una tetera colocamos el té y unas ramas de hierbabuena fresca. Si utilizáis té gunpowder suelto, el proceso correcto es poner agua hirviendo en la tetera con el té, dejarlo reposar durante 30 segundos y tirar ese agua. De este modo el té se abre y se elimina el sabor amargo. 
3 Añadimos el azúcar moreno en la tetera. Si lo preferís, podéis utilizar azúcar blanco o miel. 
4 Agregamos el agua hirviendo y dejamos reposar 3 minutos. 
5 Para hacer té verde a la menta de forma tradicional no se debe remover el azúcar, lo que hacemos es servir el té en uno de los vasos típicos marroquís y lo volvemos a echar en la tetera. Repetimos este proceso un par de veces más para que se mezclen los sabores. 
6 El té moruno se toma muy caliente y se suele servir en el vaso distanciando bien la tetera al echarlo para que forme un poco de espuma. Si os gustan las infusiones naturales, os recomendamos el té chai o la infusión de jengibre y limón.",2d665da7-b93c-4a35-8bf1-ca0ce7871fc0,bebida
Té de piña para adelgazar,https://www.recetasgratis.net/receta-de-te-de-pina-para-adelgazar-58215.html,"2 litros de Agua
1 pieza de Piña madura grande
1 rama de Canela","1 Lo primero que debemos hacer para poder preparar el té de piña para adelgazar es pelar la piña para quedarnos con la cáscara. Sí, realizaremos el té con la cáscara de la fruta, por lo que la pulpa de la piña la podemos reservar para preparar un batido, por ejemplo. 
2 Si no sabes cómo pelar una piña, te lo explicamos rápidamente. Cortamos los dos extremos de la piña con un cuchillo de sierra o uno bien afilado. Colocamos la piña en posición vertical y retiramos la cáscara cortando tiras de la misma de arriba hacia abajo. Fácil, ¿verdad? 3 Ahora que tenemos la cáscara de la piña, la lavamos bien para seguir con la preparación del té para adelgazar. Para ello, tenemos la opción de emplear la olla express o una olla común. La única diferencia entre ellas es que con la olla rápida la cáscara soltará mejor sus jugos, mientras que con la olla común tendremos que ayudarla pinchándola. 
4 Si usamos olla express, añadimos el agua, la cáscara de la piña, la rama de canela y dejamos que se cueza a fuego lento durante 30 minutos. Si usamos la olla común, también incorporamos todos los ingredientes, tapamos la olla y la dejamos a fuego lento durante 30 minutos, pinchando la cáscara cada 10 minutos. Si lo prefieres, puedes usar clavo de olor en lugar de canela. Nosotros hemos optado por la canela por sus efectos adelgazantes. Truco: Si la piña es pequeña, reduce la cantidad de agua. 
5 Pasado el tiempo de cocción, apartamos la olla del fuego y dejamos que se enfríe. Una vez frío, colamos el té de piña y conservamos el agua en tarros de vidrio con cierre hermético. 
6 Podemos tomar el té de piña frío o caliente, como más nos guste. Aunque no se recomienda incorporar azúcar para no entorpecer sus propiedades quema grasas, sí puedes añadir una pizca de endulzante tipo stevia. Y para acompañar, ¿qué tal un bizcocho light de yogur?",b21c3fd2-52d8-45f3-9f06-17c988977445,bebida
Té Chai,https://www.recetasgratis.net/receta-de-te-chai-57842.html,"1 rama de Canela
1 trozo de Jengibre fresco
100 mililitros de Agua
2 unidades de Clavo
250 mililitros de Leche
2 unidades de Té negro
2 unidades de Cardamomo","1 El primer paso es reunir todos los ingredientes para elaborar el té Chai. Este té también se puede tomar sin leche y en algunas versiones incluye nuez moscada y pimienta blanca. 
2 Ponemos a cocer el agua y cuando hierva añadimos el té negro, la canela, los clavos de olor y el cardamomo. El cardamomo ayuda a acelerar el metabolismo y es un gran aliado para eliminar líquidos. 
3 A continuación añadimos el jengibre pelado. Recordad que el jengibre es un alimento que evita las náuseas y ayuda al sistema inmunológico. Hervimos a fuego lento durante 3 minutos. 
4 Añadimos la leche y hervimos durante 2 minutos más. Pasado este tiempo tapamos el té Chai y dejamos que repose durante otros 5 minutos. 
5 Colamos el té Chai. Esta bebida se puede aderezar con miel o sirope de ágave. Si sois diabéticos, podéis utilizar cualquier edulcorante que toméis habitualmente. Además, por si no lo sabíais, la canela ayuda a reducir los niveles de azúcar en sangre. 
6 El té Chai cuenta con multitud de propiedades y es una bebida perfecta para mantenernos activos, eliminar líquidos y mejorar nuestro sistema cardiovascular. Si os gustan las bebidas naturales que nos ayudan a estar mejor, probad la infusión de jengibre y limón o el batido de frutas antioxidante. ¡Esperamos vuestros comentarios!",eee6f665-b50b-4472-ae9c-60a08b7dc2e7,bebida
Té de apio para adelgazar,https://www.recetasgratis.net/receta-de-te-de-apio-para-adelgazar-53068.html,"1 unidad de Apio
2 litros de Agua","1 Además de favorecer la pérdida de peso mediante el efecto diurético que ejerce en nuestro cuerpo, el apio nos ayuda adelgazar, también, gracias a su alto contenido en fibra. la fibra nos aporta una sensación de saciedad y estimula el tracto intestinal. Así pues, este vegetal es ideal para depurar nuestro organismo y equilibrarlo, siempre y cuando se complemente con una dieta saludable. 
2 Para preparar el té de apio para perder peso deberás lavar bien el apio y cortar la base blanca del vegetal, de manera que solo te quedes con los tallos y las hojas. 
3 Luego, pon el agua a hervir e introcue los tallos de apio anteriores, con sus hojas. Deberás dejar que se cocine durante media hora a fuego lento, así el agua se impregnará de las propiedades del apio y podrás beneficiarte de ellas tomándola. 
4 Pasado el tiempo, cuela el agua y resérvala en recipientes de cristal. Para adelgazar, lo más recomendable es que tomes un té de apio por la mañana, en ayunas, nada más levantarte y otro por la noche, antes de ir a dormir. 
5 Sin una dieta equilibrada ni ejercicio constante, el té de apio no ejercerá los resultados que esperas y no bajarás de peso tan rápidamente.",f3358924-5c27-4b5f-8a5c-51cc91df714b,bebida
Té de canela para adelgazar,https://www.recetasgratis.net/receta-de-te-de-canela-para-adelgazar-55067.html,"2 ramas de Canela
1 cucharadita de Miel
1 taza de Agua (240 mililitros)","1 Antes de empezar con la preparación del té, resulta imprescindible hablar de los efectos adelgazantes de la canela y sus beneficios. Esta especia tan popular nos ofrece la posibilidad de reducir la grasa corporal acumulada gracias a su capacidad para mantener a raya los niveles de azúcar en sangre. De esta forma, no se disparan y evitamos acumular más cantidad de grasa. 
2 Por otro lado, acelera el metabolismo y la quema de grasa debido a una reacción química que produce en nuestro cuerpo al ingerirla. Dicha reacción lo que hace es aumentar el nivel de calor de nuestro cuerpo, hecho que obliga a nuestro metabolismo a acelerarse para combatir ese exceso de calor y mantener la temperatura corporal ideal. Al acelerarse el metabolismo, la grasa también se quema de forma más rápida. 
3 Para potenciar estos efectos, es aconsejable incorporar un poco de miel a nuestro té de canela. ¿Por qué miel? Porque este producto natural, al igual que la canela, también acelera el metabolismo y, por ende, la eliminación de la grasa corporal. Asimismo, nos ayuda a reducir la ansiedad, el estrés y los cuadros de insomnio. 
4 Para preparar el té de canela para adelgazar simplemente debes calentar la taza de agua de manera que esté muy caliente pero sin llegar a hervir, introducir las ramas de canela y la cucharadita de miel, taparla y dejar que repose durante 10 minutos. Pasado el tiempo, retira las ramas, mueve la mezcla y tómala caliente.",80ab1e92-f6b1-447c-9c03-0115343ea885,bebida
Té helado,https://www.recetasgratis.net/receta-de-te-helado-52963.html,"5 bolsas de Té de su preferencia.
2 unidades de limones. Hielo.
500 ml de agua potable. Azúcar o stevia al gusto.","1 Para empezar a realizar nuestra receta de Té helado, el primer paso es prealistar todos los ingredientes. 
2 Adicionar nuestra agua potable a una olla y llevar a fuego alto hasta que hierva. 
3 Una vez el agua este hirviendo retirar del fuego y agregar las bolsas de té y los zumos de los limones y la cascara de los limones que exprimimos para sacar el zumo de esta manera la cascara del limón le dará más sabor a nuestro té helado. 
4 Cubrir con una tapa la olla donde realizamos el té y dejar de esta manera durante una media hora aproximadamente de esta manera las bolsas de té van a soltar todo.Una vez fría nuestro té retirar las bolsas y la cascara de los limones y se puede llevar a la nevera o refrigerador. 
5 Adicionar en un vaso la cantidad de hielos que deseamos y refrescar el vaso (durante uno o dos minutos para que el vaso enfrie) 6 Servir nuestro Té helado en el vaso que adicionamos hielo, ideal para consumir en esas épocas de mucho calor y verano.",a7f4d64b-b888-45c2-96eb-a7f3235165f6,bebida
Té helado de melocotón,https://www.recetasgratis.net/receta-de-te-helado-de-melocoton-50949.html,"1 Melocotón
200 mililitros de Agua
4 piezas de Hielo (cubos)
1 bolsa de Té blanco
30 gramos de Azúcar","1 Empezamos por alistar todos los ingredientes para preparar nuestro té helado refrescante. 
2 Lavamos muy bien la fruta y cortamos el melocotón en gajos finos, tal como se ve en la foto. No hace falta pelarlo. 
3 Ponemos estos gajos en una sartén junto con el azúcar y un poco de agua. Cocinamos a fuego bajo hasta formar un almíbar. Si quieres ahorrarte este paso puedes usar directamente melocotones en almíbar. 
4 Por otro lado, hervimos el agua y colocamos dentro la bolsa de té blanco para preparar la infusión. Mantén la bolsa de té en el agua durante 3 minutos, luego retira y deja que el agua se enfríe a temperatura ambiente. 
5 Para terminar de preparar nuestra bebida refrescante para el verano, esperamos que el almíbar esté listo y entonces, lo licuamos junto con el té ya frió.Pasamos esta mezcla por un colador para retirar todo los grumos que pueda haber. 
6 Servimos en una copa con cubos de hielo y decoramos con algunos gajos de fruta. Este té helado de melocotón es una bebida ideal para los días de más calor en verano, lo puedes servir a cualquier hora y acompañar con unas brochetas de fruta para pasar la tarde.Y si te animas a probar otras bebidas hechas a base de té e infusiones, no dejes de probar el famoso chai de la india.",db9a4d3c-0f3d-4ea5-b5ae-e536a420b52b,bebida
Té de hierbabuena para adelgazar,https://www.recetasgratis.net/receta-de-te-de-hierbabuena-para-adelgazar-74023.html,"5 hojas de hierbabuena
1 taza de agua (240 mililitros)
1 pastilla de estevia","1 Vierte el agua en una olla y añade las hojas de hierbabuena frescas. Pon a hervir el agua. Truco: Si tienes bolsitas de té de hierbabuena, añádelas solo cuando el agua ya haya hervido. 
2 Cuando comience a hervir, deja por 5 minutos en el fuego. Cuela el té de hierbabuena, déjalo reposar unos 5 minutos y sírvelo en una taza. Si gustas, añade la estevia para que esté más dulce.",320e0dec-1a92-4740-b81d-451729c3376f,bebida
Té de cúrcuma y jengibre,https://www.recetasgratis.net/receta-de-te-de-curcuma-y-jengibre-73988.html,"250 mililitros de agua
1 rodaja de jengibre
1 rodaja de cúrcuma o
1 cucharadita de cúrcuma en polvo
½ limón (opcional)
1 rama de canela (opcional)","1 Pon el agua a hervir en un cazo u olla. El té de cúrcuma y jengibre también puede hacerse con leche, aunque en este caso la bebida obtenida recibe el nombre de leche dorada. Truco: Si usas leche, es preferible que no llegue a hervir. 
2 Pela el jengibre, corta una rodaja más bien fina y añádela al agua. Haz lo mismo con la cúrcuma, teniendo en cuenta que la cantidad de cúrcuma debe ser la mitad que la de jengibre. Además, no es recomendable tomar más de 1.
5 gramos de cúrcuma la día en el caso de los adultos. Truco: Si lo prefieres, puedes usar cúrcuma en polvo. 
3 Exprime el zumo de medio limón y agrégalo al cazo, junto con la rama de canela. Tanto el limón como la canela son ingredientes opcionales, no obstante, favorecen la quema de grasa gracias a sus propiedades y mejoran el sabor del té. Por ello, son altamente recomendables. Truco: Mezcla bien con una cuchara para que se integre el zumo de limón, especialmente si usas cúrcuma en polvo. 
4 Cocina el té durante 5 minutos a fuego lento, apaga el fuego y deja que repose otros 5 minutos. Después, cuela el té de cúrcuma y jengibre y sírvelo. Esta cantidad da para una sola taza. Puedes endulzarlo con una cucharadita de miel o sirope de agave.",e6628942-63b1-42c5-b7f6-12c781aeb269,bebida
Té de PEREJIL para ADELGAZAR Rápido,https://www.recetasgratis.net/receta-de-te-de-perejil-para-adelgazar-73550.html,"500 mililitros de agua
2 ramas de perejil (si consigues un trozos de raíz mejor)
1 limón Piña Miel Canela","1 Pica el perejil o córtalo en trozos más grandes. El té de perejil para perder peso podrás tomarlo colando la bebida al final o no, de manera que la forma de picarlo dependerá de cómo quieras beberlo. Truco: La raíz del perejil posee también propiedades digestivas y carminativas, de manera que es recomendable añadir un trozo al té. 
2 Calienta el agua con el perejil en un cazo a fuego alto hasta que hierva. Truco: Si consigues un trozo de raíz, agrégalo al agua. 
3 Añade una o dos rodajas de limón al té de perejil para adelgazar más rápido. El resto del limón deberás exprimirlo para incorporar el jugo al final. Así mismo, tienes la opción de incorporar una rodaja de piña, que también es diurética y digestiva. Consulta la Receta del té de piña para adelgazar para conocer todas sus bondades. Truco: Puedes agregar una rama de canela para mejorar el sabor del té y potenciar las propiedades adelgazantes, ya que la canela también favorece la quema de grasa. 
4 Cocina a fuego lento durante 10-15 minutos, aparta el cazo del fuego, tápalo y deja que el agua se infusione durante otros 10 minutos. Truco: También puedes pasar la infusión de perejil a otro recipiente para taparla colocando un plato encima si no tienes tapa para ese cazo. 
5 Puedes colar el té o tomarlo con los pedazos de perejil. En cualquier caso, al momento de tomar el té de perejil para adelgazar recomendamos agregar el zumo de limón y, de forma opcional, una cucharadita de miel. La miel también favorece la pérdida de peso debido a que está considerada como un alimento prebiótico, por lo que permite equilibrar el tránsito intestinal. Así mismo, es antiinflamatoria y calmate, de manera que también puedes tomar este té de perejil, limón y miel en caso de tener la garganta inflamada o sufrir dolor de estómago.Otras bebidas clasificadas como quema grasa son las siguientes:Té de apio para adelgazarTé de manzanilla para adelgazar",eb090f40-5a41-415f-9a85-10355d6691f2,bebida
