title,url,ingredients,steps,uuid,categoria
Arroz Atollado de Pollo y Chorizo,https://www.mycolombianrecipes.com/es/arroz-atollado-de-pollo-y-chorizo/,"3 pechugas de pollo con hueso 8 y muslos de pollo o las piernas
½ taza de salsa de aliños ver receta aquí
7 tazas de agua
3 cucharadas de aceite vegetal
1 taza de tomates frescos picados
5 cebollas largas picadas
2 dientes de ajo picados
1 pimentón rojo pequeño cortado en cubitos
1 cucharadita de polvo de achiote
Sal al gusto
½ cucharadita de comino molido
Pimienta molida fresca
¼ taza de cilantro fresco picado
2 chorizos desmenuzados
2 tazas de arroz blanco
2 tazas de papas peladas y cortadas en 1 y ½ pulgadas piezas
3 cucharadas de cilantro fresco picado para adornar","Para cocinar el pollo : Caliente el aceite en una olla grande y a fuego medio. Añadir los muslos de pollo y cocine de 2 a 3 minutos por cada lado, hasta esten dorados. Agregue la pechuga de pollo y el agua. Tapar y cocinar durante unos 30 minutos.
Mientras el pollo se cocina haga que el hogao : En una sartén grande a fuego medio- bajo, agregue 3 cucharadas de aceite vegetal, los tomates , la cebolla , el ajo , el pimientón rojo , el achiote , sal, pimienta negra , comino y cilantro. Cocine durante 10 a 15 minutos, revolviendo con frecuencia . Retirar del fuego y reservar.
Para hacer el arroz : Retire el pollo del líquido y reservar. Colar el caldo y medir 4 ½ tazas , si usted no tiene suficiente caldo añadir más agua. Usando un tenedor o con las manos desmechar la pechuga de pollo y reservar.
En una olla grande , agregue el hogao y el chorizo y cocine por 2 minutos , agregar el arroz y mezclar bien. Añadir el caldo y llevar a hervir . Luego, reduzca el fuego a bajo , agregue el pollo y las papas , revuelva bien y cocine a fuego lento durante unos 30 minutos.
Retirar del fuego , espolvorear con cilantro fresco , añadir los muslos de pollo y servir., add shredded chicken and potatoes, stir well and simmer for about 30 minutes.",86af71c9-e16a-11ed-bf34-a96d6180cd25,comida
Arroz con Camarones,https://www.mycolombianrecipes.com/es/arroz-con-camarones/,"1 libra de camarón fresco sin pelar
3 ½ tazas de agua
1 taza de arroz
2 cucharadas de aceite de oliva
1 cucharada de mantequilla
1 to mate mediano picado
2 dientes de ajo finamente picados
2 cucharadas de cebolla larga picada
1 tableta de caldo de pescado
¼ taza de pimentón verde picado
¼ taza de pimentón rojo picado
1 cebolla blanca picada
½ cucharadita de comino molido
¼ de cucharadita de pimentón molido
1 cucharada de pasta de tomate
¼ taza de zanahorias congeladas habichuelas y arvejas
Sal y pimienta
1 cucharada de perejil fresco picado","En una olla pequeña coloque los camarones sin pelar, la tableta de caldo de pescado, el agua y cocine durante unos 3 minutos o hasta que el camarón se vuelva rosado.
Transferir los camarones a un tazón. Pele y guarde las cáscaras para usar más tarde.
Caliente el aceite de oliva y la mantequilla en una olla mediana a fuego medio-alto. Añadir las cebollas y cocinar por 1 minuto, añadir el ajo, pimentón verde, pimentón rojo, cebollas y tomate. Cocine durante unos 10 minutos.
Mientras tanto, coloque las cáscaras de camarón y el caldo en una licuadora y mezcle durante 2 minutos. Pasar a través de un colador, desechar las cáscaras y guardar el caldo.
Agregue el arroz a la mezcla de tomate, revolviendo hasta que esté bien cubierto. Añadir el caldo, la pasta de tomate, el comino molido, el pimentón molido, la sal y la pimienta negra y llevar a hervir. A continuación, reduzca el fuego a bajo, cubra y cocine a fuego lento durante 20 minutos. Agregue el camarón, las arvejas, las zanahorias, las habichuelas y cocine por 5 a 7 minutos. Añadir el perejil fresco y servir.",86af71d7-e16a-11ed-a966-a96d6180cd25,comida
Arroz Atollado,https://www.mycolombianrecipes.com/es/arroz-atollado/,"3 cucharadas de aceite vegetal
½ libra de costillas de de cerdo sin hueso y cortadas en cubos
1 libra de carne de cerdo cortada en cubos
4 tazas de agua
4 tazas de caldo de pollo y más si es necesario
3 cucharadas de aceite vegetal
2 tazas de tomates frescos picados
1 y ½ tazas de cebolla larga picada
2 dientes de ajo picados
3 cucharadas de pimientón rojo dulce picado
1 cucharada con azafran
½ cucharadita de sal
½ cucharadita de comino molido
½ cucharadita de pimienta molida fresca
½ de taza de cilantro fresco picado
1 y ½ tazas de arroz blanco
½ de cucharadita de sal
2 tazas de papas cortadas en 1 y ½- de pulgada
2 chorizos o salchicha ahumada cortdos en rodajas
Cilantro fresco picado para decorar","Para el caldo de cerdo: Calentar 3 cucharadas de aceite vegetal en una olla grande y pesada a fuego medio. Agregue la carne de cerdo y cocine de 2 a 3 minutos por cada lado, hasta que se dore en el exterior. Agregar 4 tazas de agua y 4 tazas de caldo de pollo. Tapar y cocinar durante 30 minutos.
Para el hogao: Cuando el caldo se cocine, en una sartén grande a fuego medio-bajo, agregue 3 cucharadas de aceite vegetal, los tomates, la cebolla, el ajo, el pimentón, sazón, sal, pimienta negra, comino y cilantro. Cocine durante 10 a 15 minutos, revolviendo con frecuencia. Retirar del fuego y poner a un lado.
Para el arroz: Retire la carne de cerdo del líquido y reservar. Colar el caldo y medir 6 tazas, si no tiene suficiente añadir muás caldo de pollo.
En una olla grande, agregar el hogao, arroz, carne de cerdo y llevar a hervir. Luego baje el fuego a medio-bajo y cocine a fuego lento sin tapar por 20 minutos, revolviendo ocasionalmente.
Auñadir las papas y chorizo y cocine por otros 15 minutos. Este arroz debe tener una consistencia similar a risotto. Retirar del fuego y espolvorear con el cilantro y sirva.",86af71d8-e16a-11ed-9747-a96d6180cd25,comida
Arroz con Coco y Lentejas,https://www.mycolombianrecipes.com/es/arroz-con-coco-y-lentejas/,"½ taza de lentejas
1 taza de arroz
1 cucharada de aceite de oliva
¼ de taza de cebolla picada
1 diente de ajo triturado
1 hoja de laurel
2 tazas de leche de coco
2 tazas de agua
Sal al gusto
Cilantro fresco para servir","Lavar y remojar las lentejas durante 30 minutos.
Calentar el aceite de oliva en una olla mediana. Añadir la cebolla y cocinar hasta que esté translúcida, unos 3 minutos. Añadir el ajo y cocinar durante 2 minutos más.
Añadir las lentejas, laurel, sal y agua. Cubrir y cocinar a fuego medio durante unos 30-40 minutos o hasta que las lentejas estén cocidas y el agua sea absorbida.
Deseche la hoja de laurel, agregue el arroz y revuelva hasta que esté combinado. Añadir la leche de coco y llevar a hervir, a continuación, reducir el calor a bajo, cubra la olla y deje que hierva a fuego lento durante 20 minutos. Decorar con cilantro fresco y servir.",86af71e3-e16a-11ed-ba4c-a96d6180cd25,comida
Arroz con Pollo,https://www.mycolombianrecipes.com/es/arroz-con-pollo/,"2 pechugas de pollo con hueso y sin piel
1 cebolla larga
½ cebolla blanca
2 dientes de ajo
½ cucharada de comino molido
½ cucharada de Sazón con azafran
1 hoja de laurel
Sal y Pimienta
2 cucharadas de aceite de oliva
½ taza de cebolla picada
1 diente de ajo picado
½ de taza de pimientón rojo picado
½ taza de pimientón verde picado
1 taza de arroz blanco
1 cucharada de pasta de tomate
1 tableta de caldo de pollo
2 ½ tazas de caldo de pollo
½ cucharada de Sazón con azafran
½ de taza de cilantro fresco picado
½ taza de arvejas congelados
½ taza de zanahorias cortadas en cuadritos
½ taza de habichuelas verdes congeladasy cortadas en cubitos","Coloque la pechuga de pollo, 5 tazas de agua y el resto de ingredientes para el caldo en una olla mediana.Poner a hervir, tapar y bajar el fuego a medio-bajo. Cocine durante 20 a 25 minutos. Apague el fuego y deje el pollo en la olla durante unos 15 minutos cubierto. Dejar enfriar, desmechar y reservar.
Colar el caldo de pollo y medir 2 y ½ tazas y reservarlo. En una olla mediana, caliente el aceite de oliva a fuego medio-alto. Añadir la cebolla, el pimentón verde, el ajo y el pimientón rojo. Cocine hasta que la cebolla estué transparente, unos 4 a 5 minutos.
Añadir el arroz, la pasta de tomate, el caldo de pollo y sazón. Revuelva hasta que el arroz esté bien cubierto unos 3 minutos. Añadir el caldo de pollo y poner a hervir. Luego, reduzca el fuego a bajo.
Tape y cocine a fuego lento durante unos 15 minutos. Añadir las arvejas, las zanahorias y las habichuelas y cocinar durante 7 minutos muás, añadir el pollo y el cilantro picado, mezclar bien con un tenedor, tapar y cocinar por 5 minutos muás.",86af71ef-e16a-11ed-a325-a96d6180cd25,comida
Arroz Apastelado,https://www.mycolombianrecipes.com/es/arroz-apastelado/,"1 libra de costillas de cerdo en trozos pequeños
1 libra de carne de cerdo cortado en trozos pequeños
Media taza de salsa de aliños ver receta aquí
1 cucharada de aceite vegetal o canola
1 cebolla roja pequeña finamente picada
Media taza de cebolla blanca finamente picada
1  tomate pelado y picado
5 dientes de ajo picados
Media cucharadita de achiote
2 tazas de arroz blanco
4 ½ tazas de agua
1 cucharada de pasta de tomate
½ cucharada de vinagre blanco
Media taza de habichuelas cortadas en trozos
Media taza de zanahorias en cubitos
Media taza de arvejas
Un cuarto de taza de aceitunas verdes
1 cucharada de alcaparras
Un cuarto de cucharadita de comino molido
Sal y pimienta negro al gusto","Pon el cerdo con la salsa de aliños, pimienta y sal en un tazón. Aliñe de dos a tres horas o toda la noche.
Colocar el aceite en una olla mediana y agregar las cebollas rojas, cebolla blanca, tomate, ajo y achiote. Cocine a fuego medio durante unos 7 minutos o hasta que las verduras estén suaves.
Agregue la carne de cerdo y saltear a fuego alto durante unos 6 minutos. Añadir el arroz, el agua, la pasta de tomate, vinagre y sal al gusto.
Llevar a hervir y una vez que el arroz estué hirviendo agregar las habichuelas, zanahorias, arvejas, aceitunas, alcaparras y comino molido. Revuelva bien y luego reducir el fuego a bajo. Tape y cocine a fuego lento durante unos 20 a 25 minutos o hasta que el arroz esté cocido.
Sirva con patacones o yuca frita, y una ensalada con aguacate.",86af71fd-e16a-11ed-959e-a96d6180cd25,comida
Arroz Atollado de Pescado,https://www.mycolombianrecipes.com/es/arroz-atollado-de-pescado/,"2 cucharadas de mantequilla
½ taza de cebolla finamente picada
2 cebollas largas picadas
1 pimentón rojo pequeño cortado en cubitos
1 taza de arroz
½ taza de caldo verduras o caldo de pescado
2 tazas de leche de coco
1 libra de mahi mahi cortado en pequeños trozos
½ cucharadita de comino molido
¼ cucharadita de achiote molido o color","Calentar la mantequilla en una olla mediana a fuego medio.
Agregue las cebollas y pimentón rojo. Cocine hasta que todo esté suave, aproximadamente 5 minutos.
Agregue el arroz, la sal y la pimienta y revuelva hasta que esté bien cubierto.
Agregue el caldo de verduras, achiote, leche de coco, pescado y comino molido. Mezclar bien.
Llevar a hervir durante unos 5 minutos, luego reducir el fuego a bajo. Tape y cocine por unos 25 a 30 minutos o hasta que el arroz es tierno.
Pruebe y ajuste la sazón. Dejar reposar durante unos 5 minutos, añadir cebolla larga picada y servir.",86af7217-e16a-11ed-a197-a96d6180cd25,comida
Arroz con Coco Blanco,https://www.mycolombianrecipes.com/es/arroz-con-coco-blanco/,"2 tazas de arroz de grano largo
4 tazas de leche de coco
2 cucharadas de azuúcar
1 cucharadita de sal","Coloque el arroz en una olla pequeuña, agregue la leche de coco, el azúcar y la sal.
Llevar a hervir a fuego medio-alto. Revuelva una vez, cubra y reduzca el fuego a bajo, cocinar por 20 minutos. No retire la tapa.
Retire la olla del fuego y deje que se asiente por 5 minutos. Esponjar el arroz con un tenedor y sirva inmediatamente.",86af724d-e16a-11ed-b080-a96d6180cd25,comida
Arroz con Coca-Cola,https://www.mycolombianrecipes.com/es/arroz-con-coca-cola/,"1 taza de arroz blanco
1 ½ taza de coca-cola
1 taza de agua
1 pastilla de caldo de pollo
2 cucharada de mantequilla o aceite
4 cucharadas de cebolla larga picada","Coloque el arroz lavado en una olla mediana; a continuación, añadir la mantequilla, la coca-cola, agua, caldo de pollo y cebolla.
Llevar a hervir a fuego medio alto. Revuelva una vez, tape y reduzca el fuego a bajo y cocine durante 20 minutos, retirar la olla del fuego y dejar reposar durante 5 minutos.
Esponjar el arroz con un tenedor y sirva inmediatamente.",86af724f-e16a-11ed-87ec-a96d6180cd25,comida
Arroz con Fideos,https://www.mycolombianrecipes.com/es/arroz-con-fideos/,"3 cucharadas de aceite vegetal o de oliva
⅔ taza de pasta de cabello de ángel en pedazos de 1 ½ pulgadas
1 taza de arroz blanco de grano largo
2 tazas de agua o 2 tazas de pollo o caldo de verduras
½ cucharadita de sal","En una olla pequeña, calentar el aceite a fuego medio. Añadir la pasta cabello de ángel y sofría por 2 a 3 minutos o hasta que la pasta esté dorada.
Añadir el arroz, revuelva con una cuchara de madera y sofría por 1 minuto. Añadir el caldo o agua, aumentar el fuego a alto y llevar a hervir. Añadir la sal, tapar y bajar el fuego a bajo y cocine por unos 20 minutos o hasta que el arroz esté tierno.
Retirar del fuego, dejar reposar durante 5 minutos y servir.",86af7253-e16a-11ed-a986-a96d6180cd25,comida
