title,url,ingredients,steps,uuid,categoria
Bocaditos de carne,https://www.recetasgratis.net/receta-de-bocaditos-de-carne-51833.html,"1 Paquete de obleas
150 gr de carne de ternera picada
1 Bolsa de queso rallado parmesano
1 Cebolla
2 Cucharada de ketchup Sal Pimienta Aceite de girasol","1 Ponemos en una sartén la cebolla pica dita y la hacemos unos minutos añadimos la carne picada que hemos sazonarlo con sal y pimienta y la cocinamos al final ponemos el queso parmesano , y la cucharadas de ketchup y reservamos. 
2 A parte abrimos el paquete de obleas y rellenamos con la mezcla que hemos echo y cerramos los bordes chafando con un tenedor para darle forma a las empanadillas y nos ponemos a freir con aceite de girasol escurrimos una vez echas y servimos",ac5bed20-2277-4f05-a6ab-f57b8768f1a0,comida
Bocaditos de salmón ahumado,https://www.recetasgratis.net/receta-de-bocaditos-de-salmon-ahumado-51587.html,"300 gramos de salmón ahumado.
200 gramos de queso crema.
2 cucharadas de orégano.
1 unidad de cebolla roja.
1 caja de galletas saladas. Sal. Pimienta.","1 Prealistar los ingredientes. 
2 En un bowl hondo adicionar el queso crema, el oregano, sal y pimienta.Mezclar con la ayuda de un batidor de mano hasta que se incorporen todos los ingredientes. 
3 Picar la cebolla morada en cuadros pequeños ( lo mas pequeño que pueda).Reservar. 
4 Adicionar la cebolla morada en la mezcla de queso crema y mezclar bien hasta que se incorporen todos los ingredientes. 
5 Con la ayuda de una espátula adicionar un poco de la mezcla anterior a cada una de las galletas, esparcir bien por toda la superficie de manera uniforme. 
6 Cortar el salmón en tiras delgadas y doblar un poco, adicionarlas encima de el queso crema con las galletas.Servir y decorar el plato con un poco de oregano espolvoreado encima.Disfrutar.",ae65fc25-d49e-4f7b-98c6-3248b768acd9,comida
Bocaditos de mar,https://www.recetasgratis.net/receta-de-bocaditos-de-mar-34305.html,Un paquete de tronquitos de mar cuatro o cinco rebanadas de pan(si es del día anterior mejor) un poco de perejil dos dientes de ajo tres huevos dos quesitos,"1 Se pica todo en una picadora o batidora potente y se moldean como croquetas,pero después se aplastan un poco y se enharinan. 
2 Se fríen en abundante aceite y se ponen sore papel absorbente. 
3 Frías también están buenísimos.",60fb7eb1-2ada-441a-a876-c90bc5f2dd97,comida
bocaditos de jamon y pimienta,https://www.recetasgratis.net/receta-de-bocaditos-de-jamon-y-pimienta-33105.html,una barra de pan/panecillos de canapes jamon pimienta negra mayonesa aceite de oliva perejil,"1 Se corta el pan en rebanadas ni pequeñas ni muy grandes. A continuaciónse echa mayonesa, después se echa una loncha de jamón. 
2 Seguidamente se echa un leve chorrito de aceite de oliva en cada bocado, después se echa la pimienta(un poco más de lo normal) y finalmente se pone el perejil. 
3 Esta receta también se puede hacer con salchichón.",de721915-aaf9-4d7c-9e25-43df5652d389,comida
BOCADITOS DE PATATA SOUFFLÉ,https://www.recetasgratis.net/receta-de-bocaditos-de-patata-souffle-29931.html,"3 cucharadas harina nuez moscada pizca de cayena en polvo
2 cucharadas parmesano rallado
1/2 vasito de leche
1 clara
2 yemas de huevo
6 patatas grandes Sal Una nuez de mantequilla","1 Lavar y pelar las patatas, cortar las patatas en cubos de cuatro centímetros e ir poniéndolas en un cuenco lleno de agua. Con un vaciador, retirar una bola del centro de la patata.Cocer las bases al vapor sobre un cestillo, con cuidado que no se rompan. Dejar enfriar completamente. En un cazo antiadherente, poner la mantequilla a tostar ligeramente con la harina; remover con varillas a medida que se agrega la leche poco a poco, hasta lograr una crema espesa. Sazonar con sal, cayena y nuez moscada. Retirar del fuego y mezclar con el queso rallado y las yemas de huevo, moviendo la crema hasta enfriarla. Colocar las bases de patatas sobre una fuente de horno ligeramente engrasada con mantequilla. Batir las claras a punto de nieve bien firme, con una pizca de sal e incorporar a la crema de queso. Introducir en una manga con boquilla estriada, y rellenar las patatas haciendo sobresalir la crema. Cocer en el horno precalentado a 200 °C durante cinco o diez minutos hasta que se hinchen y servir enseguida. Presentr entre hojas de escarola o las bolitas de patata sobrantes fritas y espolvorear de pimienta de cayena.",972af32c-1227-47d0-b0d1-bfede1200eb3,comida
Bocaditos de mejillones,https://www.recetasgratis.net/receta-de-bocaditos-de-mejillones-19126.html,"2 Kg. de mejillones (preferiblemente de roca)
1 vaso de leche evaporada
1 vaso de vino blanco
50 gr. de mantequilla
2 cucharadas de harina
1 huevo pan rallado aceite sal pimienta blanca","1 Poner los mejillones en un cazo con el vino y dejarlos hasta que estén abiertos. 
2 Quitarles las valvas, colar el caldo y reservarlo. 
3 Rehogar la harina en la mantequilla hasta que esté dorada. 
4 Añadir la leche evaporada y 1/2 vaso del caldo de los mejillones. 
5 Sazónalo con sal y pimienta y cocerlo durante 20 min. removiendo continuamente. 
6 Dejarlo enfriar. 
7 Bañar los mejillones en la bechamel tibia y dejarlos enfriar en un plato con un poco de harina. 
8 Repetir esta operación dos veces. 
9 Pasares por huevo batido y pan rallado y freírlos en abundante aceite muy caliente.",f0c2d5f6-e41c-426f-bbe1-c5b81a7094f9,comida
Bocaditos de Almejas,https://www.recetasgratis.net/receta-de-bocaditos-de-almejas-17895.html,"16 ud. almeja grande
200 ml. caldo de pescado
2 cuchara sopera mantequilla
2 cuchara sopera harina
1 ud. huevo Sal Pimienta blanca molida Nuez moscada","1 Abrir las almejas al vapor, quitar las conchas y reservar el caldo que han desprendido. 
2 Dorar la harina en la mantequilla, agregar el caldo de las almejas y el pescado y cocerlo a fuego suave durante 15 minutos, sazonarlo con sal, pimienta y nuez moscada. 
3 Bañar las almejas con esta salsa y colocarlas sobre un plato. Dejarlas reposar hasta que la salsa se haya enfriado. 
4 Pasar por harina, huevo batido y galleta picada quely. Freirlas en abundante aceite caliente hasta que estén doradas.",f0e7fead-a699-478a-92ae-0b7adf1fb43e,comida
Bocaditos de pimiento y pollo,https://www.recetasgratis.net/receta-de-bocaditos-de-pimiento-y-pollo-13782.html,"16 pimientos
2 pechugas de pollo
16 lonchas de jamón ibérico Aceite Pimienta negra Sal Para el puré de patatas
3 patatas grandes
1 yema de huevo
1 nuez de mantequilla
½ vaso de leche Agua","1 Pela, trocea y cuece las patatas en agua con sal durante 15-20 minutos. 
2 Escúrrelas y pásalas por el pasapurés, añade la yema de huevo, la mantequilla, la leche y mezcla bien. 
3 Limpia, corta las pechugas en 12 filetes y salpiméntalos. 
4 Enrrolla los filetes alrededor de los pimientos, pincha con un palillo y fríelos a fuego fuerte sin que se hagan del todo. 
5 Sácalos de la sartén y escúrrelos. 
6 Corta el rabito y retira las pepitas. 
7 Introduce el puré en una manga pastelera y rellena los pimientos. 
8 Colócalos sobre una placa e introduce en el horno 3 minutos a 180º c, para calentarlos. 
9 Para servir, coloca el jamón ibérico en el fondo de la bandeja y encima los bocaditos rellenos. 
10 Las patatas deben cocerse en agua fría y dejar que el agua se caliente gradualmente hasta que empiece a hervir. 
11 Es la mejor manera de cocer las patatas sin temor a que se abran o se rompan durante su exposición al fuego.",8e8261fc-6cfa-4f67-ba48-ba1e4b715346,comida
Bocaditos de batata-camote- relleno,https://www.recetasgratis.net/receta-de-bocaditos-de-batata-camote-relleno-11089.html,"2
1/2 libra de batatas (camote)cocida, peladas y hechas puré
3 tazas de migajas de pan frescas, cantidad dividida
1 taza de queso desmenuzado, mozzarella
1/4 cucharadita de polvo para hornear (baking soda)
3 huevos
1/2 cucharadita de sal
1/2 cucharadita de canela en polvo aceite para freír","1 MEZCLE las batatas (camotes), una taza de de las migajas de pan, el queso y el polvo de hornear hasta bien mezclados. 
2 Apartelo a un lado. 
3 BATA los huevos, la sal y la canela con un batidor de mano de alambre en un tazón llano hasta bien mezclados. 
4 FORME la mezcla de batatas (camote) en bolitas de 1 1/2 pulgadas. 
5 Mójelas en la mezcla de huevo y luego enrollelas en las 2 tazas restantes de migajas de pan hasta cubiertas uniformemente. 
6 CALIENTE el aceite a fuego mediano-alto en un sartén grande. 
7 Cuidadosamente agregue las bolitas en tandas.Dorélas y sirva calientitas. 
8 * Si desea un sabor picante sustituya la canela en polvo por chile en polvo.*",22ee6a48-f14d-42c2-9080-5d08d565fe2a,comida
Bocaditos para un aperitivo,https://www.recetasgratis.net/receta-de-bocaditos-para-un-aperitivo-9545.html,pan de miga fetas crema con roquefort nueces picadas mayonesa morrones bien picados fetas de jamon crudo anana panceta ahumada ciruelas descarozadas pollo cocido dados de queso dados de jamon manzanas,"1 Tomar la feta del pan de miga y untarla con la pasta de crema con roquefort espolvorear con las nueces y arrollar prender con un palillo. 
2 Pan de miga untar con mayonesa y morrones bien picados y arrollar. 
3 Tomar unos palillos y colocar una feta de jamon crudo arrollando el trozo de anana, colocar en el palillo una feta de panceta arrollando la ciruelas. 
4 Y por ultimo con palillos caene de pollo cocida con dados de jamon,queso,manzanas.",9284eb5b-59dd-43c4-8f30-f4c5c2235b49,comida
