title,url,ingredients,steps,uuid,categoria
Champiñones rellenos de huevo,https://www.recetasnestle.com.co/recetas/champinones-rellenos-de-huevo,"   1/2 cucharadita de SAZONADOR NATURISIMO MAGGI® (1.5 g)
      2 Hongos portobello (168 g)
      2 Huevos (100 g)
      2 rebanadas de pan integral (56 g)
      1 taza de papaya (140 g)
      2 cucharadas de queso cottage (28 g)
  ","    1.  Calienta el horno 10 minutos antes de la preparación.                  
2.  Coloca los hongos portobello en una charola con papel encerado, sazona con SAZONADOR NATURISIMO MAGGI®, la salsa inglesa,  Vierte un huevo dentro de cada hongo y hornea a 180 °C de 4 a 6 minutos.                  
3.  Sirve, acompaña con el pan integral, la papaya, el queso cottage y un delicioso NESCAFÉ Tradición.             ",,comida
Champiñones rellenos de huevo,https://www.recetasnestle.com.co/recetas/champinones-rellenos-de-huevo,"   1/2 cucharadita de SAZONADOR NATURISIMO MAGGI® (1.5 g)
      2 Hongos portobello (168 g)
      2 Huevos (100 g)
      2 rebanadas de pan integral (56 g)
      1 taza de papaya (140 g)
      2 cucharadas de queso cottage (28 g)
  ","    1.  Calienta el horno 10 minutos antes de la preparación.                  
2.  Coloca los hongos portobello en una charola con papel encerado, sazona con SAZONADOR NATURISIMO MAGGI®, la salsa inglesa,  Vierte un huevo dentro de cada hongo y hornea a 180 °C de 4 a 6 minutos.                  
3.  Sirve, acompaña con el pan integral, la papaya, el queso cottage y un delicioso NESCAFÉ Tradición.             ",,comida
Champiñones rellenos de verduras y queso cheddar,https://www.recetasgratis.net/receta-de-champinones-rellenos-de-verduras-y-queso-cheddar-62831.html,"8 Champiñones de buen tamaño
100 mililitros de Aceite de oliva
1 Cebolla pequeña picada
1 rama de Apio cortada en dados pequeños
2 dientes de Ajo picados
100 gramos de Tomates secos cortados en trocitos
50 gramos de Queso parmesano rallado
1 cucharada sopera de Orégano
4 cucharadas soperas de Hojas de albahaca picadas
100 gramos de Lonchas de queso cheddar
1 cucharadita de Sal
½ cucharadita de Pimienta negra molida","1 Precalentamos el horno a 180 ºC y cubrimos una bandeja con papel de horno. Hecho esto, limpiamos los champiñones quitándoles el tallo y limpiando bien el hueco para poder rellenarlos. Luego, los ponemos en la bandeja con el lado del tallo hacia arriba, salpimentamos y rociamos con un chorrito de aceite. 
2 Horneamos durante 15 minutos. Mientras tanto, preparamos el sofrito de estos deliciosos champiñones rellenos de verduras. Para ello, calentamos el aceite en una sartén, añadimos la cebolla, el apio y el ajo y freímos a fuego medio durante 20 minutos o hasta que las verduras estén tiernas. 
3 Añadimos los tomates secos y sofreímos durante unos minutos más. Retiramos del fuego y dejamos enfriar. 
4 Una vez frío, añadimos el parmesano, el orégano y la mitad de la albahaca, salpimentamos la mezcla. Después, rellenamos los champiñones y colocamos encima un trozo de queso cheddar. 
5 Volvemos a meter al horno los champiñones rellenos y los dejamos unos 10 minutos para que el queso se derrita. 
6 Servimos los champiñones rellenos de verduras y queso rociándolos con un chorrito de aceite por encima. Sin duda, se trata de una receta fácil, rápida y deliciosa que encaja a la perfección con prácticamente cualquier tipo de plato, como un filete de bacalao en salsa, pollo al vermut o una hamburguesa de quinoa si se sigue una dieta vegetariana. Si quieres descubrir más recetas sencillas como esta, ¡pásate por mi blog La cocina de Catina!",83f92ec3-eaac-435a-a645-82046bdb5139,comida
Champiñones rellenos de bacon y queso azul,https://www.recetasgratis.net/receta-de-champinones-rellenos-de-bacon-y-queso-azul-57604.html,"6 unidades de Champiñones
1 loncha de Bacon
1 cuña de Queso azul
1 tarro de Sobrasada
1 chorro de Aceite de oliva
1 pizca de Perejil
1 chorro de Zumo de limón","1 Lo primero que debes hacer para poder elaborar esta receta de setas rellenas es limpiar los champiñones y retirar el tallo con mucho cuidado. No debes cortarlo, solo tirar de él con los dedos para conseguir que salga y quede un hueco en el champiñón. Coloca los champiñones en una bandeja apta para horno. 
2 Aparte, corta el bacon en tiras finas. Para no desperdiciar los tallos que retiraste de los champiñones, puedes incluirlos también en la bandeja y hornearlos para consumirlos. 
3 Luego, rellena cada uno de los champiñones con los trozos de tocino, de manera que todos tengan la misma cantidad. 
4 Ahora es el turno del queso azul. Nosotros hemos optado por un roquefort, pero tú puedes emplear el que más te guste. Simplemente corta un trozo pequeño y colócalo sobre las tiras de bacon. La cantidad de queso azul irá en función del gusto de cada cocinero. 
5 Para dar un toque extra a los champiñones rellenos, hemos querido incorporar un poco de sobrasada. Como es opcional, si no te gusta este ingrediente simplemente elimínalo de la receta, o sustitúyelo por otro de tu agrado. Asimismo, puedes añadir queso rallado si así lo deseas. 
6 Añade unas gotas de zumo de limón sobre el relleno de los champiñones, o bien prepara una vinagreta de limón con el zumo, aceite de oliva y una pizca de sal. Si optaste solo por el zumo, añade un chorrito de aceite de oliva a cada champiñón. 
7 Espolvorea un poco de perejil, romero o tomillo para dar un toque de aroma a los champiñones rellenos de bacon. Precalienta el horno a 200ºC, solo con calor abajo. 
8 Hornea los champiñones rellenos durante 15 minutos, o hasta que veas que el queso azul está fundido y las setas bien hechas. Cuando quede un minuto, apaga el horno y deja los champiñones dentro. 
9 ¡Listo! Sirve los champiñones rellenos de bacon y queso azul con el jugo que quedó en la bandeja. Puedes consumirlos para cenar, o servirlos como acompañamiento de un filete de ternera o pollo a la plancha.",53700873-dc36-4d9f-aa4a-47838624de62,comida
Champiñones a la cerveza,https://www.recetasgratis.net/receta-de-champinones-a-la-cerveza-57006.html,"200 gramos de Champiñones
250 gramos de Cerveza (que no sea muy amarga)
1 cucharada sopera de Maicena
1 diente de Ajo
1 cucharadita de Tomillo
100 gramos de Cebolla blanca
30 mililitros de Aceite de oliva
1 pizca de Sal
1 pizca de Pimiemta","1 Antes de realizar esta receta, el primer paso es alistar todos los ingredientes. 
2 En una sartén con aceite de oliva, sofreír la cebolla y el ajo, cortado finamente, hasta que ambos estén blandos. 
3 A continuación, agregar los champiñones cortados en cuartos y saltear hasta que estén dorados, salpimentar. 
4 Es momento de añadir la cerveza y cocinar a fuego medio hasta que el alcohol evapore y los champiñones absorban el sabor. 
5 Finalmente, disuelve la maicena en medio vaso de agua y agrega esto a la preparación. Mezcla muy bien, añade el tomillo seco y cocina a fuego bajo hasta que la salsa haya espesado lo suficiente. 
6 Los champiñones a la cerveza te pueden ayudar a darle un toque elegante a preparaciones más sencillas como un pollo a la plancha. Recuerda que, por su increíble sabor, también es una guarnición ideal para las comidas de Navidad y Año Nuevo. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.",6a8ff81b-100c-49f4-a6c9-527bd3f924d9,comida
Champiñones rellenos con huevos de codorniz,https://www.recetasgratis.net/receta-de-champinones-rellenos-con-huevos-de-codorniz-56964.html,"8 unidades de Champiñones
6 unidades de Huevos de codorniz
1 rama de Perejil fresco
1 diente de Ajo
2 lonchas de Jamón serrano
1 pizca de Sal
1 chorro de Aceite de oliva","1 Para preparar los champiñones rellenos con huevos de codorniz, debemos reunir todos los ingredientes. 
2 Picamos y sofreímos el ajo. Añadimos un par de champiñones picados, agregamos una pizca de sal y cocinamos durante un par de minutos. 
3 Quitamos el tallo del resto de champiñones, hacemos una cruz en la base de cada uno y doramos los champiñones por las dos caras. 
4 Rellenamos los champiñones con el sofrito de ajo y champiñón, y las tiras de jamón. Dejamos un hueco en el centro. 
5 Para terminar con este aperitivo fácil, colocamos los huevos de codorniz sobre cada champiñón y tapamos con papel de plata hasta que cuajen. 
6 Servimos nuestros champiñones rellenos con huevos de codorniz con perejil picado. ¡Veréis qué ricos están! Un entrante gourmet que seguro sorprenderá a todos. Si tenéis cualquier consulta o comentario, no dudéis en escribirnos.",7259e655-0369-498c-81be-3b19b9813565,comida
Champiñones caramelizados a la soja,https://www.recetasgratis.net/receta-de-champinones-caramelizados-a-la-soja-56269.html,"200 gramos de Champiñones
50 mililitros de Soya
40 gramos de Azúcar morena
1 cucharadita de Mantequilla
1 pizca de Sal
1 pizca de Pimienta","1 Antes de realizar esta receta, el primer paso es alistar todos los ingredientes. 
2 En una sartén agregar mantequilla y saltear los champiñones cortados en láminas. Cocinar durante unos minutos hasta que estén dorados, salpimentar. 
3 En un bol agregar la salsa de soja y revolver con el azúcar, hasta obtener una mezcla homogénea y ésta última se haya disuelto por completo. 
4 Agregar esta mezcla a los champiñones y cocinar a fuego medio durante 5 minutos, hasta que la salsa esté un poco espesa. 
5 Servir los champiñones caramelizados con soja y disfrutar. Este plato lo puedes comer solo con un poco de arroz blanco como las setas tandoori o utilizar para acompañar carnes como el magret de pato. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.",49c8aac0-b265-4098-8ee3-a7c79b86e9ee,comida
Champiñones al horno con tomate,https://www.recetasgratis.net/receta-de-champinones-al-horno-con-tomate-56209.html,"200 gramos de Champiñones
3 dientes de Ajo
3 unidades de Tomates frescos
1 pizca de Sal
1 pizca de Eneldo Aceite","1 Lo primero que debes saber para ponerte manos a la obra con esta receta de champiñones al horno es que las cantidades son aproximadas. Así pues, puedes añadir más champiñones si lo deseas, dientes de ajo o tomates. 
2 Limpia bien los champiñones y corta el tallo. Sécalos con un paño limpio y déjalos orear unos segundos. Aparte, forra una bandeja de horno con papel vegetal y baña el fondo con aceite. 
3 Coloca sobre la bandeja las cabezas de los champiñones boca abajo y los tallos cortados a lo largo. Pela los dientes de ajo, córtalos en láminas y distribúyelos por toda la bandeja. 
4 Pinta cada uno de los champiñones con aceite y hornéalos con el horno bien caliente. Cuando hayan pasado 10 minutos, retira la bandeja e incorpora los tomates troceados, aliña con sal, aceite y eneldo al gusto y hornea durante 15 minutos más, o hasta que los champiñones se tornen de color marrón y se vean arrugados. 
5 ¡Y listo! Puedes servir estos deliciosos champiñones al horno con tomate con patatas, una ensalada de espinacas, pasta, arroz, etc. Más recetas fáciles como esta en mi blog Cocina con Luz Verde.",d4c27fc3-7edf-4e6d-997e-1b90a59fb783,comida
Champiñones rellenos al horno,https://www.recetasgratis.net/receta-de-champinones-rellenos-al-horno-55735.html,"8 unidades de Champiñones
250 gramos de Gambas
200 mililitros de Nata
35%
1 unidad de Puerro
150 gramos de Queso rallado
15 mililitros de Aceite de oliva
1 pizca de Sal
1 pizca de Pimienta blanca","1 Para empezar con la preparación de esta receta fácil lo primero que debes hacer es lavar todos los ingredientes. Corta los troncos de los champiñones y corta finamente el puerro. 
2 Calienta un poco de aceite en una sartén y pon a sofreír a fuego lento el puerro y los troncos de los champiñones. Luego pica también las gambas y cuando el puerro este tierno, incorpóralas al sofrito, 3 Ahora le toca el turno a la nata y el queso rallado. Mezcla bien con una cuchara de madera y sazona con un punto de sal y pimienta. Remueve por unos 4 minutos. 
4 Salpimienta los cascos de champiñones. Luego rellena cada uno de ellos con el sofrito, como si fuesen un cuenco y colócalos en una bandeja para horno forrada con papel parafinado. 
5 Lleva la bandeja al horno precalentado a 220º y cocina por 15 minutos más o menos. Los champiñones rellenos deben quedar un poco dorados. 
6 Sirve los champiñones rellenos al horno de inmediato y si quieres coloca algunos chips de patata o maíz triturados por encima para decorar. Este plato puedes servirlo como aperitivo o como plato principal acompañando con una buena ensalada césar, por ejemplo. No olvides visitar mi blog Sabor en Cristal donde encontrarás muchas más recetas como esta.",b53ec740-b7a7-44d9-89d4-e4484fe6f660,comida
Champiñones al horno light,https://www.recetasgratis.net/receta-de-champinones-al-horno-light-52892.html,"300 gramos de Champiñones
120 mililitros de Salsa de soja baja en sodio
1 puñado de Tomillo seco
1 cucharada postre de Pasta de ajo
1 pizca de Pimienta
1 cucharada sopera de Aceite de oliva","1 Para empezar a realizar nuestra receta de champiñones al horno light, el primer paso es prealistar todos los ingredientes.Lo ideal en esta receta es utilizar una salsa soya baja en sodio que no contenga mas de 150 mg de sodio en total. También, recuerda que la pasta de ajo es un preparado de ajos machacados con aceite que puedes hacer de forma casera. 
2 Cortar los champiñones en láminas. 
3 Adicionar los champiñones cortados en láminas en un molde refractario para poder llevar al horno y realizar nuestra receta de champiñones el horno light. 
4 Adobar los champiñones con la salsa soja, aceite de oliva, tomillo, pasta de ajo y pimienta al gusto. Mezclar bien para integrar los ingredientes. Llevar aun horno a 120 grados centígrados durante unos 10 a 15 minutos controlando bien la preparación. Lo ideal es que no se seque si no que los champiñones se cocinen en el jugo del marinado. 
5 Servir los champiñones al horno light como acompañante de cualquier tipo de comida. Te recomendamos completar una dieta ligera acompañando esta receta fácil junto a platos especial para perder peso como muslos de pollo al horno o una deliciosa hamburguesa de atún.",1b094840-ccb0-4130-968d-dd0fb22cacd1,comida
