title,url,ingredients,steps,uuid,categoria
Enchiladas costeñas,https://www.recetasgratis.net/receta-de-enchiladas-costenas-56402.html,"½ kilogramo de Tortilla
1 taza de Aceite vegetal
1 cucharada sopera de Sal
1 kilogramo de Papa
1 pieza de Cebolla
2 dientes de Ajo
10 piezas de Chile guajillo
1 cucharada sopera de Sal
3 rodajas de Jitomate","1 El primer paso para hacer nuestras enchiladas mexicanas será lavar las papas, jitomate, cebolla y los chiles. Cocemos las papas con suficiente agua durante veinte minutos o hasta que estén suaves. 
2 Pelamos y agregamos una cucharada de sal antes de machacar las papas. 
3 Limpiamos, desvenamos y cocemos los chiles guajillos junto con la cebolla, sal y el diente de ajo. Coloca suficiente agua hasta que los cubra, y cocina por diez minutos o hasta que los chiles se suavicen. 
4 Licuamos los chiles, colamos y vaciamos la salsa en una sartén ya caliente con una cucharada de aceite vegetal. Sofreímos. 
5 Sumergimos las tortillas de maíz una por una en la salsa y pasamos a un sartén ya caliente con suficiente aceite para freírlas ligeramente. 
6 Rellenamos cada tortilla con las papas machacadas y servimos mientras está caliente. Disfruta las enchiladas costeñas acompañadas con crema agría, queso rallado y con rebanadas de cebolla y jitomate.",23e1a9d4-ffe0-4609-b9ab-10a1ec791d56,comida
Enchiladas coahuilenses,https://www.recetasgratis.net/receta-de-enchiladas-coahuilenses-56084.html,"12 unidades de Tortillas de maíz
100 gramos de Queso asadero
4 cucharadas soperas de Manteca vegetal
50 gramos de Chile ancho
2 unidades de Cebolla
3 dientes de Ajo
1 unidad de Bolillo
½ barra de Chocolate
¼ cucharadita de Canela
½ cucharadita de Azúcar
¼ cucharadita de Pimienta
1 pizca de Sal de grano","1 Antes de preparar esta comida mexicana, haremos nuestro mise en place, lo que en el argot culinario significa ""cada cosa en su lugar"". Así pues, dejamos listos todos los ingredientes antes de disponernos a cocinar. 
2 Una vez que las cebollas estén lavadas, picamos una finamente y la otra solo por la mitad. Reservamos la que está en mitades para hacer el mole y la cebolla picada para acompañar las enchiladas coahulienses. 
3 Se lavan los chiles anchos y se cortan a lo largo para sacarles las venas y semillas, se meten a remojar en un tazón con agua a cubrir durante 20 minutos. Truco: Antes de manipular cualquier chile se deben untar los dedos con aceite de cocina para evitar que se arda la piel. 
4 En un tazón aparte, metemos el bolillo a remojar con suficiente agua (que lo cubra). 
5 Después se escurre el agua, se aplasta el pan con las manos limpias para exprimir el exceso de agua y se desmenuza. 
6 En una sartén con una cucharada de manteca ya derretida a fuego medio se fríe el pan desmenuzado, sin dejar de mover para que se fría parejo y, cuando esté bien frito, se vacía en un tazón. 
7 Pasados los 20 minutos escurrimos bien el agua de los chiles y licuamos junto con la media cebolla, los ajos pelados, media tablilla de chocolate, un cuarto de cucharadita de canela molida, media cucharadita de azúcar, el bolillo desmenuzado y frito, un cuarto de cucharadita de pimienta, una pizca de sal al gusto y un chorrito de agua. Debe quedar una salsa espesa. 
8 Ponemos a fuego lento la misma sartén donde se frió el bolillo, agregamos tres cucharadas de manteca y cuando esté derretida se fríen brevemente las tortillas de maíz, estas deben quedar suaves. Se sacan y se ponen en un colador plano colocado a su vez sobre un platón para que escurra el exceso de grasa. 
9 Para armar nuestras enchiladas sumergimos las tortillas en el mole con ayuda de unas pinzas y colocamos de tres en tres dobladas a la mitad por cada plato individual (o más, dependiendo del apetito del comensal). 
10 A las enchiladas coahulienses únicamente se les pone encima queso rallado y una cucharadita de cebolla picada, por lo que es importante no agregar más guarniciones si deseas seguir la receta original.",4a7c32b0-a342-4ca4-b82a-e64684b5a697,comida
Enchiladas hondureñas,https://www.recetasgratis.net/receta-de-enchiladas-hondurenas-15793.html,"10 tortillas un repollo
1 lb de carne molida ya sea de cerdo o de res
1 cebolla grande
1 chile verde de
3 a
4 huevos cocidos queso seco o parmesano rayado","1 Se fríen las tortillas en aceite muy caliente hasta que estén bien tostaditas, se prepara la carne con la cebolla, el chile y la sal especias al gusto y se cocina a fuego lento hasta que este lista se pica el repollo muy finito y se corta los huevos en rodajitas finas. 
2 Se prepara la salsa con sal al gusto y una vez todo preparado se le coloca la carne encima a las tortillas luego el repollo. Sobre el repollo se le rocía un poco de salsa, se le coloca una rodajita de huevo y se le esparce el queso rayado y a disfrutar de este rico plato típico hondureño no se arrepentirán se los aseguro. 
3 Tienen que preparar la salsa y la carne como suelen hacerle les quedará divino y si quieren pueden agregarle antes de comer salsa picante.",5b4d94df-aea5-407e-b11b-05348d47d46b,comida
Enchiladas michoacanas,https://www.recetasgratis.net/receta-de-enchiladas-michoacanas-33816.html,"½ kilogramo de Tortillas de maiz
5 unidades de Chiles huajillos
¼ unidad de Cebolla
1 cabeza de Ajo
1 pizca de Orégano
3 unidades de Jitomates
1 unidad de Papa cosida
½ unidad de Lechuga
1 paquete de Queso al gusto","1 Se ponen a hervir los chiles huajillos se muelen con medio ajo un cuanto de cebolla una pizca de oregano sal y un chorito de vinagre blanco,se cuela y se reserva, se ponen a coser los jitomates la papa el jitomate se muele con ajo cebolla oregano y vinagre, se reserva. 
2 En un sartén se pone un chorrito de aceite y cuando este caliente la tortilla se remoja al chile y se frie así tosas asta acabar de freir todas las tortillas, la lechuga se rebana y desinfecta en un plato se acomodan las enchiladas se les pone encima lechuga, la salsa de jitomate una rebanada de papa cocida una rebanada de jitomate crudo queso y si quieres chiles envinagre. 
3 Si deseas le puedes poner un bistek asado o una pieza de pollo dorada a las enchiladas michoacanas.",678c8ffa-d2bb-48e2-ba05-1d3569eabb6c,comida
Enchiladas Catrachas,https://www.recetasgratis.net/receta-de-enchiladas-catrachas-19360.html,"1 pizca de Sal
1 pizca de Sazonador
15 unidades de Tortillas de maíz grandes
1 kilogramo de Carne de res magra molida
¼ kilogramo de Queso blanco rallado
10 dientes de Ajo
1 unidad de Cebolla grande
1 unidad de Chile dulce
2 unidades de Papas medianas
1 manojo de Cilantro
7 unidades de Tomates grandes
1 botella de Aceite vegetal para freír
1 unidad de Cabeza de repollo
5 unidades de Huevos
4 cubos de Consomé de res","1 Se ponen a cocer los huevos y luego se cortan en rebanadas; se fríen las tortillas en aceite vegetal hasta que queden bien tostadas. 
2 La carne de res molida se pone a cocinar con las papas en cuadritos pequeños y se condimenta con dos cubos de consomé de res, el cilantro dos dientes de ajo, cebolla y chile dulce partidos en pedazos bien pequeños y sal al gusto, se cocina de forma tal que no quede con mucho liquido. 
3 Una vez preparado todo esto, se toman las tortillas fritas, se le coloca un poco de carne molida encima, luego un poco de repollo (que previamente se ha cortado bien fino), se adorna con una rodaja de huevo y otra de tomate y posteriormente se le coloca un poco de salsa (ver forma de preparación abajo), y por ultimo se le rocía con queso blanco rallado. 
4 Esto se come con unas gotas de chile al gusto de cada persona. 
5 Para la salsa, se ponen a cocinar los tomates en agua, hasta que están hirviendo, se dejan hervir por espacio de 5 minutos y luego se meten al chorro de agua fría, de esta forma se les desprende la cáscara de una manera bien fácil. 
6 Luego se licúan junto con chile dulce , cebolla y cilantro bien picados; posteriormente se colocan en un poco de aceite de oliva caliente al cual se le han agregado unos 5 dientes de ajo machados y se condimenta con 2 cubos de consomé de res y sal al gusto.",bbb7d187-4233-4e61-9388-d7684accdeba,comida
Enchiladas de frijol,https://www.recetasgratis.net/receta-de-enchiladas-de-frijol-52220.html,"1 unidad de Cebolla
1 unidad de Tomate
1 unidad de Ají
1 pizca de Sal
1 lata de Frijoles en conserva
1 unidad de Lechuga
2 unidades de Tortilla de harina
4 lonchas de Queso","1 Alistar todos los ingredientes. 
2 Licuar los frijoles con su liquido en la licuadora hasta obtener una pasta cremosa. 
3 En un sartén con aceite muy caliente agregar la pasta de frijol y freír por unos 5 minutos luego bajar el fuego a medio y dejar que espese la salsa. 
4 Picar la cebolla en cuadros muy finos y el tomate sin pepas en cuadros, agregar un poco de sal limón y ají al gusto. 
5 Calentar las tortillas en una plancha, colocar una tajada de queso y cuando se derrrita el queso cubrir con la salsa de frijol. 
6 Colocar en el centro una linea de lechuga, cebolla y tomate junto con un poco de queso rallado y cerrar. 
7 Servir las enchiladas de frijol recién hechas y degustar con más salsa de frijol. Si te gusta la gastronomía mexicana estas recetas también te pueden gustar:Tostadas con polloSopa de frijolesNachos mexicanos",3e34e761-d5fe-4407-a157-26f0da626d8f,comida
Enchiladas rojas dulces de pollo,https://www.recetasgratis.net/receta-de-enchiladas-rojas-dulces-de-pollo-52275.html,"6 tortillas de maíz
1 pechuga de pollo grande
4 cucharadas soperas de mayonesa
1 cebolla morada
2 cebollas
1 pimiento rojo
½ pimiento amarillo
3 tomates
2 dientes de ajo
4 cucharadas soperas de azúcar moreno
150 gramos de queso rallado
1 aguacate
1 pizca de sal
1 pizca de pimienta","1 Reunir los ingredientes para empezar a hacer esta enchiladas dulces de pollo. 
2 Asar los pimientos para quemarles la piel y retirársela. 
3 Pelar los tomates, cortar los ajos, las cebollas y los pimientos en trozos medianos y la cebolla morada en juliana fina, y reservar esta última. 
4 Procesar las cebollas, los ajos y los pimientos hasta lograr una especie de puré. 
5 Incorporar los tomates pelados a la mezcla anterior y procesar. 
6 Añadir el azúcar moreno a la salsa de las enchiladas rojas. 
7 Llevar la salsa roja para enchiladas dulces a una sartén y freírla con un poco de aceite por 15 minutos. 
8 Cocer el pollo en abundante agua con sal, escurrirlo, dejar entibiar y desmenuzarlo. Condimentarlo con sal, pimienta e incorporarle la salsa mayonesa. 
9 Calentar las tortillas de maíz y rellenarlas con la preparación. 
10 En un plato colocar la salsa, luego los tacos, por encima el queso, la cebolla morada y pimienta negra recien molida. Acompañar las enchiladas dulces rojas con el aguacate. ¡Y a disfrutar!",92dbf7ce-a306-489b-86f7-15ff29e11df7,comida
Enchiladas de pollo con chile poblano,https://www.recetasgratis.net/receta-de-enchiladas-de-pollo-con-chile-poblano-61395.html,"½ pechuga de Pollo
16 piezas de Tortilla de maíz
2 piezas de Chile poblano
2 tazas de Crema ácida
½ taza de Leche entera
½ pieza de Cebolla blanca
1 diente de Ajo
300 gramos de Queso de hebra
1½ cucharadas soperas de Mantequilla
1 cucharada sopera de Consomé de pollo en polvo
1 cucharada sopera de Aceite","1 Para la preparación de estas enchiladas de pollo con chile poblano necesitaremos reunir todos los ingredientes primero. 
2 Vamos a comenzar poniendo a cocinar la pechuga de pollo en una cacerola con suficiente agua hirviendo, añadiendo un trozo de cebolla y una pizca de sal, y dejamos que se cueza a fuego alto. 
3 Una vez cocido el pollo lo deshebramos completamente y lo reservamos un momento. 
4 Por otro lado, ponemos a asar el chile poblano, y una vez se observe quemadito por toda su superficie, bajo el chorro del agua comenzamos a quitarle toda esta piel y a limpiarlo perfectamente, desvenándolo y quitándole las semillas. 
5 Una vez listos nuestros chiles poblanos, los colocamos en la licuadora junto con la crema ácida, la leche, la cebolla, el ajo, el consomé de pollo en polvo, una pizca de sal y pimienta, y licuamos todo hasta obtener una salsa homogénea para las enchiladas de pollo caseras. 
6 Esta salsa de chile poblano la colocamos en una pequeña cacerola en la que debemos derretir la mantequilla, y sobre esta mantequilla derretida y caliente añadimos la salsa y dejamos que se fría muy bien. Rectificamos de sazón y de ser necesario, añadimos alguna pizca más de sal o pimienta. Una vez lista nuestra salsa la retiramos del fuego y reservamos un momento. 
7 Ahora a nuestras tortillas de maíz les colocamos en su superficie un poco de aceite y dejamos que se doren ligeramente, rellenamos con el queso de hebra y doblamos las tortilla, así como se observa en la siguiente imagen. 
8 Ahora acomodamos nuestras enchiladas rellenas de queso sobre el plato para servir, las bañamos con la salsa de poblano y esparcimos un poco de pollo deshebrado sobre la salsa, o también podemos introducirlo dentro de las tortillas junto con el queso. Servimos nuestras enchiladas de pollo con chile poblano calientes y podemos acompañarlas con un poco de frijoles refritos.",d284059d-44cc-4d71-bac9-8d6645e20ba9,comida
Enchiladas del suelo tradicionales,https://www.recetasgratis.net/receta-de-enchiladas-del-suelo-tradicionales-50373.html,"12 tortillas para tacos, recién hechas
2 calabacitas regionales, picadas en cubitos escaldados y bañados en vinagre con sal
2 cucharadas de chile ancho molido
300 g de chorizo sinaloense (fresco)
4 hojas de lechuga, desinfectada y picada finamente
1/3 taza de queso cotija rallado
1 taza de agua purificada
3 rabanitos en rebanadas delgadas
1 cucharada de aceite vegetal
1/2 cucharadita de sal refinada Salsa mexicana picosa","1 Prepara una salsa de chile colorado mezclando el agua, el chile y la sal. 
2 Calienta a que suelte el hervor y deja enfriar. 
3 Calienta el aceite y fríe el chorizo, cuidando que quede suelto; separa el chorizo y reserva caliente. 
4 Pasa las tortillas por la salsa y caliéntalas en el aceite que quedó después de freír el chorizo. 
5 Reserva. 
6 Pon una cucharada de chorizo en las tortillas y la calabacita. 
7 Después, cúbrelas con las demás verduras y si lo deseas, salpica con vinagre; al final, espolvorea un poco de queso cotija rallado. 
8 Sírvelas acompañadas de salsa mexicana picante.",df6708fd-4ae1-4399-845d-9e5e21c90fb3,comida
Enchiladas típicas Norteñas,https://www.recetasgratis.net/receta-de-enchiladas-tipicas-nortenas-50372.html,"12 unidades de Tortillas
1 pizca de Comino molido
¼ unidad de Cebolla
3 unidades de Chiles cascabel
2 unidades de Chiles anchos
1 taza de Queso fresco rallado
1 botella de Aceite para freír
¼ taza de Leche a temperatura ambiente
1 pizca de Sal
1 pizca de Pimienta","1 Se pica la cebolla lo mas finamente posible y se revuelve con el queso. 
2 Se ponen los chiles a hervir en un poco de agua. 
3 Cuando estén suaves se muelen con un poco de agua, sal, comino y pimienta. Se les agrega la leche. En un sartén se calienta aceite. 
4 Cada tortilla se baña con la salsa, se escurre un poco y se pasa al aceite a que se caliente. 
5 De esta forma salta mucho el aceite, así que cuidado con las quemadas. 
6 Se rellenan las tortillas con el queso, se sirven con un poco lechuga y arroz. 
7 Si se quiere evitar la “saltadera” del aceite, se doran las tortillas sin salsa, se rellenan, se acomodan en el plato y encima se les pone una cucharada de salsa caliente y un poco de queso.",0c8688f3-73f1-43ef-a197-3d6f6de94111,comida
