title,url,ingredients,steps,uuid,categoria
Ensalada de Pollo a la Plancha con Aderezo de Mango y Chipotle,https://www.mycolombianrecipes.com/es/ensalada-de-pollo-a-la-plancha-con-aderezo-de-mango-y-chipotle/,"2  pechugas de pollo sin piel
½ cucharadita de comino molido
½ cucharadita de pimentón molido
½ cucharadita de ajo en polvo
½ cucharadita de cebolla en polvo
Sal y pimienta al gusto
2 cabezas de lechuga romana picada
1 taza de tomates uva cortados a la mitad
1 aguacate pelado y cortado en rodajas
½ pepino Inglés cortado en rodajas
½ taza de pimiento rojo asado cortado en rodajas
½ cebolla roja cortada en rodajas finas
¼ taza de cilantro fresco picado
1 taza de aderezo KRAFT de Mango y Chipotle","Caliente la parrilla a fuego medio. Coloque el comino molido, pimentón, ajo en polvo, cebolla en polvo, la sal y la pimienta en un tazón pequeño y mezcle bien.
Ponga las pechugas de pollo en un plato y espolvoree con la mezcla de condimentos cubriendo el pollo por todos lados.
Ase el pollo durante 5 minutos por cada lado. Luego deje que el pollo repose durante al menos cinco minutos antes de cortarlo.
Coloque la lechuga picada en un plato para ensalada o un tazón grande. Corte el pollo y ponga sobre la lechuga. Luego ponga los tomates, aguacate, pepino, pimientos rojos asados ​​y cebolla roja alrededor del pollo. 
5. Espolvoree el cilantro fresco en toda la ensalada. Rocíe el aderezo de chipotle y mango KRAFT y serva inmediatamente.",86af721a-e16a-11ed-8daa-a96d6180cd25,comida
Ensalada de Remolacha y Zanahoria,https://www.mycolombianrecipes.com/es/ensalada-de-remolacha-y-zanahoria/,"3 zanahorias peladas y partidas en rodajas
3 remolachas
½ cebolla blanca pequeña cortada en rebanadas finas
3 cucharadas de cilantro picado
4 cucharadas de aceite de oliva
2 cucharadas de vinagre blanco
El jugo de 1 limón
¼ cucharadita de comino molido
Sal y pimienta al gusto","Ponga las remolachas en una olla, cubrir con agua y sazonar con sal. Llevar a hervir a fuego alto y cocine hasta que estén blandas, unos 20 minutos. Cuando las remolachas esten lo suficientemente fríos como para manipularlas. Pelar y cortarlas en rodajas.
Ponga las zanahorias en rodajas en una olla con agua. Llevar a hervir a fuego alto y cocine hasta que estén blandas, unos 20 minutos.
Coloque todas las verduras en un plato y auñadir el cilantro picado. En un pequeño tazón mezcla el aceite de oliva, el vinagre, el limón, el comino, la sal y la pimienta. Agregue el aderezo a las verduras. Servir frío a temperatura ambiente.",86af7255-e16a-11ed-8134-a96d6180cd25,comida
Ensalada Simple,https://www.mycolombianrecipes.com/es/ensalada-simple/,"1 cabeza de lechuga romana picada
2  tomates maduros en rodajas
1 aguacate pelado y en rodajas
Media cebolla roja cortada en tajadas delgadas
¼ taza de cilantro fresco picado
1 pepino en rodajas
3 cucharadas de vinagre blanco
El jugo de 4 limones
Sal y pimienta al gusto","Organizar la lechuga en un plato grande, agregar las rodajas de tomates, cebollas, cilantro, pepino y aguacate en rodajas.
Rociar con el zumo de limón y el vinagre. Añadir sal y pimienta al gusto.",86af7258-e16a-11ed-ad35-a96d6180cd25,comida
Ensalada de Aguacate y Tomate,https://www.mycolombianrecipes.com/es/ensalada-de-aguacate-y-tomate/,"2  tomates maduros grandes, cortado en rodajas
½ cebolla roja pequeña, cortada en rodajas finas
1  pepino, cortado en rodajas
2 aguacates pequeños, cortado en cubos
2  limones
3 cucharadas de vinagre blanco
1 cucharada de aceite de oliva
¼ de cucharadita de sal
¼ cucharadita  de pimienta molida
2 cucharadas de cilantro fresco picado","En un tazón pequeño, mezcle el vinagre, el aceite de oliva, sal, pimienta, jugo de limón y el cilantro. Reserve.
Coloque la mitad de las rodajas de tomate en un plato grande, arriba de los tomates coloque la mitad de las rodajas de pepino, la mitad de la cebolla y la mitad de los de aguacate y repetir para hacer otra capa encima. Rocíe con el aderezo y servir.",86af7259-e16a-11ed-8379-a96d6180cd25,comida
Ensalada Rusa,https://www.mycolombianrecipes.com/es/ensalada-rusa/,"6 papas grandes peladas cocidas y cortadas en cubitos
1 taza de mayonesa
1 taza de zanahorias cocinadas en cubitos
1 taza de arvejas cocinadas
¼ taza de crema de leche
Sal y pimienta al gusto
½ taza de cebolla rallada
¼ taza de cilantro fresco picado o perejil
½ cucharadita de comino molido
¼ cucharadita de pimentón molido
El jugo de ½ limón","En un tazón pequeño mezcle la mayonesa, la crema de leche, jugo de limón, sal, pimienta y comino. Pongala a un lado.
Coloque las papas en un tazón grande, agregue las cebollas, las zanahorias, las arvejas y el cilantro. Añadir la mezcla de mayonesa y mezcle bien. Refrigere hasta que esté listo para servir. Servir frío o a temperatura ambiente.",86af725b-e16a-11ed-acb6-a96d6180cd25,comida
Ensalada de Remolacha y Zanahoria,https://www.mycolombianrecipes.com/es/ensalada-de-remolacha-y-zanahoria/,"3 zanahorias peladas y partidas en rodajas
3 remolachas
½ cebolla blanca pequeña cortada en rebanadas finas
3 cucharadas de cilantro picado
4 cucharadas de aceite de oliva
2 cucharadas de vinagre blanco
El jugo de 1 limón
¼ cucharadita de comino molido
Sal y pimienta al gusto","Ponga las remolachas en una olla, cubrir con agua y sazonar con sal. Llevar a hervir a fuego alto y cocine hasta que estén blandas, unos 20 minutos. Cuando las remolachas esten lo suficientemente fríos como para manipularlas. Pelar y cortarlas en rodajas.
Ponga las zanahorias en rodajas en una olla con agua. Llevar a hervir a fuego alto y cocine hasta que estén blandas, unos 20 minutos.
Coloque todas las verduras en un plato y auñadir el cilantro picado. En un pequeño tazón mezcla el aceite de oliva, el vinagre, el limón, el comino, la sal y la pimienta. Agregue el aderezo a las verduras. Servir frío a temperatura ambiente.",86afb053-e16a-11ed-b975-a96d6180cd25,comida
Ensalada Simple,https://www.mycolombianrecipes.com/es/ensalada-simple/,"1 cabeza de lechuga romana picada
2  tomates maduros en rodajas
1 aguacate pelado y en rodajas
Media cebolla roja cortada en tajadas delgadas
¼ taza de cilantro fresco picado
1 pepino en rodajas
3 cucharadas de vinagre blanco
El jugo de 4 limones
Sal y pimienta al gusto","Organizar la lechuga en un plato grande, agregar las rodajas de tomates, cebollas, cilantro, pepino y aguacate en rodajas.
Rociar con el zumo de limón y el vinagre. Añadir sal y pimienta al gusto.",86afb054-e16a-11ed-893c-a96d6180cd25,comida
Ensalada de Aguacate y Tomate,https://www.mycolombianrecipes.com/es/ensalada-de-aguacate-y-tomate/,"2  tomates maduros grandes, cortado en rodajas
½ cebolla roja pequeña, cortada en rodajas finas
1  pepino, cortado en rodajas
2 aguacates pequeños, cortado en cubos
2  limones
3 cucharadas de vinagre blanco
1 cucharada de aceite de oliva
¼ de cucharadita de sal
¼ cucharadita  de pimienta molida
2 cucharadas de cilantro fresco picado","En un tazón pequeño, mezcle el vinagre, el aceite de oliva, sal, pimienta, jugo de limón y el cilantro. Reserve.
Coloque la mitad de las rodajas de tomate en un plato grande, arriba de los tomates coloque la mitad de las rodajas de pepino, la mitad de la cebolla y la mitad de los de aguacate y repetir para hacer otra capa encima. Rocíe con el aderezo y servir.",86afb055-e16a-11ed-918d-a96d6180cd25,comida
Ensalada Rusa,https://www.mycolombianrecipes.com/es/ensalada-rusa/,"6 papas grandes peladas cocidas y cortadas en cubitos
1 taza de mayonesa
1 taza de zanahorias cocinadas en cubitos
1 taza de arvejas cocinadas
¼ taza de crema de leche
Sal y pimienta al gusto
½ taza de cebolla rallada
¼ taza de cilantro fresco picado o perejil
½ cucharadita de comino molido
¼ cucharadita de pimentón molido
El jugo de ½ limón","En un tazón pequeño mezcle la mayonesa, la crema de leche, jugo de limón, sal, pimienta y comino. Pongala a un lado.
Coloque las papas en un tazón grande, agregue las cebollas, las zanahorias, las arvejas y el cilantro. Añadir la mezcla de mayonesa y mezcle bien. Refrigere hasta que esté listo para servir. Servir frío o a temperatura ambiente.",86afb056-e16a-11ed-990c-a96d6180cd25,comida
Ensalada de Pollo a la Plancha con Aderezo de Mango y Chipotle,https://www.mycolombianrecipes.com/es/ensalada-de-pollo-a-la-plancha-con-aderezo-de-mango-y-chipotle/,"2  pechugas de pollo sin piel
½ cucharadita de comino molido
½ cucharadita de pimentón molido
½ cucharadita de ajo en polvo
½ cucharadita de cebolla en polvo
Sal y pimienta al gusto
2 cabezas de lechuga romana picada
1 taza de tomates uva cortados a la mitad
1 aguacate pelado y cortado en rodajas
½ pepino Inglés cortado en rodajas
½ taza de pimiento rojo asado cortado en rodajas
½ cebolla roja cortada en rodajas finas
¼ taza de cilantro fresco picado
1 taza de aderezo KRAFT de Mango y Chipotle","Caliente la parrilla a fuego medio. Coloque el comino molido, pimentón, ajo en polvo, cebolla en polvo, la sal y la pimienta en un tazón pequeño y mezcle bien.
Ponga las pechugas de pollo en un plato y espolvoree con la mezcla de condimentos cubriendo el pollo por todos lados.
Ase el pollo durante 5 minutos por cada lado. Luego deje que el pollo repose durante al menos cinco minutos antes de cortarlo.
Coloque la lechuga picada en un plato para ensalada o un tazón grande. Corte el pollo y ponga sobre la lechuga. Luego ponga los tomates, aguacate, pepino, pimientos rojos asados ​​y cebolla roja alrededor del pollo. 
5. Espolvoree el cilantro fresco en toda la ensalada. Rocíe el aderezo de chipotle y mango KRAFT y serva inmediatamente.",86afb059-e16a-11ed-a198-a96d6180cd25,comida
