title,url,ingredients,steps,uuid,categoria
Estofado de Res,https://www.mycolombianrecipes.com/es/estofado-de-res/,"2 libras de carne de res cortada en cubos
2 cucharadas de aceite vegetal
2 cucharadas de harina de trigo
1 diente de ajo picado
1 taza de cebolla blanca picada
2 zanahorias grandes cortadas en tajadas
Sal
4 tazas de caldo de carne
1 hoja de laurel
1 taza de salsa de tomate
½ cucharadita de comino en polvo
2 papas grandes peladas y cortadas en trozos pequeuños","Calentar el aceite en una olla grande a fuego medio. Añadir la cebolla, el ajo y cocine durante unos 4 minutos o hasta que las cebolla esté transparente.
Cubra los trozos de carne con la harina y añadir a la olla, revolviendo ocasionalmente, hasta que estén ligeramente dorados.
Agregue la salsa de tomate, caldo de carne, la hoja de laurel, sal, comino en polvo y llevar a hervir, baje el fuego a medio-bajo, tapar y dejar cocinar durante aproximadamente 1 hora y 10 minutos o hasta que la carne esté blanda.
Añadir las papas y las zanahorias. Tape y cocine por 30 minutos más o hasta que las papas y las zanahorias estén blandas. Servir con arroz blanco.",86af71c4-e16a-11ed-9cbf-a96d6180cd25,comida
Estofado de pollo con Vegetales,https://www.mycolombianrecipes.com/es/estofado-de-pollo-con-vegetales/,"1-1 / 4 libras de pechugas de pollo sin piel cortadas en trozos
Sal y pimienta
1 cucharadita de comino molido
½ cucharadita de achiote o color
2 cucharadas de aceite vegetal
1 cebolla amarilla mediana finamente picada
2 cebollas largas picadas
4 dientes de ajo picados
3 tazas de caldo de pollo
2 papas peladas y en cubitos
½ libra de yuca pelada y cortada en trozos pequeños
½ taza de arvejas congeladas
½ taza de zanahorias en cubitos
½ taza de habichuelas verdes cortadas en pedazos pequeños
¼ taza de cilantro fresco picado","Espolvorear uniformemente el pollo con sal, pimienta, achiote y comino en polvo.
Calentar el aceite en una sartén a fuego alto. Añadir la cebolla y cocine, revolviendo ocasionalmente, hasta que estén suaves, unos 3 minutos. Agregue la cebolla larga y el ajo y cocine por un minuto más.
Añadir el pollo, las papas, la yuca y el caldo, llevar a hervir, reduzca el fuego a medio y cocinar unos 20 minutos.
Añadir las arvejas, las habichuelas y las zanahorias, baje el fuego a medio-bajo y cocine hasta que el pollo y las verduras estén cocinadas, unos 10 minutos más. Añadir el cilantro fresco y se sazona con sal y pimienta si lo desea.",86af720e-e16a-11ed-a891-a96d6180cd25,comida
Estofado de carne,https://www.recetasnestle.com.co/recetas/estofado-de-carne,"   2 cucharadas de aceite (28 g)
      1 libra de carne de res cortada en cubos medianos (cadera, bola, centro de pierna)
 (500 g)
      1/2 cebolla cabezona blanca pelada y finamente picada (40 g)
      1 diente de ajo pelado y finamente picado (3 g)
      2 tomates rojos para guiso sin piel, finamente picados (240 g)
      1 sobre de CALDO CON COSTILLA MAGGI® DESMENUZADO (9 g)
      1/2 taza de vino tinto (125 ml)
      1 taza de agua (250 ml)
      1 hoja de laurel (2 g)
  ","    1.  Calienta el aceite por 3 minutos en una olla de fondo alto.                  
2.  Añade la carne a la olla y sofríe por 5 minutos o hasta que la carne este ligeramente dorada.                  
3.  Agrega la cebolla, el ajo y sofríe por 1 minuto más, adiciona el tomate, el cubo de CALDO CON COSTILLA MAGGI® DE LA HUERTA, el vino, el agua, la hoja de laurel y mezcla con una cuchara hasta integrar.                  
4.  Tapa la olla, baja el fuego al mínimo y cocina durante 30 o 40 minutos aproximadamente o hasta que la carne esté blandita.                  
5.  Retira la olla del fuego para luego servir en 4 platos iguales. Acompaña con ensalada.             ",,comida
Estofado de carne,https://www.recetasnestle.com.co/recetas/estofado-de-carne,"   2 cucharadas de aceite (28 g)
      1 libra de carne de res cortada en cubos medianos (cadera, bola, centro de pierna)
 (500 g)
      1/2 cebolla cabezona blanca pelada y finamente picada (40 g)
      1 diente de ajo pelado y finamente picado (3 g)
      2 tomates rojos para guiso sin piel, finamente picados (240 g)
      1 sobre de CALDO CON COSTILLA MAGGI® DESMENUZADO (9 g)
      1/2 taza de vino tinto (125 ml)
      1 taza de agua (250 ml)
      1 hoja de laurel (2 g)
  ","    1.  Calienta el aceite por 3 minutos en una olla de fondo alto.                  
2.  Añade la carne a la olla y sofríe por 5 minutos o hasta que la carne este ligeramente dorada.                  
3.  Agrega la cebolla, el ajo y sofríe por 1 minuto más, adiciona el tomate, el cubo de CALDO CON COSTILLA MAGGI® DE LA HUERTA, el vino, el agua, la hoja de laurel y mezcla con una cuchara hasta integrar.                  
4.  Tapa la olla, baja el fuego al mínimo y cocina durante 30 o 40 minutos aproximadamente o hasta que la carne esté blandita.                  
5.  Retira la olla del fuego para luego servir en 4 platos iguales. Acompaña con ensalada.             ",,comida
Estofado de cerdo con champiñones,https://www.recetasgratis.net/receta-de-estofado-de-cerdo-con-champinones-58394.html,"1 kilogramo de Cortadillo de puerco o carne picada de cerdo
½ kilogramo de Champiñones
1 unidad de Cebolla
2 unidades de Tomate
2 piezas de Chile jalapeño
3 cucharadas soperas de Jugo sazonador
1 pizca de Sal y Pimienta
2 dientes de Ajo
1 chorro de aceite
1 taza de Agua (240 mililitros)","1 Se pone a calentar el aceite en una olla con profundidad pequeña, una vez caliente se agrega la carne salpimentada para que se vaya dorando.Avanzada la cocción, cuando la carne ya esté dorada, se le agrega el ajo finamente picado y se tapa la olla. 
2 Después se le pone el jugo sazonador y la cebolla, previamente picada junto con el chile, también picado, para que se combinen los sabores. Tapa de nuevo la olla y cocina otros 10 minutos. Truco: También puedes añadir más verduras como patatas, zanahorias o guisantes. 
3 Pasado el tiempo, se le agrega el tomate cortado finamente junto con los champiñones y el agua. Continua la cocción con la olla tapada por al menos 10 minutos más. Rectifica sabor si es necesario. 
4 Sirve el estofado de cerdo con champiñones con una guarnición de espaguetis a la parmesana, patatas asadas con hierbas provenzales o sencillo arroz blanco. ¡Buen provecho!",ff4d49ed-aec0-41bc-892d-1b865c6a6789,comida
Estofado de ternera con patatas y zanahoria,https://www.recetasgratis.net/receta-de-estofado-de-ternera-con-patatas-y-zanahoria-58296.html,"600 gramos de Carne de ternera (falda)
4 unidades de Patatas grandes
1 unidad de Cebolla grande
3 dientes de Ajo
750 mililitros de Caldo de pollo
1 chorro de Aceite de oliva virgen extra
125 mililitros de Vino blanco
1 unidad de Zanahoria
1 hoja de Laurel
1 unidad de Pastilla de caldo de pollo
1 pizca de Sal
1 pizca de Azafrán
1 pizca de Pimienta","1 Poner un poco de aceite en una olla y calentar a fuego medio. Una vez esté el aceite caliente echar la carne y sofreír mientras se va removiendo. 
2 Una vez sellada, añadir un poco de sal y pimienta y remover, dejar hasta que se dore y entonces pasar a retirar y reservar la carne. 
3 En la misma olla, echar el ajo, la cebolla y sofreír. Una vez sofrita, añadir la carne y remover hasta mezclar todos los ingredientes. Añadir el vino, laurel y el cubito de caldo. Dejar evaporar el alcohol removiendo constantemente. 
4 Pasados aproximadamente 10 minutos, añadir el caldo de pollo calentado previamente y seguir removiendo. Tapar y esperar aproximadamente 45 minutos o hasta que la carne estofada esté tierna. Pasado ese tiempo, se retira la olla del fuego. 
5 Cortar las patatas en trozos no muy pequeños y añadirlas a la olla junto a la zanahoria, también troceada. Volver a poner al fuego, a fuego fuerte, y cubrir con agua o caldo caliente. Añadir sal al gusto, un poco de azafrán y remover. 
6 Se vuelve a tapar y se deja aproximadamente 25 minutos más hasta que las patatas estén tiernas. Después retirar y servir. Et voilá. ¡Y ya tenemos listo nuestro estofado de carne con patatas y zanahoria!A la hora servir esta deliciosa carne estofada puedes acompañar con un poco de arroz blanco o brócoli a la crema con parmesano.",f76481a6-f12a-436f-8eee-c7f1a6a90687,comida
Estofado de cordero con setas,https://www.recetasgratis.net/receta-de-estofado-de-cordero-con-setas-58370.html,"200 gramos de Cordero
150 gramos de Champiñones
2 unidades de Tomate
1 unidad de Cebolla
½ unidad de Pimiento rojo
1 chorro de Aceite de oliva virgen extra
1 pizca de Sal
1 pizca de Pimienta negra
½ litro de Caldo de verduras
½ vaso de Martini blanco","1 Aquí tenemos los ingredientes para este jugoso cordero estofado con setas. El martini blanco lo puedes sustituir por vino blanco (aunque ya he avisado de que es uno de los secretos de la receta). 
2 En primer lugar, en una sartén con un poco de aceite ponemos a sofreír el pimiento rojo y la cebolla, ambos cortados en juliana. Lo dejaremos a fuego medio durante unos 10 minutos, el pimiento rojo tarda en hacerse. 
3 A continuación, añadiremos la carne de cordero. En mi caso, se trata de costillas de cordero, que deshuesé pacientemente. 
4 Cuando la carne empieza a coger color, es el momento de agregar los tomates, cortaditos en dados. Dejaremos que se estofen con el resto de ingredientes durante unos minutos. En este punto el pimiento rojo ya debe estar totalmente hecho, bien blandito, y la carne totalmente dorada. 
5 Ahora especiamos el estofado de cordero con setas al gusto y añadimos el martini blanco y el caldo de verduras. Puedes verter más o menos caldo, en función de si quieres una receta de cordero con champiñones más o menos caldosa. Déjalo al fuego al menos unos minutos. 
6 Ya puedes servir este cordero con setas, acompañado de un buen vino tinto. Mi menú ese día se completó con una ensalada de queso de cabra y frutos rojos y un yogur de limón casero. ¿Con qué lo vas a acompañar tú? Déjanos un comentario y nos cuentas cómo te ha salido este cordero estofado.",c280ebd0-0900-4f00-9037-ac64d2ad93ef,comida
Estofado de ternera en salsa de tomate,https://www.recetasgratis.net/receta-de-estofado-de-ternera-en-salsa-de-tomate-58093.html,"450 gramos de Ternera
½ unidad de Cebolla
1 unidad de Zanahoria ¾ lata de Salsa de tomate
½ litro de Caldo de verduras
180 gramos de Arroz
1 chorro de Aceite
1 pizca de Sal
1 pizca de Perejil","1 Preparamos los ingredientes para el estofado de ternera en salsa de tomate. Podemos escoger estofado de ternera o bien un bistec y trocearlo nosotros mismos. Caldo de verduras casero (o una confección) y salsa de tomate serán los otros dos ingredientes principales, además de arroz. 
2 En una olla con agua ponemos a hervir el arroz, y mientras preparamos un sofrito que servirá de base de la salsa del estofado de ternera. Sofreímos la cebolla y la zanahoria en una sartén con un poco de aceite de oliva. 
3 A continuación añadimos a la sartén el estofado de ternera, y marcaremos bien la carne durante unos minutos a fuego medio. 
4 Añadimos ahora el caldo y dejamos que el estofado de ternera para niños se cueza lentamente. Es el momento de agregar una pizca de sal y perejil. Mientras, el arroz ya estará hervido y lo colaremos. 
5 Pasados unos 10 minutos, añadimos la salsa de tomate. La ternera en salsa de tomate ya va tomando forma: la dejaremos un 10 minutos más, como mínimo, para lograr que se evapore el líquido de la salsa de tomate. 
6 Cuando la salsa de tomate se haya reducido, añadimos el arroz y mezclamos bien. El estofado de ternera en salsa de tomate para niños ya está listo. 
7 Sirve el estofado para niños enseguida y deja que se lo zampen todo, ¡les va a encantar! Si prefieres una versión para mayores, te recomiendo este estofado de ternera al vino tinto.",40d80dd9-8b07-40e0-bc30-c5f2937a7cfa,comida
Estofado de carne de cerdo,https://www.recetasgratis.net/receta-de-estofado-de-carne-de-cerdo-46995.html,"1 kilogramo de Carne de cerdo
1 unidad de Cebolla
2 dientes de Ajo
2 unidades de Tomate maduro
2 hojas de Laurel
1 vaso de Vino blanco
1 pizca de Sal y Pimienta","1 El primer paso para preparar este estofado es cortar la carne de cerdo en cuadros de un bocado más o menos. Cortar finamente la cebolla, el tomate y el ajo. 
2 A continuación, calentar una olla a fuego medio y sofreír la carne con un poco de aceite. Cuando la carne empiece a dorar añadir la cebolla y el ajo. Remover para que se sofría el conjunto y se impregnen los sabores. 
3 Cuando la cebolla empiece a tornarse transparente, incorpora el tomate y el vino blanco a la preparación del estofado de cerdo. Añade también un poco de agua y las hojas de laurel, el líquido debe cubrir toda la carne. 
4 Deja cocer a fuego lento unos 20 minutos hasta el alcohol se haya evaporado y la salsa reduzca lo suficiente. Corrige la sazón con sal y pimienta. 
5 Sirve el estofado de carne de cerdo acompañado con arroz basmatí o patatas asadas.",a72d9fe8-0139-41e6-b51d-1a37cea66059,comida
Estofado de ternera con setas,https://www.recetasgratis.net/receta-de-estofado-de-ternera-con-setas-75027.html,"1 cebolla
½ pimiento
2 zanahorias pequeñas
½ lata de tomate triturado (200 g)
400 gramos de ternera a tacos
200 mililitros de aceite de oliva
250 gramos de setas variadas
1 vaso de vino tinto
2 vasos de caldo de carne o agua
1 taza de harina de trigo (140 gramos)
1 rama de romero","1 Enharina la carne y dórala en una olla con el aceite de oliva bien caliente. Retira la carne a un plato y resérvala. 
2 Pica la cebolla, la zanahoria y el pimiento en pequeños cubos y póchalo todo durante 5 minutos en la misma olla que has utilizado para dorar la cocina. 
3 Cuando las verduras estén pochadas, añade el tomate triturado y deja sofreír todo junto 5 minutos más. Es muy importante que vayas removiendo para evitar que se queme, ya que el sofrito es lo que aportará más sabor al estofado de ternera con setas. 
4 Mientras se hace el sofrito, en una sartén aparte saltea las setas durante 2 minutos para que suelten parte del agua. Apaga el fuego y reserva. Truco: también puedes hacer estofado de ternera con setas y castañas o alcachofas. 
5 Pasados los 5 minutos, añade de nuevo la carne a la olla, mezcla con cuidado y, seguidamente, vierte el vaso de vino tinto. Deja reducir el alcohol durante aproximadamente 1 minuto. El vino tinto es otra de las claves para conseguir un estofado de ternera con setas muy sabroso, por lo que no aconsejamos eliminarlo de la receta. ¡Ya casi está la receta de carne con setas! 6 Incorpora las setas, los dos vasos de agua o caldo y el romero a la olla. Salpimienta al gusto y tapa la olla. Deja cocer a fuego medio unos 40 minutos removiendo de vez en cuando. También puedes hacer el estofado de ternera con setas en olla rápida. En este caso, el tiempo será de 20 minutos. Truco: es importante ir removiendo para que no se queme ni se pegue en la base. 
7 ¡Ya estará listo para servir! Disfruta de esta increíble receta de estofado de ternera con setas estando aún caliente y no olvides cortar unas buenas rebanadas de pan de hogaza. Si quieres, puedes preparar tu propio pan con esta Receta de pan de hogaza.",c4505b3d-6dec-4a91-8333-33d240ef3cbc,comida
