title,url,ingredients,steps,uuid,categoria
Filete de merluza con vegetales,https://www.recetasnestle.com.co/recetas/filete-de-merluza-vegetales,"   1 cucharada de aceite vegetal (14 g)
      ½ zucchini verde cortado en tiras delgadas (110 g)
      1 taza de champiñones cortados en láminas (70 g)
      ½ pimentón rojo cortado en tiras delgadas  (80 g)
      1 cucharadita de SAZONADOR NATURISIMO MAGGI® (6 g)
      4 filetes de merluza (400 g)
  ","    1.  En un tazón mezcla el aceite junto con los vegetales y el SAZONADOR NATURISIMO MAGGI®, revuelve con la ayuda de una cuchara para integrar bien.                  
2.  Divide esta mezcla y ponla encima de cada filete de merluza en partes iguales, lleva a tú AIR FRYER a una temperatura de 180°C y cocina por 6 minutos.             ",,comida
Filete de pescado con puré de yuca,https://www.recetasnestle.com.co/recetas/filete-de-pescado-con-pure-de-yuca,"   1 cucharada de harina de trigo (13 g)
      ½ cucharadita de SAZONATODO MAGGI® (3 g)
      4 filetes de pescado de 200g cada uno      1 cucharada de aceite (14 g)
      1 libra de yuca pelada y cocinada (500 g)
      ¼ de cucharadita de SAZONATODO MAGGI® (2 g)
      1 cucharada de mantequilla (14 g)
      4 cucharadas de CREMA DE LECHE NESTLE® Light (60 g)
      ¼ de cucharadita de nuez moscada (1 g)
 opcional      4 cucharadas de mozzarella rallado (40 g)
  ","    1.  En un tazón mezcla la harina de trigo con el SAZONATODO MAGGI® y pasa esta mezcla por los filetes de pescados.                  
2.  Aparte calienta el aceite en una surten por 2 minutos a fuego medio, sofríe los filetes de pescado por lado y lado o hasta que estén cocinados y dorados                  3.  Precalienta el horno a 180°C/360°F. 
10 minutos antes.                  
4.  En un tazón añade la yuca cocinada, el SAZONATODO MAGGI®, la mantequilla, la CREMA DE LECHE NESTLE® Light y la nuez moscada, procesa todo hasta hacer un puré suave.                  
5.  Vierte el puré en el molde refractario y espolvorea el queso mozzarella encima.                  
6.  Lleva a horno por 10 minutos o hasta que gratine bien.                  
7.  Retira del horno, sirve el filete de pescado y acompaña con el puré.             ",,comida
Filete de salmón con puré de papa,https://www.recetasnestle.com.co/recetas/filete-de-salmon-con-pure-de-papa,"   2 taza de agua (500 ml)
      1 libra de papa criolla (500 g)
      3 cucharadas de CREMA DE LECHE NESTLÉ® (45 g)
      4 porciones de salmón pequeños  (400 g)
      1/2 cucharadita de SAZONADOR NATURISIMO MAGGI® (3 g)
      2 cucharadas de almendras trituradas (20 g)
      2 cucharadas de cereal para el desayuno CORN FLAKES NESTLÉ® (20 g)
      Ralladura de 1 naranja (20 g)
      1/4 de cucharadita pimienta negra  (1 g)
      1/2 cucharada de aceite  (7 g)
  ","    1.  En una olla mediana agrega las tazas de agua y las papas, cocina a fuego medio hasta que estén blanditas, retira del fuego, escurre y con ayuda de un tenedor tritura hasta volver puré, adiciona la CREMA DE LECHE NESTLÉ® y sigue triturando hasta que quede bien procesado.                  
2.  precalienta el horno a 180°C/360°F, 20 minutos antes de la preparación.                  
3.  Marina el salmón con el SAZONADOR NATURISIMO MAGGI®, aparte en un tazón mezcla el cereal para el desayuno CORN FLAKES NESTLÉ® un poco triturado con la ralladura de naranja, las almendras trituradas y la pimienta.                  
4.  En una lata para horno esparce el aceite y coloca los filetes de salmón, encima de cada filete pon un poco de la mezcla de cereal en partes iguales, lleva a horno por 9 minutos , o hasta que el salmón este bien cocinado y la costra de encima esté dorada y crocante.                  
5.  Retira el salmón del horno, sirve una cama de puré de papa y el filete de salmón encima, así hasta servir los 4 platos, todos en porciones iguales.             ",,comida
Filete de merluza con vegetales,https://www.recetasnestle.com.co/recetas/filete-de-merluza-vegetales,"   1 cucharada de aceite vegetal (14 g)
      ½ zucchini verde cortado en tiras delgadas (110 g)
      1 taza de champiñones cortados en láminas (70 g)
      ½ pimentón rojo cortado en tiras delgadas  (80 g)
      1 cucharadita de SAZONADOR NATURISIMO MAGGI® (6 g)
      4 filetes de merluza (400 g)
  ","    1.  En un tazón mezcla el aceite junto con los vegetales y el SAZONADOR NATURISIMO MAGGI®, revuelve con la ayuda de una cuchara para integrar bien.                  
2.  Divide esta mezcla y ponla encima de cada filete de merluza en partes iguales, lleva a tú AIR FRYER a una temperatura de 180°C y cocina por 6 minutos.             ",,comida
Filete de pescado con puré de yuca,https://www.recetasnestle.com.co/recetas/filete-de-pescado-con-pure-de-yuca,"   1 cucharada de harina de trigo (13 g)
      ½ cucharadita de SAZONATODO MAGGI® (3 g)
      4 filetes de pescado de 200g cada uno      1 cucharada de aceite (14 g)
      1 libra de yuca pelada y cocinada (500 g)
      ¼ de cucharadita de SAZONATODO MAGGI® (2 g)
      1 cucharada de mantequilla (14 g)
      4 cucharadas de CREMA DE LECHE NESTLE® Light (60 g)
      ¼ de cucharadita de nuez moscada (1 g)
 opcional      4 cucharadas de mozzarella rallado (40 g)
  ","    1.  En un tazón mezcla la harina de trigo con el SAZONATODO MAGGI® y pasa esta mezcla por los filetes de pescados.                  
2.  Aparte calienta el aceite en una surten por 2 minutos a fuego medio, sofríe los filetes de pescado por lado y lado o hasta que estén cocinados y dorados                  3.  Precalienta el horno a 180°C/360°F. 
10 minutos antes.                  
4.  En un tazón añade la yuca cocinada, el SAZONATODO MAGGI®, la mantequilla, la CREMA DE LECHE NESTLE® Light y la nuez moscada, procesa todo hasta hacer un puré suave.                  
5.  Vierte el puré en el molde refractario y espolvorea el queso mozzarella encima.                  
6.  Lleva a horno por 10 minutos o hasta que gratine bien.                  
7.  Retira del horno, sirve el filete de pescado y acompaña con el puré.             ",,comida
Filete de salmón con puré de papa,https://www.recetasnestle.com.co/recetas/filete-de-salmon-con-pure-de-papa,"   2 taza de agua (500 ml)
      1 libra de papa criolla (500 g)
      3 cucharadas de CREMA DE LECHE NESTLÉ® (45 g)
      4 porciones de salmón pequeños  (400 g)
      1/2 cucharadita de SAZONADOR NATURISIMO MAGGI® (3 g)
      2 cucharadas de almendras trituradas (20 g)
      2 cucharadas de cereal para el desayuno CORN FLAKES NESTLÉ® (20 g)
      Ralladura de 1 naranja (20 g)
      1/4 de cucharadita pimienta negra  (1 g)
      1/2 cucharada de aceite  (7 g)
  ","    1.  En una olla mediana agrega las tazas de agua y las papas, cocina a fuego medio hasta que estén blanditas, retira del fuego, escurre y con ayuda de un tenedor tritura hasta volver puré, adiciona la CREMA DE LECHE NESTLÉ® y sigue triturando hasta que quede bien procesado.                  
2.  precalienta el horno a 180°C/360°F, 20 minutos antes de la preparación.                  
3.  Marina el salmón con el SAZONADOR NATURISIMO MAGGI®, aparte en un tazón mezcla el cereal para el desayuno CORN FLAKES NESTLÉ® un poco triturado con la ralladura de naranja, las almendras trituradas y la pimienta.                  
4.  En una lata para horno esparce el aceite y coloca los filetes de salmón, encima de cada filete pon un poco de la mezcla de cereal en partes iguales, lleva a horno por 9 minutos , o hasta que el salmón este bien cocinado y la costra de encima esté dorada y crocante.                  
5.  Retira el salmón del horno, sirve una cama de puré de papa y el filete de salmón encima, así hasta servir los 4 platos, todos en porciones iguales.             ",,comida
Filete de ternera al vino tinto,https://www.recetasgratis.net/receta-de-filete-de-ternera-al-vino-tinto-38383.html,"6 filetes de Ternera medianos
12 hojas de Espinacas
12 rodajas de Queso manchego
6 rodajas de Jamón de York
500 centímetros cúbicos de Vino tinto
1 pizca de Pimienta
4 cucharaditas de Margarina
1 pizca de Sal","1 Para empezar a realizar esta receta de carne, salpimenta al gusto los filetes de ternera. 
2 Luego, coloca sobre cada filete una rebanada de jamón de York y dos de queso manchego. Enrolla los filetes con mucho cuidado y sujétalos con palillos de madera para evitar que el relleno se salga. 
3 Aparte, coloca la mantequilla en una sartén y ponla al fuego. Cuando esté caliente, pasa los filetes de ternera rellenos por la mantequilla para sellarlos, sin freírlos. 
4 Después, cubre los filetes con las hojas de espinacas y ponlos en un molde de borde alto. Vierte el vino tinto e introduce el recipiente en el microondas durante 15 minutos a temperatura máxima. En función del microondas, puede que se necesite más o menos tiempo. 
5 Cuando los filetes de ternera al vino tinto estén listos, sírvelos calientes con las hojas de espinaca, huevos escalfados, pasta carbonara, espárragos a la mantequilla, o lo que más te guste.",c798d0da-266d-4bf8-80d9-726016a3358e,comida
Filete de res al jalapeño,https://www.recetasgratis.net/receta-de-filete-de-res-al-jalapeno-38382.html,"1 kilogramo de Filetes de res
350 gramos de Nata o crema dulce
1 unidad de Cebolla amarilla
1 pizca de Sal
1 pizca de Pimienta
1 unidad de Pimiento o chile dulce
1 unidad de Jalapeño
100 centímetros cúbicos de Aceite de oliva
125 gramos de Margarina","1 Para hacer esta receta picante, es importante que pidas la carne en corte tipo churrasco. Adoba todos los filetes con pimienta y sal al gusto y deja que marinen por unos 10 minutos. 
2 Mientras, corta la cebolla en juliana muy delgada al igual que el chile dulce y el jalapeño. 
3 A continuación, para hacer las salsa de jalapeños, derrite la margarina en una sartén y la cebolla junto con la crema dulce. Luego agrega los chiles y deja reducir a fuego lento por unos 20 minutos. 
4 Aparte, calienta una sartén con un poco de aceite y sella la carne por ambos lados. Sellar la carne consiste en cocinar a fuego alto la carne, de forma rápida, para que se haga la parte exterior dejando el centro jugoso. 
5 Cuando todo esté listo, sirve los filetes y báñalos con la salsa jalapeña. Los filete de res al jalapeño son un exquisito plato con un toque picante y mucho sabor que podrás acompañar con un arroz blanco y una ensalada fresca de tomate.",a5bfedf8-eac6-4f52-a10a-63ed72e7345f,comida
Filete de res al vino tinto casero,https://www.recetasgratis.net/receta-de-filete-de-res-al-vino-tinto-casero-26716.html,"500 grs Filete de Res
1 lata de champiñones en trozos
100 g tocino
2 cucharadas Aceite de Oliva Vino Tinto Caja de palillos Sal Pimienta Negra Molida","1 En un sartén se agrega el aceite de oliva. 
2 Los Filetes se pueden cortar en largas tiras. 
3 Previamente se sazonan con sal y pimienta negra al gusto por ambos lados y se dejan reposar 10 min. 
4 Con los palillos amarramos el tocino a los filetes, una pieza de tocino en cada trozo de filete. 
5 Una vez hecho esto se ponen en el aceite y se sofrien. 
6 Después agregamos los champiñones y mezclamos el contenido. 
7 Por ultimo agregamos vino tinto y tapamos el sartén por 10min. 
8 Hay que checar que no se sequen,en todo caso agregamos mas vino.",db149386-c441-42f1-a9d0-b821cd9fd77c,comida
Filete de ternera con salsa de avellanas,https://www.recetasgratis.net/receta-de-filete-de-ternera-con-salsa-de-avellanas-20456.html,"4 solomillos de ternera de unos
200 gr. cada uno Dos cebollas cortadas muy pequeñas
2 tomates pelados y cortados en cuadritos
2 dientes de ajo muy picados Aceite
100 gr. de avellanas
100 ml. de vino blanco seco sal pimienta
50 ml. de nata","1 En una sartén con un poco de aceite freír los solomillos, una vez sazonados, cuando estén al punto de cada uno, a unos les gusta poco hecho y a otros bien hechos, se sacan y reservan, En el mismo aceite se sofríe la cebolla y el ajo. 
2 Cuando esté dorado, se añade el tomate y las avellanas picadas muy finas. 
3 Se deja cocer unos minutos y se añade el vino blanco. 
4 Se deja cocer durante 15 minutos más o menos. 
5 Sazonar. 
6 Se pasa por el colador. 
7 Se vuelve a poner al fuego, se deja hervir durante unos minutos, se comprueba el sazonamiento y se añade la nata. 
8 Dejar hervir 5 minutos. 
9 Colocar la carne en los platos y poner la salsa por encima. 
10 Nota: Si la salsa se pasa por la turmix y luego por el chino queda mejor de sabor.",7d8a4f93-8dcc-4163-927c-18881dd18850,comida
