title,url,ingredients,steps,uuid,categoria
Fondue de carne con salsas,https://www.recetasgratis.net/receta-de-fondue-de-carne-con-salsas-38431.html,"2 cucharadas de aceite de oliva
700 ccs de aceite vegetal
1 diente de ajo
1 kilo de carne de ternera en trocitos
400 gramos de encutidos variados
50 gramos de mostazas diferentes
1 pizca de pimienta roja
1 pizca de sal
50 gramos de salsa barbacoa
50 gramos de salsa bearmesa
50 gramos de salsa golf","1 Cortar la carne en trozos de 2 a 3 cm. Mezclarlos bien con sal, pimienta, aceite de oliva y el ajo bien machacado y macerarlos 5 horas en el frigorífico. 
2 Llenar la marmita metálica hasta la mitad con el aceite vegetal precalentado y encender la fuente de calor. Los trozos de carne se insertan en pinchos largos de madera y se fríen en el aceite. 
3 Una vez fritos al gusto se mojan en las salsas. Las salsas y las verduras al vinagre se sirven en platillos aparte.",517f11ee-972c-4041-9269-6ac6049699d1,comida
Fondue de lomo,https://www.recetasgratis.net/receta-de-fondue-de-lomo-28264.html,"Un kilo de lomo fresco de cerdo Un diente de ajo 2 cucharas soperas de aceite de oliva Sal Pimienta aceitunas zanahorias cebollitas pepinillos salsa barbacoa salsa bearnesa salsa golf mostazas variadas Aceite de oliva
0´
4º","1 Cortamos la carne en trozos de 2 a 3 centímetros. 
2 Mezclamos la carne bien con sal, pimienta, aceite de oliva y el ajo bien machacado y los dejamos macerar 5 a 8 horas en el frigorífico. 
3 Retiramos del frigorífico 1 hora antes de consumirlo. 
4 Secamos bien con un trapo de cocina para evitar salpicaduras durante la fritura. 
5 Llenamos la marmita metálica de la fondue hasta la mitad con el aceite de oliva calentado previamente en otra cazuela o sartén y conectamos la fuente de calor. 
6 Los trozos de carne se insertan en pinchos largos de madera y se fríen en el aceite. 
7 Las salsas y las verduras al vinagre se sirven en platillos aparte. 
8 Las salsas dada la variedad que tenemos que preparar es mejor comprarlas ya elaboradas.",a67e979f-eb31-4624-8e0f-299653c80d1a,comida
Fondue de queso,https://www.recetasgratis.net/receta-de-fondue-de-queso-27227.html,"450 g queso gruyere
3/4 taza(s) vino blanco seco
2 cch cognac
2 reb tostadas","1 Cortar el queso en trocitos y rociarlo con el vino. 
2 Dejar macerar durante 4 horas. 
3 Cocinar a baño María, a fuego suave, revolviendo continuamente hasta que el queso se funda. 
4 Agregar el cognac. 
5 Servir con tostadas.",9b2c853a-c916-426a-b070-4997cd9e426a,comida
Fondue de Ajo Porro,https://www.recetasgratis.net/receta-de-fondue-de-ajo-porro-26403.html,"2 tallos de ajo porro
6 cebollas
2 paquetes de queso crema
1 frasco de mayonesa peq.
100 grs. queso parmesano en trocitos
100 grs. queso pecorino en trocitos
100 grs. margarina
100 grs. tocineta
1 pan siciliano grande","1 Se pica la cebolla y los tallos de ajo porro en juliana, estos se sofríen en margarina, hasta que estén bien cocidos. 
2 Luego se le agrega la tocineta picada en trocitos y se deja cocinar; luego se le agrega el queso crema, la mayonesa, y los quesos y se mueve todo muy bien. 
3 Por último, se quita la parte superior del pan, haciendo una especie de tapa, se elimina un poco la masa de las paredes del pan. 
4 Se vacía la mezcla dentro del mismo, luego se tapa con la parte superior que se le quitó, se lleva al horno por 15 minutos.",88b1b795-5f99-41bc-9b50-29c6fb743a3b,comida
Fondue Neuchateloise,https://www.recetasgratis.net/receta-de-fondue-neuchateloise-15361.html,"150 gr. de queso Emmenthal
150 gr. de queso Gruyère
2 dl. de vino blanco Un poco de fécula de patata desleída en agua Pimienta Nuez Moscada
1 diente de ajo Trocitos de pan","1 Frotar bien la marmita de Fondue con un ajo, luego poner los quesos rallados que se dejaran derretir despacio, a fuego lento, con el vino blanco removiendo sin cesar, con una cuchara de madera. 
2 En cuanto se formen burbujas, añadir poco a poco el preparado de fécula y sazonar con sal, nuez moscada y un poco de pimienta. 
3 Servir la marmita así en la mesa sobre la lámpara de alcohol, y al mismo tiempo, servir los trocitos de pan, dispuestos ya por adelantado en los platos. 
4 Con los pinchos de fondue, pinchar un trocito de pan e introducirlo en la marmita, y cuando el pan esté completamente untado de la mezcla de quesos, se puede comer.",9304a7f0-cdc8-4739-9792-9b8bd6426429,comida
Fondue Neuchateloise con Gruyere,https://www.recetasgratis.net/receta-de-fondue-neuchateloise-con-gruyere-14475.html,"150 gr. de queso Emmenthal
150 gr. de queso Gruyère
2 dl. de vino blanco Un poco de fécula de patata desleída en agua Pimienta Nuez Moscada
1 diente de ajo Trocitos de pan","1 Frotar bien la marmita de Fondue con un ajo, luego poner los quesos rallados que se dejaran derretir despacio, a fuego lento, con el vino blanco removiendo sin cesar, con una cuchara de madera. 
2 En cuanto se formen burbujas, añadir poco a poco el preparado de fécula y sazonar con sal, nuez moscada y un poco de pimienta. 
3 Servir la marmita así en la mesa sobre la lámpara de alcohol, y al mismo tiempo, servir los trocitos de pan, dispuestos ya por adelantado en los platos. 
4 Con los pinchos de fondue, pinchar un trocito de pan e introducirlo en la marmita, y cuando el pan esté completamente untado de la mezcla de quesos, se puede comer.",2c2ee6e8-f299-4832-aeb1-3540c7c75654,comida
Fondue de carne,https://www.recetasgratis.net/receta-de-fondue-de-carne-11343.html,"800 gramos de Carne de res
½ litro de Aceite
1 hoja de Laurel","1 La carne debe estar cortada en cubos, perfectamente limpia sin grasa y sin pellejos (la carne ideal es el lomito) Se pone el aceite en el recipiente (Olla fonduesera), se enciende para que vaya calentando, (tambièn se puede calentar directamente sobre la cocina), se le agrega la hojita de laurel y una vez bien caliente, se lleva a la mesa. 
2 Cada comensal irà friendo uno a uno los trocitos de carne segùn su gusto. 
3 Se sirve acompañado de diferentes salsas y aunque no es imprescindible, queda requetebien acompañado de unas hermosas papas cocidas con su piel. 
4 A continuación les damos algunas sugerencias para las salsas, unas mas simples otras mas complicadas, todas pueden ser preparadas con anticipación, todas pueden ser susceptibles al cambio que su imaginación y creatividad les indique. 
5 SALSA Nº 1 3 cebollas, 2 dientes de ajo, 1 hoja de laurel, 6 cucharadas de aceite de oliva, 2 ramitas de tomillo fresco (o 1/4 cucharadita si es seco), 4 cucharadas de las de sopa, de vinagre de vino, 4 cucharadas de las de sopa, de miel, 1 cucharadita de mostaza, 200 gramos de concentrado de tomate, 1 vasito de vino blanco, 3 cucharadas de las de sopa, de salsa inglesa, sal, pimienta y unas gotas de Tabasco. 
6 En una cacerola caliente el aceite, ponga la cebolla bien picada y cocine a fuego suave. Añada el concentrado de tomate y el vinagre. 
7 Cuando comience a hervir agregue el resto de los ingredientes, cocine a fuego suave l5 minutos, o hasta que la salsa estè cremosa. 
8 Sazone con sal, pimienta y unas gotas de tabasco. 
9 Sirva caliente. 
10 SALSA Nº 2 150 gramos de queso roquefort. 
1 cebolla picada, 30 gramos de mantequilla, 1 vasito de vino blanco seco, 500 gramos de crema de leche fresca. 
11 En una cacerola ponga la mantequilla y cocine a fuego suave la cebolla bien picada, incorpore el vino y 5 minutos despuès la crema fresca, cocine hasta reducir a la mitad. 
12 Añada el queso, desbaratado con un tenedor, mezcle bien y sirva caliente. 
13 SALSA Nº 3 Sofrìa en 1/2 taza de aceite 1 cucharada, de las de sopa, de cebolla picada, agrèguele una lata de champiñone (mejor si son frescos) picados en laminas finas, 3 dientes de ajo picados, cocine todo 10 minutos, incorpore un pote de crema de leche (200 grms.) 14 Caliente y sirva. 
15 SALSA Nº 4 (ANCHOAS) 50 grms. de anchoas, 20 grms. de alcaparra en vinagre,dos vasos de aceite, dos dedos de vinagre, sal y pimienta. 
16 Se deshacen bien las anchoas en el vinagre hasta convertirlas en una papilla. 
17 A continuaciòn se incorporan las alcaparras picadas lo mas finamente posible y se añade lentamente el aceite meneando siempre a fin de obtener una salsita bastante densa y homogènea. 
18 Se sazona con muy poca sal y pimienta. 
19 Antes de servirla se pone al fuego en una cazuelita, a fin de tenerla bien caliente. 
20 NOTA: La fondue es un plato que reùne todas las cualidades de la buena cocina. 
21 Sencilla en su preparaciòn bàsica, el acompañamiento de mùltiples salsas le dan un toque refinado, exòtico y personal que pone en juego la creatividad, gratifica el paladar y acerca a los amigos. 
22 De carne, queso, pescado o chocolate. 
23 Se presenta en tantas formas como pueda crear la imaginaciòn. 
24 Para preparar la fondue es imprescindible el recipiente adecuado, los tenedores de mango largo con su marca individual, mucho pan francès, fresco o tostado o untado con mantequilla de ajo, y nunca, pero nunca, mas de ocho personas en torno a la marmita.",27f46673-c936-489a-aee4-d328c5f50e7e,comida
Fondue de emmental con champiñones,https://www.recetasgratis.net/receta-de-fondue-de-emmental-con-champinones-6919.html,"1 vaso de vino blanco
1 diente de ajo machacado
100 gr de queso emmental
100 gr de queso fymbo
100 gr de queso gruyère
1 cucharada de licor de cereza
2 cucharadas de maizena
5 gr de setas secas
10 gr de champiñones una pizca de paprika un toque de perejil una cucharada de estragon sal pimienta al gusto","1 Se calienta el vino en la fonducera, hasta que hierva. 
2 Se le agrega el ajo machacado. 
3 Se agregan las porciones de queso bien rallados. 
4 Se remueve constantemente con un cuchara de madera. 
5 Cuando alcance una consistencia bastante espesa, se le incorpora la maizena disuelta en agua y el licor de cereza. 
6 Finalmente, se colocan los champiñones y las hierbas. 
7 se adorna con un toque de paprika. 
8 Adicionalmente se le agrega la sal y la pimienta. 
9 Se acompaña con dados de pan blanco.",6087529e-2689-425b-8f37-72efd60ca647,comida
Fondue en pan de payés con Thermomix,https://www.recetasgratis.net/receta-de-fondue-en-pan-de-payes-con-thermomix-30979.html,"600 gramos de Pan de payés
300 gramos de Cebolleta
300 gramos de Mayonesa
250 gramos de Queso emmental
250 gramos de Queso de cabra semicurado
1 pizca de Pimienta recién molida","1 Lo primero que tienes que hacer para preparar esta fondue es reunir todos los ingredientes necesarios. 
2 El pan payés, por lo general, es un pan tipo bola con costra dura, así que si no consigues el auténtico pan de payés, puedes usar cualquier otro con esas características. Teniendo esto en cuenta, para empezar corta una tapa en la parte superior del pan y vacía la miga. Debe quedar como un cuenco. 
3 A continuación, aparte ralla los dos tipos de queso y mézclalos en un bol. Truco: Si no consigues el queso de cabra, puedes usar cualquiera que tenga un sabor fuerte y que se funda. 
4 Ahora, coloca las cebolletas medio troceadas en el vaso de la Thermomix y cúbrelas con un poco de agua. Programa la máquina a velocidad 5 por 30 segundos. 
5 Después, escurre las cebolletas ralladas utilizando el cestillo de la Thermomix y usa un poco de papel absorbente para retirar el exceso de agua. 
6 A continuación, devuelve las cebolletas al vaso y añade también la mayonesa, los quesos y la pimienta recién molida. Mezcla todo a velocidad 2 y ayúdate con la espátula para bajar lo que queda pegado en el vaso. Truco: Este relleno para fondue se puede conservar en el congelador hasta el día que queramos disfrutarlo. 
7 Comprueba que se haya mezclado todo bien y corrige la sazón de la mezcla de quesos con un poco de sal y pimienta si es necesario. Entonces, rellena el pan con esto y tápalo con la parte que se ha cortado del mismo pan, como si fuese un envase. Luego envuélvelo con papel de aluminio apretando bien por todos los lados. 
8 Para derretir el queso, precalienta el horno a 180ºC y cocina la fondue de pan de payés por 1 hora. Pasado ese tiempo, el queso ya se habrá derretido dentro del pan y podrás servirlo. Para comer, trocea la tapa de pan para formar cucharillas con él y así poder empezar a degustar la fondue. Truco: A medida que se vaya acabando la fondue, puedes ir cortando tiras de pan para continuar con la degustación. 
9 Disfruta con amigos de la exquisita fondue en pan de payés con Thermomix acompañado de un buen vino blanco. Y si quieres continuar con un postre exótico puedes probar la fondue de chocolate con frutas.",e54ae217-5235-46a4-864a-b9a2b4cac6a2,comida
Fondue de chocolate,https://www.recetasgratis.net/receta-de-fondue-de-chocolate-15360.html,"50 gramos de Mantequilla
250 gramos de Chocolate negro para fundir
1 vaso de Leche con
2 cucharadas de café soluble
150 mililitros de Crema de leche (¾ taza)
4 unidades de Mango
4 unidades de Manzana
4 unidades de Kiwi
4 unidades de Piña
2 puñados de Fresones","1 la fondue que aquí que te presentamos es realmente fácil y deliciosa. Primero, debemos fundir la mantequilla con el chocolate al baño María. La mantequilla es opcional, la utilizamos para dar un toque de brillo a la crema de chocolate. 
2 Cuando el chocolate se haya fundido, incorporamos la leche y la crema de leche, removemos y dejamos calentar unos minutos. Si la fondue no la van a tomar niños, puedes agregar una cucharada de ron. 
3 Cuando la mezcla esté lista, la servimos en un recipiente para fondue con la finalidad de mantenerla caliente en todo momento y con la consistencia adecuada. Si no tenemos este utensilio, podemos servirla en un recipiente hondo, pero tendremos que tener en cuenta que a medida que se vaya enfriando también se irá solidificando. 
4 Puedes acompañar tu fondue de chocolate con las piezas de fruta que quieras, yo he escogido las nombradas en el apartado de ingredientes. Simplemente debemos pelarlas y cortarlas en trozos fáciles de comer. Colocamos en la mesa palillos largos de madera para que cada comensal pueda pinchar el trozo de fruta que quiera y bañarlo en chocolate.",4b160723-e444-47ac-a5af-207063fb0b94,comida
