title,url,ingredients,steps,uuid,categoria
Frijoles Colombianos,https://www.mycolombianrecipes.com/es/frijoles-colombianos/,"3 tazas de frijoles cargamanto o pintos
½ libra de pezuña de cerdo
6 tazas de agua
1 taza de zanahorias ralladas
½ cucharadita de sal
½ plátano verde cortado en trozos pequeños
2 tazas de tomates cortados en cubitos
½ taza cebolla blanca, picada
¼ taza de cebolla larga picada
3 cucharadas de aceite vegetal
¼ de cucharadita de sal
1 diente de ajo picado
¼ taza de cilantro picado
¼ cucharadita de comino molido","Lave los frijoles y remojar toda la noche en agua fría. Escurrir los frijoles y colocar en una olla grande y agregue llas pezuñas de cerdo y el agua. A fuego medio-alto, llevar los frijoles a hervir, tapar la olla y baje el fuego a medio-bajo. Permita que los frijoles se cocinen hasta que estén casi blandos, aproximadamente 2 horas.
Cuando los frijoles se estan cocinando, preparar el guiso. En una sartén , caliente el aceite vegetal a fuego medio, agregue los tomates, las cebollas, la sal, el ajo, el cilantro y comino en polvo y cocer durante 10 a 15 minutos.
Cuando los frijoles estén casi tiernos, agregar el guiso, plátanos, zanahorias y sal. Tapar y cocinar durante una hora o hasta que los frijoles estén completamente cocidos. (Añadir más agua si es necesario).
Preparación usando una Olla de Cocción Lenta: Usar los mismos ingredientes, excepto sólo 4 tazas de agua en lugar de 6
Lave los frijoles y remojar toda la noche en agua fría. Escurrir los frijoles y colocarlos en una olla de cocción lenta, añadir 4 tazas de agua y las pezuñas de cerdo y cocine a temperatura alta durante aproximadamente 2 horas.
Siga el paso 2 en la receta olla regular. Añadir al guiso, plátanos, zanahorias y sal y luego cubra y cocine durante 3 horas más. Adicione sal al gusto y servir.",86af71e7-e16a-11ed-a87f-a96d6180cd25,comida
Frijoles Antioqueños,https://www.mycolombianrecipes.com/es/frijoles-antioquenos/,"1 libra frijoles cargamanto secos remojados durante la noche
1 libra de pezuñas de cerdo
1 plátano verde pelado y cortado en cubitos
2 zanahorias grandes peladas y cortadas en trozos
½ taza de salsa de aliños
1 cucharadita de comino
9 tazas de agua o más si es necesario
¼ taza de cilantro fresco
1 taza de hogao salsa criolla colombiana
Sal y pimienta al gusto","Escurrir los frijoles y colocar en una olla grande con las pezuñas de cerdo y agua. Se pone a fuego medio-alto, llevar a hervir, reduzca el fuego a bajo y cocine a fuego lento, sin tapar, cocinar por unos 20 minutos.
Añadir el plátano cortado en cubitos, zanahorias, aliuños y el comino. Cocine durante 1 hora aproximadamente. Agregue el hogao, el cilantro picado y sazone con sal y pimienta. Cocine durante 15 minutos muás o hasta que los frijoles estén tiernos.
Retire los trozos de pezuña de la sopa y dejar de lado hasta que enfríe lo suficiente como para poder tocarlos. Deseche la piel y los huesos y cortar la carne en pedazos y dejar de lado.
Retire las zanahorias de la sopa y colocar en una licuadora con 1 taza de la sopa. Mezcle hasta que quede suave y devolverla a la sopa de frijoles.
Sirva la sopa en tazones o cazuelitas, Agregue los trozos de pezuña de cerdo y servir inmediatamente con arroz blanco, ají y aguacate.",86af71e8-e16a-11ed-985a-a96d6180cd25,comida
Frijoles Rojos Colombianos,https://www.mycolombianrecipes.com/es/frijoles-rojos-colombianos/,"1 libra frijoles rojos remojados durante la noche
1 cebolla cortada en cubitos
3 cebollas largas picadas
5 dientes de ajo machacados
1 pimentón rojo cortado en cubitos
1 Pimentón verde cortado en cubitos
1 taza de tomates pelados y cortados en cubitos
½ cucharadita de polvo de achiote o color
1 cucharadita de comino molido
4 tazas de agua
4 tazas de caldo pollo carne de res o de verduras
2 zanahorias grandes peladas y en cubitos
¼ taza de cebolla picada
Cilantro o perejil
Sal y pimienta al gusto","Coloque la cebolla, cebolla larga, ajo, pimentón rojo, pimentón verde y el tomate en el procesador de alimentos. Procesar un par de minutos. Ponga a un lado.
En una olla grande a fuego medio, agregue los frijoles, el agua, el caldo, zanahorias, verduras y zanahorias procesadas. Ligeramente cubra y cocine a fuego lento durante 1 ½ horas.
Añadir el achiote, comino molido, sal y pimienta. Cocine durante otros 5 minutos, revolviendo ocasionalmente.
Cocine a fuego lento durante 30 a 40 minutos más o hasta que los frijoles estén tiernos. Sazone con sal y pimienta.",86af7201-e16a-11ed-a13e-a96d6180cd25,comida
FRIJOLES RELLENOS DE BISTEK,https://www.recetasgratis.net/receta-de-frijoles-rellenos-de-bistek-15365.html,"1 KILO DE FRIJOLES
1 KILO DE BISTECES
1 LUPA HUEVO","1 SE PONE A HERBIR LOS FRIJOLE A BAÑO MARIA DURANTE 10 HORAS. 
2 DESPUES EL KILO DE FRIJOLES OTRAS 10 HORAS A BAÑO MARIA Y SE BATEN LAS CLARAS DE HUEVO A PUNTO DE TURRON Y CON LA LUPA SE ABREN LOS FRIJOLES POR LA MITAD. 
3 SE RELLENAN DE BISTEK Y SE CAPEA CADA FRIJOL CON LA CLARA DE HUEVO Y LISTO SE SIR QUE NOSE DESESPEREN AL ABRIR LOS FRIJOLITOS.",cc61de48-095d-4748-abf9-5315fe592b09,comida
frijoles bayos,https://www.recetasgratis.net/receta-de-frijoles-bayos-37508.html,"frijoles bayos (olla expres) 1 kg de frijol pinto americano
1/2 cebolla
4-
6 dientes de ajo
1 ramita de epazote Sal","1 Remojar los frijoles una noche antes para q absorvan agua y tengan menos cocimientos. 
2 Se prepara la olla expres agregando un poco de aceite y se agrega la cebolla y el ajo se acitrona las dos cosas. 
3 Se agregan los frijoles a la olla con la cebolla y el ajo y se le agrega agua ( cuidando el nivel para que no queden muy aguados 3/4 a la olla de agua por 1 kg de frijol.) 4 se dejan por lo menos 45 minutos a presion. 
5 Una vez terminado el ciclo de la olla. 
6 Se le agrega la sal ( en el ultimo paso importante)y la ramita de epazote. 
7 Esperar a que se enfrien y colocarlos a la lumbre unos 10 minuts fuego medio.para que suelte el sabor.",18636c78-6961-4300-97dc-9545edd25955,comida
Frijoles de la olla,https://www.recetasgratis.net/receta-de-frijoles-de-la-olla-75447.html,"500 gramos de frijoles
3 litros de agua
1 trozo de cebolla
2 dientes de ajo pelados
1 pizca de sal al gusto
1 rama de epazote fresco","1 Preparar esta receta de frijoles de la olla es muy sencillo, así que vamos allá. Primero debes enjuagar muy bien los frejoles con un chorro de agua, para reducir el tiempo de cocción de los frijoles te recomendamos poner a remojar durante una noche o un mínimo 1 hora. Puedes omitir este paso, solo ten cuenta que podría demorar un poco más la cocción. Señalamos que los dos tipos de frijoles, los frijoles de bote o los frijoles naturales son aptos para esta receta casera. 
2 ¿Te preguntas cómo cocinar los frijoles? Pues bien, una vez remojados procede a pasarlos a la olla donde los cocinarás, retira el agua de los frijoles y vierte agua limpia. Señalamos que puedes usar una olla a presión, olla de barro u olla normal. 
3 Agrega el trozo de cebolla, los dientes de ajo, la rama de epazote y una pizca de sal, tapa y deja cocinar. Si utilizas olla a presión en cuanto comience a soltar el vapor debes contar 30 minutos, y si utilizas olla normal deja cocinar aproximadamente 1 hora o hasta que estén blandos. 
4 Pasado el tiempo de cocción, retira la cebolla, los dientes de ajo y las hojas de epazote, comprueba de sabor y si lo crees necesario añade un poco más de sal. Deja hervir solo aproximadamente unos 5 minutos más y estarán listos. Sirve los frijoles, puedes disfrutarlos solos en su propio caldo o servirlos como guarnición de algún platillo. ¡A comer!",dff70919-f074-4c88-a629-5c5f4aa1bbd8,comida
Frijoles verdes,https://www.recetasgratis.net/receta-de-frijoles-verdes-33190.html,"1 kilogramo de Frijoles verdes (en vaina)
1 unidad de Plátano verde
1 unidad de Zanahoria grande
1 kilogramo de Patas de cerdo
1 manojo de Cilantro
1 unidad de Cebolla blanca
3 unidades de Tomates maduros
3 cucharadas soperas de Aceite vegetal
2 cubos de Concentrado de caldo
1 pizca de Sal","1 Coge una olla grande a presión y agrega los frijoles verdes con tres litros de agua, aproximadamente. Incorpora sal al gusto, la zanahoria pelada y las patas de cerdo previamente lavadas. Deja que se cocine todo a fuego medio durante 40 minutos. Nosotros hemos utilizado estos ingredientes, pero si lo deseas puedes incorporar más como por ejemplo dos patatas y carne de ternera al gusto. 
2 Cuando los frijoles estén blandos, retira de la olla la zanahoria y las patas de cerdo para evitar que se deshagan. En otra olla aparte, prepara un guiso con el aceite, los tomates y la cebolla picada. 
3 Reserva el guiso anterior cuando esté listo y coge un recipiente de borde alto y grande. En este recipiente deberás incorporar un poco del caldo de los frijoles verdes, la zanahoria que retiraste, el plátano verde cortado en trozos pequeños y crudo, el manojo de cilantro, el guiso de tomate y cebolla, el concentrado de caldo y procésalo todo hasta que quede bien triturado. 
4 Cuando tengas la mezcla lista, agrégala a la olla donde tienes los frijoles y caliéntalo todo junto hasta que hierva. Cuando alcance el punto de ebullición, baja el fuego al mínimo y deja que se cocine hasta que los frijoles adquieran una consistencia espesa. 
5 Una vez terminados los frijoles verdes, sírvelos calientes y acompañados de las patas de cerdo, arroz blanco y tostones de plátano. Como ves, se trata de una receta muy sabrosa y fácil de preparar.",a27a8242-62a6-4f34-8a00-fde1d57639fb,comida
Frijoles puercos estilo Sinaloa,https://www.recetasgratis.net/receta-de-frijoles-puercos-estilo-sinaloa-32629.html,"1 kilogramo de Frijol rojo
1 pizca de Sal y Pimienta
½ kilogramo de Chorizo
½ kilogramo de Queso chihuahua
¼ kilogramo de Tocino
4 piezas de Chile verde
1 cucharada sopera de Salsa picante
1 taza de Aceite vegetal
1 diente de Ajo
½ pieza de Cebolla","1 Comenzaremos a preparar nuestros frijoles puercos estilo Sinaloa cocinando los frijoles rojos en una olla con suficiente agua, cuando el frijol este suave o semicocido puedes agregar cebolla, ajo y sal al gusto para sazonar. 
2 Una vez que estén hechos, licua los frijoles junto con un poco del mismo jugo de la cocción hasta conseguir una crema bastante espesa. Fríe esta crema en una cacerola con un cuarto de taza de aceite caliente, moviendo constantemente hasta que los frijoles estén bastante secos y se despeguen con facilidad de la olla. Llegado a este punto retira del fuego y reserva. 
3 Por otro lado, pica el chorizo y el tocino en cubos, así como el chile verde en rebanadas no muy gruesas. 
4 En una cacerola grande agrega un poco más de aceite, y una vez que esté caliente, sofríe el chorizo y el tocino previamente picados. 
5 Agregamos también los chiles, pero no te asustes que no picarán casi nada, solo quedará el sabor ligero. Dejamos freír los chiles hasta que veamos que el aceite tomó el sabor del chile, esto tomará de unos tres a cuatro minutos. Truco: Recuerda que agregar picante es totalmente opcional y al gusto, por lo que puedes agregar más u omitirlos por completo, dependiendo el nivel de picante que desees en tu platillo. 
6 Cuando ya esté todo bien sofrito, agregamos la pasta de frijoles que habíamos reservado e integramos perfectamente. No olvides mover constantemente para evitar que los frijoles puercos se peguen a la cacerola. 
7 Por último, cuando los frijoles empiecen a hervir, rectifica sazón e incorpora el queso rallado para que se funda. 
8 Retira del fuego los frijoles puercos estilo Sinaloa y sirve como acompañante de carnes o para comer solos con totopos, nachos o tortillas de maíz. Esperamos que disfrutes de esta receta y si tienes alguna duda, opinión o piensas que podríamos mejorarla, por favor no dudes en escribir tus comentarios.",c0dae5f6-ec30-422b-be24-01a81c39d733,comida
Frijoles puercos,https://www.recetasgratis.net/receta-de-frijoles-puercos-9104.html,"1 kilogramo de Frijol
½ kilogramo de Queso chihuahua rallado
½ kilogramo de Manteca de cerdo
½ kilogramo de Chorizo
1 lata de Jalapeños cortados
1 pizca de Sal","1 Cuece el frijol de forma tradicional y luego, ya cocido, usa la licuadora para molerlo hasta formar una pasta espesa. 
2 Derrite la manteca en una sartén grande y fríe el chorizo. 
3 Para continuar preparando los frijoles puercos, espera que se cocine el chorizo y agrega la pasta de frijol y mezcla bien con la manteca y la carne. 
4 Finalmente, incorpora a la cocción el queso y los jalapeños. Deja cocinar todo por 10 minutos aproximadamente y ya estarán listos los frijoles puercos.",9087c0a5-4c2f-4b51-be80-fce3f69d9711,comida
Frijoles negros a la cubana,https://www.recetasgratis.net/receta-de-frijoles-negros-a-la-cubana-8713.html,"450 gramos de Frijoles negros
10 tazas de Agua (2400 mililitros)
6 cucharadas soperas de Aceite de oliva
1 unidad de Cebolla grande
5 dientes de Ajo
¼ cucharada postre de Orégano
1 hoja de Laurel
¼ cucharada postre de Comino molido
1 pizca de Sal
1 pizca de Pimienta
1 cucharada sopera de Vinagre
1 cucharada sopera de Vino seco
1 cucharada sopera de Azúcar
1 unidad de Ají verde grande","1 Para empezar con nuestra receta de frijoles cubanos lo primero que vamos a hacer es lavar bien los frijoles y ponerlos a remojo con agua y una hoja de laurel. Lo ideal es dejarlos durante toda la noche para que se inflen y puedas cocinarlos mejor. Imagen: igloocooking.com 2 Al día siguiente, coge una olla con la capacidad suficiente, vierte en ella los frijoles con el agua y el laurel y cocínalos durante 45 minutos aproximadamente, hasta que estén blandos. 
3 Cuando estén listos, escúrrelos y preparar el sofrito de los frijoles negros. Para ello, coge una sartén honda y pon a calentar el aceite de oliva. Una vez caliente, añade la cebolla y el ají finamente picados, o triturados si lo deseas, y el ajo machacado. Remuévelo con una cuchara de madera y sofríelo. Imagen: cocinaycomparte.com 4 De los frijoles ya blandos, reserva una taza para más adelante, el resto añádelo a la sartén del sofrito, con la hoja incluida. Remuévelo todo, añade sal y pimienta al gusto, el orégano, el comino y el azúcar y cocínalo a fuego lento durante unos minutos. No dejes de remover para evitar que los frijoles negros se peguen y quemen. 
5 Luego, haz puré los frijoles que reservaste en la taza, incorpóralos al resto y cocínalos a fuego lento durante media hora y con la sartén tapada. 
6 Pasado el tiempo, añade el vino seco y el vinagre, remuévelo bien y deja que repose con el fuego el mínimo durante 10 minutos aproximadamente. Cuando estén listos añade dos cucharadas de aceite de oliva, intégralo y sirve los frijoles negros a la cubana acompañados de arroz blanco. Imagen: sazondelcorazon.com",47159f5c-fa6d-48fd-9d11-1674fa7d71a7,comida
