title,url,ingredients,steps,uuid,categoria
Garbanzos con callo y vegetales,https://www.recetasnestle.com.co/recetas/garbanzos-con-callo-vegetales,"   2 cucharadas de aceite (28 g)
      2 tallos grandes de cebolla larga finamente picada (30 g)
      2 tomates medianos sin piel finamente picados (232 g)
      1 sobre de CALDO DE GALLINA MAGGI® DESMENUZADO (9 g)
      4 tazas de agua (1000 ml)
      ½ libra de garbanzos remojados desde la noche anterior retirando el agua de remojo para cuando se vayan a cocinar (250 g)
      ½ libra de menudo limpio (250 g)
      1 zanahoria cortada en cubos medianos (70 g)
      ½ taza de arveja desgranada (70 g)
      1 pimentón rojo, cortado en cubos medianos (120 g)
  ","    1.  En la olla express añade el aceite y deja calentar a fuego medio por 3 minutos, adiciona  la cebolla, el tomate y el sobre de CALDO DE GALLINA MAGGI® Desmenuzado, sofríe sin dejar de revolver por 2 minutos. Adiciona las tazas de agua, los garbanzos y el menudo, cierra la olla y deja cocinar por 40 minutos aproximadamente o hasta que los garbanzos y el menudo estén blanditos.                  
2.  Pasado el tiempo de cocción, retira la olla del fuego, saca el aire y destapa con cuidado: lleva la olla nuevamente al fuego y adiciona la zanahoria, la arveja y el pimentón, tapa nuevamente la olla y deja cocinar por 10 minutos más.                  
3.  Saca el aire de la olla, destapa con cuidado y sirve.                  
4.  Acompaña los garbanzos con una porción de arroz integral.                  
5.  También puedes usar en esta receta CALDO DE GALLINA MAGGI® DESMENUZADO 70% MENOS SODIO.             ",,comida
Garbanzos con callo y vegetales,https://www.recetasnestle.com.co/recetas/garbanzos-con-callo-vegetales,"   2 cucharadas de aceite (28 g)
      2 tallos grandes de cebolla larga finamente picada (30 g)
      2 tomates medianos sin piel finamente picados (232 g)
      1 sobre de CALDO DE GALLINA MAGGI® DESMENUZADO (9 g)
      4 tazas de agua (1000 ml)
      ½ libra de garbanzos remojados desde la noche anterior retirando el agua de remojo para cuando se vayan a cocinar (250 g)
      ½ libra de menudo limpio (250 g)
      1 zanahoria cortada en cubos medianos (70 g)
      ½ taza de arveja desgranada (70 g)
      1 pimentón rojo, cortado en cubos medianos (120 g)
  ","    1.  En la olla express añade el aceite y deja calentar a fuego medio por 3 minutos, adiciona  la cebolla, el tomate y el sobre de CALDO DE GALLINA MAGGI® Desmenuzado, sofríe sin dejar de revolver por 2 minutos. Adiciona las tazas de agua, los garbanzos y el menudo, cierra la olla y deja cocinar por 40 minutos aproximadamente o hasta que los garbanzos y el menudo estén blanditos.                  
2.  Pasado el tiempo de cocción, retira la olla del fuego, saca el aire y destapa con cuidado: lleva la olla nuevamente al fuego y adiciona la zanahoria, la arveja y el pimentón, tapa nuevamente la olla y deja cocinar por 10 minutos más.                  
3.  Saca el aire de la olla, destapa con cuidado y sirve.                  
4.  Acompaña los garbanzos con una porción de arroz integral.                  
5.  También puedes usar en esta receta CALDO DE GALLINA MAGGI® DESMENUZADO 70% MENOS SODIO.             ",,comida
Garbanzos con patas de ternera,https://www.recetasgratis.net/receta-de-garbanzos-con-patas-de-ternera-38461.html,"3 dientes de ajo
1 pizca de azafrán
1 cebolla
500 gramos de garbanzos
3 cucharadas de vinagre
1 cucharadita de pimienta negra molida
1 pizca de sal
2 ternera, patas traseras
100 gramos de trigo","1 Se limpian bien las patas, se trocean y se ponen en la olla a presión, se le añaden los garbanzos y el trigo (éstos dos ingredientes previamente la noche anterior se dejan en remojo y por separado). 
2 Se pica la cebolla, los dientes de ajo, se le añade el azafrán, la pimienta negra molida, la sal y el agua, hasta cubrir los ingredientes (éste plato no lleva aceite). 
3 Se cierra la olla y se pone a cocer durante tres cuartos de hora. 
4 Una vez abierta la olla se le añaden dos cucharadas de vinagre y se deja que dé otra cocción.",a2115b4f-94bd-47ff-86b5-b08fd0d41f14,comida
Garbanzos con atún,https://www.recetasgratis.net/receta-de-garbanzos-con-atun-57530.html,"1 bote de Garbanzos
1 lata de Atún
30 gramos de Aceitunas negras
1 unidad de Huevo
2 unidades de Tomate
1 rama de Albahaca
1 pizca de Sal
1 chorro de Vinagre
1 chorro de Aceite de oliva","1 Reunimos todos los ingredientes para elaborar los garbanzos con atún. 
2 Lavamos los garbanzos, los escurrimos y los disponemos en una ensaladera. 
3 Cocemos el huevo en abundante agua hirviendo durante 10 minutos. El huevo es un alimento rico en vitamina E y B, ideal para las etapas de crecimiento. 
4 Escurrimos el atún en conserva y lo añadimos a la ensaladera con garbanzos. Esta receta también se puede preparar con melva. 
5 Lavamos el tomate, lo cortamos y lo agregamos a la ensalada. Para estos garbanzos con atún se pueden usar tomates de ensalada o tomates cherry variados. 
6 A continuación, incorporamos las aceitunas negras cortadas en rodajas. 
7 Una vez hecho, pasamos el huevo cocido por agua fría, ya que con esta técnica se pela mejor. Pelamos el huevo, lo cortamos en cuartos y lo añadimos a los garbanzos con atún. 
8 Aderezamos los garbanzos con atún con una pizca de sal, vinagre, aceite y un poco de albahaca fresca picada. Si os gustan las legumbres podéis probar los garbanzos fritos o las lentejas a la jardinera. ¡Esperamos que os guste!",24a101d5-58e7-48b6-a73f-939a5e3e69c8,comida
Garbanzos con bacalao,https://www.recetasgratis.net/receta-de-garbanzos-con-bacalao-de-la-abuela-75088.html,"1 diente de ajo
250 gramos de garbanzos
1 cucharada postre de pimentón dulce
1 cucharada sopera de harina de trigo
4 cucharadas soperas de aceite de oliva
150 gramos de bacalao desalado desmigado
50 gramos de espinacas
3 huevos","1 Pon los garbanzos en remojo la noche anterior. En el momento de preparar la receta de garbanzos con bacalao de la abuela, pon los garbanzos en una olla con agua y cocínalos durante una hora y media aproximadamente o hasta que estén tiernos. Truco: si tienes olla exprés, puedes cocinar los garbanzos en 30 minutos. 
2 En una sartén, calienta el aceite de oliva a fuego medio. Por ejemplo: en una vitrocerámica con 9 niveles de calor, el número 6 será perfecto. Añade el ajo laminado y deja que se dore un par de minutos. A continuación, agrega la cucharadita de pimentón y la cucharada de harina. Mezcla todo muy bien para que se integren los ingredientes.La técnica de cocinar harina en una grasa, en este caso aceite de oliva, se conoce en francés como roux y se utiliza para espesar todo tipo de salsas, por ejemplo la bechamel. 
3 Cuando esté el roux bien integrado, añade 3 cucharones del caldo de la cocción de los garbanzos y remueve con cuidado para evitar que se hagan grumos. Truco: agrega las cucharadas de caldo de una en una y ve removiendo entre ellas, así se integrará mejor. 
4 Una vez ligado, es momento de añadir el bacalao desmigado. Cocínalo durante 3 o 4 minutos, apaga el fuego y reserva. Esto será la base que aportará sabor a la receta de garbanzos con bacalao. Truco: puedes utilizar bacalao desalado y cortarlo a tacos si lo prefieres. 
5 Si no tienes el bacalao desalado, en este vídeo aprenderás a desalarlo: 6 Cuando los garbanzos ya estén cocinados, añade las hojas de espinacas a la olla y cuécelas durante 4 o 5 minutos. Truco: si quieres puedes usar acelgas, también son buenísimas y quedan perfectas. 
7 Pasados los 5 minutos, agrega a la olla la base de bacalao que habías reservado. Mezcla bien para integrarlo todo. 
8 Sirve los garbanzos en un plato sopero o un cuenco hondo. Si lo deseas, prepara unos huevos duros y termina el plato con ellos. Quedan muy bien con esta receta de garbanzos con bacalao. ¡Que aproveche!",fd7646f7-7864-44e0-9d4a-84befbc92efa,comida
Garbanzos con espinacas y albóndigas de bacalao,https://www.recetasgratis.net/receta-de-garbanzos-con-espinacas-y-albondigas-de-bacalao-60640.html,"350 gramos de Garbanzos
500 gramos de Espinacas
1 unidad de Cebolla
2 unidades de Patatas
2 unidades de Zanahorias
1 unidad de Huevo duro
10 hebras de Azafrán de pelo
1 rama de Perejil
1 diente de Ajo
4 cucharadas soperas de Aceite de oliva
1 unidad de Tomate pequeño
½ cucharadita de Sal
300 gramos de Bacalao
2 dientes de Ajo
1 manojo de Perejil
1 puñado de Piñones
1 vaso pequeño de Aceite de oliva
3 unidades de Huevo
1 cuenco de Moya de pan del día anterior","1 El primer paso para hacer este potaje de garbanzos con albóndigas de bacalao es poner los garbanzos en remojo en agua fría durante 12 horas.Para preparar las albóndigas de bacalao, desmenuzamos el bacalao, añadimos el pan, el ajo y el perejil picado, los piñones y los huevos, mezclamos todo bien y dejamos reposar unos minutos.Aparte, en una olla ponemos el aceite a calentar. Pelamos y picamos la cebolla y la zanahoria y sofreímos durante unos minutos, añadimos el tomate pelado y troceado, y seguimos friendo. 
2 Una vez hecho el sofrito del guiso de albóndigas de bacalao murciano añadimos los garbanzos, cubrimos con agua y cocemos durante 10 minutos en olla rápida. 
3 Mientras se cuecen los garbanzos, lavamos y limpiamos las espinacas, le damos un hervor con agua fría (las escaldamos) y las ponemos a escurrir en un colador grande.Ponemos una sartén con aceite a calentar, vamos formando las albóndigas de bacalao murcianas y friéndolas.Pasados los minutos de cocción de los garbanzos y cuando podamos abrir la olla a presión, es el momento de ponerle las patatas troceadas, las espinacas y las albóndigas de bacalao. 
4 Hacemos una picada con el azafrán de pelo, el ajo, el perejil y la yema de huevo duro y lo incorporamos a la olla del potaje de Semana Santa, rectificamos de sal y cocemos durante 10 minutos más. 
5 ¡Y listo! Este guiso de garbanzos con espinacas y albóndigas de bacalao debe quedar con poco caldoso.No olvides pasarte por mi blog La Cocina de Catina para descubrir más recetas riquísimas.",e75603c2-c96a-4652-9fbd-994a4b00429a,comida
Garbanzos Vegetarianos,https://www.recetasgratis.net/receta-de-garbanzos-vegetarianos-52170.html,"400 gr. de Garbanzos (remojados de la noche anterior)
2 Cebollas
1 Zanahoria
1/2 Calabacín
3 Tomates
3 Patatas cortadas en cubos
1 diente de Ajo
1 cucharadita de Pimentón
4 Ramitas de Cilantro Sal Pimienta","1 Alistar los ingredientes. 
2 Cocer los garbanzos en abundante agua con sal.Tengamos en cuenta que el agua después se reducirá bastante, pondremos más o menos cantidad, si queremos más o menos caldo al terminar la cocción. 
3 Cortar en pequeños cubos la zanahoria, el calabacin y los tomates.El ajo y las cebollas picarlas finamente. 
4 Preparar un sofrito con las cebollas, el ajo y el tomate.Condimentar con sal, pimienta y pimentón. 
5 Cuando los garbanzos empiecen a ablandar, luego de 20 minutos aproximadamente, agregarle las zanahorias y el calabacín.Tapar nuevamente y dejar cocer por 10 minutos más. 
6 Incorporar las patatas y el sofrito.Mezclar, tapar y dejar cocer hasta que las patatas estén tiernas, pero no deshechas.Si le gusta agregarle unas ramitas de cilantro. 
7 Servir y a disfrutar bien caliente!",5dc00ef6-6148-4202-afd7-c5b90b021b5e,comida
Garbanzos con langostinos caseros,https://www.recetasgratis.net/receta-de-garbanzos-con-langostinos-caseros-52031.html,"12 langostinos
200 gr garbanzos
1 tomate
1 cebolla sal pimienta aceite de oliva","1 Alistar todos los ingredientes. 
2 Colocar los garbanzos en agua durante toda la noche 3 En una olla colocar los garbanzos y cocinarlos por 3 horas con abundante agua a fuego alto. 
4 En un sarten bien caliente doramos la cebolla rallada y el tomate rallado, agregamos sal y pimienta al gusto. 
5 Colocamos los langostinos y dejamos cocinar por 3 minutos. reservar 6 Cuando veamos que los garbanzos están blanditos, agregamos el guiso con los langostinos, rectificamos sabor y cocinamos por 5 minutos mas a fuego medio. 
7 Servir y degustar",9158457f-babc-4311-998a-640b1ae988df,comida
Garbanzos con verduras y huevo,https://www.recetasgratis.net/receta-de-garbanzos-con-verduras-y-huevo-76324.html,"1 bote de garbanzos cocidos
2 calabacín
2 zanahorias
1 cebollas
1 chorro de aceite de oliva
1 pizca de pimienta
1 pizca de sal
1 huevo","1 Para empezar con la receta de garbanzos con huevo y verduras, primero prepara las verduras. Para ello, lávalas. Por otro lado, retira los garbanzos del bote ya cocidos, coloca en un colador y lava bajo el grifo, escurre bien. Reserva mientras se cocinan las verduras. Si quieres cocer en casa los garbanzos, coloca una cazuela amplia llena de agua, añade los garbanzos secos en la cazuela cubiertos de agua y un puñado de sal, mínimo 12 horas. Cuando pase el tiempo indicado, retira el agua y, en una olla, cuece un par de horas o hasta que queden cocidos. Si tienes olla express, el tiempo será más corto. 
2 Pela y corta las verduras. Asimismo, corta el pimiento verde en trozos pequeños, la cebolla en tiras y la zanahoria en cuadraditos. Pela el calabacín y corta en cuadrados. Coloca una cazuela al fuego con un buen chorro de aceite de oliva, añade la cebolla, el pimiento y la zanahoria unos minutos. Después, añade el calabacín y deja que se poche durante 10 minutos. Truco: si te gustan las verduras aldentes, déjalas menos tiempo de cocción, ya que luego saltearás los garbanzos de bote con las verduras. 
3 Cuando tengas pochadas las verduras, pero aldentes, añade un poco de sal y pimienta. Mientras, coloca el agua para cocer el huevo y, cuando empiece a hervir, espera 10 minutos e introdúcelo. 
4 Cuando tengas las verduras en su punto, añade los garbanzos y saltea con cuidado que no se deshagan. Prueba de sal y pimienta al gusto y sirve. Si lo deseas, puedes acompañar los garbanzos con un puñado de perejil, con un poco de pimentón dulce y/o un toque picante. 
5 ¡Ya puedes comer los deliciosos garbanzos con calabacín y cebolla! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.",9e5d6918-c4f0-4824-8eb0-24b3d93dacd5,comida
GARBANZOS con REPOLLO,https://www.recetasgratis.net/receta-de-garbanzos-con-repollo-74189.html,"300 gramos de garbanzos cocidos
1 trozo de col o repollo
1 trozo de jamón seco o panceta
1 trozo de cebolla
4 dientes de ajo
2 hojas de laurel
1 chorro de aceite de oliva virgen extra
1 cucharada sopera de garam masala
2 vasos de agua
1 pizca de sal al gusto
1 cayena (opcional)","1 Corta la mitad de un repollo mediano en rodajas estrechas, pica la cebolla y el ajo, trocea a tu gusto el trozo de jamón y escurre los garbanzos cocidos. Puedes hacer la receta de repollo con garbanzos de bote o cocerlos el día anterior. Consulta nuestro artículo sobre Cómo cocer garbanzos para que queden tiernos. 
2 Vierte en una olla express un chorro de aceite y cuando esté humeante sofríe los trozos de ajo. Una vez que tomen color, añade también la cebolla y rehógala durante 2 minutos. Luego, agrega los trozos de jamón y cocina 2 minutos más. 
3 Vierte el agua y deja que empiece a hervir durante un par de minutos. Debes de tener en cuenta que cada ingrediente debe soltar su sabor para que todos se integren entre sí, por ello se sofríen unos minutos antes y se incorporan poco a poco; esta es la clave para que un simple guiso de garbanzos con repollo quede apetitoso. 
4 Añade una cayena para darle un pequeño toque de sabor al guiso. Este ingrediente es opcional y se puede sustituir por pimentón dulce o picante, una guindilla... Después, agrega las hojas de laurel, un chorro de aceite de oliva y el garam masala. Truco: Si no consigues garam masala, puedes usar curry y cúrcuma. Garam masala es una mezcla de especias como cilantro, canela, pimienta negra, nuez moscada y comino. 
5 Incorpora los garbanzos y el repollo cortado y deja cocer en la olla express durante 10 minutos, con eso bastará. Si estás haciendo la receta de garbanzos con repollo rehogado en olla convencional o cazuela, el tiempo de cocción será de 30 minutos, aproximadamente, a fuego lento. 
6 Prueba de sal y rectifica si lo consideras necesario, aunque seguro que el jamón ya aporta la cantidad justa. Sirve tu receta de garbanzos con repollo y acompaña el plato con un vinito rosado y una buena ensalada.",7f6a3acf-7c2a-437d-b6d2-d71414d17206,comida
