title,url,ingredients,steps,uuid,categoria
Guiso de Cola,https://www.mycolombianrecipes.com/es/guiso-de-cola/,"4 libras de cola de res
Sal y pimienta
1 cebolla picada
3 cebolllas largas picadas
4 dientes de ajo picados
3 tazas de caldo de carne
1 taza de tomate triturado
2 zanahorias cortadas en trozos grandes
8 papas rojas pequeuñas parcialmente peladas
½ cucharadita de comino molido
¼ cucharadita de achiote molido
¼ taza de cilantro fresco","En una olla grande, agregue la cola de res, sazonar con sal y pimienta, añadir la cebolla, la cebolla larga, el ajo y deje marinar por lo menos 4 horas o durante la noche en el refrigerador, revolviendo ocasionalmente.
Añadir suficiente agua para cubrir sólo las colas y llevar la mezcla a hervir. Baje a fuego lento, tape y cocine durante aproximadamente 2 horas, añadir más agua si es necesario.
Agregue el caldo, los tomates . Llevar a hervir a fuego lento durante aproximadamente 1 hora y 30 minutos, revolviendo ocasionalmente.
Añadir las zanahorias, las papas, el comino y el achiote. Cocine por 30 minutos más o hasta que todo esté blando. Espolvoree el cilantro fresco y servir con arroz blanco.",86af722d-e16a-11ed-9f0d-a96d6180cd25,comida
Guiso de cola,https://www.recetasnestle.com.co/recetas/guiso-de-cola,"   1 cucharada de aceite vegetal (14 g)
      1 cola de res (1000 g)
      2 zanahoria pequeñas, peladas (100 g)
      2 tallos de apio (30 g)
      1 cebolla cabezona blanca  pequeña (80 g)
      1 diente ajo pelado y finamente picado (3 g)
      1 hoja de laurel (3 g)
      1 sobre de CALDO CON COSTILLA MAGGI® DESMENUZADO      3 tazas de agua (750 ml)
      1 libra de papa sabanera a medio pelar (500 g)
  ","    1.  Calienta el aceite en la olla express 3 minutos a fuego medio, añade la cola y deja sofreír por todos los lados hasta dorar un poco.                  
2.  Añade a la olla, la zanahoria cortada en trozos pequeños,  el apio cortado finamente, la cebolla finamente picada, el ajo y la hoja de laurel, con la ayuda de una cuchara revuelve para integrar bien.                  
3.  Por último, agrega el sobre de CALDO CON COSTILLA MAGGI® DESMENUZADO, el agua y la papa. Cierra la olla y cocina por 30 minutos o hasta que todos los ingredientes estén blanditos.                  
4.  Pasado el tiempo de cocción sugerido, retirar la olla del fuego, saca el aire, destapa con cuidado y sirve.             ",,comida
Guiso de cola,https://www.recetasnestle.com.co/recetas/guiso-de-cola,"   1 cucharada de aceite vegetal (14 g)
      1 cola de res (1000 g)
      2 zanahoria pequeñas, peladas (100 g)
      2 tallos de apio (30 g)
      1 cebolla cabezona blanca  pequeña (80 g)
      1 diente ajo pelado y finamente picado (3 g)
      1 hoja de laurel (3 g)
      1 sobre de CALDO CON COSTILLA MAGGI® DESMENUZADO      3 tazas de agua (750 ml)
      1 libra de papa sabanera a medio pelar (500 g)
  ","    1.  Calienta el aceite en la olla express 3 minutos a fuego medio, añade la cola y deja sofreír por todos los lados hasta dorar un poco.                  
2.  Añade a la olla, la zanahoria cortada en trozos pequeños,  el apio cortado finamente, la cebolla finamente picada, el ajo y la hoja de laurel, con la ayuda de una cuchara revuelve para integrar bien.                  
3.  Por último, agrega el sobre de CALDO CON COSTILLA MAGGI® DESMENUZADO, el agua y la papa. Cierra la olla y cocina por 30 minutos o hasta que todos los ingredientes estén blanditos.                  
4.  Pasado el tiempo de cocción sugerido, retirar la olla del fuego, saca el aire, destapa con cuidado y sirve.             ",,comida
Guiso de ternera con gambas,https://www.recetasgratis.net/receta-de-guiso-de-ternera-con-gambas-58249.html,"150 gramos de Ternera
150 gramos de Champiñones
1 unidad de Zanahoria
100 gramos de Gambas
½ vaso de Vino blanco
1 chorro de Aceite de oliva virgen extra
1 hoja de Laurel
1 pizca de Sal
1 pizca de Cilantro
1 vaso de Agua","1 Estos son los ingredientes de este guiso de ternera con gambas. Las gambas las escogemos peladas y precocidas, mientras que la carne es estofado de ternera. También utilizaremos champiñones, que ya tenemos laminados. 
2 El primer paso para preparar este guiso de carne es hacer un sofrito con la zanahoria y los champiñones. Lavamos y troceamos las verduras y las sofreímos en una sartén con un poco de aceite de oliva virgen extra. 
3 Cuando las verduras estén listas, pasados unos minutos, añadimos la carne, el vino blanco y el agua. Lo dejaremos a fuego bajo durante unos 10 minutos. 
4 Ahora agregamos las gambas y las especias, la hoja de laurel, el cilantro y la sal. Cinco minutos más y el guiso de ternera con gambas ya estará listo. Si lo queremos más caldoso, podemos añadir algo más de agua o bien caldo de carne. 
5 ¡Listo! Podemos emplatar y servir. Yo acompañé este guiso de mar y montaña con un buen vino tinto y una ensalada de trampó fresca, haciendo honor a mi Mallorca natal. ¡Espero que disfrutes de la ternera guisada con gambas tanto como yo y, si es así, déjanos algún comentario!",f147684c-4804-4ed9-b9b3-86ccb17ef6c7,comida
Guiso de carne vegetal,https://www.recetasgratis.net/receta-de-guiso-de-carne-vegetal-69888.html,"12 patatas pequeñas
400 gramos de seitán o carne vegetal de soja
1 cebolla
2 zanahorias
3 dientes de ajo
1 pimiento rojo
4 cucharadas soperas de salsa de tomate
2 cucharadas soperas de harina de trigo
1 vaso pequeño de vino blanco
2 tazas de caldo vegetal o agua
1 cucharadita de sal
1 pizca de pimienta
1 cucharadita de pimentón ahumado
2 cucharadas soperas de aceite de oliva","1 Pica la cebolla, el ajo, la zanahoria y el pimiento en trozos pequeños. 
2 Calienta una olla con aceite y pocha la verdura durante varios minutos. Añade la sal, la pimienta, el pimentón y cocina varios minutos más. 
3 Incorpora el vino, la salsa de tomate y cubre todo de caldo o de agua. Cocina la verdura durante 5 minutos más y cuando esté lista tritura todo en la batidora hasta obtener una salsa homogénea. 
4 Aparte pela y cuece las patatas en agua salada durante 10 minutos. 
5 Corta la carne vegetal o el seitán en trozos, sazónalo con sal y pimienta, pásalo por harina y fríe en una olla caliente con aceite hasta que se dore un poco. Viértela dentro de la salsa de verduras que habíamos preparado, tapa la olla y cocina el estofado de carne vegetal durante 20 minutos a fuego bajo. 
6 Cinco minutos antes de terminar la cocción introduce las patatas en la olla. 
7 Sirve el guiso de carne vegetal con unas rebanadas de pan integral para mojar.Si te ha gustado este esfofado de patatas vegano entra en mi blog Vegspiration donde encontrarás muchas más ideas.",d2d4945c-ff1e-4c73-9f00-25b0eeade170,comida
Guiso de ternera con patatas y guisantes,https://www.recetasgratis.net/receta-de-guiso-de-ternera-con-patatas-y-guisantes-60081.html,"300 gramos de Carne de ternera para guiso
1 unidad de Pimiento verde
1 unidad de Cebolla
2 cucharadas soperas de Concentrado de tomate
1 unidad de Ajo
1 rama de Tomillo
1 pizca de Romero
1 rama de Orégano fresco
1 unidad de Zanahoria
1 unidad de Patata
50 gramos de Guisantes congelados
50 gramos de Judías verdes congeladas
150 mililitros de Vino blanco
250 mililitros de Agua
1 pizca de Sal
1 pizca de Pimienta negra molida
1 chorro de Aceite de oliva
3 unidades de Tomate cherry rojo
3 unidades de Tomate cherry amarillo","1 Reunimos todos los ingredientes para preparar el guiso de ternera con patatas y guisantes. 
2 Comenzamos esta carne guisada sellando la carne en una olla con 4 cucharadas de aceite de oliva: ponemos la olla a fuego alto, salpimentamos la carne y la doramos hasta que se selle por todos lados, unos 2 minutos. Sacamos y retiramos. 
3 En la misma olla, agregamos la cebolla, el ajo y el pimiento. Hemos cortado la cebolla y el pimiento en trozos medianos. En cambio, el ajo lo dejamos entero. Dejamos cocinar durante 3 minutos. 
4 Añadimos la zanahoria pelada y cortada en rodajas, junto con los tomates cherrys cortados por la mitad. Ponemos sal y cocinamos otros 2 minutos.Hemos utilizado tomate cherry porque lo teníamos por casa, pero también puedes sustituirlos por un tomate normal. 
5 Para continuar con este plato de ternera guisada, volvemos a incorporar la carne de res a la olla. Movemos bien para que se mezclen los ingredientes. 
6 Agregamos las hierbas aromáticas y el tomate concentrado a nuestro guiso de carne con papas. Movemos, dejamos que se integre bien el tomate y que se cocine durante 2 minutos. Truco: Hemos añadido las hierbas en ramillete para poder retirarlas sin dificultad antes de servir. 
7 A continuación, agregamos el vino blanco, dejamos que se evapore el alcohol durante 3 minutos y agregamos el agua. Dejamos que el guiso de ternera cueza durante 30 minutos. 
8 Es el momento de añadir las patatas peladas y cascadas en gajos. Ponemos un pelín más de sal y dejamos cocer durante 20 minutos más. 
9 Por último, incorporamos los guisantes y las judías congeladas a la carne con papas y dejamos que se cocinen durante 10 minutos.Si tienes guisantes y judías frescas, el tiempo de cocción es aproximadamente el mismo. 
10 Puedes servir el guiso de ternera con patatas y guisantes inmediatamente, o reservarlo para el día siguiente que estará igual de rico.Te recomendamos otros platos similares como el guiso de ternera con patatas o la ternera a la jardinera. ¡Esperamos tus fotos y comentarios! Truco: Recuerda quitar las hierbas antes de servir.",0ae611db-8c51-4da4-bfc8-a4628277f487,comida
Guiso de ternera con patatas,https://www.recetasgratis.net/receta-de-guiso-de-ternera-con-patatas-59372.html,"500 gramos de Ternera
1 unidad de Cebolla
2 unidades de Zanahoria
1 unidad de Pimiento
1 unidad de Tomate
1 pizca de Sal
1 pizca de Pimienta negra molida
1 hoja de Laurel
1 puñado de Orégano fresco
1 puñado de Tomillo
120 mililitros de Vino blanco
2 unidades de Patata","1 Reunimos todos los ingredientes para preparar el guiso de ternera con patatas. 
2 En una olla o sartén, ponemos un poco de aceite y sellamos la ternera a fuego fuerte. Salpimentamos y reservamos. 
3 Por otra parte, sofreímos el pimiento, la cebolla y la zanahoria que hemos cortado en trozos no demasiado pequeños, como indicamos en la imagen. Ponemos un poco de sal y dejamos cocinar durante 4 minutos. 
4 Agregamos la carne de ternera y las hierbas aromáticas: el tomillo, el orégano fresco y las hojas de laurel. Movemos y dejamos cocinar durante 3 minutos. 
5 Añadimos el tomate rallado y movemos bien para que se integren los sabores. Dejamos cocinar un par de minutos. También podemos utilizar tomate pelado y cortado en cuadraditos. 
6 Añadimos el vino blanco y dejamos que se cocine durante 3 minutos para que se evapore el alcohol. Pasado ese tiempo, agregamos agua hasta cubrir y un poquito más de sal. Dejamos que se cocine el guiso de ternera a fuego suave durante 25-30 minutos. 
7 Añadimos las patatas cortadas en gajos, salpimentamos y dejamos que cuezan hasta que queden tiernas, unos 15 minutos. Si es necesario, agregamos un poco más de agua hasta cubrir las patatas y una pizca más de sal y de pimienta negra molida, para que el estofado de carne quede bien sabroso. 
8 Si te apetece conocer otros platos de carne estofada como este guiso de ternera con patatas, te recomendamos:Estofado de pavo y champiñonesTernera a la jardinera para niñosFiletes de falda de ternera guisados",bb98e119-7749-47d3-8788-23e29fbf485f,comida
Guiso de quinua con queso,https://www.recetasgratis.net/receta-de-guiso-de-quinua-con-queso-75557.html,"500 gramos de quinoa blanca
250 gramos de queso fresco paria
1 cebolla morada mediana
2 cucharadas soperas de aji amarillo en pasta
1 cucharada sopera de aji panca
1 cucharada sopera de ajo molido
2 papas blancas medianas
1 chorro de leche evaporada
1 chorro de aceite vegetal
1 pizca de oregano
1 pizca de comino","1 Para empezar con la receta de guiso de quinua con queso primero corta la cebolla morada en cuadrados pequeños con la ayuda de un cuchillo. Corta también el queso en cuadrados medianos y reserva un poco para rallarlo. Señalamos que el queso fresco no debe ser muy salado, ya que si no debes omitir agregar sal al guiso porque quedará con un gusto muy fuerte a sal. 
2 Con la ayuda de un pelador, retira la piel de las papas y córtalas en cuadrados medianos. Reserva en un recipiente con agua. 
3 En una olla pequeña coloca abundante agua y cuando hierva agrega la quinoa previamente lavada. Deja cocinar aproximadamente unos 15 minutos. Después del tiempo establecido retira la quinoa y deja enfriar en un colador. Truco: si deseas puedes añadir una hoja de laurel en el agua para darle sabor a la quinoa. 
4 En una olla mediana agrega un chorro de aceite a fuego bajo. Cuando el aceite esté caliente, incorpora la cebolla picada con una pizca de sal y deja cocinar hasta que se vuelva transparente. Incorpora la pasta de ají amarillo, la panca y el ajo, cocina por unos minutos. Incorpora también el comino y una pizca de orégano. 
5 Añade la quinoa cocida y mezcla con el aderezo. 
6 Incorpora la papa en cuadrados y también 2 tazas de caldo de pollo o de agua. ¡Ya casi está la receta de guiso de quinua con queso y leche! 7 Deja cocinar unos minutos, salpimienta, añade el queso fresco y un chorro de leche. 
8 Decora con perejil cortado finamente y queso fresco rallado. ¡A comer!¿Qué te ha parecido esta receta de guiso de quinua? Déjanos en los comentarios tu opinión. Truco: debes saber que el guiso de quinua con pollo peruano también está delicioso.",a1e2b0c5-48f3-4d36-b5f7-349df8693261,comida
Guiso de patatas con alcachofas,https://www.recetasgratis.net/receta-de-guiso-de-patatas-con-alcachofas-74949.html,"5 alcachofas
4 patatas
1 cebolla
2 dientes de ajos
1 cucharada postre de pimentón dulce
1 litro de agua
1 unidad de limón
1 puñado de perejil
1 pieza de sal
1 chorro de aceite de oliva
150 mililitros de vino blanco","1 Para hacer esta receta de patatas con alcachofas, empieza limpiando las alcachofas. Corta la parte de delante, alrededor de 2 dedos, y quita las hojas hasta llegar al centro, donde están más blancas y tiernas. 
2 Prepara un bol con agua, unas hojas de perejil y un chorro de limón. Pon el trozo de limón exprimido dentro del agua. Corta las alcachofas por la mitad, quita los pelos del centro y corta en cuartos. Pon los trozos de alcachofas en el bol dentro del agua para que no se pongan oscuras. 
3 Prepara el guiso, pela y pica una cebolla y un par de dientes de ajos. Pon una cazuela con un chorro de aceite, añade la cebolla picada y deja que se poche unos minutos. Cuando empiece a coger color, añade los ajos picados. 
4 Pela y corta las patatas sin llegar al final, cháscalas para que suelten el almidón que darán a la salsa más cuerpo. Agrégalas a la cazuela, remueve un minuto y añade el pimentón dulce; remueve todo junto. 
5 Antes de que se queme el pimentón, añade el vino blanco. Déjalo reducir un par de minutos. Escurre las alcachofas e incorpóralas a la cazuela. El vino blanco es opcional, hay quien no le pone. 
6 Añade el agua hasta que queden bien cubiertas las patatas. Pon un poco de sal y deja cocinar unos 15-20 minutos o hasta que las patatas y las alcachofas estén tiernas. Si ven que se seca el caldo, ve añadiendo más agua para que luego quede un caldo bueno. 
7 Cuando veas que ya están las patatas y las alcachofas tiernas, prueba de sal y rectifica. Si la salsa queda demasiado líquida, lo que puedes hacer es coger unas cuantas patatas, chafarlas con un tenedor y añadirlas a la salsa, deja que cueza unos minutos y listo. ¡Disfruta de este rico guiso de alcachofas con patatas!",e1d3c417-773a-4833-aa1a-4fb3a627db7d,comida
Guiso de arroz con carne,https://www.recetasgratis.net/receta-de-guiso-de-arroz-74526.html,"350 gramos de arroz
250 gramos de carne para guisar
1 cebolla
1 pimentón mediano
1 zanahoria mediana
4 papas medianas
100 gramos de alubias (vainitas, ejotes)
4 tomates
2 tallos de perejil
2 dientes de ajo sal al gusto","1 El guisado de arroz se prepara con trozos pequeños de carne, a diferencia de los estofados. Por lo tanto, esto es lo primero que se debe hacer: picar la carne. 
2 Una vez picada, sofríela en el aceite junto con la pimienta, la sal y el ajo. 
3 Mientras, pica la cebolla en pedazos grandes. 
4 Igualmente, pica el pimentón. Es importante que no piques los vegetales muy menudos, puesto que el guisado de arroz es una preparación rústica y deben notarse estos en el plato. 
5 Pela las papas y las zanahorias. Corta la zanahoria un poco más delgada que las papas, recuerda que se tarda más en cocinar. Pica también las alubias o vainitas. 
6 Cuando la carne se haya cocido por fuera, agrega la cebolla y el pimentón a la cocción. Revuelve bien y permite que se mezclen los sabores, toma unos 5 minutos. 
7 Ahora, añade la zanahoria y cocina por unos 10 minutos más. 
8 Agrega las papas y rehógalas unos minutos. 
9 Tritura o licua los tomates. También puedes usar salsa de tomate ya preparada. 
10 Ahora, vierte los tomates licuados y deja que el guiso de arroz con carne cocine por alrededor de 15 minutos. La idea es que las zanahorias y papas ablanden un poco para que no queden duras cuando hagas el arroz. 
11 Pasado ese tiempo, adiciona el arroz y las vainitas. También puedes agregarlas junto con las papas si te gustan más cocidas. 
12 Revuelve y agrega agua suficiente para cocer el arroz, alrededor de dos veces y media la cantidad de arroz. 
13 Tapa y deja hervir hasta que el arroz esté cocido. Es posible que quede un poco asopado. No te preocupes, apaga el guisado en cuanto el arroz esté en su punto y déjalo reposar unos minutos antes de servir. Sirve el guiso de arroz con carne junto con el perejil bien picadito.",c41ddb5a-6226-4890-8ff9-7d88bc93b40b,comida
