title,url,ingredients,steps,uuid,categoria
Hamburguesas vegetarianas de champiñones,https://www.recetasgratis.net/receta-de-hamburguesas-vegetarianas-de-champinones-53453.html,"500 gramos de Champiñones laminados
40 gramos de Miga de pan
2 unidades de Cebollas blancas medianas
20 gramos de Cilantro fresco
1 pizca de Pasta de ajo
1 pizca de Sal
1 pizca de Pimienta","1 Para empezar a realizar la receta de hamburguesas vegetarianas de champiñones, el primer paso es alistar todos los ingredientes para su elaboración. 
2 Lleva a un bol los champiñones y la cebolla blanca para poder hacer la mezcla de las hamburguesas vegetarianas. 
3 Agrega la pasta de ajo y el cilantro fresco al gusto. Si lo prefieres puedes cambiar el cilantro por perejil fresco, lo importante es que añadas un ingrediente aromático para darle un toque de sabor adicional a las hamburguesas. Procesa todos los ingredientes y mezcla bien. 
4 Una vez hayas procesado los ingredientes anteriores adiciona la miga de pan o pan rallado y mezcla muy bien. Añade sal y pimienta al gusto a la preparación. 
5 Lleva una sartén a fuego medio y adiciona un poco de aceite de oliva. Cuando esté caliente añade un poco de la preparación anterior para empezar a freír las hamburguesas vegetarianas. Cocina cada hamburguesa hasta que esté dorada y dale la vuelta con la ayuda de una espátula. 
6 Sirve cada una de las hamburguesas de champiñones acompañadas con setas salteadas si eres un amante de este producto o una ensalada fresca. Y si lo prefieres, puedes consumirla con pan de hamburguesa agregando lechuga y tomate.",f97c25f8-8305-4095-be48-80f5a079da3e,comida
Hamburguesas de mijo,https://www.recetasgratis.net/receta-de-hamburguesas-de-mijo-75260.html,"1 taza de mijo
3 tazas de agua (720 mililitros)
1 diente de ajo
100 gramos de puré de patata
1 cucharada sopera de salsa de soja baja en sodio
1 cucharada sopera de queso rallado
1 cucharada postre de nuez moscada
1 cebolla","1 Enjuaga el mijo con ayuda de un colador, directamente debajo de la corriente de agua potable. 
2 Coloca el mijo en una olla con las 3 tazas de agua y calienta a fuego fuerte. Cuando entre en ebullición, baja el fuego y cocínalo durante 15-20 minutos hasta que esté tierno y el agua se haya consumido. 
3 Mientras se cocina, precalienta el horno a 200 ºC. Aparte, carameliza la cebolla. Para ello, pélala, pícala y saltéala con 1 cucharadita de aceite. Una vez que se dore, baja el fuego a medio-bajo y agrega 2 cucharadas de agua caliente. Revuelve. Repite este proceso cada vez que el agua se evapore para lograr el efecto caramelizado sin azúcar ni grandes cantidades de aceite o manteca. Apaga el fuego y resérvalas. 
4 Mezcla en un recipiente la cebolla caramelizada, la salsa de soja, el queso rallado, la nuez moscada y el puré de papa.Si lo prefieres, puedes hacer tus hamburguesas de mijo y zanahoria, calabaza o cualquier otra verdura que te guste. Solo tienes que picarla y cocinarla previamente para mezclaras con el resto de ingredientes. Truco: para cocinar la patata y que no quede muy húmeda, recomendamos que la hagas al microondas. Para ello, lávala y pínchala con un tenedor. Cocínala 5 minutos y dale la vuelta para cocinarla 5 minutos más. Si no tienes microondas, puedes cocinarla entera en agua hirviendo. 
5 Agrega a la preparación anterior el mijo cocido e intégralo. Verás que solo con una cuchara puedes formar fácilmente las hamburguesas de mijo veganas. 
6 Si quieres que te queden más perfectas, puedes utilizar un aro metálico para darles forma. Cocina las hamburguesas de mijo en una sartén antiadherente con 1 cucharadita de aceite distribuida por toda la base. Mantén el fuego alto para que se cocinen por fuera y, luego, bájalo a medio para que se calienten hasta el centro. Si las has hecho más finas no será necesario. Truco: puedes comprobar que están suficientemente calientes colocando un dedo sobre el centro de la hamburguesa. Si lo sientes tibio, el calor ya llegó al centro. 
7 Una vez que hayas logrado que tus hamburguesas veganas de mijo estén calientes, sube el fuego y dales la vuelta para dorarlas del otro lado. 
8 Cuando logres ese dorado, ya podrás servir y disfrutar tus hamburguesas de mijo. Recuerda que no tiene ingredientes crudos, por lo que no necesitas alcanzar ninguna temperatura ni respetar un tiempo en particular.",a7514ed8-9fb0-4f6d-89e1-28133646a3ec,comida
Hamburguesas vegetarianas de arroz,https://www.recetasgratis.net/receta-de-hamburguesas-vegetarianas-de-arroz-53366.html,"1 taza de Arroz integral (200 gramos)
½ taza de Lentejas
1 unidad de Huevo
1 unidad de Cebolla
1 unidad de Zanahoria
1 diente de Ajo
1 chorro de Salsa de soja
1 pizca de Sal y Pimienta
½ taza de Miga de pan","1 Para estas hamburguesas vegetarianas de arroz lo primero que debes hacer es alistar todos los ingredientes. Estos ingredientes son para 8 hamburguesas medianas, puedes congelarlas y cocinarlas en el momento que desees. 
2 Coloca las lentejas en agua durante 4 horas con el fin de que ablanden. 
3 Cocina el arroz con 3 tazas de agua, sal y pimienta al gusto. Cocina hasta que el arroz abra y este bien blando. 
4 Aparte, cocina las lentejas en agua hasta que estén bien blandas, durante una hora aproximadamente. Si deseas que sea más rápido puedes cocinarlas en la olla a presión. 
5 Para continuar con estas deliciosas hamburguesas vegetarianas vamos a saltear la cebolla junto con la zanahoria cortada en cubos, agregar sal, un chorrito de salsa de soja y pimienta al gusto. 
6 Coloca en le procesador el arroz y las lentejas junto con la cebolla. la zanahoria y el huevo. Procesa toda la mezcla hasta que quede una pasta homogénea. 
7 Forma las hamburguesas haciendo bolas del mismo tamaño y aplastándolas. Utiliza la miga de pan para formarlas y evitar que se peguen. 
8 Cocina las hamburguesas vegetarianas de arroz en una plancha con aceite de oliva hasta que estén doradas por ambos lados. 
9 Sirve y degusta estas hamburguesas vegetarianas que además de ricas son súper saludables. Buen apetito! Si te gustó esta receta o tienes alguna duda déjanos tus comentarios.",56a0b740-7ca0-4e9d-b2d0-545bf0b68db2,comida
Hamburguesas de quinoa y lentejas,https://www.recetasgratis.net/receta-de-hamburguesas-de-quinoa-y-lentejas-53256.html,"200 gramos de Lentejas cocidas
1 taza de Quinoa
2 cucharadas soperas de Miga de pan
1 cucharadita de Pasta de ajo
1 pizca de Orégano seco
1 pizca de Sal y Pimienta","1 Para empezar a realizar nuestra receta de hamburguesas de quinoa y lentejas, en el primer paso debes prealistar todos los ingredientes. 
2 Primero debes lavar muy bien la quinoa. Para ello, debes llevar la quinoa a un colador y enjuagar con abundante agua hasta que veas que esta sale transparente. 
3 Para cocinar la quinoa debes seguir el mismo procedimiento que con el arroz. La proporción es por una taza de quinoa, dos tazas de agua y una pizca de sal al gusto. Cocina a fuego medio hasta que el agua se seque, una vez observes esto bájala a fuego lento y continua con la cocción durante 10 minutos y ya esta lista para disfrutar, es muy sencilla y es un alimento alto en fibra y proteínas.Ya tenemos nuestra quinoa para nuestra receta de hamburguesas de quinoa y lentejas. 
4 Para continuar con la preparación de las hamburguesas vegetarianas, en un bol mezcla las lentejas con la quinoa, el orégano, la pasta de ajo al gusto, sal y pimienta. Debes procesar estos ingredientes con la ayuda de un mixer o en una licuadora. No importa si la mezcla queda más liquida que firme, lo ideal es que cuando estemos cocinándolas tengan una consistencia más firme para que se formen las hamburguesas de lentejas y quinoa. 
5 Ahora agrégale la miga de pan y mezcla con la ayuda de una cuchara. Esto ayudará a que nuestra mezcla tenga más consistencia y cuerpo al momento de la preparación.Si quieres que las hamburguesas sean veganas comprueba que la miga de pan sea de un pan vegano. 
6 Lleva un sartén a fuego medio y agrega una cucharadita de aceite en todo el sartén. Una vez observes que esta caliente el sartén, con la ayuda de una cuchara agrega la masa y forma dos círculos, con la ayuda de una espátula debemos empujar los bordes de afuera hacia adentro ayudando a forma la hamburguesa. 
7 Una vez veas que las hamburguesas están doradas por un lado, con mucho cuidado dales vuelta con la ayuda de la espátula. Debes dorar por lado y lado entre 8-10 minutos a fuego medio. Verás que ya con el calor las hamburguesas de quinoa y lentejas toman más consistencia y cuerpo. 
8 Sirve las hamburguesas de quinoa y lentejas como más desees, puedes acompañar con pan de hamburguesas, queso, unas rodajas de tomate y lechuga. Si la prefieres comer al plato puedes decorar con unas rodajas de tomate fresco.Si deseas más recetas de quinoa o lentejas y tienes alguna duda o comentario escribanos. Disfrutar.",c113dd9a-1b55-4308-98d9-90a0ed4dfffc,comida
Hamburguesas de cuscús,https://www.recetasgratis.net/receta-de-hamburguesas-de-cuscus-52858.html,"250 gramos de Cuscús cocinado
2 unidades de Cebolla roja
1 puñado de Miga de pan
1 pizca de Tomillo seco
1 cucharadita de Pasta de ajo
1 pizca de Sal
1 pizca de Pimienta","1 Para empezar a realizar nuestras hamburguesas de cuscús, el primer paso es prealistar todos los ingredientes. 
2 Adicionar en un bol el cuscús cocinado, 1 cucharadita de pasta de ajo y la cebolla morada cortada en plumas. Procesar todos los ingredientes hasta que se integren bien a la preparación. 
3 Agregar a la mezcla de las hamburguesas vegetarianas un poco de miga de pan, tomillo seco, sal y pimienta al gusto. Mezclar bien. 
4 Lo ideal es que quede una masa como la que se muestra en la foto para que podamos realizar las hamburguesas de cuscús. Reservar la mezcla media hora en la nevera o refrigerador. 
5 Realizar bolitas con la mezcla de las hamburguesas, aplastarlas con mucho cuidado ya que la masa es delicada para poder hacer la forma de hamburguesa. 
6 En una sartén con un poco de aceite de oliva freír las hamburguesas de cuscús hasta que doren por lado y lado. 
7 Servir las hamburguesas de cuscús, en este caso era una entrada si lo queremos realizar como plato fuerte podemos aumentar el tamaño de la porción de cada hamburguesa, acompañar con pan o vegetales que usted desee. Si deseas más recetas de cuscús y tienes algún comentario o inquietud por favor escríbanos. Disfrutar esta deliciosa receta.",77f2b897-0c44-476f-9a70-f0774c2a701f,comida
Hamburguesas de Arroz Yamaní,https://www.recetasgratis.net/receta-de-hamburguesas-de-arroz-yamani-72737.html,"2 tazas de arroz yamaní
1 zanahoria
1 cebolla
2 dientes de de ajo
1 pimiento rojo
1 cucharada sopera de de perejil picado
1 taza de de queso rallado (puede ser vegano) Aceite de oliva","1 Vierte dos tazas y media de agua en una olla junto con el arroz yamaní y añade sal. Cuécelo por unos 40 minutos y luego déjalo reposar por otros 12. Truco: Hierve con el fuego al máximo y asegúrate de respetar los tiempos de cocción para que la textura sea perfecta. 
2 Pica las cebollas, el pimiento rojo y el ajo en pedacitos muy finos. Luego, sofríelos en una sartén con un poquito de aceite de oliva. Agrégale un poco de sal y déjalo cocinar por unos 10 minutos. 
3 Ralla la zanahoria y mézclala en un bol junto al arroz, las verduras, las hojitas de perejil y el queso rallado. Puedes usar queso vegano u omitir el queso del todo. Si quieres preparar tu propio queso, esta receta de queso vegano garbanzos seguro que te encantará. Truco: No olvides mezclar bien para que la masa que se forme sea consistente y fácil de moldear. 
4 Luego, moldea la mezcla en forma de hamburguesas hasta que te queden perfectamente confeccionadas. Truco: Puedes agregar otros condimentos como el curry o el orégano, para añadir más sabor a las hamburguesas de arroz yamaní. 
5 Coloca las hamburguesas en una bandeja aceitada y déjalas cocer al horno a una temperatura de 200 ºC por 10 minutos de cada lado. ¡Sírvelas con pan u otros acompañantes y disfruta!",305517d6-a225-4145-a913-68b91d0e4a1d,comida
Hamburguesas de arroz integral,https://www.recetasgratis.net/receta-de-hamburguesas-de-arroz-integral-70919.html,"2 tazas de arroz integral cocido
1 zanahoria rallada
1 cebolla picada
3 cucharadas soperas de perejil o cilantro picado
1 cucharada sopera de aceite de oliva
1 cucharada sopera de shoyu o soja pan rallado o harina de arroz Pimienta negra al gusto Sal al gusto
1 chorro de aceite vegetal","1 Reúne los ingredientes necesarios para hacer estas hamburguesas vegetales. Si el arroz integral ya ha sido cocinado con cebolla como fue mi caso, reduce la cantidad de cebolla de esta receta. También puedes añadir otros ingredientes a tu gusto como más verduras y especias como curry o jengibre. Truco: Si aún no tienes el arroz integral cocido, ten en cuenta que necesita mucho más tiempo de cocción que el común. 
2 Coloca todos los ingredientes en un bol y mézclalos con las manos. Condimenta con la sal y la pimienta al gusto. Truco: Si después de mezclar bien la consistencia de la masa es demasiado blanda para formar las hamburguesas de arroz y verduras, añade un poco de pan rallado o para una versión sin gluten, harina de arroz. 
3 Coge porciones de masa, moldéalas con las manos y forma las hamburguesas veganas con el grosor que te parezca. Truco: Puedes hacer las burgers más o menos grandes según la cantidad de masa que cojas. 
4 Fríe las hamburguesas de arroz integral a fuego bajo en una sartén o plancha con muy poquito aceite durante aproximadamente 5 minutos por cada lado, o hasta que estén bien doradas. Sírvelas recién hechas con una ensalada de repollo y zanahoria sin mayonesa por ejemplo y un poco de pan casero con harina integral fácil. Y si buscas un extra de sabor, ¡prueba esta deliciosa receta de salsa barbacoa vegana rápida! Truco: También puedes hacerlas al horno si lo prefieres.",4459e314-d431-4984-9075-66c16ea87f63,comida
Hamburguesas de quinoa y judías rojas,https://www.recetasgratis.net/receta-de-hamburguesas-de-quinoa-y-judias-rojas-70363.html,"1 bote de judías pintas ya cocidas (425 gramos)
1 taza de quinoa ya cocida (unos 195 gramos)
½ taza de pan rallado (unos 60 gramos. Lo puse un poco a ojo)
1 cucharada sopera de vinagre balsámico
½ cebolla picada
2 cucharaditas de ajo en polvo
2 cucharaditas de maicena (opcional, según la textura que os quede)
1 cucharadita de pimentón
1½ cucharaditas de comino en polvo
1 pizca de pimienta de cayena
1 cucharada sopera de lino dorado molido
3 cucharadas soperas de agua
1 cucharada sopera de mayonesa colmada (o un poco más, 1 y 1/2) (o veganesa para la opción vegana)
1 cucharada sopera de salsa de tomate (o en su defecto ketchup)
½ cucharada sopera de salsa Sriracha colmada (la hay picante y muy picante)
½ cucharadita de mostaza de Dijon","1 Lo primero que haremos será preparar el huevo vegano. Para ello mezclamos las 3 cucharadas de agua con la cucharada de lino molido (queda muy bien si lo hacéis en un molinillo de café). Nos aseguramos de que no queden grumos y lo metemos en la nevera unos cinco minutos. 
2 Lavamos con agua las judías rojas para quitar el líquido de conserva y las escurrimos bien. 
3 Con la ayuda de un procesador de alimentos o una batidora de mano trituramos. No queremos una pasta homogénea, queremos que quede algún trozo sin romper. Así, el resultado no debe ser una crema para que podamos obtener unas hamburguesas veganas de quinoa y judías con la consistencia ideal. 
4 Cuando tengamos listas las judías, las ponemos en un bol y añadimos el resto de ingredientes, incluido el huevo vegano. Vamos mezclando (lo mejor es hacerlo con las manos), hasta obtener una pasta homogénea. 
5 Es el momento de dar forma a las hamburguesas veganas de alubias y quinoa. Con las cantidades que os pongo salen 4 hamburguesas grandes (¡enormes!), que es lo que yo hice, o 5 de un tamaño probablemente más adecuado, je, je. 
6 Una vez formadas las hamburguesas, las dejamos reposar al menos 10 minutos en la nevera. En este punto se podrían también congelar, que es lo que yo hice con un par. Se mantienen genial y luego al comerlas están tan ricas como recién hechas. Para comerlas, ponemos un poco de aceite de oliva en una sartén y las cocinamos 3-5 minutos por cada lado (si las hacéis tan grandes como yo os recomiendo algo más de tiempo). 
7 En el último minuto, colocamos una loncha de queso (vegano, si queréis mantener la receta 100 % vegetal) y tapamos para que se termine de hacer y se derrita el queso. 
8 Mientras tanto, preparamos la salsa para hamburguesa vegetal especial mezclando todos los ingredientes en un bol. Truco: La podéis hacer poco picante o muy picante, según os guste. Es cuestión de elegir la opción que más os llame la atención de salsa Sriracha. 
9 Ya solo queda montar nuestra hamburguesa de quinoa y judías rojas. Para ello, yo tosté un poco de pan rústico de hamburguesa con semillas (¡ñam!), coloqué unas hojas de lechugas variadas, una rodaja de tomate y otra de pepinillo en vinagre, luego la hamburguesa con la loncha de queso y encima un poco de las salsa especial para hamburguesa vegana. 
10 Acompañé el plato con unas magníficas patatas especiadas al horno (de las que también pronto tendréis la receta), aunque también se podría preparar patatas salteadas con hierbas. Quedó un plato de lujo. Diría que decadente, je, je. Pero oye, ¡si es sano y decadente a la vez entonces no importa! Y sobre todo,¡buenísimo! Más recetas en mi blog Mins Cocina, ¡no os las perdáis!",d97f38fa-9e16-4124-8b95-9c0511d44ce6,comida
Hamburguesas de quinoa y berenjena,https://www.recetasgratis.net/receta-de-hamburguesas-de-quinoa-y-berenjena-69660.html,"½ taza de quinoa blanca
½ taza de quinoa roja
1 berenjena
½ taza de guisantes congelados
1 cebolla
2 dientes de ajo
1 cucharada sopera de aceite de oliva
½ cucharadita de romero
1 cucharadita de comino
1 cucharadita de jengibre
1 pizca de pimienta negra
1 cucharadita de sal","1 Lava bien la quinoa en agua fría y cocínala en agua hirviendo durante 10-12 minutos hasta que quede blanda. Escúrrela y reserva. 
2 Pela la berenjena y córtala en trocitos pequeños. Cocínala en agua hirviendo hasta que quede blanda durante 20-25 minutos. Escúrrela bien y reserva para seguir con la preparación de las hamburguesas de quinoa y berenjena. 
3 Cocina los guisantes en agua hirviendo hasta que queden blandos durante 5-7 minutos. 
4 Mientras se cocinan los guisantes, pica la cebolla y el ajo. Luego, calienta una sartén con aceite y pocha el ajo y la cebolla. 
5 En la batidora tritura la berenjena cocida y los guisantes. Incorpora el puré resultante a la sartén con el sofrito de cebolla y ajo, añade el romero, el jengibre, la sal y la pimienta, remueve y cocina 2-3 minutos. De esta forma, las hamburguesas veganas de berenjena y quinoa quedarán muy sabrosas. 
6 Añade la quinoa a la sartén y sigue cocinando durante otros 2-3 minutos para que absorba los sabores de las especias. Retira la sartén del fuego y deja la masa de las hamburguesas veganas enfriar. 
7 Forma las hamburguesas con las manos y pincélalas con aceite. 
8 Cocina las hamburguesas al horno durante 20 minutos a 180 grados o fríelas en aceite caliente por ambos lados hasta que se doren. Sirve las hamburguesas de berenjena y quinoa acompañadas de pisto de verduras, cuscús con garbanzos, o la guarnición que más te guste. Más recetas veganas en mi blog Vegspiration.",1b0c3cb8-2c44-4560-88bd-80f99f458505,comida
Hamburguesas de quinoa y remolacha,https://www.recetasgratis.net/receta-de-hamburguesas-de-quinoa-y-remolacha-68884.html,"2 remolacha (o betabel) cocida
½ cebolla
1 cucharadita de ajo en polvo
½ cucharadita de comino en polvo
2 cucharadas soperas de copos de avena o de harina de avena
1 puñado de cacahuetes
½ taza de quinoa cocida
½ cucharadita de sal","1 Introduce en el vaso de la batidora los cacahuetes y la avena en copos. Bate a velocidad alta hasta que quede una especie de harina, aunque no hace falta que los cacahuetes se trituren del todo. 
2 Corta remolacha y la cebolla en trozos e introdúcelas en el vaso de la batidora. Añade también el ajo en polvo, el comino y bate otra vez hasta que quede una mezcla homogénea. 
3 Pasa la mezcla de la batidora a un bol y añade la quinoa cocida, remueve para integrar bien los ingredientes. 
4 Coge porciones de masa con las manos y forma las hamburguesas de remolacha y quinoa. Truco: Puedes hacerlo con la ayuda de un molde especial para las hamburguesas como he hecho yo. 
5 Cocina las hamburguesas de quinoa y remolacha en una sartén o plancha con aceite caliente por ambos lados hasta que se doren un poco o al horno durante 20-30 minutos a 180 grados.Entra en mi blog Vegspiration y descubre una gran variedad recetas de hamburguesas veganas de las que dispongo.",4da6e81e-8359-4f6a-986d-1288d3c72480,comida
