title,url,ingredients,steps,uuid,categoria
Langostinos en salsa marinera,https://www.recetasgratis.net/receta-de-langostinos-en-salsa-marinera-74872.html,"12 langostinos
2 dientes de ajos
1 puñado de perejil picado
1 cucharada sopera de harina
1 cucharada postre de pimentón dulce o picante
2 cucharadas soperas de tomate frito
150 mililitros de vino blanco
150 mililitros de caldo de pescado
1 pizca de sal
1 chorro de aceite de oliva","1 Pica los ajos muy pequeñitos. Pon una sartén al fuego con un chorro de aceite de oliva a fuego medio, añade los ajos picados. Ten cuidado de que no se quemen, ya que da muy mal sabor. 
2 Cuando empiece a tomar color los ajos, añade la media cucharadita de pimentón y el tomate frito. Remueve y mezcla todo. Aquí podrías poner un poco de pimentón picante o una cayena junto con los ajos, así dará un toque picante a la salsa. 
3 Seguido, añade la cucharada de harina. Remueve y mezcla 1 minuto todo para que se haga un poco la harina y luego la salsa sepa mejor. 
4 Añade el vino blanco, déjalo hasta que empiece a hervir y deja unos minutos hasta que se evapore el alcohol. Seguido, añade el vaso de caldo, remueve y deja que cocine todo junto hasta que la salsa vaya cogiendo cuerpo. Agrega un poco de sal.Si queda muy espesa, añade más caldo. Si, por el contrario, queda muy ligera la salsa, coge un vaso y deshaz en un poco de agua o caldo una cucharada de harina normal o harina de maíz (maicena). 
5 Prepara las gambas, corta un poco los bigotes, sálalas y añádelas a la salsa que has preparado. Deja cocinar todo junto de 3 a 5 minutos, según como sean los langostinos, no hay que hacerlos demasiado.Prueba de sal y rectifica. Añade el perejil picado por encima y apaga. Sirve enseguida.",0db404df-a36b-45be-962d-4741dfaa60e2,comida
Langostinos al curry,https://www.recetasgratis.net/receta-de-langostinos-al-curry-74704.html,"1 kilogramo de langostinos
200 gramos de leche de coco o crema de leche
4 cucharadas soperas de tomate frito
1 cucharada sopera de curry
1 cucharada postre de jengibre
1 unidad de cebolla
1 chorro de aceite de oliva
1 unidad de lima o limón
1 puñado de cilantro o perjil","1 Limpia los langostinos de las cabezas y pieles. También se pueden comprar langostinos pelados congelados, solo déjalos descongelar y estarán listos para utilizar. Pon a calentar una sartén con un poco de aceite y, cuando esté caliente, saltea los langostinos un par de minutos, sácalos y resérvalos. 
2 Pela la cebolla y córtala en trozos pequeños. En la misma sartén donde hayas salteado los langostinos, añade un poco más de aceite y añade la cebolla, póchala hasta que quede transparente. 
3 Cuando esté la cebolla, añade el tomate frito, mezcla y añade la leche de coco. Deja cocinar unos minutos. Si no te gusta la leche de coco se puede poner en su lugar crema de leche para cocinar. 
4 Una vez mezclado añade una cucharada de curry, remueve y pon la cucharadita de jengibre, vuelve a remover. Prueba por si te gusta más fuerte de sabor de alguna de las especias y añade más. 
5 Echa un chorro de lima o de limón y un poco de sal, prueba. 
6 Una vez está mezclada y en su punto la salsa añade los langostinos, deja que se cocine todo junto unos minutos. 
7 Pica cilantro o perejil muy chiquito, añádelos a la salsa con todo y apaga. Sirve los langostinos al curry bien calientes. Si no te gusta el cilantro, en su lugar se puede poner perejil.Para acompañar este plato le va muy bien un arroz basmati como acompañamiento.",db7e51cb-bd68-4b08-ba5d-ed0bc9e0b42a,comida
Langostinos o cigalas al horno,https://www.recetasgratis.net/receta-de-langostinos-o-cigalas-al-horno-25925.html,unas cigalas o langostinos grandes ajo y perejil zumo de limón aceite y sal,"1 Se adoba el marisco unas horas antes o preferiblemente la noche anterior con ajo y perejil picados, sal y un poco de aceite. Se ponen en una fuente, se rocían con zumo de limón y se meten al horno previamente caliente y temperatura media (200 grados) hasta que estén listos (30-45 minutos). 
2 Durante su asado se le remueven y se bañan con su jugo. 
3 Este tipo de mariscos cocinado de esta manera esta delicioso e incluso pueden hacerse de esta manera las langostas o bogavantes pequeños. Como cocer los mariscos. 
4 De una manera general podemos decir que, después de lavados y limpios, se cuecen en agua que los cubra lo justo con unas hojas de laurel y sal abundante (preferiblemente gruesa)... sacándolos rápido de la olla una vez cocidos y dejándolos escurrir. 
5 Las minchas: se dejan a remojo en agua fría con un poco de sal la noche anterior... y se cuecen en agua fría 5 minutos a partir del hervor. 
6 Los percebes: se lavan solo ligeramente debajo del grifo y se cuecen en agua hirviendo que los cubra muy justo... sacándolos rápido al nuevo hervor. 
7 Las cigalas, langostinos, camarones y gambas: se cuecen en agua hirviendo... durante unos 2 minutos lo pequeño y 5 minutos lo grande a partir del hervor. 
8 Las nécoras, centolla, buey, langosta: se cuecen en agua fría si vivas o agua hirviendo si muertas... cociéndolas a partir del hervor (o nuevo hervor) 5 minutos las nécoras y 10-15 minutos el resto según tamaño. 
9 Las almejas, mejillones y berberechos: estos son una excepción pues se dejan a remojo la noche anterior (excepto los mejillones) en agua con una pizca de sal para que suelten las arenas... y se cuecen abriéndolos en la misma olla al vapor sin agua pues ya la sueltan ellos. 
10 Estos mariscos no hay que sacarlos rápido y dejarlos escurrir como los demás, sino que conviene dejarlos en la olla hasta el momento de servirlos o prepararlos de alguna otra manera.",65f7dc5b-aa71-4e34-80f4-be3bdf049dd1,comida
Langostinos arco iris,https://www.recetasgratis.net/receta-de-langostinos-arco-iris-25919.html,"30 langostinos medianos, tipo marfil,
50g de mantequilla
1/4l de aceite de oliva suave
2 vasos de whisky pimienta blanca molida sal.
1/4 de tomate triturado azúcar sal estragón en hojas
1 dl de aceite de oliva
1 escalonia.
1/4 de aceite de oliva
1 huevo
5 dientes de ajo sal
1 cucharadita de miel. jugos del flameo de los langostinos
1/2 l de nata líquida sal pimienta de cayena molida.
3 cucharadas de mostaza verde a la finas hierbas
2 aguacates maduros
2 cucharadas de aceite de oliva sal
6 ó
7 tiras de cebollino fresco
1 copita de ginebra.
50 gr. de sucedáneo de caviar negro
1 copita de vodka
1/2 cebolla blanca
1/2 l de crema de leche sal mantequilla azúcar.","1 Salpimentar los langostinos y freír en dos veces con el aceite y la mantequilla mezclados. 
2 Flamear con el whisky agitando la sartén hasta que se apague. 
3 Retirar los langostinos y reservar en lugar caliente. 
4 Recoger los jugos del flameo y reservar. 
5 Las salsas: De tomate: Picar finamente la escalonia y sofreír en el aceite. 
6 Cuando empiece a tomar color, añadir el tomate triturado, sal, un poco de azúcar y las hojas de estragón desmenuzadas. 
7 Seguir el sofrito a fuego lento hasta que tengo aspecto de mermelada. 
8 Triturarlo con la batidora. 
9 De alioli: Machacar los ajos dejándolos como una pasta y ponerlos en un vaso de batidora con el aceite, los huevos y las sal. 
10 Con la batidora eléctrica, montar una mahonesa consistente. 
11 Añadir la miel y batir enérgicamente de arriba a abajo para que se incorpore. 
12 De whisky: Colar los jugos del flameo de los langostinos y llevar al fuego. 
13 Cuando empiece a hervir, incorporar la crema de leche y una punta de cuchillo de cayena, sin dejar de batir. 
14 Reducir a fuego medio hasta que espese. 
15 Rectificar de sal. 
16 De mostaza a las finas hierbas: Cortar finamente el cebollino y sofreír en el aceite junto con los aguacates pelados y troceados. 
17 Saltear a fuego suave, añadir la mostaza y flamear con la ginebra. 
18 Rectificar de sal y pasarlo por la batidora para obtener una pomada. 
19 De caviar al vodka: Picar la cebolla muy pequeña y sofreír con un poco de mantequilla sin que tome color. 
20 Añadir un poco de azúcar y flamear con el vodka hasta que se apague. 
21 En un mortero machacar el sucedáneo de caviar e incorporarlo a la sartén. 
22 Agregar la crema de leche y reducir a fuego medio hasta que espese. 
23 Rectificar de sal y pasar por el chino. 
24 Presentación: Pelar las colas de los langostinos dejando el cuerpo pegado a sus cabezas. 
25 Disponerlos por raciones en platos amplios individuales ( cinco por ración), que las colas lleguen a tocarse. 
26 Napar generosamente cada una de las colas con una salsa distinta. 
27 Antes de servir gratinar ligeramente en el grill.",46b009c0-b0e7-449d-b86d-5fc6893fb3fe,comida
Langostinos al vino,https://www.recetasgratis.net/receta-de-langostinos-al-vino-25918.html,"800 gr de langostinos
1 cebolla
1 zanahoria
1 hoja de laurel
2 cucharaditas de finas hierbas
1 clavo
1 pizca de curry
1/2 vaso de vino blanco seco
1 vaso de caldo de cocción de langostinos Maicena
200 gr de arroz blanco Sal Pimienta","1 Cocer los langostinos. 
2 Calentar el aceite en una cazuela y añadir la cebolla y las zanahorias picadas, finas hierbas, pimienta y clavo. 
3 Cuando empiece a dorarse, incorporar los langostinos y rehogar durante dos minutos. 
4 A continuación, añadir el vino y una tacita de caldo filtrado, tapar y dejar estofar durante 10 minutos. 
5 Retirar del fuego y escurrir los langostinos. pasar la salsa por un chino, espesar con la maicena disuelta en un poco de agua y condimentar con curry. 
6 Salpimentar al gusto. 
7 Servir acompañado de arroz blanco, hervido con agua de cocción de los langostinos. 
8 Para 4 personas.",799df82f-540c-4eaf-8459-61f4fe64b6c6,comida
Langostinos al gruyere,https://www.recetasgratis.net/receta-de-langostinos-al-gruyere-25914.html,"4 Libras langostinos,
7 Cucharadas de mantequilla,
3 Cebollas de cabeza blancas, en trocitos,
1/2 Taza de perejil picado, finito,
2 Cubos de caldo de gallina,
2/3 Cucharadas a ras de paprika, no picante,
5 cucharadas de harina de trigo doradas en perol seco,
1/2 Taza de crema de leche espesa,
2 tazas de leche,
1 taza de agua (de la que soltaron al cocinarlos a ""mi manera"",
1/2 taza de vino blanco de cocina,
1
1/2 Tazas de champiñones,
1/4 Libra queso gruyere rallado","1 Pelar los langostinos crudos, y por medio de un corte no muy profundo a lo largo del lomo, quitarle la vena que traen. 
2 Cocinarlos en agua caliente y sal, déjelos hervir 3 minutos, no más. 
3 Escúrralos y guárdelos en la nevera. O si prefieren a"" mi manera"" pero reservando el agua que soltaron. 
4 Salsa Gruyere: dorar la cebolla en la mantequilla, cuando este cocinada, añadir, perejil, los cubos de caldo de gallina y la paprika. Dejar esto a fuego lento por 5 minutos. 
5 Añadir la harina, (dorada previamente) pasándola por colador, poco a poco para que no se formen grumos, revuelva constantemente, hasta que quede lisa y suave. 
6 Añadir la leche caliente, mezclada con el agua,(reservada) luego el vino y la crema. 
7 Si la salsa la ve clara, la puede espesar con harina sin dorar, disuelta en un poco de agua. 
8 Por último agregar los champiñones, previamente fritos en la mantequilla y el queso gruyere. Cocinar hasta que se derrita bien el queso. 
9 Los langostinos se unen a la salsa únicamente para calentarlos y servirlos, sin dejarlos hervir mucho, pues de lo contrario se achican. 
10 Para 6 personas.",222d596f-601a-4a25-ba1b-e49535186fec,comida
Langostinos al mojo de ajo,https://www.recetasgratis.net/receta-de-langostinos-al-mojo-de-ajo-25916.html,"6 langostinos
5 dientes de ajo
6 limones Mantequilla Sal Pimienta","1 Lave perfectamente los langostinos; salpiméntelos y úntelos generosamente con mantequilla. 
2 Pique finamente el ajo. 
3 Acomode los langostinos en un molde enmantequillado y esparza encima el ajo picado y trocitos de mantequilla. 
4 Hornéelos hasta que estén dorados. 
5 Sírvalos calientes con limón rebanado.",9bea4d9e-aa67-42b6-b962-a8ffdb84efb7,comida
Langostinos a la plancha con vinagreta,https://www.recetasgratis.net/receta-de-langostinos-a-la-plancha-con-vinagreta-25913.html,"800 gr. de langostinos
250 gr. de espárragos verdes Un manojo de berros Unas hojas de lechuga
5 cucharadas de aceite de oliva
3 cucharadas de vinagre
2 cucharadas de perejil picado Sal Pimienta","1 Limpiar los espárragos y cocerlos durante 15 minutos y cortarlos en trozos. 
2 Lavar los berros y las hojas de la lechuga y cortarlas en juliana.Sazonar los langostinos y ponerlos de 6 a 8 minutos sobre una plancha caliente untada con una cucharada de aceit. 
3 Darles la vuelta a mitad de cocción, rociándolos con una cucharada de aceite. 
4 Hacer una vinagreta con e! resto de aceite, vinagre, pimienta y sal. Servir los langostinos con los espárragos, berros y la lechuga, rociarlos con la vinagreta y espolvorearlos con el perejil picado.",293bf571-1407-41a5-af12-4b4915de8033,comida
Langostinos a la americana,https://www.recetasgratis.net/receta-de-langostinos-a-la-americana-25909.html,"15 langostinos grandes
250 gr. de tomates Un vaso pequeño de brandy
2 chalotas o cebollitas pequeñas
1/2 vaso de aceite de oliva
50 gr. de mantequilla
20 gr. de harina
1 cucharada (sopera) de tomate concentrado Un poco de estragón perejil.
500 gr. de espinas de pescado
1 cebolla Un ramillete de perejil
50 gr. de champiñones
1 limón
1 vaso de vino blanco seco Sal pimienta.","1 Preparar el caldo de pescado: Poner en una cacerola las espinas, las cabezas de los langostinos, la cebolla cortada en trozos grandes, el perejil, los champiñones, un poco de sal y pimienta, el vaso de vino, el zumo del limón y finalmente un litro de agua. 
2 Llevar a ebullición y quitar la espuma que se produzca. 
3 Bajar el fuego y dejar cocer durante una hora. 
4 Los langostinos: Pelar los cuerpos de los langostinos. 
5 Pelar, despepitar y cortar en pequeños trozos los tomates. 
6 Picar igualmente las chalotas. 
7 Calentar en una sartén amplia el aceite hasta que ahume un poco, introducir los langostinos y freírlos hasta que se obtenga un bonito color. 
8 Añadir entonces el coñac y flamearlo ; introducir entonces los tomates, las chalotas y el caldo de pescado. 
9 Dejar cocer durante 15 minutos. 
10 Retirar entonces los langostinos y conservarlos al calor. 
11 Añadir entonces a la sartén el concentrado de tomate y mezclar bien. 
12 Dejar cocer a fuego fuerte con el fin de que el conjunto se reduzca un poco. 
13 Mezclar 20 g de mantequilla con 20 g de harina e incorporar esta mezcla a la preparación anterior con el fin de obtener una perfecta ligazón. 
14 Verificar de condimento. 
15 Introducir en el recipiente los 30 g restantes de mantequilla e incorporarlos con la ayuda de un batidor de mano. 
16 Pasar el conjunto por un chino o pasapurés y añadir entonces el perejil y el estragón finamente picados. 
17 Colocar en la fuente de servicio los langostinos y naparlos con la salsa que hemos obtenido.",7a404afb-645e-4a44-8433-61e2e1d0f756,comida
Langostinos Marbell,https://www.recetasgratis.net/receta-de-langostinos-marbell-16538.html,langostino ajo aceite de oliva mantequilla romero tomillo silvestre brandy 1 chorro vino blanco sal pimienta PARA LA GUARNICIÓN patata al vapor,"1 Esta receta es preparada con langostinos de 130 gr, que se cosechan en los mares de Ecuador Un poco de ajo, aceite de oliva, y mantequilla inician esta receta exquisita. 
2 Luego de estos ingredientes tenemos el romero el tomillo silvestre y un buen brandy para flamear, esto a fuego lento por unos 5 minutos y luego agregar un chorillo de vino blanco siempre rectificaremos con sal y pimienta al gusto. 
3 Para terminar sirviendo con patatas an vapor o simplemento un buen pan de agua tengan Uds.buen probecho.",d4963317-24cb-4dae-add6-5e9a2a2a4549,comida
