title,url,ingredients,steps,uuid,categoria
Lasaña de calabaza y queso,https://www.recetasgratis.net/receta-de-lasana-de-calabaza-74718.html,"300 gramos de calabaza
1 trozo de cebolla dulce
2 dientes de ajo
1 puerro
1 pellizco de orégano
1 pellizco de nuez moscada
1 cucharadita de sal
1 pizca de pimienta negra molida
2 cucharadas soperas de harina común
3 vasos de leche semidesnatada
6 hojas de albahaca fresca
1 taza de parmesano rallado
3 cucharadas soperas de
4 quesos rallados (opcional)
8 láminas de lasaña
2 cucharadas soperas de queso ricotta
2 pellizcos de pimentón dulce de la vera o ahumado","1 Hay distintas formas de cocinar la calabaza, aquí te enseñaremos una que es espectacular y queda excelente y en su punto, aunque si no optas por esta opción, podrás cocer la calabaza de forma convencional, en una cacerola con un vasito de agua unos 20 minutos o hasta que reblandezca.Puedes comprar la calabaza ya cortada y sin semillas en una bolsa, o preparar 300 g de calabaza. En cualquier caso, una vez cortada déjala en una bolsa y pínchala con un tenedor varias veces. Lleva al microondas por 10 minutos y verás que queda perfecta. 
2 Deja que repose en el microondas mientras continúas con los pasos, así evitarás quemaduras. Pela, limpia y pica la cebolla, el ajo y el puerro; este último solo hasta la mitad, deshecha el tallo más verde. 
3 En un recipiente hondo y amplio, hidrata las láminas de pasta para la lasaña de calabaza, llena de agua muy caliente y ve depositando las laminas una por una evitando que se peguen entre sí. 
4 Mientras las láminas se hidratan, sofríe 4 minutos la cebolla junto con el puerro y el ajo, añade pimienta molida y nuez moscada, remueve. 
5 Ya puedes sacar la calabaza del microondas. Abre la bolsa y aplasta con un tenedor, será muy sencillo. Añade el puré de calabaza a la sartén con el sofrito, y agrega dos cucharadas bien colmadas de ricotta. Mezcla hasta que queden totalmente integrados los ingredientes y formen una pasta. Retira del fuego y reserva. 
6 Prepara una salsa bechamel para lasaña con textura ligera y a su vez cremosa. Para ello, tuesta la harina con un chorro de aceite y, poco a poco, vierte la leche tibia a pequeños chorritos mientras remueves para evitar que se formen grumos. Una vez tengas la consistencia de la bechamel, dale un punto de sal, y añade la albahaca fresca picada y un poquito de orégano. Remueve y retira del fuego. Si quieres hacer una bechamel vegana, puedes usar leche de soja. Truco: prepara el horno y precalienta a 200 ºC arriba y abajo. 
7 Saca las láminas del recipiente y deja que escurran el agua sobre un colador grande. Después, utiliza una bandeja o una fuente aceitada para que las láminas no se queden adheridas, y ve montando la lasaña. Pon dos láminas con una pequeña separación entre sí, deposita dos cucharadas de mezcla de calabaza, y vierte la bechamel con una cucharada de parmesano. Tapa con una lámina y vuelve a rellenar de la misma forma hasta terminar tu lasaña de calabaza vegetariana. Truco: si quieres hacer una lasaña de calabaza vegana, puedes omitir el queso o utilizar un queso vegano. 
8 En la cuarta y última lámina solo pondrás la bechamel y el queso parmesano de manera más generosa. Espolvorea por encima pimentón de la vera o pimentón ahumado para darle un toque muy especial que acentuará su sabor y olor. Introduce en el horno a 180 ºC a media altura solo con la resistencia de arriba encendida, deja 20 minutos. 
9 Cuando saques la lasaña de calabaza y queso a la mesa, espolvorea queso rallado para decorar. Para acompañar, puedes preparar una ensalada de endibias, tomate y anchoas. ¡Buen provecho!",ae2b21b1-45f5-4587-81aa-9e962eb43aed,comida
Lasaña de BRÓCOLI Deliciosa,https://www.recetasgratis.net/receta-de-lasana-de-brocoli-74026.html,"1 paquete de láminas de pasta para lasaña
1 brócoli
1 cebolla
2 dientes de ajo
2 cucharadas soperas de queso crema, requesón o ricotta
2 tomates
2 cucharadas soperas de salsa de tomate triturado (opcional)
1 pizca de sal
1 pizca de pimienta
250 mililitros de leche
4 cucharadas soperas de harina de trigo
½ cebolla picada (opcional)
1 pizca de nuez moscada
1 pizca de sal","1 Lava el brócoli, sepáralo en ramilletes y cocínalo en agua hirviendo. Si lo prefieres, puedes cocinar el brócoli al vapor o al horno, dependiendo de si quieres que tu lasaña tenga un sabor más ahumado o no. Por otra parte, cocina las láminas de pasta siguiendo las instrucciones del paquete. Truco: Cocínalo a fuego medio hasta que esté tierno. Suele tardar unos 15-20 minutos. 
2 Mientras el brócoli se cocina, te recomendamos aprovechar para preparar la bechamel, que es quizá el paso más complicado de la receta. Para ello, te aconsejamos triturar la cebolla y saltearla con la harina hasta que la harina esté dorada. Luego, vierte la leche y no dejes de remover para que la salsa espese. Agrega nuez moscada y sal al gusto. Una vez lista, puedes triturarla para que quede más lisa. Descubre todos los detalles en la Receta de salsa bechamel para lasaña. Truco: La cebolla permite que la salsa bechamel tenga un toque de sabor delicioso, pero si lo prefieres puedes eliminarla de la receta. 
3 Reserva la bechamel y empieza a hacer el sofrito. Así pues, pela los dientes de ajo y la cebolla y pica estos ingredientes del tamaño que prefieras. Si los picas finamente, se cocinarán más rápido, pero si los cortas en trozos más grandes podrás notarlos al comer la lasaña de brócoli. 
4 Pon una sartén con aceite al fuego y, cuando esté caliente, saltea el ajo picado. Antes de que empiece a dorarse, incorpora la cebolla y sofríe ambos ingredientes. El sofrito es el que aporta sabor a la lasaña de brócoli, de manera que si quieres puedes añadir puerro picado u otras verduras que te guste, como pimientos, zanahorias... Truco: También puedes hacer lasaña de brócoli y champiñones añadiendo 3-4 champiñones laminados. 
5 Añade el tomate picado, mezcla y vierte la salsa de tomate triturado. El tomate triturado es opcional, pero aporta jugosidad y cremosidad al relleno. Truco: Para pelar el tomate fácilmente, haz un corte en forma de cruz e introdúcelo en agua hirviendo durante unos segundos, verás que la piel se desprende sola. 
6 Cuando el brócoli esté tierno, escúrrelo y reserva un vaso del agua de la cocción. Luego, puedes triturarlo un poco si quieres que la lasaña de brócoli tenga una textura más similar a la típica lasaña a la boloñesa. 
7 Añade el brócoli al sofrito, mezcla e incorpora el queso crema. Este ingrediente es opcional y se podría sustituir por requesón, ricota, crema de leche e, incluso, un par de cucharadas de bechamel. El objetivo de añadirlo no es otro que el de aportar cremosidad al relleno para que la lasaña de brócoli no quede seca. Truco: Para que la preparación quede todavía más jugosa, ve añadiendo cucharadas de agua de la cocción que tenías reservada. 
8 Monta la lasaña. Para ello, coloca en un molde apto para horno una primera lámina de pasta, cúbrela con un poco de relleno, sitúa otra lámina de pasta encima, agrega de nuevo una capa de relleno y repite este proceso hasta acabar con todo el relleno. Luego, vierte la bechamel por encima y espolvorea queso rallado. 
9 Hornea la lasaña de brócoli con el horno precalentado a 180 ºC hasta que el queso esté completamente gratinado. ¡Y listo! Ya puedes disfrutar de este delicioso plato vegetariano. Esta receta de lasaña de brócoli es un tanto largo debido a que tiene distintos tipos de cocción, pero el resultado es increíble y te permitirá degustar un plato distinto y nutritivo. Puedes variar la receta añadiendo calabacín, espinacas, coliflor e, incluso, atún o pollo si no sigues una alimentación vegetariana.Para aprender a preparar una lasaña de verduras completa, no te pierdas la receta de Lasaña de verduras con queso fresco.",6f8fbc8c-54e1-4584-a0f1-a1432bd87208,comida
"Lasaña sencilla, rápida y económica",https://www.recetasgratis.net/receta-de-lasana-sencilla-66004.html,"1 cebolla
500 gramos de mezcla de carne cerdo y vacuno molida Tomate frito Harina y leche para bechamel
8 láminas de pasta para lasaña cocidas Queso rallado para gratinar","1 Cortar la cebolla en trocitos pequeños y ponerla en la sartén para que se vaya haciendo es el primer paso para hacer esta lasaña sencilla de carne. 
2 Salpimentar la carne, añadirla a la sartén y seguir haciendo la mezcla mientras damos vueltas para que la carne se suelte bien. 
3 Añadir el tomate al gusto y hacer un poco más el relleno de la lasaña sencilla y rápida.No te pierdas esta receta de salsa de tomate para lasaña si la prefieres hacer tú mismo en casa en vez de comprarla. 
4 Montar la lasaña sencilla y económica colocando en un recipiente las distintas capas. Empezar por una capa de pasta cocida, luego una capa del relleno y otra capa de pasta. Ir poniendo capas hasta terminar el relleno. 
5 Hacer una bechamel no muy densa con la harina y la leche. Revisa esta receta de salsa bechamel rápida si quieres los pasos más detalaldos. 
6 Terminar la lasaña sencilla al horno colocando una capa de pasta y poner encima la bechamel y luego bien de queso rallado, e introducir al horno con grill hasta que se dore completamente. 
7 Esperar unos minutos antes de sacar la lasaña sencilla del molde para que no se escurra ¡y listo!",a86fba6b-7c51-4ae9-ab2e-8e53b0417303,comida
Lasaña al salmón,https://www.recetasgratis.net/receta-de-lasana-al-salmon-22404.html,"12 placas de lasaña,
150 gr. de salmón fresco,
250 gr. de bechamel hecha con caldo de pescado,
30 gr. de cebolla picada fina,
150 gr. de queso Emmental rallado,
1 vasito de vodka, perejil, sal y pimienta.","1 Cortar el salmón en trocitos pequeños y rehogarlos en una sartén con la cebolla. 
2 Después, Flambear el salmón y la cebolla con el vodka y añadir, finalmente, el perejil, la sal y la pimienta. 
3 Fundir 100 gr. de queso Emmental con la bechamel y mezclar con el salmón. Cocer la pasta al dente. 
4 En una fuente para horno untar con mantequilla, poner alternativamente una capa de bechamel con el salmón y una de pasta, hasta formar tres pisos de cada una. 
5 Espolvorear con el queso rallado restante y gratinar al horno durante 10 minutos.",ba7f4c63-a5b6-435c-b4ca-056aaa2d07ed,comida
Lasaña clasica al horno,https://www.recetasgratis.net/receta-de-lasana-clasica-al-horno-16366.html,"1 kilo carne picada
4 láminas de lasaña Aceite
1 cebolla picada
8 dientes ajo picados
2 kilos de tomate triturado
1/2 vaso de vino tinto
3 cucharadas de concentrado tomate tomillo laurel
1/2 kilo de queso ricotta
150 ml. de nata líquida
4 huevos
1/2 kilo de queso mozzarella en láminas
50 gramos queso paremsano rallado","1 Rehogar la carne picada y reservar. 
2 Saltear la cebolla y agregar el tomate, el vino, el ajo, el concentrado de tomate, unas hojas de tomillo, una de laurel y la carne picada. 
3 Cocer durante 1 hora. Prepare la pasta. Colocar 200 ml de la salsa de carne en una bandeja de horno. 
4 Disponer una lámina de pasta y espolvorear una tercera parte de la mezcla de queso. Repetir la operación hasta terminar con una capa de carne. 
5 Cubrir con mozzarella y espolvorear parmesano. Gratinar durante 45 minutos. Reposar durante 25 minutos antes de cortar.",7f2e0d6b-4c27-4740-ba9b-7aeeaedbc01b,comida
"Lasaña de champiñones, jamon y espinacas",https://www.recetasgratis.net/receta-de-lasana-de-champinones-jamon-y-espinacas-14272.html,"18 hojas de espinacas
1/4 de kilo de queso ricotta Medio vaso de queso cheddar rallado
2 cucharadas de aceite
1 cebolla picadita
2 dientes de ajo picados
250 gramos de jamón troceado
350 gramos de champiñones picados
1 lata de tomate de
1/2 kilo
1 vaso y medio de puré de tomate Albahaca
1/4 de kilo de láminas de lasaña Parmesano rallado","1 Cortar las espinacas en trozos y cocerlas Escurrirlas y condimentar con el ricotta y el cheddar. 
2 Freír la cebolla y el ajo, luego añadir los champiñones y el jamón y por último los tomates picados y el puré de tomate. 
3 Llevar a ebullición. Bajar el fuego y hervir hasta que la salsa se reduzca y se haga espesa. Añadir una pizca de albahaca. 
4 Disponer láminas de lasaña sobre el fondo de la bandeja del horno Extender la mitad de las espinacas. 
5 Cubrir con láminas Extender la mitad de la mezcla del jamón y poner una nueva capa Repetir lo anterior. 
6 Espolvorear con parmesano, cubrir la bandeja y pasar al ahorno a 180c durante 10 minutos. 
7 Destapar y hornear durante 10 minutos más hasta que la lasaña esté tierna.",c7eb6b77-a4a1-4141-8aa4-b3cbf1031288,comida
Lasaña de verduras y hongos,https://www.recetasgratis.net/receta-de-lasana-de-verduras-y-hongos-13106.html,"Para 4 personas
6 tapas de pasta.
1 berenjena hermosa.
150 grs. de chauchas.
250 grs. de hongos (gírgolas, champiñones, portobello).
1 morrón verde.
1 diente de ajo.
2 cucharadas de queso rallado. Sal. Aceite agua. Un trocito de manteca.
1 cucharada de harina
1 vaso de leche. Perejil picado","1 Cuece la pasta en abundante agua hirviendo con sal, escurre y reserva. 
2 Abre la berenjena por la mitad, hazle unos cortes en cruz y ponla en una placa de hornear. 
3 Sazona, báñala con unas gotas de aceite y hornéala durante 20 minutos a 180 °C. 
4 Pica las chauchas en juliana y ponlas a cocer 15 minutos en una cacerola con agua hirviendo, sal y aceite. 
5 Pica el morrón en juliana y ponlo a dorar en una sartén con aceite, junto con los hongos y el diente de ajo, todo picado. 
6 Para preparar la salsa blanca, funde la manteca en una cacerola, añade la harina y rehoga bien. 
7 Ve añadiendo la leche poco a poco y sin parar de remover. 
8 Pon a punto de sal y agrega un poco de perejil picado. 
9 Coloca una tapa de pasta en el centro de la fuente, cúbrela con las chauchas y la carne de la berenjena. 
10 Vuelve a colocar otra tapa de pasta y cubre con la fritada de hongos y morrón. 
11 Por último, coloca otra tapa de pasta y baña con la salsa blanca. 
12 Espolvorea con queso rallado y gratina durante 4 minutos. 
13 Sirve la lasaña decorada con una ramita de perejil. 
14 En la actualidad se pueden conseguir los siguientes tipos de hongos en la Argentina y cualquiera de ellos sirve para hacer este plato. 
15 Éstos son los champiñones de cultivo (los más económicos), las gírgolas, los hongos secos de pino, las morillas (del sur del país), los funghi porcini (importados de Italia), las trufas (importadas de los bosques de España, Francia y Italia) y los hongos orientales del barrio Chino de la ciudad de Buenos Aires, sito entre las calles arribeños y Mendoza. 
16 Ellos cultivan un tipo de agaricus más grande y chato que el champiñón. 
17 También cuentan con un hongo finísimo y largo que traducen al inglés como golden mushroom (hongo dorado), y que cocido parece spaghetti. 
18 Otro hongo común en la cocina del sudoeste de Asia, tan de moda por estos lares, es el conocido como oreja de gato. 
19 Tiene aspecto de alga seca oscura, fuerte olor y ¡atención!, cuando entra en contacto con el agua se hidrata portentosamente hasta rebasar el recipiente. 
20 El shiitake (otro orientalismo), se consigue seco o fresco. 
21 Todo lo que buscas para tu cocina aquí!!",68072629-b28d-4874-9717-5d5fc7df7bcd,comida
Lasaña de verduras y chicharro,https://www.recetasgratis.net/receta-de-lasana-de-verduras-y-chicharro-13105.html,"Para 4 personas
2 chicharros
1 puerro
10 hojas de espinacas
4 hojas de berza
1 calabacín Aceite Sal Para la salsa bechamel
30 gr. de mantequilla
30 gr. de harina
1/4 de l. de leche Sal Pimienta Para la guarnición
200 gr. de brócoli
200 gr. de espárragos verdes
1 zanahoria
1/2 calabacín Aceite Sal","1 Limpia y escalda las espinacas, las hojas de berza, el calabacín (cortado en lonchas finas a lo largo) y el puerro. Reserva. Limpia y filetea los chicharros. 
2 Sazónalos y pásalos por harina. Dóralos en una sartén. Retíralos y colócalos sobre papel absorbente para que escurra el aceite. 
3 Monta los ingredientes sobre un plato llano (que resista la temperatura del horno). En el fondo coloca las hojas de espinacas. 
4 Encima 2 filetes de txitxarro, el puerro abierto, los otros 2 filetes de txitxarro y por ultimo las tiras de calabacín y las hojas de berza. Prepara una bechamel y cubre. 
5 Introduce en el horno a gratinar durante 5 o 6 minutos. Mientras tanto prepara la guarnición, para ello sazona y saltea el brócoli. 
6 Las zanahorias (en bolitas), el calabacín (en bolitas), y los espárragos trigueros. 
7 Retira la lasaña del horno y acompaña de la guarnición.",f0164884-8750-4550-a5b9-67db1727aeff,comida
Lasaña de champiñones,https://www.recetasgratis.net/receta-de-lasana-de-champinones-13101.html,"Para 4 personas
350 gramos de champiñones
250 gramos de jamón serrano
1 cebolla
2 dientes de ajo
200 gr. de espinacas
250 gr. de queso ricotta
100 gr. de queso curado
1/2 litro de salsa de tomate casero
1 cucharita de albahaca
8 láminas de lasaña
50 gr. de parmesano rallado Agua Aceite virgen extra Hojiblanca Sal Perejil","1 Pon abundante agua a cocer en una cazuela grande. Sazónala y añade un chorrito de aceite. Cuece las láminas de lasaña durante unos 12-15 minutos. 
2 Limpia y pica las espinacas. Cuécelas, escúrrelas y mézclalas con los quesos riccota y cheddar. 
3 En una sartén pon a dorar la cebolla y los ajos finamente picados. Cuando tome color, añade el jamón cortado en taquitos, rehoga brevemente e incorpora los champiñones laminados. 
4 Cocina durante 5 minutos. Agrega la salsa de tomate y la albahaca. 
5 Coloca 2 láminas de lasaña sobre un molde de cristal apto para el horno, cúbrelas con relleno de espinacas y queso, tapa con 2 láminas de lasaña, pon encima el relleno de champiñones. 
6 Cubre nuevamente con 2 láminas de lasaña, alterna las capas hasta terminar, dejando en la última capa el relleno de champiñones. Tapa el molde con papel de aluminio e introduce en el horno a 200ºC, durante 10 minutos. Saca el molde, espolvorea con queso rallado y gratina durante 2 minutos. 
7 Decora con una rama de perejil. Una vez elegido el tipo de pasta, en función de la forma de preparación, podemos adecuar las cantidades por persona. 
8 De 20 a 25 g de pasta menuda para sopas; de 40 a 45 g para menestras y potajes; de 80 a 100 para pasta de tenedor; de 3 a 4 placas de lasaña o canelones para rellenar.",58272a7b-0e90-4b41-85e8-7caae089515e,comida
Lasaña para celíacos,https://www.recetasgratis.net/receta-de-lasana-para-celiacos-13095.html,"25 gramos de Mantequilla
½ litro de Leche
3 cucharadas soperas de Maicena
½ kilogramo de Carne picada
1 paquete de Láminas sin gluten
6 láminas de Queso para fundir o de queso rallado
150 gramos de Jamón tipo Serrano
1 bote de Tomate frito
1 pizca de Mantequilla","1 Utilizaremos un paquete de láminas sin gluten para hacer lasaña (esta receta se ha elaborado con láminas de la de marca Dr. Schar. Suelen venir 8 láminas por paquete). 
2 Ponemos a calentar un litro de agua. Cuando comience a hervir, añadimos primero 4 láminas y luego las otras 4 para que no se peguen entre sí. 
3 Después de que hiervan durante 8 minutos aproximadamente, se sacan del agua y se ponen en un paño de cocina extendidas. 
4 Para la bechamel sin gluten: En una sartén se pone la mantequilla y se ralla un poquito de cebolla. Cuando la cebolla comienza a dorarse añadimos la mitad de la leche que vamos a utilizar. 
5 Cuando la leche comienza a hervir se añade el resto de la leche, en la que previamente habremos disuelto la maicena. 
6 Dejamos que vaya espesándose y se retira luego del fuego. 
7 A continuación, en una fuente que sirva para horno o microondas, extenderemos 4 de las 8 láminas para hacer lasaña que ya teníamos preparadas. 
8 Lo haremos de la siguiente manera: 1. Una capa de bechamel 2. Las 4 láminas 3. 
1/4 de carne picada 4. Una capa de bechamel 5. Unas lonchas de jamón las lonchas de queso de fundir o 6. Una capa de bechamel bien 7. El otro 1/4 de carne picada 8. Otra capa de bechamel 9. Las 4 láminas restantes 10. Otra capa de bechamel y encima el queso rallado. 
9 Entre todas las capas que hemos hecho, también se puede añadir tomate frito. 
10 Se mete la fuente al horno para que funda el queso y ya está lista para servir. 
11 Se recomienda consultar la LISTA DE ALIMENTOS SIN GLUTEN que edita la Federación de Asociaciones de Celíacos, antes de utilizar algunos de los ingredientes señalados en esta receta.",30f86d8e-f432-4d56-ad24-64231c91be12,comida
