title,url,ingredients,steps,uuid,categoria
lentejas con arroz caseras,https://www.recetasgratis.net/receta-de-lentejas-con-arroz-caseras-52581.html,"130 gr lentejas
1 pocillo de arroz
2 tomates
1 cebolla blanca
1 salchicha sal pimienta aceite de oliva pasta de tomate","1 Para estas lentejas con arroz lo primero que debes hacer es alistar todos los ingredientes. 
2 El día anterior a preparar las lentejas las vamos a lavar y dejar en agua durante toda la noche. 
3 Para preparar un delicioso arroz para acompañar las lentejas debemos picar la cebolla en julianas y cocinarlas en una olla con aceite durante 3 minutos. 
4 Luego agregamos el arroz y doramos durante un minuto y luego agregamos 2 tazas de agua y un poco de sal, dejamos cocinar hasta que el agua se seque y luego tapamos y bajamos el fuego hasta que el arroz este blando. 
5 En una olla con agua caliente cocinaremos por una hora a fuego medio las lentejas que teníamos en agua previamente, 6 Aparte para estas ricas lentejas caseras picamos la otra cebolla junto con los tomates en cubos y la salchicha cortada en rodajas, y lo cocinamos todo en un sarten durante 5 minutos a fuego bajo, agregamos una cucharada de pasta de tomate sal y pimienta al gusto. 
7 Para servir estas lentejas caseras con arroz combinamos las lentejas con el guiso que preparamos antes, servimos con una porción de arroz y acompañamos con platanitos fritos. si te gusto esta receta o si la elaboraste en casa déjanos tu opinión.",54b46217-9e85-4a89-b53d-7f6e7cce2866,comida
Lentejas con verduras y chorizo,https://www.recetasgratis.net/receta-de-lentejas-con-verduras-y-chorizo-51300.html,"250 gr lentejas
1 tomate
2 zanahorias
1 pimiento rojo media cebolla blanca
200 gr alverja (guisantes)
200 gr maíz desgranado
6 chorizos","1 Alistar todos los ingredientes. 
2 Colocar las lentejas en agua tibia por 2 horas, esto con el fin de ablandarlas. 
3 Cocinar las lentejas en agua hirviendo con un poco de sal. 
4 Pelar la zanahoria y mezclar con los maíces y la alverja (guisantes). agregar estos ingredientes a las lentejas. 
5 Picar la cebolla y triturar el tomate, calentar en el sartén hasta que quede una pasta. 
6 Quemar el pimiento rojo y lavarlo, esto con el fin de retirar la piel, abrir sacar las semillas y cortar en cuadros. 
7 Cortar el chorizo en rodajas. 
8 Cuando las lentejas estén cocinadas agregar la pasta de tomate previamente elaborada, el pimiento y los chorizos, dejar cocinar por 5 minutos mas y servir.",e0fdbeec-6b08-42f2-bbc5-8580eac55ac8,comida
Lentejas con verduras con Mycook Touch,https://www.recetasgratis.net/receta-de-lentejas-con-verduras-con-mycook-touch-74360.html,"200 gramos de lentejas pardinas (secas o de bote)
1 patata mediana
1 zanahoria mediana
1 pimiento verde
½ pimiento rojo
½ cebolla blanca
50 gramos de puerro
2 dientes de ajo
1 tomate (preferiblemente maduro)
1 pizca de sal
1 pizca de pimienta negra
1 pizca de comino molido Agua o caldo de verduras (cantidad necesaria)
20 gramos de aceite de oliva
1 puñado de arroz (opcional)","1 Lo primero que debes hacer es calentar el aceite. Para ello, vierte la cantidad indicada y programa tu Mycook a velocidad 2, 120º y 1 minuto. Truco: Si usas lentejas secas, no es necesario dejarlas en remojo para hacer esta receta con Mycook. 
2 Una vez caliente, agrega los dientes de ajo pelados, la cebolla pelada y troceada y el puerro también troceado. No es necesario que piques mucho estos ingredientes porque podrás triturarlos antes de agregar las lentejas, si así lo deseas. Programa la máquina a velocidad 2, 100º y 3 minutos. 
3 Incorpora los pimientos troceados, la zanahoria cortada en rodajas y el tomate pelado entero. Programa tu Mycook a velocidad 2, 100º y 1 minuto. Truco: Puedes pelar el tomate con un pelapatatas o haciendo un corte en cruz y cocinándolo en agua hirviendo unos segundos; la piel saldrá sola. 
4 Si quieres que tus lentejas con verduras con Mycook queden sin trozos de los ingredientes anteriores, tritúralo todo a velocidad 5, sin temperatura y durante 1 minuto. 
5 Añade la patata pelada y cortada, las lentejas escurridas, sal, pimienta y comino. Cubre por completo las lentejas con agua o caldo de verduras y permite que el líquido sobrepaso un dedo. Si usas lentejas de bote, deberás programar la máquina a velocidad 2, 100º y 10 minutos. Si usas lentejas secas, tendrás que aumentar el tiempo a 40 minutos. De forma opcional, puedes añadir un puñado de arroz. Truco: Para que suelte mejor el almidón y las lentejas con verduras con Mycook queden más espesas, casca la patata en lugar de cortarla en trozos iguales. 
6 Prueba de sal y rectifica si es necesario. ¡Tus lentejas con verduras con Mycook están listas! Como ves, esta es una receta muy sencilla y perfecta para cualquier momento, ya que el robot cocina por ti. Si quieres preparar un menú completo, te recomendamos consultar estas otras recetas:Arroz con leche con Mycook TouchCroquetas de pollo con Mycook Touch 7 Recuerda que en RecetasGratis puedes conseguir 500 € si realizas tu compra a través de este enlace: ""Compra tu Mycook"". Eso sí, este descuento solo estará activo para las 15 primeras personas que lo canjeen, ¡date prisa!",dc8ea2ed-956e-472e-a5fb-1a905902241e,comida
Lentejas con Arroz y Verduras,https://www.recetasgratis.net/receta-de-lentejas-con-arroz-y-verduras-74037.html,"400 gramos de lentejas
4 cucharadas soperas de arroz
2 alcachofas
1 pimiento rojo
1 pimiento verde
1 trozo de calabaza
1 zanahoria
1 cebolla
4 cucharadas soperas de tomate frito
1 cucharada sopera de pimentón dulce
1 chorro de aceite de oliva
1 pizca de sal","1 Lava las lentejas y las verduras. Pica el pimiento verde, el pimiento rojo y la cebolla en trozos pequeños. En cuanto a la calabaza, pélala y córtala en cubos medianos. Puedes cortar la zanahoria en rodajas o cubitos pequeños. Limpia las alcachofas, quita todas las hojas de fuera y corta el centro en cuartos. 
2 Pon una cazuela con 3 cucharas de aceite. Añade la cebolla, déjala unos 3 minutos y agrega el resto de las verduras. Deja cocinar mientras remueves por unos 5 minutos. Añade las cucharadas de tomate frito, remueve y añade la cucharada de pimentón dulce. Mezcla bien. 
3 Añade las lentejas lavadas y cubre con abundante agua, todos los ingredientes deben quedar bien cubiertos y sumergidos. Deja cocinando unos 30 minutos. 
4 Cuando haya pasado la mitad del tiempo de la cocción, añade un poco más de sal y si ves que le hace falta, añade más agua. 
5 Cuando veas que las lentejas ya casi están, añade el arroz, déjalo cocinar a fuego medio durante 15-20 minutos más. Prueba de sal y rectifica si es necesario. Al añadir el arroz el caldo queda más espeso, así que si te gusta más claro puedes poner un poco más de agua. Cuando esté listo, deja reposar unos 10 minutos y tus lentejas con arroz y verduras estarán listas para servir. ¡Tendrás un plato rico y muy completo!",9314ba00-bbb3-425a-a6db-ccf82d799ada,comida
Lentejas con Calabaza,https://www.recetasgratis.net/receta-de-lentejas-con-calabaza-73993.html,"350 gotas de lentejas
1 trozo de calabaza
1 pimiento verde o rojo
1 cebolla
2 dientes de ajos
1 hoja de laurel
1 cucharada sopera de pimentón dulce
3 cucharadas soperas de tomate frito (opcional)
1 pizca de sal","1 Lava bien las lentejas bajo el grifo. Aparte, prepara las verduras. Para ello, pela la cebolla y córtala por la mitad o en cuartos, el pimiento córtalo por la mitad, pela los dientes de ajo pero déjalos enteros. 
2 Coge una olla, añade las lentejas lavadas, incorpora las verduras y la hoja de laurel. Vierte agua hasta superar unos 2-3 dedos por encima de las lentejas. Si te gustan las lentejas con calabaza caldosas, pon un poco más de agua. Pon la olla al fuego y deja que se cocinen. 
3 Cuando el agua empiece a estar caliente, añade la cuchara de pimentón dulce y 2-3 cucharas de tomate frito. Remueve todo bien y deja cocinar a fuego medio-bajo. 
4 Pela y corta la calabaza, la cantidad será toda la que se quiera poner al guiso. Córtala en trozos como si fueran patatas. 
5 Cuando las lentejas alcancen la mitad de la cocción, aproximadamente unos 20 minutos, incorpora los trozos de calabaza, añade un poco de sal y deja cocinar hasta que quede la calabaza y las lentejas tiernas. 
6 Cuando ya estén las lentejas, si quieres queden más suaves y sin pedazos, coge las verduras, colócalas en un bol junto con algunos trozos de calabaza y un poquito de caldo y tritura. Esto dará más sabor y espesor a las lentejas con calabaza. 
7 Vierte las verduras trituradas a la olla con las lentejas, remueve, prueba de sal y rectifica. 
8 ¡Listo! Ya puedes servir la receta de lentejas con calabaza caliente y acompañada de una rebanada de pan, como pan de linaza o pan de nueces. Recuerda que puedes incorporar patata al guiso. En tal caso, deberás añadirla con la calabaza, ya que tienen tiempos de cocción similares.",cdb35305-696b-40b6-96df-a4f3e5878236,comida
Lentejas pardinas estofadas,https://www.recetasgratis.net/receta-de-lentejas-pardinas-estofadas-65804.html,"2 vasos de lentejas pardinas
1 chorro de aceite de oliva virgen extra
1 pimiento
1 tomate
2 dientes de ajos
2 hojas de laurel
1 pizca de pimienta negra
1 cucharada sopera de pimentón dulce
1/2 pastilla de caldo de carne
1 chorizo
1 cucharadita de sal Agua
1/2 cebolla","1 Ponemos las lentejas pardinas en remojo un par de horas antes de preparar el plato, y luego las lavamos y escurrimos bien. 
2 Cubrimos la base de la olla con el aceite de oliva. 
3 Echamos todos los ingredientes de las lentejas pardinas estofadas junto con el pimentón, la sal, la pastilla de caldo, y el chorizo (lo pinchamos un poco). Y cubrimos bien con agua. 
4 Medio tapamos la olla (como yo lo llamo) y ponemos las lentejas pardina a cocer a fuego lento. Yo sobre la media hora las pruebo, apago y dejo 10 minutos reposar. 
5 Cuando las lentejas pardinas estofadas estén cocidas, apartamos y picamos un trozito de chorizo por cada persona y a comer. Espero que os guste. No olvidéis acompañarlas con un poco de pan casero con harina integral fácil y de postre un trozo de budín de banana por ejemplo.",7c6f71b4-f319-41a3-b7a3-3908dda9856a,comida
Lentejas posaderas,https://www.recetasgratis.net/receta-de-lentejas-posaderas-7987.html,"400 grs. de lentejas
1 pimiento verde
1 cebolla pimienta blanca
2 yemas de huevo
1 chorrito de vinagre perejil aceite de oliva agua Sal","1 Cuece las lentejas en agua con un chorrito de aceite, sal y el pimiento verde durante un haro aproximadamente, a fuego lento. 
2 En una sartén, rehoga la cebolla picada y salpimentada. 
3 Vierte este sofrito en las lentejas cocidas, espolvorea con perejil picado y deja cocer 5 minutos más. 
4 Bate las yemas con un chorrito de vinagre e incorpora todo a la cazuela de las lentejas. 
5 Mezcla bien y deja reposar unos 3 minutos.",1f34e5ea-b656-4709-866a-ff8190f72129,comida
Lentejas a la crema,https://www.recetasgratis.net/receta-de-lentejas-a-la-crema-6933.html,"1/4 kg Lenteja pequeña medio pimiento una cebolla un trozo de rabo de cerdo un trozo de oreja hueso de jamon, peq un chorizo, preferiblemente asturiano una morcilla un trocito de tocino magro especias azafan al gusto una pizca de oregano sal media pastilla de avecrem una docena de almejas medianas una tacita de crema de leche","1 En una cazuela regular, se ponen las lentejas con agua, y todos los ingredientes, menos las especias, las almejas, la crema de leche, el chorizo y la morcilla, que se echaran casi al final de la cocción, una vez ya cocidas las lentejas (a fuego lento) y mirando que no quede sin agua. 
2 Se le echara el resto de cosas, diez o doce minutos más de cocción y listas, para chuparse los dedos, gracias y que aproveche.",5b63f943-defa-4279-b9c2-11d573239ceb,comida
Lentejas con Verduras en Thermomix,https://www.recetasgratis.net/receta-de-lentejas-con-thermomix-30995.html,"350 gramos de lentejas (en remojo del día anterior)
100 gramos de pimiento verde
100 gramos de zanahorias
100 gramos de patata
100 gramos de cebolla
1 chorizo
1 pizca de pimentón (dulce o picante)
50 mililitros de aceite de oliva
1 pizca de sal
2 dientes de ajo
1 hoja de laurel
800 mililitros de agua (3⅓ tazas)","1 Hacer estas lentejas en la Thermomix es extremadamente fácil pero lo cierto es que no podemos pedirle todo a la máquina, así que el primer paso antes de enchufarla será alistar los ingredientes. Entonces, pica finamente la cebolla y el pimiento, la zanahoria y el chorizo en rodajas y la patata en tacos o cuadros pequeños.Si prefieres hacer unas lentejas estofadas veganas puedes eliminar el chorizo de la lista de ingredientes sin problemas. 
2 Recuerda que las lentejas debes tenerlas en remojo desde el día anterior, entonces, el día de la preparación, enjuaga bien y escurre. Si cuentas con lentejas frescas y de buena calidad, será suficiente con remojarlas un par de horas, de lo contrario es importante que las dejes más tiempo para que no te queden duras. 
3 Con todo ya a punto, solo tienes que añadir las lentejas en la Thermomix junto con todos los ingredientes de la lista. Programa a velocidad cuchara con giro a la izquierda, temperatura de 100 ºC y un tiempo de 30-35 minutos. Deja que la máquina haga su trabajo y listo. 
4 Pasado ese tiempo comprueba la sazón y que las verduras estén tiernas, rectifica de sabor si es necesario y sírvete un buen plato de lentejas en Thermomix. Más fácil imposible y si quieres más recetas de legumbres puedes probar las típicas espinacas con garbanzos en Thermomix. ¡Buen provecho!",f3713ef3-c6fa-4c4e-9b67-b3d6f63095ef,comida
Lentejas estofadas con chorizo,https://www.recetasgratis.net/receta-de-lentejas-estofadas-con-chorizo-71176.html,"400 gramos de lentejas
250 gramos de costilla de cerdo
1 chorizo
1 cebolla
1 trozo de pimiento verde
4 cucharadas soperas de tomate frito
1 hoja de laurel
1 cucharadita de comino en polvo (opcional)
1 pizca de sal
1 chorro de aceite","1 Preparamos todos los ingredientes. Lavamos las lentejas bajo el chorro del grifo con agua fría. 
2 Ponemos una cazuela al fuego con un buen chorro de aceite, añadimos las costillas en trozos pequeños y las doramos a fuego fuerte. 
3 Una vez doradas las costillas bajamos el fuego a fuego medio. Cortamos el chorizo en rodajas y lo añadimos junto a las costillas. Lo rehogamos. 
4 Añadimos a la cazuela el resto de ingredientes de las lentejas de la abuela: el pimiento en un trozo, la cebolla pelada y entera, la hoja de laurel y el tomate frito, y removemos. 
5 Añadimos agua y las lentejas a la olla y empezamos a cocinar las legumbres. 
6 Añadimos un poco de sal y media cucharadita de comino (opcional) a la lentejas estofadas. 
7 Dejamos cocinar hasta que las lentejas estofadas fáciles estén en su punto. Cuando estén las probaremos de sal y rectificamos. 
8 Si os gustan más espesas y queréis aprovechar las verduras, triturarlas y echarlas a las lentejas estofadas con chorizo, que les darán mucho sabor. ¡Y listas para comer!En mi blog Cocinando con Montse descubrirás muchísimas más recetas tradicionales aparte de estas sabrosas lentejas con chorizo como las que cocinaban las abuelas de antaño como por ejemplo los chorizos al vino blanco o el conejo al ajillo con vinagre.",a17fc994-cb9a-468a-801c-f1421532a8a5,comida
