title,url,ingredients,steps,uuid,categoria
Macarrones con chistorra,https://www.recetasgratis.net/receta-de-macarrones-con-chistorra-75832.html,"300 gramos de macarrones
150 gramos de chistorra
1 cebolla
2 cucharadas soperas de aceite de oliva
500 gramos de tomate frito
2 cucharadas soperas de orégano seco
1 pizca de sal","1 Para hacer la receta de macarrones con chistorra, primero debes cocer los macarrones. Para ello, pon un cazo con agua y un poco de sal al fuego. Una vez empiece a hervir, añade los macarrones y deja cocer según la recomendación del fabricante, normalmente entre 9-11 minutos. Remueve de vez en cuando para que no se pegue en el fondo. 
2 Mientras se cuecen los macarrones, trocea la chistorra, pela y pica la cebolla. 
3 Vierte en una sartén amplia dos cucharadas de aceite de oliva al fuego y, cuando esté bien caliente el aceite, añade la chistorra y sofríe durante 1 o 2 minutos para que el aceite tome el sabor de la chistorra y deje su color rojizo en él. Retira la chistorra con ayuda de unas pinzas de cocina y colócala en un plato con papel de cocina absorbente. 
4 En el mismo aceite que has sofrito la chistorra, incorpora la cebolla picada y sofríe a fuego no muy fuerte hasta que esté dorada. 
5 Cuando la cebolla esté bien pochada, añade el tomate frito, las 2 cucharadas soperas de orégano y la chistorra que tenías apartada. Remueve y deja cocer 5 minutos a fuego suave, removiendo de vez en cuando. La salsa de macarrones con chistorra menguará un poco y tomará el sabor de la chistorra. 
6 Cuando estén cocidos los macarrones, retira del fuego y cuela para retirar el agua. A continuación, incorpora los macarrones en la salsa de tomate, orégano y chistorra. Remueve bien para que los macarrones en salsa se impregnen bien, apaga el fuego. 
7 Sirve los macarrones con tomate y chistorra. Como habrás visto es un plato muy fácil de hacer y lleno de sabor. ¿Qué te ha parecido esta receta de macarrones con chistorra? Cuéntanos en los comentarios tu opinión y comparte con nosotros tu resultado.Espero que te haya gustado la receta y te invito a que visites mi blog Cakes para ti.",6ff9a5f3-26f4-4c2b-a7ce-b737695fc6f5,comida
Macarrones con acelgas a la crema,https://www.recetasgratis.net/receta-de-macarrones-con-acelgas-a-la-crema-56549.html,"1 manojo de Acelgas
180 gramos de Macarrones de maíz
300 mililitros de Leche vegetal
1 cucharada sopera de Maicena
1 cucharada sopera de Aceite
1 cucharada sopera de Margarina o aceite
1 pizca de Sal, Pimienta y Nuez Moscada Decoración Opcional
2 cucharadas soperas de Semillas de amaranto
1 taza de Harina de arroz para rebozar","1 Para empezar a preparar estos macarrones para celíacos el primer paso será lavar las acelgas, separando las hojas de los troncos. Reservar parte de los troncos y de las hojas más tiernas del interior, 2 A continuación, trocear las hojas y llevar al fuego con un dedo de agua y un chorro de aceite. Tapa la olla y cocina por dos minutos o hasta que estén blandas. Remueve un par de veces durante la cocción. 
3 Inmediatamente después, escurrir las acelgas cocidas con una espumadera y sazona al gusto con margarina, sal, pimienta y abundante nuez moscada. Reservar al calor y conservar el agua de la cocción. 
4 Aparte, cocinar la pasta de forma tradicional, utilizando el agua de las acelgas y completando con agua corriente. Añadir la pasta junto con una pizca de sal cuando el agua ya esté hirviendo. 
5 Mientras se cuece la pasta, unta con aceite una sartén para rehogar lentamente las semillas de amaranto. removiendo de forma constante. Retira de la sartén y reserva. 
6 Añadir más aceite en la sartén y freír los troncos de acelgas reservados, previamente pasados por la harina de arroz. Por otro lado, mezcla la leche vegetal con la maicena hasta que ésta se disuelva por completo. 
7 Finalmente, colar la pasta sin gluten y depositar nuevamente en la misma olla para mezclar con la leche vegetal y un poco de margarina. Cocina a fuego lento y remueve de forma constante hasta obtener una crema ligera. 
8 Sirve los macarrones con acelgas a la crema colocando las acelgas preparadas sobre la pasta con la crema. Decora con los troncos fritos y las semillas de amaranto. Y si te gustan las acelgas también puedes probarlas en una ensalada caliente con patatas. Y no olvides que puedes encontrar más recetas deliciosas y únicas como esta en mi blog Cocina con Luz Verde.",331d3afb-2f8f-43ce-a9e0-16b731602c22,comida
Macarrones con salchicha y tomate al horno,https://www.recetasgratis.net/receta-de-macarrones-con-salchicha-y-tomate-al-horno-56502.html,"150 gramos de Macarrones
2 unidades de Salchichas de cerdo
1 unidad de Tomate rojo
100 gramos de Queso parmesano
1 pizca de Orégano
20 mililitros de Aceite de oliva
1 pizca de Sal
1 pizca de Pimienta","1 Antes de realizar esta receta de macarrones, el primer paso es alistar todos los ingredientes. 
2 En una sartén con aceite, saltear las salchichas cortadas en rodajas hasta que estén doradas. 
3 Licuar el tomate, colar y añadirlo a la sartén. Cocinar durante 15 minutos, agregar una pizca de orégano seco, sal y pimienta. 
4 Añadir los macarrones previamente cocinados y mezclar muy bien, Llevarlos a una refractaria agregar el queso parmesano y llevar al horno durante 30 minutos. 
5 Servir los macarrones con salchichas y tomate y disfrutar, son perfectos para consumir a la hora de la cena. Puedes acompañarlos con una ensalada verde o pollo a la plancha. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.",9101ff82-62c8-4c12-b941-5409ced7d3c4,comida
macarrones con roquefort,https://www.recetasgratis.net/receta-de-macarrones-con-roquefort-26609.html,1 paquete de macarrones sal aceite nata roquefort queso parmesano,1 Hacer los macarrones y despues echas en una cazuela nata para preparar queso parmesano y roquefort 3 trozos.,7b43caec-99a7-4ffc-b9e7-6124905cebfa,comida
Macarrones con sepia,https://www.recetasgratis.net/receta-de-macarrones-con-sepia-22438.html,"500 gr. de macarrones
500 gr. de sepias
500 gr. de tomates maduros
1/2 cebolla
2 dientes de ajo
5 cucharadas de aceite de oliva
1 ramito de perejil
1 copita de vino blanco sal y pimienta.","1 Limpiar las sepias y cortarlas en tiras pequeñas. 
2 En una cazuela, sofreírlas unos minutos, removiéndolas constantemente con una espátula de madera. 
3 Rociar con el vino blanco y, cuando se evapore, añadir los tomates triturados, sin piel ni semillas y la cebolla. 
4 Sazonar con sal y pimienta y cocer a fuego moderado hasta que las sepias estén cocidas, añadiendo, si es necesario, un poquito de agua caliente. 
5 Cocer la pasta ( al dente) en abundante agua hirviendo, algo salada. 
6 Escurrirla y condimentar con la salsa. 
7 Espolvorear con un poco de perejil picado.",ca3ceeed-9518-4c73-8902-c6cf28b537e7,comida
Macarrones con quesitos,https://www.recetasgratis.net/receta-de-macarrones-con-quesitos-22435.html,"400 gr de macarrones
100 g De cebolla
10 cucharadas de aceite
1 diente de ajo
2 quesitos
1 ramillete de perejil Sal Pimienta","1 Cocer los macarrones en agua y sal. 
2 En un cuenco, aplastar con un tenedor los quesitos y el aceite. 
3 Picar el perejil y la cebolla muy fino y agregarlo a los quesitos. 
4 Sazonar con sal y pimienta y mezclar bien hasta conseguir una crema. 
5 Escurrir los macarrones, sin enfriar. 
6 Ponerlos de nuevo en la cacerola, sazonar con sal, pimienta y un poco de nuez moscada. 
7 Añadir la crema, mezclar y servir.",43108959-96e8-4be9-bdda-c70bb6f561d1,comida
Macarrones con costilla de cerdo,https://www.recetasgratis.net/receta-de-macarrones-con-costilla-de-cerdo-22433.html,"500 gr. de macarrones
400 gr. de costilla de cerdo troceada
100 gr. de tocino magro troceado
1/2 dl. de aceite de oliva
1 diente de ajo
1 copa de vino de Madeira o brandy
1 ramito de romero
1/2 cucharadita de semilla de hinojo
1 hoja de laurel sal pimienta queso manchego rallado","1 En una cazuela, sofreír en el aceite las costillas y el tocino, unto con el romero, laurel, hinojo y el ajo entero. 
2 Retirar el ajo cuando esté dorado y el laurel. 
3 Sazonar con sal y pimienta y rociar con el vino o brandy. 
4 Completar la cocción a fuego moderado. 
5 Cocer la pasta al dente y escurrirla. 
6 Colocarla en una fuente y condimentar con el guiso preparado. 
7 Servir queso rallado aparte.",8c5e5ce6-8099-402e-884d-367e8906b3c4,comida
Macarrones con Atún y Tomate,https://www.recetasgratis.net/receta-de-macarrones-con-atun-y-tomate-72442.html,"200 gramos de macarrones
2 latas de atún
1 trozo de cebolla
1 bote de tomate frito
1 pizca de sal
1 chorro de aceite de oliva
1 pizca de sal","1 Ponemos una olla con abundante agua y sal, y cocemos los macarrones. 
2 Preparamos la salsa mientras se cuecen los macarrones. Para ello, en una sartén ponemos un chorro de aceite, picamos la cebolla y la ponemos a sofreír. Cuando esté pochada, añadimos el tomate frito, lo mezclamos bien y lo trituramos. Nosotros hemos utilizado tomate frito, pero también se puede preparar la salas con dos o tres tomates escalfados para retirar la piel y triturados o bien picados. 
3 Una vez está triturado el tomate y la cebolla, añadimos las dos latas de atún y mezclamos. Nosotros hemos preparado la receta de macarrones con atún y tomate de esta forma, pero lo cierto es que también se pueden agregar otros ingredientes, como puerro, pimiento rojo, etc. 
4 Cuando estén los macarrones cocidos, los escurrimos bien. 
5 Ponemos los macarrones en una fuente y añadimos toda la salsa de tomate y atún. Mezclamos bien y ya tenemos la receta lista para comer. 
6 Los macarrones con tomate y atún están deliciosos y, como has podido comprobar, son muy fáciles de hacer. Se trata de un plato ideal para los niños, ya que suele gustarles mucho, aunque también es perfecto para los adultos. Si te ha gustado este plato de pasta con atún y tomate, te animo a visitar mi blog, Cocinando con Montse, para descubrir más recetas.",4507107c-7ccc-4388-a2c5-0882f92b5536,comida
Macarrones a la austríaca,https://www.recetasgratis.net/receta-de-macarrones-a-la-austriaca-22427.html,"400 gr. de macarrones
3 cucharadas de pan rallado aceite o mantequilla azúcar sal","1 Cocer los macarrones en abundante agua y sal. 
2 Escurrirlos y verterlos en una fuente. 
3 Freír, en aceite o mantequilla el pan rallado hasta que esté dorado. Removerlo para que no se queme. 
4 Echar el pan rallado sobre los macarrones y espolvorear con azúcar. 
5 Si se desea, echar unos trocitos de jamón",54ab8ded-0aa2-45e4-8732-566f87824dba,comida
Macarrones a la pastora,https://www.recetasgratis.net/receta-de-macarrones-a-la-pastora-22428.html,"500 gr. de macarrón rayado
200 gr. de requesón
150 gr. de salchichón
75 gr. de mantequilla
25 gr. de queso de oveja rallado sal pimienta canela","1 Cocer la pasta al dente. En una sartén sofreír con la mantequilla el salchichón, cortado en tiras. 
2 En un plato aplastar el requesón, añadirle algo de sal y de pimienta y mezclar bien. 
3 Reservar al baño María en agua caliente. Cuando la pasta esté cocida en su punto, escurrirla y verterla en una fuente. 
4 Condimentar con el sofrito y napar con el requesón. Espolvorear con canela y servir.",eb166d63-c364-4828-9138-c1ec7daffcc5,comida
