title,url,ingredients,steps,uuid,categoria
Mejillones al vapor con limón,https://www.recetasgratis.net/receta-de-mejillones-al-vapor-74528.html,"1 kilogramo de mejillones
1 hoja de laurel
1 limón","1 Para hacer los mejillones cocidos al vapor, primero debes limpiarlos bien. Se limpian bajo el grifo con agua o en un bol. Con ayuda de un cuchillo con puntilla quita los pelos y las barbas, puedes ayudarte de un estropajo para limpiar bien las conchas de los mejillones. 
2 Pon una cazuela que tenga tapadera al fuego con 3 cucharadas de agua y la hoja de laurel. 
3 Añade los mejillones limpios a la cazuela. Ponlos a cocinar a fuego fuerte. 
4 Tapa y deja cocer los mejillones. Tardarán unos 8-10 minutos, dependiendo de lo grandes que sean. Deja hervir los mejillones hasta que se abran completamente. Descarta los que no se hayan abierto, pues quiere decir que están malos. Sabrás que están listos porque se nota el color tan anaranjado que cogen. 
5 Una vez están listos, apaga y saca los mejillones. Puedes colar el caldo y guardarlo, así lo podrás aprovechar para añadirlo a una paella o a alguna salsa de pescado; también se puede congelar. Truco: A los mejillones no hace falta añadirles sal. 
6 Sirve los mejillones al vapor en una fuente. Puedes quitarles una parte de la concha para que se vean más apetitosos y acompañarlos de limón y perejil para acentuar sus sabores.",01b4c0bd-fe3a-41e0-a5d5-440632adb0c8,comida
Mejillones con patatas,https://www.recetasgratis.net/receta-de-mejillones-con-patatas-27649.html,"1 kilo de mejillones
500 gramos de patatas
1 vaso de vino blanco
4 cucharadas de aceite de oliva
4 cucharadas de tomate frito
1 diente de ajo
1 guindilla (opcional) Sal Pimienta","1 Hervimos las patatas enteras y con piel en agua hirviendo con sal durante unos 30 minutos. 
2 Las sacamos del agua caliente, dejamos que se templen un poco, las pelamos, las cortamos en rodajas y las colocamos en una fuente de cristal apta para el horno. 
3 Limpiamos la parte exterior de los mejillones en agua corriente.Colocamos en una cazuela, tapamos y esperamos que los mejillones se abran a fuego fuerte. 
4 Colamos el líquido que han soltado los mejillones y vertemos en un sartén, junto con el vaso de vino blanco, el ajo picado muy finito, un poco de sal y de pimienta. 
5 Cuando comience a hervir la salsa, añadimos el tomate frito y dejamos que se cocine durante 5 minutos (podemos a añadir una guindilla pequeña si nos gusta que la salsa esté picante). 
6 Incorporamos los mejillones abiertos y sólo con la concha donde está la parte de carne a la salsa y dejamos que se cocine durante 2 minutos. 
7 Colocamos los mejillones sobre las patatas con parte de la salsa e introducimos 5 minutos en el horno a 180ºC. 
8 Sacamos y servimos en la fuente del horno con el resto de la salsa por encima.",b741c825-865c-4746-bda9-e5e7ed6ae002,comida
Mejillones para aperitivo,https://www.recetasgratis.net/receta-de-mejillones-para-aperitivo-26012.html,"10 mejillones por persona que sean grandes Mantequilla sin sal de Bretón Crema fresca Do o tres dientes de ajo un ramo de perejil fresco Un hilo de aceite de oliva Pan rallado, preferible que sea del día anterior y no procedente de bizcotes Hierbas de Provenza en polvo Nuez moscada Una pizca de sal Pimienta","1 Abrir los mejillones y quitar la concha vacía. 
2 Poner en un mortero los dientes de ajo a gusto y la miga de pan, picar el ajo y cuando quede reducido a una pomada, picar el perejil e incorporarlo. 
3 Reduciéndolo a puré, añadir el aceite de oliva y hacer un paté con el pan rallado, poner una pizca de sal (teniendo en cuenta que los mejillones tienen su propia sal) y pimientar moderadamente. 
4 Incorporar poco a poco la mantequilla hasta ver que la preparación queda firme y homogénea. 
5 Añadir un poco de crema fresca, rallar un poco de nuez moscada y poner una pizca de hierbas de Provenza bien mezclado todo a fin de conseguir un paté firme. 
6 Cubrir cada mejillón con la farsa y ponerlos en el horno precalentado hasta conseguir que adquieran un tono dorado. 
7 Servir directamente en el plato que ha ido al horno.",dfdef6b5-ca25-419e-8439-f69b84086861,comida
Mejillones en salsa poulette,https://www.recetasgratis.net/receta-de-mejillones-en-salsa-poulette-26009.html,"3 Kg. de mejillones
1 dl de vino blanco seco
1 cebolla picada
80 g. de mantequilla
200 g de crema
2 yemas de huevo
1 limón
1 cucharada sopera de perejil picado
1 bouquet garni (tomillo, romero, laurel) Sal y pimienta","1 Poner encima de un plato hondo, la cebolla con 1 cucharada sopera de mantequilla. 
2 Añadir el vino, 10 granos de pimienta y el bouquet garni. 
3 Añadir los mejillones, perfectamente limpios y cuando estén abiertos, retirarle la concha vacía. 
4 Filtrar el agua de cocción. 
5 En una cacerola, incorporar el resto de la mantequilla, una cucharada de harina. Batirlo todo. 
6 Apenas se torne rubia, añadir un poco del jugo de cocción, la crema, la sal, la pimienta y el perejil. 
7 Añadir las yemas de huevo fuera del fuego y verter la preparación sobre los mejillones y degustar inmediatamente.",ff90d8f6-ff1e-4a08-8dfe-15baba580ec9,comida
Mejillones en salsa amarilla,https://www.recetasgratis.net/receta-de-mejillones-en-salsa-amarilla-26008.html,"1500 gr. de mejillones
2 puerros
1 cebolla
4 tomates maduras
2 dientes de ajos
4 cucharadas de aceite
1/2 sobre de azafrán
1 zanahoria
1 hoja de laurel
1 ramita de perejil
1 vaso de vino blanco seco
1 lenguado congelado rebanadas de pan ancho sal pimienta.","1 Calentar dos cucharadas de aceite en una cacerola. 
2 Rehogar el lenguado descongelado y limpio, agregar la zanahoria troceada, in diente de ajo, el laurel y el perejil picado. 
3 Tras dos o tres minutos, agregar el vino blanco y un litro de agua fría. 
4 Salpimentar, tapar y dejar cocer lentamente durante 30 minutos. Lavar los mejillones. 
5 Cortar los tomates, pelados, en daditos. 
6 Colar el caldo del pescado y poner un vaso dentro de otra cacerola y añadir los mejillones, cocerlo. 
7 Sacarlos de las concha. 
8 Cortar los puerros en rodajas muy finas, picar la cebolla muy fina y rehogar con dos cucharadas de aceite y el otro ajo aplastado. 
9 Añadir ¾ del tomate y el azafrán. 
10 Remover y agregar un vaso de agua, el resto del caldo y el líquido de los mejillones. 
11 Tapar y dejar cocer durante 20 minutos. 
12 Añadirle 1/3 de los mejillones y triturarlo hasta que quede una crema fina. 
13 Poner de nuevo al fuego y agregar el resto de los mejillones y el tomate reservado. 
14 Cocerlo durante 5 minutos, sazonar y servir con unas rebanadas de pan frito. 
15 Para comer se ponen las rebanadas en el plato y la crema con mejillones por encima. 
16 Si no se quiere poner las rebanadas de pan se puede servir un bol con picatostes fritos y que cada comensal se sirva pos que quiera.",14f03223-826e-4982-993f-6b16ecb14ed1,comida
Mejillones con almendras,https://www.recetasgratis.net/receta-de-mejillones-con-almendras-26004.html,"2 docenas de mejillones grandes limpios
1/2 vaso de vino blanco seco
1 chalota (yo creo que nos podremos apañar lo mismo con una cebolla mediana)
150 gr. de mantequilla batida (yo lo cambiaría por aceite de oliva y un poco de mantequilla)
1 cucharada sopera de fécula de patata o algún otro espesante
150 gr. de almendras fileteadas Perejil
1/2 limón Pimienta molida Sal","1 Picar muy fina la chalota, ponerla en una olla con el vino y dejarla cocer, muy, muy suave durante 10 minutos, añadir un poco de agua, los mejillones, la sal y la pimienta. 
2 Dejar hervir otros 5 minutos moviendo de vez en cuando con un cucharón de madera para que se abran todos los mejillones. 
3 Cuando estén abiertos (no hace falta que estén muy hechos), retirar los mejillones y filtrar el líquido de la olla sobre una cacerola pequeña. 
4 Calentar este jugo hasta que hierva y añadir la fécula y un poco de mantequilla (20 gr. aprox.) dar vueltas y retirar del fuego justo cuando empiece a hervir de nuevo. 
5 Añadir, ya fuera del fuego, el resto de la mantequilla ( o el aceite de oliva si lo quieres hacer más cardiosaludable), el perejil picado muy fino y el zumo del medio limón. 
6 Batir bien para mezclar todos los ingredientes. Sacar todos los mejillones de sus conchas tirar la mitad y las restantes ponerlas en un plato. 
7 Dentro de cada concha una cucharada de salsa y encima el mejillón y almendras. 
8 Gratinar el conjunto 5 minutos al grill (ojo que las almendras se retuestan muy deprisa). Servir el resto de la salsa en salsera aparte.",e423547a-a3c6-415f-b0c6-3cbb027a369c,comida
Mejillones al curry,https://www.recetasgratis.net/receta-de-mejillones-al-curry-25999.html,"700 gr de mejillones
150 gr de queso tierno de hierbas
1/2 cucharadita de curry en polvo
2 vasitos de vino blanco
2 cucharadas de vinagre
1 vaso de leche
10 gr de mantequilla
2 escalonias Lechuga Sal Pimienta","1 Encender el horno a 200º C. 
2 Rehogar en la mantequilla las escalonias picadas, agregar un vaso de vino y el vinagre. 
3 Dejarlo cocer durante 15 minutos. 
4 Lavar los mejillones, rasparlos y abrirlos en una cacerola tapados. 
5 Eliminar la cáscara superior, separar los moluscos de las inferiores y ponerlos en un plato. 
6 Lavar las conchas restantes y meterlas en el horno apagado. 
7 Calentar la leche. 
8 Disolver en ella el queso y echarlo en el recipiente de las esclonias, mezclándolo sobre el fuego muy suave, remover continuamente. 
9 Sazonar con sal, pimienta, y una pizca de curry en polvo. 
10 Remover, apagar el fuego y reservar en caliente. 
11 En otra cacerola, echar el curry restante con el vino y cocerlo durante 2 minutos. 
12 Retirar del fuego y, 3 minutos más tarde, echar los mejillones con el líquido que han soltado, bien colado. 
13 Dejar reposar durante 5 minutos. 
14 Colocar las conchas calientes en una fuente sobre la cama de lechuga lavada y seca y poner en cada una un mejillón. 
15 Regar con la salsa caliente y servirlo de inmediato. 
16 Para 4 personas.",01406a5a-86b6-4f5c-88ae-dd63bb104c60,comida
Mejillones al ajo,https://www.recetasgratis.net/receta-de-mejillones-al-ajo-25998.html,"10 mejillones grandes por persona jugo de limón
1 yema de huevo
¼ de aceite de oliva ajo pelado perejil sal pimienta blanca
1 cucharada de café de mostaza.","1 Ali-Oli: Poner en una batidora, la yema de huevo, sal, mostaza, ajo y perejil y montar echando poco a poco el aceite hasta obtener una consistencia firme. 
2 Procurar que quede como una mayonesa al ajo, pero que su sabor no sea muy fuerte (aunque esto va en gustos), el verdadero ali oli se hace en un mortero simplemente con aceite de oliva, ajo y sal. 
3 En una cacerola poner los mejillones con vino blanco y una chalota. 
4 Una vez abiertos quitar la concha vacía y reservar. 
5 Disponer los mejillones en una fuente y rociar con el jugo de limón, verter entre los huecos de las conchas una cucharadita de ali oli y gratinar en el horno fuerte de 1 a 2 minutos. 
6 Servir enseguida.",0544c73d-f978-4fe2-b8ef-b512b047eb50,comida
Mejillones a la mayonesa de mar,https://www.recetasgratis.net/receta-de-mejillones-a-la-mayonesa-de-mar-25994.html,"1 ,
500 Kg. de mejillones
1 dl. de vino blanco seco
1 limón
2 escalonias
¼ de litro de mayonesa cebollino picado a voluntad","1 Limpiar los mejillones, ponerlos a fuego vivo en una cacerola que sacudiremos de vez en cuando. 
2 A los 8 minutos los mejillones estarán cocidos. 
3 Retirarlos, filtrar el jugo. 
4 Añadir el vino blanco, el jugo de limón, las chalotas pasada por la batidora y dejar reducir el jugo hasta obtener solo una cucharada sopera del mismo. 
5 Mientras tanto, retirar la concha vacía de los mejillones y disponerlos en la fuente donde vaya a servirlos. 
6 Unir la reducción de las chalotas, ya fría, a la mayonesa. 
7 Mezclar bien y depositar una pequeña cucharada de esta salsa sobre cada mejillón. 
8 Salpicar con el cebollino y servir como entrada.",471b5e9f-8545-4a32-962c-21de9dd8bd8f,comida
Mejillones a las agujas de pino.,https://www.recetasgratis.net/receta-de-mejillones-a-las-agujas-de-pino-12327.html,"2 kg. de mejillones.
1 bolsa de agujas de pino.","1 Esta es una manera original de preparar los mejillones. Es necesario estar en un lugar donde abunden pinos y habra que recoger una bolsa de agujas de pino secas. Vale la pena probarlos. 
2 Limpiar los mejillones, disponerlos sobre una parrila y por debajo formar un buen colchon de agujas de pino. Prender fuego a las agujas por varios lados a la vez para que los mejillones se cocinen todos juntos. 
3 Cuando el fuego se apaga, los mejillones se habran abierto y tendran sabor ahumado a agujas de pino.Acompañar con pan negro y mantequilla.",7408649e-3fac-453c-b19f-feda1addee3d,comida
