title,url,ingredients,steps,uuid,categoria
Pasta con Salsa de Champiñones,https://www.mycolombianrecipes.com/es/pasta-con-salsa-de-champinones/,"1 libra de pasta penne
¼ taza de aceite de oliva
½ taza de cebolla picada
½ libra champiñones portobello picados
4 dientes de ajo picados
Sal y pimienta
Media cucharadita de tomillo molido
2 ½ tazas de crema de leche
2 cucharadas de pasta de tomate
1 y ½ taza de queso Parmigiano-Reggiano
4 cucharadas de cebollín picado dividido","Cocine la pasta en agua hirviendo con sal hasta que esté al dente; escurrir bien y mantenga caliente.
Calentar el aceite en una cacerola grande a fuego medio. Añadir los champiñones y cocine por 5 minutos o hasta que esté suave, revolviendo ocasionalmente. Agregue la cebolla, el ajo, la sal, la pimienta y el tomillo; cocinar 4 minutos, revolviendo ocasionalmente.
Añadir la crema, aumentar el fuego a alto y llevar a hervir, añada la pasta de tomate, baje el fuego a medio-bajo y cocine a fuego lento hasta que espese, revolviendo constantemente con una cuchara de madera unos 5 minutos. Agregue el Parmigiano-Reggiano y 1 cucharada de cebollín, revuelva bien y ajuste la sazón al gusto.
Agregue la pasta a la salsa de champiñones, revolviendo bien y cocine hasta que la pasta esté bien caliente, aproximadamente 2 minutos.
Espolvorear con el resto de cebollín y servir inmediatamente.",86af7219-e16a-11ed-af49-a96d6180cd25,comida
Pasta cremosa con pollo y champiñones,https://www.recetasnestle.com.co/recetas/pasta-cremosa-con-pollo-y-champinones,"   1/2 libra de pasta espagueti (250 g)
      6 tazas de agua (1500 ml)
      2 cucharadas de aceite (28 ml)
      1 pechuga de pollo pequeña sin piel y sin hueso, cortada en cubos pequeños (453 g)
      1 cucharadita de SAZONADOR NATURÍSIMO MAGGI® (6 g)
      2 tazas de champiñones, cortados en láminas (140 g)
      ½ taza de vino blanco (125 ml)
      1/2 taza de CREMA DE LECHE NESTLÉ® (120 g)
      4 cucharadas de queso parmesano (20 g)
  ","    1.  En una olla de fondo alto adiciona las tazas de agua y lleva a fuego alto hasta que hierva, añade la pasta y cocina de 8 a 10 minutos,  luego con un colador escurre el agua de la pasta y reserva hasta el momento de usar.                  
2.  En una sartén a fuego alto, calienta el aceite por 3 minutos, aparte, marina los cubos de pollo con el SAZONADOR  NATURÍSIMO MAGGI®, adiciona a la sartén y sofríe por 8 minutos o hasta que el pollo esté bien dorado.                  
3.  Agrega los champiñones, el vino blanco y cocina por 2 minutos más, por último, añade la CREMA DE LECHE NESTLÉ®, la pasta cocinada, revuelve con cuidado para integrar y retira del fuego.                  
4.  Sirve en porciones iguales y espolvorea una cucharada de queso parmesano por plato.             ",,comida
Pasta de otoño,https://www.recetasnestle.com.co/recetas/pasta-de-otono,"   4 tazas de agua (1000 ml)
      1/2 libra de pasta corta o tornillitos (250 g)
      1 sobre de base SALSA BECHAMEL MAGGI® (50 g)
      1½ taza de Leche (375 ml)
      1 taza de apio, cortado en rodajas delgadas (60 g)
      1/2  cebolla cabezona roja,  finamente picadas (40 g)
      1 pepino cohombro a medio pelar, cortado en rodajas (280 g)
      2 rábanos rojos pequeños cortados en rodajas delgadas (60 g)
      4 hojas de rúgula cortada en trozos (10 g)
      ½  pechuga de pollo sin piel cocinada  y cortada en cubos pequeños (250 g)
      1 taza de tomates cherry, cortados a la mitad (159 g)
      1 cucharada de semillas de ajonjolí (10 g)
  ","    1.  Agrega el agua a una olla y lleva a fuego alto hasta que hierva añade  la pasta y deja  cocinar de 8 a 10 minutos.                  
2.  Retira del fuego y escurre la pasta. Luego pásala por agua fría para detener la cocción.                  
3.  En una olla agrega la leche y disuelve la Base para SALSA BECHAMEL MAGGI®, lleva a fuego medio sin dejar de revolver por 7 minutos o hasta que la salsa hierva y espese. Retira del fuego y deja enfríar un poco.                  
4.  En un tazón o ensaladera mezcla el apio, la cebolla, el pepino, el rábano, la rúgula, el pollo cocinado, los tomates, la pasta y por último baña con la salsa bechamel y el ajonjolí.             ",,comida
Pasta con ragú de pollo,https://www.recetasnestle.com.co/recetas/pasta-con-ragu-de-pollo,"   1 cucharadita de SAZONADOR NATURISIMO MAGGI® (6 g)
      1 pechuga de pollo sin piel y sin hueso cortada en trozos pequeños (453 g)
      1 cucharada de aceite vegetal (14 g)
      1/2 cebolla cabezona roja finamente picada (40 g)
      1 diente de ajo pelado y finamente picado (3 g)
      2 tazas de champiñones enteros partidos a la mitad (140 g)
      1 cucharadita de romero fresco (2 g)
      1 cucharadita de tomillo fresco (2 g)
      3 cucharadas de vinagre de frutas (45 ml)
      3 tazas de hojas de espinaca lavadas (90 g)
      2 tomates rojos pelados y cortados en cubos pequeños (236 g)
      6 cucharadas de CREMA DE LECHE NESTLÉ® (90 g)
      1/2 caja de pasta para lasaña partida en trozos grandes (200 g)
      4 cucharadas de queso parmesano (20 g)
  ","    1.  En un tazón agrega los trozos de pollo y el SAZONADOR NATURISIMO MAGGI® y mezcla para integrar bien.                  
2.  En una sartén grande calienta a fuego medio el aceite por 3 minutos, añade el pollo y sofríe  durante 4 minutos o hasta que esté dorado.                  
3.  En la misma sartén sofríe la cebolla y el ajo por 2 minutos, añade los champiñones, el romero, el tomillo y cocina revolviendo constantemente por 2 minutos o hasta que los champiñones empiecen a dorar un poco.                  
4.  Agrega el vinagre y cocina por 30 segundos hasta que se evapore, adiciona los tomates y cocina la salsa por 15 minutos, hasta que empiece a espesar, agrega la CREMA DE LECHE NESTLÉ®,  las espinacas y con una cuchara revuelve para integrar, cocina por 2 minutos más y retira del fuego.                  
5.  Mientras tanto, aparte en una olla a fuego alto con agua hirviendo, cocina la pasta por 5 a 6 minutos o  siguiendo las instrucciones del empaque, pasado el tiempo de cocción retira del fuego y escurre.                  
6.  Para finalizar, agrega la pasta a la sartén donde está la salsa y cocina por un minuto más.                  
7.  Sirve el ragú en 4 platos en porciones iguales y por último,  espolvorea una cucharada de queso parmesano por plato.             ",,comida
Pasta con espinaca y manzana,https://www.recetasnestle.com.co/recetas/pasta-con-espinaca-y-manzana,"   1 cucharada de aceite (14 ml)
      1 pimentón rojo, sin semillas y cortado en tiras delgadas (116 g)
      2 tazas de espinacas, cortadas en tiras delgadas (60 g)
      1 manzana roja, cortada en laminas delgadas (180 g)
      1/ libra de pasta tornillitos, previamente cocinada (250 g)
      1 cucharada de miel (21 g)
      4 cucharadas de CREMA DE LECHE NESTLÉ® (60 g)
      1/2 cucharada de mostaza (10 g)
  ","    1.  En una sartén calienta el aceite por 1 minuto a fuego medio.                  
2.  Adiciona el pimentón, la espinaca y la manzana, sofríe por 2 minutos sin dejar de revolver.                  
3.  Adiciona la pasta a la sartén y revuelve nuevamente, deja al fuego por 1 minuto más y retira.                  
4.  En un tazón aparte, agrega la miel, la CREMA DE LECHE NESTLÉ® y la mostaza, revuelve para integrar.                  
5.  Sirve la pasta y baña con el aderezo encima.             ",,comida
Pasta con pesto cremoso,https://www.recetasnestle.com.co/recetas/pasta-con-pesto-cremoso,"   1 manojo de albahaca, sin tallos (30 g)
      6 cucharadas de CREMA DE LECHE NESTLÉ® (90 g)
      2 dientes de ajo, picados en trozos grandes (12 g)
      1/2 taza de vino blanco (125 ml)
      1/2 libra de pasta tornillitos previamente cocinada (250 g)
      1 taza de espárragos picados cortados en trozos medianos (100 g)
      1/4 de taza de anacardos o marañones (60 g)
  ","    1.  Licua por 20 segundos la albahaca, el ajo, la CREMA DE LECHE NESTLÉ® y el vino, hasta integrar bien.                  
2.  Pon el pesto cremoso en una sartén a fuego medio y calienta por 2 minutos.                  
3.  Agrega la pasta y los espárragos, revuelve con cuidado hasta integrar bien.                  
4.  Sirve la pasta y encima espolvorea los anacardos o marañones.             ",,comida
Pasta con trozos de pollo y duraznos,https://www.recetasnestle.com.co/recetas/pasta-con-trozos-de-pollo-y-duraznos,"   1/2  taza de duraznos en almíbar, cortados en laminás con un poco de almíbar (111 g)
      4 cucharadas de CREMA DE LECHE NESTLÉ (60 g)
      1 pechuga de pollo sin piel, previamente asada o a la parrilla (453 g)
      1/2 libra de pasta tornillitos previamente cocinada (250 g)
      1/2 cucharada de ajonjolí tostado  ","    1.  En un tazón mezcla el almíbar de los duraznos con la CREMA DE LECHE NESTLÉ ®, hasta integrar bien.                  
2.  Adiciona al tazón el pollo, la pasta, la salsa cremosa y los duraznos cortados en láminas delgadas.                  
3.  Sirve la pasta en 4 tazas en porciones iguales y espolvorea el ajonjolí por encima.             ",,comida
Pasta con atún y tomate,https://www.recetasnestle.com.co/recetas/pasta-con-atun-y-tomate,"   2 latas de atún en agua drenado (240 g)
      1/2 cebolla cabezona roja cortada en medias rodajas (40 g)
      1 taza de tomates cherrys, cortados a la mitad (149 g)
      1 cucharada de perejil, finamente picado (10 g)
      1/2 libra de pasta tornillitos previamente cocinada (250 g)
      4 cucharadas de CREMA DE LECHE NESTLÉ® (60 g)
  ","    1.  Abre las latas de atún y retira el liquido.                  
2.  En un tazón mezcla la cebolla, el tomate y el perejil.                  
3.  Por último, adiciona la pasta y la CREMA DE LECHE NESTLÉ®, revuelve para integrar bien.                  
4.  Sirve en 4 platos o tazas en porciones iguales.             ",,comida
Pasta con jamón y brócoli,https://www.recetasnestle.com.co/recetas/pasta-con-jamon-y-brocoli,"   1 cucharada de mantequilla (14 g)
    derretida      2 tazas de brócoli cortados en arbolitos (214 g)
      2 lonjas de jamón de cerdo, cortados en tiras delgadas (26 g)
      1/2 libra de pasta tornillitos previamente cocinada (250 g)
    de tu preferencia, cocida y escurrida, (200 g)
      4 cucharadas de CREMA DE LECHE NESTLÉ® (60 g)
  ","    1.  En una sartén derrite mantequilla, teniendo cuidado de no quemar, añade el brócoli y saltea por 1 minuto.                  
2.  Agrega el jamón, y sofríe por 1 minuto más.                  
3.  Añade a la sartén la pasta y la CREMA DE LECHE NESTLÉ®, revuelve para integrar deja al fuego 1 minuto mas y retira.                  
4.  Sirve la pasta en 4 platos en porciones iguales y decora con perejil y queso parmesano si lo deseas.             ",,comida
Pasta en salsa de cilantro con pollo,https://www.recetasnestle.com.co/recetas/pasta-en-salsa-de-cilantro-con-pollo,"   2 cucharadas de cilantro fresco (20g)
    desinfectado      1 cucharada de queso crema (12 g)
      4 cucharadas de CREMA DE LECHE NESTLÉ® (60 g)
      1/4 de taza de vino blanco (62 ml)
      1/2 libra de pasta tornillitos previamente cocinada (250 g)
      1 pechuga de pollo, asada y cortada en cubos medianos (453 g)
  ","    1.  Licúa el cilantro, el queso crema, la CREMA DE LECHE NESTLÉ® y el vino blanco, hasta integrar bien.                  
2.  Calienta la salsa a fuego bajo durante 2 minutos o hasta que espese ligeramente moviendo para que no se pegue. Agrega la pasta previamente cocida y escurrida; cocina por 2 minutos más.                  
3.  Agrega el pollo y revuelve con cuidado hasta integrar bien.                  
4.  Sirve la pasta en 4 platos en porciones iguales, si lo deseas puedes espolvorear queso parmesano rallado.             ",,comida
