title,url,ingredients,steps,uuid,categoria
Pastel San Pedrino,https://www.mycolombianrecipes.com/es/pastel-san-pedrino/,"2 pechugas de pollo
1 libra de lomo de cerdo
1 taza de salsa de aliños  ver la receta aquí
1 taza de arvejas
Sal y pimienta al gusto
1 cucharada de aceite
½ taza de cebolla
3 dientes de ajo
2 tazas de arroz cocido
2 patatas grandes peladas y cocidas
2 tazas de harina precocida de maíz amarillo
½ de taza de caldo de pollo
1 taza de cuajada","Para la masa: Mezclar el queso con la harina de maíz y el caldo. Sazonar con sal.
Para el relleno:  Coloque las pechuga de pollo, carne de cerdo, sal, salsa de aliños y agua. Tapar y cocinar durante unos 30 minutos o hasta que las carnes se cocinen. Desmechar la carne de cerdo y el pollo, y colocarlo en un tazón. En una pequeña sartén colocar una cucharada de aceite y añadir la cebolla y el ajo. Cocine durante aproximadamente 5 minutos o hasta que estén blandas. Añadir esta mezcla a la carne desmechada, las papas, las arvejas y el arroz. Mezclar bien.
Precaliente el horno a 350 grados F.
Para armar: Engrasar un molde para hornear y extender la mitad de la masa y presione hacia abajo. A continuación, agregue la mezcla de arroz, presione y ponga el resto de la masa, cubrir con papel de aluminio y colocar en el horno durante unos 30 minutos o hasta que la masa esté cocida.",86af7222-e16a-11ed-b744-a96d6180cd25,comida
Pastel Gloria,https://www.mycolombianrecipes.com/es/pastel-gloria/,"1 paquete de masa de hojaldre descongelada
1 huevo ligeramente batido
2 cucharadas de azúcar para adornar
4 oz de pasta de guayaba bocadillo, en rodajas
4 oz blanco o queso mozarella rebanadas
4 oz dulce de leche","Precaliente el horno a 400 grados F.
Poner harina en una superficie plana. Coloque la pasta de hojaldre en la superficie enharinada. Ponga harina en la parte superior de la masa. Estirar la masa de hojaldre hasta que quede la mitad del grosor (aproximadamente ⅛-pulgada).
Usando un cortador de galletas, cortar 24 círculos y untar los bordes de cada círculo con el huevo. En el centro de cada círculo, coloque 1 rebanada de pasta de guayaba, 1 rebanada de queso y ½ cucharada de dulce de leche. Coloque otro círculo en la parte superior para encerrar el relleno.
Cierre los bordes con un tenedor o con sus dedos. Repita con los pasteles restantes, colocándolos en una bandeja para hornear forrada con papel pergamino. Hornee por 20 minutos o hasta que estuén dorados.
Espolvorear con el azúcar en la parte superior, enfriar los pasteles sobre una rejilla durante 10 minutos. Sirva caliente o a temperatura ambiente.",86af9a29-e16a-11ed-b610-a96d6180cd25,comida
Pastel Hawaiano,https://www.mycolombianrecipes.com/es/pastel-hawaiano/,"1 paquete de hojas de hojaldre descongelado
1 taza de Jamón en cubitos
1 taza de queso mozzarella en cubitos o rallado
1 taza de piña cortada en cubitos
2 huevos batidos con 1 cucharada de agua","Precaliente el horno a 400 ° F.
Estirar cada hoja de hojaldre hasta que mida unos 10 por 12 pulgadas. Corte cada hoja de masa en 12 pedazos cuadrados.
Cubrir cada pedazo con queso, piña y jamón. Unte los bordes con la mezcla de huevo, luego doblar cada pieza por la mitad. Presione los bordes para sellar.
Coloque los pasteles en una bandeja para hornear. Unte los pasteles por encima con la mezcla de huevo.
Hornear los pasteles hasta que estén dorados, unos 15 minutos. Pasar a un plato y servir.",86af9a46-e16a-11ed-8151-a96d6180cd25,comida
Pastel Gloria,https://www.mycolombianrecipes.com/es/pastel-gloria/,"1 paquete de masa de hojaldre descongelada
1 huevo ligeramente batido
2 cucharadas de azúcar para adornar
4 oz de pasta de guayaba bocadillo, en rodajas
4 oz blanco o queso mozarella rebanadas
4 oz dulce de leche","Precaliente el horno a 400 grados F.
Poner harina en una superficie plana. Coloque la pasta de hojaldre en la superficie enharinada. Ponga harina en la parte superior de la masa. Estirar la masa de hojaldre hasta que quede la mitad del grosor (aproximadamente ⅛-pulgada).
Usando un cortador de galletas, cortar 24 círculos y untar los bordes de cada círculo con el huevo. En el centro de cada círculo, coloque 1 rebanada de pasta de guayaba, 1 rebanada de queso y ½ cucharada de dulce de leche. Coloque otro círculo en la parte superior para encerrar el relleno.
Cierre los bordes con un tenedor o con sus dedos. Repita con los pasteles restantes, colocándolos en una bandeja para hornear forrada con papel pergamino. Hornee por 20 minutos o hasta que estuén dorados.
Espolvorear con el azúcar en la parte superior, enfriar los pasteles sobre una rejilla durante 10 minutos. Sirva caliente o a temperatura ambiente.",86afb06a-e16a-11ed-b8c6-a96d6180cd25,comida
Pastel Hawaiano,https://www.mycolombianrecipes.com/es/pastel-hawaiano/,"1 paquete de hojas de hojaldre descongelado
1 taza de Jamón en cubitos
1 taza de queso mozzarella en cubitos o rallado
1 taza de piña cortada en cubitos
2 huevos batidos con 1 cucharada de agua","Precaliente el horno a 400 ° F.
Estirar cada hoja de hojaldre hasta que mida unos 10 por 12 pulgadas. Corte cada hoja de masa en 12 pedazos cuadrados.
Cubrir cada pedazo con queso, piña y jamón. Unte los bordes con la mezcla de huevo, luego doblar cada pieza por la mitad. Presione los bordes para sellar.
Coloque los pasteles en una bandeja para hornear. Unte los pasteles por encima con la mezcla de huevo.
Hornear los pasteles hasta que estén dorados, unos 15 minutos. Pasar a un plato y servir.",86afb0a6-e16a-11ed-8944-a96d6180cd25,comida
"Pastel de acelgas, palmitos y tocineta",https://www.recetasnestle.com.co/recetas/pastel-de-acelgas-palmitos-y-tocineta,"   6 tiras de tocineta cortadas en cuadritos (168 g)
      1 cebolla cabezona pelada y finamente picada (80 g)
      1 diente de ajo pelado y finamente picado (3 g)
      1/4 de libra de arvejas frescas (125 g)
      1 zanahoria pequeña pelada y cortada en rodajas delgadas (50 g)
      1 cucharadita de tomillo fresco (2 g)
      1 cucharada de harina de trigo (13 g)
      1 cubo de CALDO RICO® preparado en 1 taza de agua tibia (10 g)
      1/2 libra de acelgas con tallos, picadas en trozos (250 g)
      1 lata pequeña de palmitos cortados en rodajas (200 g)
      6 cucharadas de CREMA DE LECHE  NESTLÉ® Light (90 g)
      1/2 libra de masa de hojaldre (250 g)
  ","    1.  Precalienta el horno a 180° C (350° F), 30 minutos antes de la preparación.                  
2.  Engrasa y enharina un molde refractario redondo grande.                  
3.  En una sartén a fuego medio añade la  tocineta y sofríe  por 4 minutos o hasta que dore.                  
4.  Adiciona la cebolla, el ajo, la arveja, la zanahoria, el tomillo y cocina por 2 minutos, agrega la harina de trigo y  el CALDO RICO® preparado, con una cuchara o tenedor revuelve bien para integrar y que no queden grumos, agrega las hojas de acelgas, cocina por 3 minutos, adiciona los palmitos y la CREMA DE LECHE NESTLÉ®, revuelve cuidadosamente y retira la sartén del fuego.                  
5.  Vierte el relleno de verduras al molde refractario previamente engrasado.                  
6.  En una superficie enharinada extiende la masa de hojaldre y corta un círculo grande  que cubra el molde, calculando que sobren 2 centímetros alrededor del molde.                   
7.  Con cuidado, pon el círculo de la masa sobre el relleno de verduras y asegúrate que los bordes de masa de hojaldre lleguen hasta el borde del molde, con la punta de un cuchillo, haz un corte en el centro de la masa.                  
8.  Lleva el molde  al horno por 30 minutos o hasta que la masa de hojaldre esté dorada.                  
9.  Pasado el tiempo de horno, retira el molde con cuidado y deja enfriar un poco antes de porcionar.             ",,comida
Pastel de calabaza con carne para halloween,https://www.recetasnestle.com.co/recetas/pastel-calabaza-carne-para-halloween,"   1 cucharada de aceite (14 g)
      1 cebolla cabezona blanca finamente picada (82 g)
      1 libra de carne molida magra (500 g)
      1 doy pack de CREMA DE LECHE NESTLÉ® (186 g)
      1 taza de maíz amarillo (145 g)
      1 taza de tomates bien maduros cortados en cubos (180 g)
      1 taza de calabaza cortada en cubos pequeños y cocinada (250 g)
      4 cucharadas de queso mozzarella rallado (40 g)
      ¼ de libra de masa de hojaldre (125 g)
  ","    1.  Precalienta el horno a 180°C/360°F, 20 minutos antes de la preparación.                  
2.  Calienta el aceite en una sartén a fuego medio por 3 minutos, añade la cebolla y la carne, sofríe por 7 minutos o hasta que la carne este bien cocinada, adiciona la CREMA DE LECHE NESTLÉ®, el maíz, los trozos de tomate y los cubos de calabaza, revuelve para integrar y retira del fuego.                  
3.  En el mesón de la cocina y con la ayuda de un rodillo, estira la masa de hojaldre al grosor deseado; en la mitad de la masa pon el relleno, encima el queso mozzarella y cierra enrollando tratando que no se salga el relleno.                  
4.  Pon el pastel en la lata para horno previamente engrasada y lleva a horno por 25 minutos o hasta que esté bien dorado.                  
5.  Pasado el tiempo establecido, retira del horno, deja enfriar 5 minutos, luego sobre una tabla porciona y sirve.             ",,comida
"Pastel de acelgas, palmitos y tocineta",https://www.recetasnestle.com.co/recetas/pastel-de-acelgas-palmitos-y-tocineta,"   6 tiras de tocineta cortadas en cuadritos (168 g)
      1 cebolla cabezona pelada y finamente picada (80 g)
      1 diente de ajo pelado y finamente picado (3 g)
      1/4 de libra de arvejas frescas (125 g)
      1 zanahoria pequeña pelada y cortada en rodajas delgadas (50 g)
      1 cucharadita de tomillo fresco (2 g)
      1 cucharada de harina de trigo (13 g)
      1 cubo de CALDO RICO® preparado en 1 taza de agua tibia (10 g)
      1/2 libra de acelgas con tallos, picadas en trozos (250 g)
      1 lata pequeña de palmitos cortados en rodajas (200 g)
      6 cucharadas de CREMA DE LECHE  NESTLÉ® Light (90 g)
      1/2 libra de masa de hojaldre (250 g)
  ","    1.  Precalienta el horno a 180° C (350° F), 30 minutos antes de la preparación.                  
2.  Engrasa y enharina un molde refractario redondo grande.                  
3.  En una sartén a fuego medio añade la  tocineta y sofríe  por 4 minutos o hasta que dore.                  
4.  Adiciona la cebolla, el ajo, la arveja, la zanahoria, el tomillo y cocina por 2 minutos, agrega la harina de trigo y  el CALDO RICO® preparado, con una cuchara o tenedor revuelve bien para integrar y que no queden grumos, agrega las hojas de acelgas, cocina por 3 minutos, adiciona los palmitos y la CREMA DE LECHE NESTLÉ®, revuelve cuidadosamente y retira la sartén del fuego.                  
5.  Vierte el relleno de verduras al molde refractario previamente engrasado.                  
6.  En una superficie enharinada extiende la masa de hojaldre y corta un círculo grande  que cubra el molde, calculando que sobren 2 centímetros alrededor del molde.                   
7.  Con cuidado, pon el círculo de la masa sobre el relleno de verduras y asegúrate que los bordes de masa de hojaldre lleguen hasta el borde del molde, con la punta de un cuchillo, haz un corte en el centro de la masa.                  
8.  Lleva el molde  al horno por 30 minutos o hasta que la masa de hojaldre esté dorada.                  
9.  Pasado el tiempo de horno, retira el molde con cuidado y deja enfriar un poco antes de porcionar.             ",,comida
Pastel de calabaza con carne para halloween,https://www.recetasnestle.com.co/recetas/pastel-calabaza-carne-para-halloween,"   1 cucharada de aceite (14 g)
      1 cebolla cabezona blanca finamente picada (82 g)
      1 libra de carne molida magra (500 g)
      1 doy pack de CREMA DE LECHE NESTLÉ® (186 g)
      1 taza de maíz amarillo (145 g)
      1 taza de tomates bien maduros cortados en cubos (180 g)
      1 taza de calabaza cortada en cubos pequeños y cocinada (250 g)
      4 cucharadas de queso mozzarella rallado (40 g)
      ¼ de libra de masa de hojaldre (125 g)
  ","    1.  Precalienta el horno a 180°C/360°F, 20 minutos antes de la preparación.                  
2.  Calienta el aceite en una sartén a fuego medio por 3 minutos, añade la cebolla y la carne, sofríe por 7 minutos o hasta que la carne este bien cocinada, adiciona la CREMA DE LECHE NESTLÉ®, el maíz, los trozos de tomate y los cubos de calabaza, revuelve para integrar y retira del fuego.                  
3.  En el mesón de la cocina y con la ayuda de un rodillo, estira la masa de hojaldre al grosor deseado; en la mitad de la masa pon el relleno, encima el queso mozzarella y cierra enrollando tratando que no se salga el relleno.                  
4.  Pon el pastel en la lata para horno previamente engrasada y lleva a horno por 25 minutos o hasta que esté bien dorado.                  
5.  Pasado el tiempo establecido, retira del horno, deja enfriar 5 minutos, luego sobre una tabla porciona y sirve.             ",,comida
Pastel de setas y avellanas,https://www.recetasgratis.net/receta-de-pastel-de-setas-y-avellanas-62428.html,"400 gramos de harina de espelta (o la que tengáis en casa)
200 gramos de mantequilla
1 huevo
1 pizca de sal
400 gramos de setas variadas
1 diente de ajo
5 ramas de tomillo fresco (o 1 cucharadita de tomillo seco)
175 mililitros de nata líquida para cocinar
3 huevos
1 cucharada sopera de avellanas tostadas","1 Para hacer nuestro pastel de setas y avellanas, primero elaboraremos la masa: poner en un bol amplio la harina, la pizca de sal, el huevo y la mantequilla cortada en trocitos. Utilizar preferiblemente una amasadora, y si no disponemos de ella, amasar con las manos. 
2 Si notáis la masa un poco seca, añadir un chorrito de agua y seguir amasando. La masa debería despegarse con facilidad de las paredes del bol. 
3 Formar una bola con la masa, envolver en papel film y reservar en la nevera 30 minutos. 
4 Mientras nuestra masa reposa, haremos el relleno para nuestro pastel de setas al horno: Trocear las setas grandes, pero no muy finas, es mejor encontrarse los trozos más enteros. Lo mismo con los champiñones. 
5 A continuación, en una sartén amplia, poner un poquito de aceite, incorporar el diente de ajo fileteado. Si vais a utilizar tomillo fresco, añadir sólo las hojitas, desechando el tallo. Si el tomillo que vais a usar es el seco, añadir directamente a la sartén. 
6 Incorporar las setas y saltear un poco. Añadir un poco de sal. Retirar del fuego y reservar hasta que la masa del pastel salado esté lista. 
7 Precalentar el horno a 200 ºC. Engrasar un molde rectangular, alargado, de 10 cm de ancho por 35 cm de largo. Reservar. Sacar de la nevera la masa para hacer nuestro pastel de setas y avellanas y estirar con ayuda de un rodillo de cocina. Poner encima del molde y pasar el rodillo para quitar el exceso de masa (podéis congelar la masa sobrante para otra preparación). Truco: podéis utilizar otro molde que tengáis a mano por casa. 
8 Asentar bien la masa con las manos y pinchar el fondo con un tenedor. 
9 Y seguimos con el relleno de nuestro pastel de setas al horno. En un bol, poner la nata, los huevos, la pizca de nuez moscada, un poco de sal y pimienta negra recién molida al gusto. Batir con ayuda de unas varillas. 
10 Repartir las setas por toda la base de la tarta salada. ¡Ya casi está la receta fácil de pastel de setas y avellanas! 11 Verter por encima la mezcla de huevos y nata. Hornear nuestro pastel de setas y avellanas a 200 ºC con calor arriba y abajo durante 30 minutos. La superficie de la tarta tiene que quedar dorada. 
12 Y por último, decorar el pastel salado con las avellanas partidas por la mitad. Servir tibio o frío. 
13 Cuando tenemos invitados en casa, este tipo de pastel de setas y avellanas es una opción estupenda pues se puede preparar con antelación. Si os ha gustado y queréis ver más recetas mías, os invito a mi blog Cakes para ti.",9b8787d7-c3d0-4ef1-bb12-ce8b40f82d23,comida
