title,url,ingredients,steps,uuid,categoria
Queso de chancho,https://www.recetasgratis.net/receta-de-queso-de-chancho-45933.html,"2 codillos de cerdo
1 cebolla grande
1 cebolla de verdeo granos de pimienta a gusto laurel
2 hojas sal","1 Primero de todo revisar que la piel del cerdo no tenga pelos ni indeseables, si los tiene , pasar una maquina de afeitar, luego colocar agua a hervir en una cacerola, meter los codillos dentro, salar, colocar la cebolla entera, los granos de pimienta y las hojas de laurel y una cebolla de verdeo. 
2 Dejar hervir lentamente en cacerola tapada hasta que los codillos estén tiernos , la carne se separe del hueso y el agua del hervor vaya disminuyendo, en este punto , retirar el codillo, cortar en trozos pequeños y volcar sobre una terrina previamente forrada con papel film siempre en caliente, colar 1/2 taza del caldo y agregar por encima de la la carne cortada, cerrar con el papel film, poner un peso encima para que se compacte y llevar a la heladera a enfriar, todo el colágeno contenido en la piel y los huesos del cerdo se solidica formando una gelatina bien espesa que hace que al enfriarse quede perfectamente moldeado, requiere toda una noche de frío. 
3 Servir como fiambre o entrada.",67156c9a-a94e-49d6-94c9-d405f3cdbe6b,comida
Queso de chancho,https://www.recetasgratis.net/receta-de-queso-de-chancho-45933.html,"2 codillos de cerdo
1 cebolla grande
1 cebolla de verdeo granos de pimienta a gusto laurel
2 hojas sal","1 Primero de todo revisar que la piel del cerdo no tenga pelos ni indeseables, si los tiene , pasar una maquina de afeitar, luego colocar agua a hervir en una cacerola, meter los codillos dentro, salar, colocar la cebolla entera, los granos de pimienta y las hojas de laurel y una cebolla de verdeo. 
2 Dejar hervir lentamente en cacerola tapada hasta que los codillos estén tiernos , la carne se separe del hueso y el agua del hervor vaya disminuyendo, en este punto , retirar el codillo, cortar en trozos pequeños y volcar sobre una terrina previamente forrada con papel film siempre en caliente, colar 1/2 taza del caldo y agregar por encima de la la carne cortada, cerrar con el papel film, poner un peso encima para que se compacte y llevar a la heladera a enfriar, todo el colágeno contenido en la piel y los huesos del cerdo se solidica formando una gelatina bien espesa que hace que al enfriarse quede perfectamente moldeado, requiere toda una noche de frío. 
3 Servir como fiambre o entrada.",e7cb3e4a-a395-4dca-b749-1127f6d97c54,comida
Queso De Conejo,https://www.recetasgratis.net/receta-de-queso-de-conejo-47696.html,"1 conejo
1 patita(s) de vaca
3 lt agua
1 hoja(s) laurel
1 cebolla(s)
4 diente(s) ajo(s)
1 ramito apio
2 zanahoria(s)
3 huevo(s)
1 pimiento(s)
1 rama(s) perejil Sal y comino a gusto","1 Coloque en una cacerola el agua, la pata de vaca, la hoja de laurel, comino, cebolla, apio y la sal.Cocine la pata hasta que el agua se haya reducido a la tercera parte.Agregue el conejo entero, previamente lavado y deje hervir por una hora.Luego retire del fuego y cuele el caldo.Separe toda la carne de los huesos del conejo, dejando la carne del mayor tamaño posible.Luego pique en trozos bien pequeños la pata de vaca.En un recipiente para molde, coloque en el fondo trozos de zanahoria y pimientos cocido, rebanadas de huevo duro, ramitas de perejil.Vacíe sobre esto el caldo con la carne de conejo y la pata.Deje enfriar hasta que se amolde.Retire del molde y sírvalo frío.",d43fe577-9a10-436c-abd8-c8a7181a5f19,comida
Queso brie rebozado,https://www.recetasgratis.net/receta-de-queso-brie-rebozado-39194.html,"300 gramos de queso brie
25 gramos de harina
1 clara de huevo
50 gramos de puré de patatas en copos
50 gramos de mermelada de fresa","1 Cortar el queso en lonchas de dos centímetros de grosor, aproximadamente. 
2 Rebozarlo en este orden, primero la harina, después bañarlo en la clara de huevo batida, y por último, pasarlo por los copos de puré de patatas. 
3 Freír con aceite de oliva, colocarlo en un plato y ponerle la mermelada de fresa por encima.",dcfdb49e-3f55-4f43-8bb7-3ba9f1fbe029,comida
Queso camembert al horno con hojaldre,https://www.recetasgratis.net/receta-de-queso-camembert-al-horno-con-hojaldre-61401.html,"1 Queso camembert (200-250 g)
1 lámina de Hojaldre
1 cucharadita de Mantequilla
4 cucharadas soperas de Mermelada de higos","1 Extendemos la lámina de hojaldre y colocamos en el centro dos cucharadas de mermelada de higos, esparciéndolas ligeramente con una cuchara y dándole la forma redonda aproximada del tamaño de nuestro queso. Lo ideal es emplear una lámina de masa redonda, puesto que así el camembert envuelto en hojaldre quedará mucho mejor. Así mismo, también puedes preparar tu propia masa de hojaldre siguiendo las instrucciones de esta receta. Truco: Si no os gusta la mermelada de higos podéis utilizar otra cualquiera. Le van muy bien las mermeladas rojas tipo frutos del bosque, arándanos, cerezas, frambuesa, fresa... ¡hay mil posibilidades! 2 Colocamos el queso encima y ponemos dos cucharadas más de mermelada. Luego, plegamos el hojaldre cerrándolo sobre el queso y presionamos bien los pliegues para evitar que se abran durante la cocción en el horno, pero con cuidado para no romper la masa. 
3 Pintamos el fondo y los bordes de una cazuela de barro con una cucharada de mantequilla. Hecho esto, colocamos dentro el hojaldre relleno de camembert y lo introducimos en el horno precalentado a 180 ºC . Horneamos durante aproximadamente 25-30 minutos, y si observamos que el hojaldre se dora mucho, podemos taparlo con un trozo de papel de aluminio. Truco: Si no tienes cazuela de barro o es demasiado grande, también se puede hornear directamente en la bandeja del horno sobre un papel sulfurizado. 
4 Cuando esté listo, esperamos unos cinco minutos antes de comer para evitar quemarnos con el queso, ¡espero que os guste! Como veis, el queso camembert al horno con hojaldre es perfecto para servir a modo de aperitivo o, como decía, para la hora de la cena. Podemos acompañarlo con otras delicias, como las patatas gratinadas a la francesa, o elaborar un postre casero, como un bizcocho de plátano y coco. ¡Buen provecho!",efb78e89-f042-4232-b8d1-128e14d36742,comida
Queso de almendras vegano,https://www.recetasgratis.net/receta-de-queso-de-almendras-vegano-57112.html,"150 gramos de Harina de almendras
4 cucharadas soperas de Zumo de limón
3 cucharadas soperas de Aceite de oliva
2 dientes de Ajo
½ taza de Agua (120 mililitros)
1 pizca de Sal","1 Para hacer este delicioso queso vegano, lo primero que debes hacer es alistar todos los ingredientes. Ten en cuenta que el ajo puede ser natural o en polvo, lo que prefieras. 
2 Teniendo esto en cuenta, coloca los ingrediente en la licuadora y tritura todo junto hasta que se forme una masa compacta y homogénea. Tritura las veces que sea necesario hasta que todo se mezcle bien. 
3 Vacía esta mezcla sobre una tela para quesos, una gasa o una malla fina. Haz un nudo formando una bola, apretando bien la mezcla. Coloca esta bola sobre un colador con envase debajo y deja en reposo unas 12 horas en la nevera. Truco: El colador sostendrá el queso vegano y en el envase se irá depositando toda el agua que suelte 4 Para terminar de hacer el queso de almendras tienes dos opciones. La primera es colocar la malla con el queso en un envase de plástico con agujeros. Añade algo de peso encima para que tome la forma del molde y deja en reposo unas 48 horas más. Truco: Puedes usar cualquier envase y hacer agujeros con un clavo y el peso se lo puedes dar colocando encima granos, por ejemplo. 
5 La otra opción de terminar el queso de almendras es más rápida. Precaliente el horno a 100ºC y engrasas con aceite un molde pequeño. Coloca allí el queso y cocina por 40 minutos a temperatura floja. El queso debe verse ligeramente dorado y con la superficie cuarteada. Truco: También puedes usar papel aluminio para hornear el queso 6 Disfruta de este delicioso queso vegano de almendras. Sírvelo en el desayuno o utilízalo para acompañar unas hamburguesas de lentejas o una ensalada de aguacate. ¡Buen provecho!",f9a5e9d6-ca2c-4b78-a75c-bfe27837bf24,comida
Queso flameado,https://www.recetasgratis.net/receta-de-queso-flameado-56372.html,"500 gramos de Queso asadero
250 gramos de Chorizo
12 piezas de Tortilla de maíz
1 pizca de Ajo en polvo
1 pizca de Sal
1 pizca de Pimienta blanca","1 En un comal a fuego medio se calientan las tortillas de ambos lados. Se retiran conforme vayan quedando calientes y se meten a un tortillero o se cubren con un trapo limpio y seco. Recuerda que puedes hacer tortillas de maíz tu mismo o comprarlas ya hechas. 
2 Para hacer el queso flameado, en una sartén sin aceite y a fuego medio se cuece el chorizo y se espolvorea con una pizca de sal, ajo en polvo y pimienta blanca. Se mueve constantemente hasta que esté cocido parejito. 
3 Una vez que el chorizo esté bien cocido se añaden las rebanadas de queso, se tapa, se baja el fuego a lento y se deja hasta que gratine. Este platillo puede realizarse con cualquier tipo de queso para gratinar, como queso oaxaca, mozzarella o queso manchego, por ejemplo. 
4 Sirve tres tortillas por plato y rellena con una cucharada de queso flameado calientito. Disfruta de ésta deliciosa comida tradicional mexicana con un poco de pico de gallo y guacamole. Si te gustó la receta, tienes alguna duda, opinión o piensas que podríamos mejorarla no dudes en dejar tus comentarios.",4722f296-412d-4e92-85f0-579fd10b306b,comida
Queso frito con mermelada,https://www.recetasgratis.net/receta-de-queso-frito-con-mermelada-55612.html,"200 gramos de Queso campesino
50 gramos de Harina
50 gramos de Miga de pan
1 unidad de Huevo
35 gramos de Azúcar
35 gramos de Moras","1 Lo primero que debes hacer es alistar todos los ingredientes, recuerda que puedes optar por otro tipo de queso que sea ideal para freír. 
2 Primero vamos a preparar la mermelada. Para ello, pon las moras junto con el azúcar en una olla a fuego medio, verás cómo la fruta va soltando sus jugos y el azúcar comienza a caramelizar. Si deseas que no quede muy espesa agrega un poco de agua. Cuando veas que la fruta está blanda, retira la mermelada y reserva. 
3 Luego, corta el queso del tamaño de cada porción y pásalos por harina, fíjate muy bien en cubrir todo el queso. 
4 Después, pasa el queso por huevo batido y finalmente por la miga de pan, fíjate en la fotografía para saber cómo tiene que quedar. 
5 En abundante aceite hirviendo, fríe el queso por ambos lados hasta que esté bien dorado. 
6 Sirve y degusta este delicioso queso frito con mermelada de moras. Ten en cuenta que puedes preparar la mermelada que más te guste, de fresa, de manzana, etc. ¡No dejes de probar este increíble platillo! Si te gustó esta receta o tienes alguna duda déjanos tus comentarios.",b674832c-89b6-4e20-9fa3-5a06dee6bc7a,comida
Queso Camembert relleno,https://www.recetasgratis.net/receta-de-queso-camembert-relleno-52388.html,"Queso Camembert 1u. Hojas de rúcula c/n. Hongos secos ( girgola, shitake, boletus) c/n Champiñones c/n Tomates cherry confitados c/n. Papel aluminio","1 Para confitar los tomates basta con colocar los tomates en una placa para horno con 1 diente de ajo machacado, abundante aceite de oliva, sal, pimienta de molinillo, romero y una pizca de azúcar. Poner la placa en un horno a temperatura baja y cocinar hasta que queden tiernos. Enfriar. Tomar el queso Camembert y cortar por la mitad como si fuéramos a preparar un sándwich. Filetear los champiñones y cocinar a fuego fuerte en un sartén sin materia grasa Hidratar los hongos secos que hayamos elegido en agua caliente o caldo, escurrir el líquido y unir con los champiñones. Cocinar brevemente y colocar sobre el queso. Por ultimo colocar las hojas de rúcula fresca y cerrar con la otra mitad de queso. Colocar el ""sándwich"" sobre papel aluminio y envolver de manera que quede cubierto hasta la mitad. Llevar a horno fuerte por espacio de 5 minutos y servir inmediatamente",8b7fb476-90d9-47ae-b104-a4cc593ca200,comida
Queso apanado con salsa de arequipe,https://www.recetasgratis.net/receta-de-queso-apanado-con-salsa-de-arequipe-51091.html,"50 gr queso fresco
1 unidad huevo
30 gr harina
30 gr miga de pan
50 ml leche
30 gr arequipe (dulce de leche)","1 Alistar todos los ingredientes 2 Cortar el queso en laminas cuadras, pasarlo primero por harina, después por huevo y por ultimo por miga de pan. 
3 Llevar el queso a un sartén antiadherente y dorarlo por ambos lados durante 5 minutos. 
4 Para la salsa, en una olla derretir el arequipe con la leche hasta lograr consistencia de salsa. 
5 Servir el queso y cubrir con la salsa, consumir caliente.",42ab3f8d-3238-4269-a1da-9b3e0b282754,comida
