title,url,ingredients,steps,uuid,categoria
Sopa de Lentejas Colombiana,https://www.mycolombianrecipes.com/es/sopa-de-lentejas-colombiana/,"1 cucharadita de aceite vegetal
1 taza de chorizo en rodajas
½ taza de cebolla picada
1 diente de ajo picado
½ taza de cebolla larga picada
½ taza de tomates picados
5 tazas de agua
1 taza de lentejas
½ cucharadita de sal
½ cucharadita de pimienta
½ taza de zanahorias ralladas
½ taza de papas cortadas en trozos
½ cucharadita de comino en polvo","Cocinar el chorizo en el aceite en una olla grande a fuego medio, revolviendo de vez en cuando, unos 5 minutos. Con una cuchara ranurada, transfiera el chorizo a un plato cubierto con papel toalla.
Agregue las zanahorias, la cebolla, el ajo, el tomate y cebolla larga a la olla, sazonar con sal y pimienta. Cocine revolviendo ocasionalmente unos 12 minutos. Agregue el comino y cocinar 1 minuto más.
Añadir las lentejas y el agua, llevar a hervir. Luego baje el fuego a medio-bajo, tape y cocine hasta que las lentejas estuén suaves pero no blandas unos 45 minutos.
Añadir el chorizo y papas, cocinar por 15 a 20 minutos hasta que las papas estén bien cocidas y tiernas. Agregue más agua si es necesario. Servir inmediatamente.",86af71bc-e16a-11ed-b130-a96d6180cd25,comida
Sopa de Lentejas con Carne,https://www.mycolombianrecipes.com/es/sopa-de-lentejas-con-carne-colombiana/,"1 taza de salsa de aliños ver receta aquí
2 zanahorias grandes peladas y cortadas en cubitos
Sal y pimienta al gusto
1 libra de carne de res cortada en trozos
½ libra de lentejas lavadas
8 tazas de caldo de carne
½ cucharadita de achiote molido o color
1 cucharadita de comino molido
3 papas blancas medianas peladas y en cubitos
¼ taza de cilantro fresco picado","Ponga la salsa de aliños, zanahorias, carne de res, las lentejas, el caldo, el achiote, comino y revuelva para mezclar. Suba el fuego a alto y llevar a hervir.
Reduzca el fuego a bajo, tape y cocine a fuego lento hasta que la carne y las lentejas estén tiernas, aproximadamente 35 a 40 minutos.
Añadir las papas. Cocine a fuego lento durante unos 25 a 30 minutos o hasta que las papas estén tiernas.
Agregue el cilantro picado y sazone con sal a su gusto. Servir con arroz blanco.",86af71c0-e16a-11ed-924d-a96d6180cd25,comida
Sopa de Lentejas y Pollo,https://www.mycolombianrecipes.com/es/sopa-de-lentejas-y-pollo/,"1 taza de cebolla picada
2 dientes de ajo picados
3 cebollas largas picadas
1 ¼ taza de lentejas secas
Sal y pimienta al gusto
1 taza de papa pelada y cortada en cubitos
¼ cucharadita de comino en polvo
2 zanahorias peladas y cortadas en cubitos
2 cucharadas de pasta de tomate
8 tazas de caldo de pollo
2 pechugas de pollo grande deshuesadas y sin piel","Coloque la cebolla, el ajo y las cebolla larga en una licuadora con 1 taza de caldo de pollo, mezcle hasta que todo esté mezclado.
Coloque en una olla y agregue el resto del caldo de pollo y las lentejas, luego lleve a hervir.
Reduzca el fuego y agregue la papa, el comino, las zanahorias, la pasta de tomate y el pollo y continúe cocinando durante aproximadamente 45 minutos o hasta que las lentejas estén blandas. Retire las pechugas de pollo y colóquelas en un plato para enfriar. Desmechar el pollo y regréselo a la olla. Sazonar con sal y pimienta y servir con arroz.",86af71c7-e16a-11ed-8664-a96d6180cd25,comida
Sopa de Arroz y Frijoles,https://www.mycolombianrecipes.com/es/sopa-de-arroz-y-frijoles/,"½ libra de frijoles canarios secos remojados durante la noche
1 taza de salsa aliños ver receta aquí
8 tazas de caldo de carne o vegetales
½ taza de arroz crudo enjuagado y escurrido
2 zanahorias medianas peladas y rebanadas
½ cucharadita de comino molido
½ taza de hogao vea la receta aquí
Sal y pimienta a su gusto
Cilantro fresco
Chorizo cocido para servir opcional","Lavar los frijoles bien. En una olla grande a fuego medio, agregue los frijoles, el caldo, la salsa aliños y las zanahorias. Ligeramente cubra y cocine a fuego lento durante 1 ½ horas.
Añadir el comino molido, hogao, arroz y cilantro. Cocine a fuego lento durante 30 minutos más o hasta que los frijoles estén tiernos.Sazone con sal y pimienta y servir.",86af71cb-e16a-11ed-bab4-a96d6180cd25,comida
Sopa de Arroz con Carne en Polvo,https://www.mycolombianrecipes.com/es/sopa-de-arroz-con-carne-en-polvo/,"¾ de taza de arroz sin cocinar
1 taza de salsa de aliños ver receta aquí
1 cucharadita de comino molido
1 cucharadita de achiote molido o sazón con color
8 tazas de caldo de pollo o carne de res
2 papas peladas y cortadas en cubitos
1 taza de zanahorias peladas y cortadas en cubitos
1 taza de arvejas frescas o congeladas
¼ taza de cilantro finamente picado
Sal y pimienta al gusto
1 taza de salsa de hogao ver receta aquí
Carne en polvo ver receta aquí","Coloque todos los ingredientes de la sopa en una olla mediana. Llevar a hervir y reduzca el fuego a medio. Cocinar por unos 35 minutos, revolviendo de vez en cuando o hasta que las zanahorias estén blandas.
Agregar el cilantro picado y servir en un tazón con hogao, carne en polvo, aguacate y ají.",86af71cc-e16a-11ed-8af4-a96d6180cd25,comida
Sopa de Arroz con Pollo,https://www.mycolombianrecipes.com/es/sopa-de-arroz-con-pollo/,"8 muslos de pollo o 4 pechugas
7 tazas de agua
1 tableta de caldo de pollo
¼ taza de salsa de aliños ver la receta
2 papas blancas medianas cortadas en cubitos
½ taza de arroz de grano largo blanco
½ taza de arvejas
½ taza de zanahorias en cubitos
¼ taza de cilantro fresco","En una olla grande colocar todos los ingredientes, excepto el arroz y el cilantro. Llevar a hervir y luego reducir el fuego a bajo y cocine a fuego lento durante 45 minutos.
ñadir el arroz y continúe cocinando a fuego lento durante 15 a 20 minutos más o hasta que el arroz esté blando. Retire el pollo de la olla, retire la piel y deshuesar, rompiendo la carne en pedazos y devolver la carne a la sopa. Sazone con sal y pimienta. Añada el cilantro y sirva.",86af71cd-e16a-11ed-b708-a96d6180cd25,comida
Sopa de Patacón,https://www.mycolombianrecipes.com/es/sopa-de-patacon/,"8 tazas de caldo de res
1 cucharada de aceite
1 taza de cebolla picada
3 dientes de ajo picados
3 cebollas verdes finamente picadas
Media taza de pimentón rojo cortado en cubitos
Sal y pimienta al gusto
Media cucharadita de comino molido
Un cuarto de cucharadita de achiote
12 patacones cocidos tostones (Mira la receta aquí)
Cilantro fresco para adornar","Calentar el aceite a fuego medio en una olla grande, agregue la cebolla, el ajo, la cebolla larga, el pimentón, el comino y el achiote. Cocine por 5 minutos, revolviendo con frecuencia.
Añadir el caldo de carne a la olla y llevar a hervir. Reduzca el fuego a medio y cocinar por 20 minutos.
Añadir los patacones y cocine a fuego lento durante unos 10-15 minutos, tenga mucho cuidado al revolver la sopa, para evitar romper los patacones.
Espolvoree el cilantro por encima y servir caliente.",86af71ce-e16a-11ed-b2f6-a96d6180cd25,comida
Sopa de Verduras,https://www.mycolombianrecipes.com/es/sopa-de-verduras/,"1 taza de cebolla finamente picada
2 cucharadas de aceite de oliva
10 tazas de caldo verduras o caldo de pollo
1 hoja de laurel
3 ½ tazas de vegetales mixtos congelados (maíz habichuelas, arverjas y zanahorias 
2 tazas de papas peladas y cortadas en cubos
½ de taza de hojas de cilantro picado
Sal y pimienta al gusto
½ cucharadita de comino molido
1 cucharadita de Sazón con azafran para el color","Calentar el aceite de oliva en una olla grande a fuego medio; agregar la cebolla y cocinar hasta que empiece a ablandarse, unos 5 minutos.
Añadir el caldo, el laurel, verduras mixtas, las papas, el comino, el sazón, la sal y la pimienta.
Cocine unos 25 a 30 minutos o hasta que las verduras estén blandas. Retire del fuego, descarte la hoja de laurel, sazonar al gusto y añadir el cilantro picado.",86af71d0-e16a-11ed-b080-a96d6180cd25,comida
Sopa de Mondongo Colombiano,https://www.mycolombianrecipes.com/es/sopa-de-mondongo-colombiano/,"1 libra de callos de res mondongo, cortado en trozos pequeuños
El jugo de 1 limón
¼ de cucharadita de bicarbonato de sodio
1 ½ libras de carne de cerdo cortada en trozos pequeuños
3 chorizos colombianos en rodajas
1  tomate picado
2 cebollas largas picadas
¼ taza de cebolla blanca picada
4 papas pequeuñas peladas y cortadas en cubos
1 libra de yuca pelada y cortada en cubitos
Sal y pimienta
½ cucharadita de comino molido
¼ cucharadita de achiote
⅓ taza de cilantro fresco
1 diente de ajo picado
Agua","Lavar los callos con agua tibia y frote con jugo de limuón. En una olla grande combine los callos, el bicarbonato de sodio, y suficiente agua para cubrir la tripa o callos.
Llevar a hervir, reduzca a fuego lento y cocine hasta que los callos esten blanditos, aproximadamente 1 ½ a 2 horas o 45 minutos si se utiliza una olla a presión. Escurrir los callos y tirar el agua.
En una olla grande, colocar el mondongo cocido, carne de cerdo, chorizos, tomate, cebolla larga, cebolla, ajo, comino y achiote. Agregar suficiente agua para cubrir.
Llevar a hervir y luego reducir el fuego a bajo y cocine a fuego lento por cerca de 45 minutos. Agregue la yuca, el cilantro y papas. Cocine durante 30 minutos más.
Sírvalo en tazones y decorar con cilantro y cascos de limón. Servir con arroz blanco, aguacate, plátano y salsa picante (ají).",86af71d2-e16a-11ed-926d-a96d6180cd25,comida
Sopa de Arepa,https://www.mycolombianrecipes.com/es/sopa-de-arepa/,"7 tazas de caldo de pollo o de res
2 papas grandes peladas y cortadas en cubitos
1 taza de hogao
½ cucharadita de comino molido
Sal y pimienta
3 arepas cocidas y cortadas en trozos
½ taza de cilantro fresco","En una olla mediana colocar el caldo, las papas, el comino y hogao.
Llevar a hervir, reduzca el fuego a medio.
Cocine hasta que las papas estén blandas. Alrededor de un 25 a 30 minutos.
Añadir los trozos de arepa y sazonar con sal y pimienta. Cocine durante 4 minutos más. Agregue el cilantro fresco y servir.",86af71df-e16a-11ed-bcb9-a96d6180cd25,comida
