title,url,ingredients,steps,uuid,categoria
Arepa de Huevo,https://www.mycolombianrecipes.com/es/arepa-de-huevo/,"1 taza de harina de maíz Masarepa
½ cucharadita de sal
½ cucharadita de azúcar
1 taza de agua tibia
Aceite vegetal para freír
4 huevos","En un tazón mediano, mezcle la Masarepa, la sal y el azuúcar con un tenedor. Agregar el agua caliente y mezclar con las manos para formar la masa. Dejar reposar durante 5 minutos.
Divida la mezcla en 4 porciones iguales y forma cada porción en una bola rodanda con las palmas de sus manos.
Coloque un pedazo de papel de pergamino o de plástico en una tabla de cocina, colocar la bola de masa y cubrir con otra hoja de papel o plástico y con una cubierta olla plana aplanar, aproximadamente ½ de pulgada de espesor .
Calentar el aceite en una olla grande a 350 ° F. Agregue las arepas en el aceite caliente, una por una, freír durante 3 minutos dando vueltas una vez .
Con una cuchara ranurada,retire con cuidado las arepas del aceite y escurra en papel toalla.
Cuando la arepa este lo suficientemente fría como para tocarla, usando cuchillo afilado hacer una abertura de aproximadamente 1 ½ pulgadas de largo en un lado de la arepa, cortando a la mitad de la arepa sin cortar hasta el final, como haciendo un bolsillo.
Ponga 1 huevo en una pequeña cazuela y verter con cuidado el huevo en el bolsillo de la arepa. Tome un pequeño trozo de la masa que tenía a un lado y cerrar la arepa . Agregue los arepa rellenas de huevo al aceite caliente y freír una vez más durante unos 4 minutos, para cocinar el huevo.
Con una cuchara de ranuras, retire las arepas del aceite y escurrir sobre papel de cocina y servir de inmediato .",86af71c2-e16a-11ed-a792-a96d6180cd25,comida
Arepa con Atún y Camarones,https://www.mycolombianrecipes.com/es/arepa-con-atun-y-camarones/,"4 arepas cocidas
2 latas de atún
½ taza de mayonesa
¼ taza de cebolla picada
2 cucharadas de perejil picado
2 cucharadas de jugo de limón
Sal y pimienta
16 camarones cocidos
¾ taza de mayonesa
3 cucharadas de salsa de tomate
½ cucharadita de salsa picante
1 cucharada de cebolla picada
3 cucharadas de cilantro picado
Sal y pimienta
Jugo de ½ lima
Cebolla y cilantro rojos picados para adornar","Para el atún: Mezclar todos los ingredientes en un tazón mediano. Sazone con sal y pimienta a su gusto.
Para el camarón: Mezclar todos los ingredientes en un recipiente grande y dejar reposar en la nevera durante al menos una hora.
Para servir: Colocar las arepas en un plato de servir, cubrir con atún y camarones. Espolvorear cilantro, cebolla roja o perejil y servir inmediatamente.",86af71f4-e16a-11ed-a46c-a96d6180cd25,comida
Arepa con Carne Asada,https://www.mycolombianrecipes.com/es/arepa-con-carne-asada/,"4 arepas cocinadas
2 libras de carne de falda de carne cortada en porciones iguales
½ taza de cebolla picada finamente
4 dientes de ajo picados
2 cebollas largas finamente picadas
1 cucharadita de comino molido
½ taza de cerveza
1 cucharada de aceite vegetal
Sal y pimienta negra
¼ taza de cilantro fresco","Mezcle la cebolla picada, el ajo picado, la cebolla larga, el comino, la cerveza, el aceite, sal y la pimienta juntos para hacer un adobo para la carne.
Frote el adobo en los filetes y dejar marinar durante 3 horas o durante la noche en el refrigerador.
Asar los filetes a fuego alto a la cocción deseada, unos 3 minutos en cada lado. Para servir, encima de cada arepa con un trozo de carne, espolvorear cilantro fresco y servir inmediatamente.",86af71f6-e16a-11ed-9895-a96d6180cd25,comida
Arepa Boyacense,https://www.mycolombianrecipes.com/es/arepa-boyacense/,"2 tazas de harina de maíz amarilla pre cocida masarepa
5 cucharadas de harina de trigo
1 + ½ tazas de agua caliente
½ taza de leche
¼ cucharadita de sal
2 cucharadas de azúcar
3 cucharadas de mantequilla suave un poco más para cocinar
2 tazas de queso fresco o quesito colombiano","En un tazón mediano mezcle la masarepa, la harina, el agua, la leche, la sal, el azúcar y la mantequilla. Amasar con las manos durante unos 3 minutos mojuándose las manos con agua mientras trabaja.
Forme 12 bolitas con la masa. Coloca cada bola entre 2 bolsas de plástico o papel de pergamino, y con una tapa plana, aplanar a aproximadamente.
Colocar el queso en el centro de la mitad de uno los círculos de masa y luego poner otro círculo encima para cubrir. Con los dedos, sellar los bordes alrededor del queso, lo que evitaruá que el queso se derrame.
Añadir la mantequilla a un sartén antiadherente a fuego medio. Coloque las arepas en la sartuén y cocine durante aproximadamente 3 minutos en cada lado, hasta hasta que estén doradas. Servir inmediatamente.
Add the butter to a nonstick pan over medium heat. Place the arepas in the pan and cook about 3 minutes on each side, until a crust forms or until they are golden brown. Serve immediately.",86af71ff-e16a-11ed-a921-a96d6180cd25,comida
Arepa con Camarones y Hogao,https://www.mycolombianrecipes.com/es/arepa-con-camarones-y-hogao/,"2 arepas asadas
12 camarones medianos limpios y desvenados
Sal y pimienta
2 tazas de hogao Mira la receta
Cilantro fresco para adornar","Sazone los camarones con sal y pimienta. En una olla pequeña coloque el hogao y el camarón.
Revuelva y cocine, revolviendo con frecuencia, hasta que los camarones esten rosados y opacos, unos 2 minutos.
Ponga la mezcla de hogao-camarones sobre las arepas. Espolvorear el cilantro fresco y servir.",86af7203-e16a-11ed-ae69-a96d6180cd25,comida
Arepa con Carne a la Criolla,https://www.mycolombianrecipes.com/es/arepa-con-carne-a-la-criolla/,"1 taza de masarepa
1 taza de agua tibia
2 cucharadas de mantequilla
Una pizca de sal
2 libras de solomito o falda y cortado en trozos pequeuños
1 cucharada de aceite vegetal
2 tazas de tomate picado
2 cebollas verdes cortadas en trozos pequeuños
2 dientes de ajo picados
1 cucharada de comino molido
Sal y pimienta negra al gusto
2 cucharadas de cilantro fresco picado
1 taza de guacamole
1 taza de maíz cocinado","Para hecer la arepas:Combine la masarepa, agua caliente, 1 cucharada de mantequilla y sal, mezclando bien. Deje que la mezcla repose durante cinco minutos.
Amasar con las manos durante unos 3 minutos humedeciendo las manos con agua mientras forma la masa.
Formar 4 pequeuñas bolas con la masa. Coloque cada bola entre 2 bolsas de pluástico y con una tapa aplane a ½ de pulgada.
Auñadir la mantequilla en una sartuén antiadherente a fuego medio o una parrila para hacer arepas. Coloque las arepas en la sartuén y cocine durante aproximadamente 3 minutos de cada lado, hasta que estuén doradas.
Para hacer la carne: En una sartuén grande, caliente el aceite a fuego medio. Auñadir los tomates, las cebollas, el comino y el ajo. Cocine durante unos 7 minutos.
Auñadir los trozos de carne en la sartuén y cocine durante 3 minutos por cada lado.
Para servir: Coloque una arepa en un plato de servir, cubra con guacamole, la carne y el maíz. Agregue cilantro fresco y sirva.",86af722c-e16a-11ed-8a43-a96d6180cd25,comida
Arepa con Carne Desmechada,https://www.mycolombianrecipes.com/es/arepa-con-carne-desmechada/,"4 arepas cocinadas
Carne desmechada ver receta de carne desmechada aquí
1 cucharada de mantequilla
1 plátano maduro pelado y cortado en cubitos
1 aguacate cortado en cubitos
Cilantro fresco picado para servir","En una sartén mediana, derrita la mantequilla y agrega los plátanos en cubitos. Cocine los plátanos durante unos 3 minutos y dejar de lado.
Coloque una arepa en un plato de servir, cubra con la carne desmechada y agregue aguacate y plátano. Servir con cilantro picado encima.
Sprinkle fresh cilantro and serve.",86af7246-e16a-11ed-942f-a96d6180cd25,comida
Arepa de Huevo,https://www.mycolombianrecipes.com/es/arepa-de-huevo/,"1 taza de harina de maíz Masarepa
½ cucharadita de sal
½ cucharadita de azúcar
1 taza de agua tibia
Aceite vegetal para freír
4 huevos","En un tazón mediano, mezcle la Masarepa, la sal y el azuúcar con un tenedor. Agregar el agua caliente y mezclar con las manos para formar la masa. Dejar reposar durante 5 minutos.
Divida la mezcla en 4 porciones iguales y forma cada porción en una bola rodanda con las palmas de sus manos.
Coloque un pedazo de papel de pergamino o de plástico en una tabla de cocina, colocar la bola de masa y cubrir con otra hoja de papel o plástico y con una cubierta olla plana aplanar, aproximadamente ½ de pulgada de espesor .
Calentar el aceite en una olla grande a 350 ° F. Agregue las arepas en el aceite caliente, una por una, freír durante 3 minutos dando vueltas una vez .
Con una cuchara ranurada,retire con cuidado las arepas del aceite y escurra en papel toalla.
Cuando la arepa este lo suficientemente fría como para tocarla, usando cuchillo afilado hacer una abertura de aproximadamente 1 ½ pulgadas de largo en un lado de la arepa, cortando a la mitad de la arepa sin cortar hasta el final, como haciendo un bolsillo.
Ponga 1 huevo en una pequeña cazuela y verter con cuidado el huevo en el bolsillo de la arepa. Tome un pequeño trozo de la masa que tenía a un lado y cerrar la arepa . Agregue los arepa rellenas de huevo al aceite caliente y freír una vez más durante unos 4 minutos, para cocinar el huevo.
Con una cuchara de ranuras, retire las arepas del aceite y escurrir sobre papel de cocina y servir de inmediato .",86af9a1f-e16a-11ed-9fe6-a96d6180cd25,comida
Arepa de Huevo,https://www.mycolombianrecipes.com/es/arepa-de-huevo/,"1 taza de harina de maíz Masarepa
½ cucharadita de sal
½ cucharadita de azúcar
1 taza de agua tibia
Aceite vegetal para freír
4 huevos","En un tazón mediano, mezcle la Masarepa, la sal y el azuúcar con un tenedor. Agregar el agua caliente y mezclar con las manos para formar la masa. Dejar reposar durante 5 minutos.
Divida la mezcla en 4 porciones iguales y forma cada porción en una bola rodanda con las palmas de sus manos.
Coloque un pedazo de papel de pergamino o de plástico en una tabla de cocina, colocar la bola de masa y cubrir con otra hoja de papel o plástico y con una cubierta olla plana aplanar, aproximadamente ½ de pulgada de espesor .
Calentar el aceite en una olla grande a 350 ° F. Agregue las arepas en el aceite caliente, una por una, freír durante 3 minutos dando vueltas una vez .
Con una cuchara ranurada,retire con cuidado las arepas del aceite y escurra en papel toalla.
Cuando la arepa este lo suficientemente fría como para tocarla, usando cuchillo afilado hacer una abertura de aproximadamente 1 ½ pulgadas de largo en un lado de la arepa, cortando a la mitad de la arepa sin cortar hasta el final, como haciendo un bolsillo.
Ponga 1 huevo en una pequeña cazuela y verter con cuidado el huevo en el bolsillo de la arepa. Tome un pequeño trozo de la masa que tenía a un lado y cerrar la arepa . Agregue los arepa rellenas de huevo al aceite caliente y freír una vez más durante unos 4 minutos, para cocinar el huevo.
Con una cuchara de ranuras, retire las arepas del aceite y escurrir sobre papel de cocina y servir de inmediato .",86afb091-e16a-11ed-8518-a96d6180cd25,comida
Arepa con Atún y Camarones,https://www.mycolombianrecipes.com/es/arepa-con-atun-y-camarones/,"4 arepas cocidas
2 latas de atún
½ taza de mayonesa
¼ taza de cebolla picada
2 cucharadas de perejil picado
2 cucharadas de jugo de limón
Sal y pimienta
16 camarones cocidos
¾ taza de mayonesa
3 cucharadas de salsa de tomate
½ cucharadita de salsa picante
1 cucharada de cebolla picada
3 cucharadas de cilantro picado
Sal y pimienta
Jugo de ½ lima
Cebolla y cilantro rojos picados para adornar","Para el atún: Mezclar todos los ingredientes en un tazón mediano. Sazone con sal y pimienta a su gusto.
Para el camarón: Mezclar todos los ingredientes en un recipiente grande y dejar reposar en la nevera durante al menos una hora.
Para servir: Colocar las arepas en un plato de servir, cubrir con atún y camarones. Espolvorear cilantro, cebolla roja o perejil y servir inmediatamente.",86afb099-e16a-11ed-b41a-a96d6180cd25,comida
