title,url,ingredients,steps,uuid,categoria
Empanada en freidora de aire,https://www.recetasgratis.net/receta-de-empanada-en-freidora-de-aire-76500.html,"6 discos de empanada
1 huevo
60 gramos de queso mozzarella
30 gramos de chorizo o longaniza","1 Para empezar, deberás elegir con qué rellenar tus empanadas. En este caso, hemos elegido el relleno de las empanadas calabresa, para mostrarte una idea que puedes hacer sencillamente. No dejes de mirar las opciones que compartimos contigo al final de la receta. Asimismo, bate un huevo para luego pintar con él las empanadas. No es 100%, por tanto, si no tienes huevo, no te preocupes, pero le dará un color dorado muy apetitoso a tus empanadas. 
2 A continuación, rellena cada disco con la cantidad de queso y chorizo suficiente como para que no queden vacías, pero no tanto como para que se exploten, tal cual ves en la imagen. Aproximadamente, deberás dejar libre un dedo de distancia entre el relleno y los bordes. Recomendamos los humedezcas con agua para que ambos se sellen y no se escape tu relleno. 
3 Puedes decorar el cierre de tus empanadas con el clásico repulgue, el cual asegura mayor seguridad para tu relleno. Si no te sale o no te gusta, puedes ejercer un poco de presión con un tenedor alrededor del borde o llevar las dos puntas hacia adelante para pegarlas, como se presentan las empanadas de jamón y queso. 
4 Dispón tus empanadas en el recipiente de la freidora, separadas por al menos un dedo de distancia. Recomendamos, en este caso, las hagas de a 3, para lograr una cocción pareja. Píntalas con el huevo que habías batido previamente. 
5 10 minutos es el tiempo de las empanadas en la freidora de aire, programándola a 180 ºC. La masa deberá quedar ligeramente dorada como ves en la imagen. 
6 Sirve tus empanadas en freidora sin aceite y listas para comer. ¿Qué opinas de esta preparación? Puedes ahorrar aún más tiempo si continúas armando las empanadas mientras la tanda anterior se cocina. Prueba esta técnica y cuéntanos en los comentarios qué te pareció.",336c280f-1423-4876-b320-e72808b22749,comida
Empanada de puerro y nata,https://www.recetasgratis.net/receta-de-empanada-de-puerro-y-nata-62724.html,"1 paquete de Empanadillas
1 unidad de Puerros
1 paquete de Queso rallado
100 mililitros de Nata líquida
1 botella de Aceite de oliva suave
1 pizca de Sal","1 Preparamos los ingredientes que vamos a utilizar para las empanadillas de puerro y nata. 
2 A continuación, lavamos y picamos los puerros desechando la parte de arriba más verde. 
3 Ponemos una sartén con un poquito de aceite, y cuando esté caliente pondremos a pochar el puerro a fuego medio, con cuidado de que no se nos queme. 
4 Cuando el puerro esté bien pochadito y tenga color le pondremos el queso rallado, la cantidad será la que queráis.Podéis utilizar el que prefiráis para elaborar estas empanadas de puerro y queso pero a mí me gusta más un queso semicurado. 
5 Después vamos echando la nata líquida poco a poco al relleno de las empanadillas de verduras y queso caseras. 
6 Iremos removiendo todo el relleno hasta que quede una crema y probamos de sal. Apagamos y dejamos templar. 
7 Preparamos las obleas para empanadillas sobre la encimera. 
8 Ponemos una cucharada de relleno en cada oblea. 
9 Cerramos las empanadas de puerro y queso y sellamos los bordes con un tenedor, para que no se nos salga el relleno al freírlas. 
10 Ponemos una sartén con un buen chorro de aceite e iremos friendo las empanadillas de puerro y nata, hasta que queden doradas. 
11 Ponemos un plato con papel de cocina, conforme estén las empanadillas de verduras caseras las iremos poniendo para que absorba el aceite sobrante. 
12 Pasamos las empanadas de puerros y nata a una fuente y ¡listas para comer! Te recomiendo que te pases por mi blog Cocinando con Montse y le eches un vistazo a las otras muchas recetas que te están esperando.",c212929d-710f-4e33-9975-6ec4967da7ce,comida
Empanada gallega vegana,https://www.recetasgratis.net/receta-de-empanada-gallega-vegana-56153.html,"2 unidades de Cebolla
1 unidad de Pimiento rojo
1 unidad de Pimiento verde
1 diente de Ajo (opcional)
25 gramos de Algas espagueti de mar
1 pizca de Sal
1 pizca de Pimienta
1 pizca de Tomillo seco
1 cucharada postre de Perejil picado
1 paquete de Masa brisa vegana
½ taza de Pan rallado","1 Para empezar con esta receta vegana fácil, el primer paso es preparar los ingredientes. Corte la cebolla en juliana y los pimientos en cuadraditos. Si desea añadir ajo a la preparación también córtelo finamente. 
2 Sofría en aceite no muy caliente los vegetales y una vez se hayan ablandado, añada las algas gallegas sin remojar. La verdura debe quedar húmeda para hidratar las algas, sin embargo vigile que no haya líquido en exceso en el fondo de la sartén. 
3 Sazone al gusto el relleno para la empanada gallega vegana con pimienta, tomillo y perejil. Tenga cuidado con la sal, ya que las algas ya son saladas. Deje reposar hasta que tome temperatura ambiente. 
4 Aparte, coloque una pieza de masa en un molde circular, ligeramente engrasado con aceite, y espolvoree el pan rallado para evitar que el relleno vegano empape la masa. 
5 Coloque el relleno, esparciendo de forma uniforme por todos los lados y luego tape la empanada gallega con otro disco de masa. 
6 Finalmente, lleve la empanada gallega vegana al horno a temperatura alta hasta que la masa esté dorada. Ya solo queda disfrutar este estupendo plato, sano y nutritivo durante la hora de la comida o la cena. Y no olvide visitar mi blog Cocina con Luz Verde donde podrá encontrar una lista de recetas veganas y vegetarianas de todo tipo.",0aaf0562-83d8-43a8-8fea-d3aeba06a419,comida
Empanada berciana,https://www.recetasgratis.net/receta-de-empanada-berciana-56006.html,"500 gramos de Harina
250 gramos de Manteca de cerdo
1 cucharada sopera de Levadura
500 gramos de Lomo de cerdo
100 gramos de Jamón serrano
100 gramos de Chorizo
2 unidades de Pimientos rojos
1 unidad de Huevo
½ taza de Aceite de oliva
2 dientes de Ajo
1 pizca de Sal
1 pizca de Pimienta molida","1 Cogemos un recipiente con la capacidad suficiente y mezclamos la mitad de la harina con la levadura y medio vasito de agua. Cuando estén integrados estos ingredientes, añadimos el resto de harina y seguimos mezclando. 
2 Incorporamos, también dos vasitos de agua, sal y seguimos trabajando la masa. Aparte, asamos y pelamos los pimientos, reservamos. Freímos los ajos picados en aceite y, cuando estén dorados, añadimos el jamón, el lomo en trozos y el chorizo. Removemos para que se haga la carne por todas partes y agregamos el pimiento cortado en tiras. Dejamos cocinar el relleno de la empanada. 
3 Reservamos el relleno y trabajamos la masa de hojaldre. La extendemos con un rodillo, en el centro colocamos la mantequilla, doblamos la masa de manera que la mantequilla quede tapada y volvemos a estirar con el rodillo. Doblamos de nuevo y volvemos a estirar, repetimos este proceso seis veces. Precalentamos el horno a 175ºC. 
4 Cuando ya tenemos la masa lista del todo, la separamos en dos mitades. Cogemos una de ellas, la estiramos, forramos un molde con ella y colocamos el relleno ya frío extendiéndolo de forma uniforme. Estiramos la otra mitad y la colocamos sobre el relleno para cerrar la empanada. Sellamos los bordes con las manos de manera que el interior no pueda salir al momento de hornearla. 
5 Dibujamos líneas en diagonal sobre la superficie para formar cuadrados y la pintamos con huevo batido. Pinchamos la masa para que respire y no aumente de volumen en el horno y horneamos la empanada berciana hasta que esté dorada. 
6 Cuando la parte superior esté dorada, la retiramos del horno, dejamos enfriar y servimos. Podemos degustar esta rica empanada casera fría o templada, como más nos guste. Visita mi blog La Cocina de Juani y descubre más recetas llenas de sabor como esta.",c1e91066-0668-4311-95bb-986518e4d907,comida
Empanada de verduras fácil,https://www.recetasgratis.net/receta-de-empanada-de-verduras-facil-55515.html,"1 unidad de Cebolla
2 unidades de Pimiento
2 unidades de Huevo
1 unidad de Calabacín
1 taza de Queso
1 pizca de Sal
1 pizca de Orégano
1 taza de Harina (140 gramos)
½ vaso de Vino Blanco
½ vaso de Aceite
1 pizca de Sal","1 La masa la hacemos mezclando el aceite y el vino, con una pizca de sal y vamos añadiendo la harina hasta que la masa quede compacta pero suave. Dejamos reposar 15 minutos, estará lista. Agrega harina hasta que obtengas la consistencia deseada, puedes ser más o menos de una taza. 
2 Para el relleno, ponemos aceite en una sartén y ponemos todas las verduras troceadas, añadimos un poco de sal y no dejamos de dar vueltas hasta que estén blanditas. Las sacamos y ponemos en un colador para que dejen todo el caldo unos 10 minutos, lo ponemos en un bol y añadimos un huevo batido, el queso, el orégano y rectificamos de sal, lo reservamos. 
3 Cortar la masa en dos trozos, con el rodillo dejarla fina y ponerla en el molde, poner el relleno, taparla con el otro trozo, pintarla con el otro huevo batido y poner en el horno a 170ºC durante 30 minutos, hasta que este dorada. Sacar del horno dejar enfriar y desmoldar. 
4 Disfruta de esta deliciosa empanada de verduras fácil y si te gustan este tipo de platos tal vez te interese la receta de empanada gallega.",cb542cb9-0c65-4e50-84b8-4270a7232760,comida
Empanada de atún fresco,https://www.recetasgratis.net/receta-de-empanada-de-atun-fresco-28625.html,"1 paquete de Hojaldre congelado
500 gramos de Cebolla
400 gramos de Atún fresco o en conserva
250 gramos de Salsa de tomate
250 gramos de Pimiento morrón
1 pizca de Pimienta blanca
1 pizca de Sal","1 Picamos la cebolla, el pimiento rojo en brounoisse (picadito en cuadradito pequeño). 
2 Sofreímos la cebolla hasta que se dore, añadimos el pimiento rojo y por último la salsa de tomate, el pimiento morrón y el atún desmigado. 
3 Salpimentamos al gusto. 
4 Retiramos del fuego y escurrimos el aceite sobrante. 
5 Dividimos la masa de hojaldre en dos partes. Si quieres hacer tu propia masa de hojaldre, no te pierdas esta receta. 
6 Estiramos una de las mitades de la masa de hojaldre con el rodillo, de forma que quede del tamaño de la placa del horno. 
7 Engrasamos la placa de horno y añadimos unas gotas de agua para que luego no se pegue la empanada de atún a su superficie. 
8 Colocamos la masa estirada en la placa del horno y disponemos el relleno del sofrito de atún por encima, dejando 1'5 centímetros alrededor sin relleno. 
9 Extendemos de la misma forma la otra mitad de la masa y la colocamos encima, doblamos todo el contorno de la misma (de abajo hacia arriba). 
10 Hacemos unas tiras de adorno y las colocamos encima. 
11 Pintamos la empanada con la yema de huevo batida y horneamos a 200 ºC unos 30-35 minutos.",0ad15e8a-e283-437c-88ce-cbef668223ee,comida
Empanada gallega de xoubas,https://www.recetasgratis.net/receta-de-empanada-gallega-de-xoubas-51370.html,"½ litro de Agua
2 unidades de Huevo
½ vaso de Leche
1 vaso de Salsa colada del sofrito
1 cucharadita de Sal
1½ kilogramos de Harina
20 gramos de Levadura
5 unidades de Cebolla
4 dientes de Ajo
2 unidades de Puerro
1 unidad de Pimiento rojo
1 unidad de Pimiento verde ¾ litro de Aceite de oliva
4 cucharadas soperas de Tomate frito
¼ litro de Vino blanco
1 cucharada postre de Pimentón
2 hebras de Azafrán
1 cucharadita de Sal
1 kilogramo de Sardinillas
1 chorro de Zumo de limón","1 Se pican muy finamente los puerros, los ajos, los pimientos y la cebolla. Se pone a calentar el aceite en una cacerola de tamaño grande, se le añaden las hortalizas picadas, la sal y el tomate frito. Se deja pochar muy bien y se le añade el azafrán, el pimentón y finalmente el vino. 
2 Se reserva un vaso grande de salsa colada y se comienza el amasado 3 Se coloca en la amasadora el agua, los huevos, la leche y la sal. Cuando la sal se haya disuelto se añade un poco de harina y a continuación la levadura mezclada con otro poco de harina. 
4 Se se añade la mitad de la salsa reservada y se sigue amasando, añadiendo harina poco a poca hasta obtener una masa elástica, blanda, uniforme y que no se pegue ni en la máquina ni en las manos. 
5 Se hacen dos bollos iguales con la masa y por medio de un rodillo y poniendo una fina capa de harina sobre la mesa, se estira, dándole la forma de la empanadera. Luego se recoge enrollándola en el rodillo y se deposita sobre la empanadera. 
6 Se esparce el sofrito sobre la primera capa de masa, de manera que quede uniforme. 
7 Ahora se colocan las xoubas (sardinillas) crudas, bien limpias y habiéndole añadido previamente un chorrito de zumo de limón, sobre el sofrito de maner uniforme 8 Ahora se estira el otro bollo de la masa de la misma forma que el primero y se coloca encima. Se recorta la masa sobrante alrededor y con ella se hacen tiran muy finas para adornar a nuestro gusto la superficie de la empanada. 
9 Finalmente se cierra alrededor, trenzando los bordes de las dos capas de masa a la vez que sujetamos la tira de los adornos. se le practica un orificio centran del tamaño de una moneda. Se pincha toda la superficie con un tenedor y se introduce en el horno precalentado a 200ºC 10 A los veinte minutos se saca del horno y por medio de una brocha y el resto de la salsa reservada, se le da brillo por toda la superficie. Se vuelve a meter al horno y aproximadamente otros veinte minutos después se saca (controlando por el color, dado que cada horno puede variar un poco)",f703d834-481e-4dc1-a18e-d64d6bcac339,comida
Empanada gallega redonda,https://www.recetasgratis.net/receta-de-empanada-gallega-redonda-52034.html,"Masa 250 gr harina de trígo
4 cucharadas aceite del guiso
1 pizca paprika
5 gr levadura seca
150 ml agua Guiso
1 lata de atún
1/2 unidad cebolla blanca
1 diente ajo
2 unidad tomate rojo
1 pizca paprika Aceite de oliva Sal Pimienta","1 Alistar todos los ingredientes. 
2 Picar la cebolla y el ajo finamente, rehogar en abundante aceite de oliva a fuego bajo con un poco de sal, tapada, hasta que este blanda. 
3 Agregar el tomate pelado y cortado finamente, volver a tapar y cocinar 10 minutos mas a fuego bajo hasta que suelte sus jugos. 
4 Agregar la paprika, sal, pimienta, mezcla y reservar el guiso. 
5 Para la masa, activar la levadura, para hacerlo tibiar el agua y agregar la levadura seca con un poco de azúcar, esperar 5 minutos. 
6 En un bowl mezcla la harina con la levadura, una pizca de paprika, una pizca de sal y las 4 cucharadas del aceite del guiso, hasta formar una masa homogénea. 
7 Amasar durante 20 minutos, debemos obtener una masa lisa y suave.Disponer en un bowl, untado con un poco de aceite durante 2 horas. 
8 Cuando la masa doble su volumen, dividir en dos parte, una un poco mas grande que la otra. 
9 1. Estirar la parte mas grande y disponer en la base del molde.
2. Agregar el guiso y esparcir.
3. Añadir la lata de atún, esparcir, condimentar con sal y pimienta.
4. Estirar la otra masa, cubrir, cerrar los bordes, pintar con huevo batido, abrir un hueco en la mitad y llevar al horno a 180 grados C, durante 45 minutos. 
10 Una vez salga del horno, desmolar y disfrutar.",7df4d4e8-42d8-45c3-915f-2659c402b0a4,comida
Empanada de acelgas o pascualina,https://www.recetasgratis.net/receta-de-empanada-de-acelgas-o-pascualina-51335.html,"1 paquete de Masa quebrada
1 kilogramo de Acelgas
1 unidad de Cebolla
5 unidades de Huevos
1 vaso de Aceite de oliva
200 gramos de Bacon
1 pizca de Sal","1 Empezamos por alistar todos los ingredientes para preparar nuestras pascualinas caseras con acelgas. Si quieres hacer la masa de forma casera, aquí tienes varias recetas que te pueden servir:Masa quebrada sin mantequillaMasa quebrada sin glutenMasa para quiche o pascualinas 2 Para empezar a preparar el relleno, limpiamos las acelgas, separando las pencas de la hoja y ponemos las pencas a cocinar con agua hirviendo. 
3 Por otra parte, en una cazuela con un poco de aceite, ponemos a rehogar las acelgas. 
4 Mientras, vamos picando la cebolla y el bacon para hacer un sofrito. Ponemos estos dos ingredientes a a rehogar con aceite de oliva. 
5 Mientras se hace el sofrito, comprobamos que las acelgas y las pencas estén hechas. Si es así, retiramos y picamos las acelgas junto a las pencas.Juntamos esta verdura con la cebolla y el bacon. 
6 Teniendo el relleno listo nos ponemos a armar nuestra empanada de acelgas. Para ello, forramos una bandeja con papel de horno, extendemos la mitad de la masa en forma circular, haciendo un pliegue alto para los bordes. Por encima colocamos el relleno y los huevos enteros. 
7 Cerramos con otra lámina de masa y pintamos la masa con huevo batido. Procura poner atención en la unión de los bordes para que estos no se abran durante el proceso de cocción. 
8 Cocinamos la pacualina de acelgas al horno a 150ºC hasta que se dore a nuestro gusto. 
9 Sacamos la empanada de acelgas y servimos. ¡Buen provecho!",bc760fe5-7699-415c-9d80-e59accce82da,comida
Empanada gallega original,https://www.recetasgratis.net/receta-de-empanada-gallega-original-50899.html,"500 gr de harina,
25 gr de levadura,
160 ml de agua,
50 ml de vino blanco,
1 pizca de sal,aceite , cebolla,
350 gr de atún,
4 cucharadas de tomate frito,pimentón dulce,aceite de oliva","1 Primero mezclamos la harina, la levadura y la agua. Luego la amasamos hasta ser una masa homogenea. Cuando la tengamos amasada la dejamos reposar y luego la estiramos. Luego la colocamos en una fuente y la estiramos dos mitades introduciendo el sofrito en el interior. Por último la metemos al horno a 200º durante 30-40 minutos. 
2 Pero si no deseas pasar por la cocina la puedes adquirir en www.comoengalicia.com",961b2f69-653f-4917-ab7f-29c9599b0c85,comida
