title,url,ingredients,steps,uuid,categoria
Empanadas Colombianas,https://www.mycolombianrecipes.com/es/empanadas-colombianas/,"1 ½ tazas de harina de maíz precocida amarilla (Masarepa)
2 tazas de agua
1 cucharada de aceite vegetal
½ cucharada de sazón con azafran
½  cucharadita sal
2 tazas de papas blancas peladas y partidas en cubos
1 tableta de caldo pollo o vegetales
1 cucharada de aceite de oliva
¼ taza de cebolla blanca picada
1 taza de tomate picado
½  cucharadita de sal
¼ taza de cebolla larga picada
1 diente de ajo picado
2 cucharadas de cilantro fresco picado
2 cucharadas de pimenton rojo picado
½ libra de carne molida de cerdo y carne de res
¼ cucharadita pimienta negra
Aceite vegetal para freír
Limón y ají para servir","Coloca la Masarepa en un tazón grande . Añada el sazón , la sal y revuelva para mezclar bien. Agregue el agua , el aceite y mezclar hasta formar la masa . Forma la masa en una bola y amasar durante 2 minutos o hasta que esté suave. Cubrir con plástico y dejela reposar por lo menos 20 minutos.
Mientras tanto, para hacer el relleno , cocinar las papas en una olla con agua y la pastilla de caldo durante 20-25 minutos o hasta que las papas estén suaves . Escurrir y triturarlas un poco. Reservelas para usar despues.
Calentar 1 cucharada de aceite de oliva en una sartén grande. Agregue la cebolla y cocine a fuego medio-bajo revolviendo con frecuencia , durante 5 minutos. Añadir los tomates , la cebolla larga , ajo , pimentón, cilantro , sal y pimienta negra . Cocer durante unos 15 minutos.
Agregue la carne molida de cerdo y carne de res. Cocina, rompiendo la carne con una cuchara de madera, durante 10 a 15 minutos o hasta que la mezcla este seca.
Transfiera la mezcla de carne a la mezcla de puré de papas y mezcle bien todo.
Romper pequeñas porciones de la masa , aproximadamente de 1 ½ cucharadas cada una, y formar cada porción en una bola con las palmas de sus manos.
Coloque las bolas de masa entre dos pedazos de plástico y aplástelas con las yemas de los dedos para formar un círculo o puede usar un rodillo si prefiere. Retire la tapa de plástico y coloque 1 cucharada de relleno en el centro de cada circulo .
Luego, utilizando el plástico debajo, doble la masa para encerrar el relleno , formando un medio círculo. Sellar herméticamente los bordes con los dientes de un tenedor o con los dedos.
Llene una olla grande con aceite vegetal y calentar a fuego medio a 360 ° F.
Con cuidado, coloque 3 o 4 empanadas en el aceite caliente y freír durante unos 2 minutos hasta que se doren por todos los lados .
Con una cuchara ranurada transferir las empanadas a un plato cubierto con toallas de papel. Sirva con ají y limón.",86af9a35-e16a-11ed-b288-a96d6180cd25,comida
Empanadas de Plátano Maduro,https://www.mycolombianrecipes.com/es/empanadas-de-platano-maduro/,"4 plátanos muy maduros
1 huevo
2 cucharadas de mantequilla a temperatura ambiente
3 cucharadas de harina para todo uso
½ cucharadita de extracto de vainilla
1 cucharada de azúcar
1 taza de queso mozzarella rallado
Aceite en spray para cocinar","Lavar y cortar los plátanos por la mitad. Cocine con la piel sobre fuego medio-alto en una olla grande con agua, hasta que los plátanos estén cocinados y suaves, unos 10 minutos.
Pelar y triturar los plátanos cocinados con un tenedor hasta obtener una mezcla suave. Dejar reposar durante 5 minutos.
Agregue el huevo, la mantequilla, la harina, el extracto de vainilla y el azúcar y mezcle bien.
Formar la masa en una bola y dejar reposar en un recipiente a temperatura ambiente durante unos 20 minutos. Forma 12 bolas con la masa de plátano y presiona cada pelota para hacer un disco con la palma de tu mano. Añadir el queso en el medio, doblarla por la mitad y presionar para sellar los dedos, o utilizar un tenedor para ayudar a sellar los bordes, para que el queso no se salga. Rocíe aceite spray en una bandeja para hornear o cúbralo con papel encerado. Precaliente el horno a 400F.
Colocar las empanadas en la bandeja para hornear y hornear durante unos 15 minutos, luego voltear las empanadas y cocinar durante unos 15 minutos más o hasta doradas. Servir caliente.",86af9a39-e16a-11ed-958e-a96d6180cd25,comida
Empanadas de chorizo y queso,https://www.recetasgratis.net/receta-de-empanadas-de-chorizo-y-queso-57328.html,"Masa de empanadas 150 gramos de Queso mozzarella
1 unidad de Cebolla blanca
3 unidades de Tomates rojos
100 gramos de Cebolla de verdeo o larga
150 gramos de Queso ricotta
5 unidades de Chorizo de cerdo","1 Nuestro primer paso para realizar la receta de empanadas caseras es prealistar los ingredientes. Para la masa tienes distintas opciones:Masa para empandas tradicionalMasa para empanadas sin glutenMasa de hojaldre casera 2 Corta el chorizo en cuadros pequeños como se observa en la fotografía, lleva una sartén a fuego medio y saltea el chorizo. Una vez salteado reserva en un tazón aparte. 
3 Licua el tomate y las cebollas hasta obtener un puré con estos ingredientes. En la misma sartén donde salteamos el chorizo adiciona el puré de vegetales. 
4 Agrega sal, pimienta negra y pasta de ajo para saborizar. Saltea muy bien este sofrito. 
5 Una listo el sofrito, mezcla esto con el chorizo. Revuelve todo para que los sabores se combinen bien. 
6 Añade los quesos a la mezcla del relleno para empanadas. 
7 Mezcla bien los ingredientes del relleno hasta integrar por completo. Este punto puedes probar y corregir la sazón si es necesario. 
8 Es importante que el relleno se encuentre frío para poder realizar nuestras empanadas de queso. 
9 Estira la masa que hayas decidido usar y corta las tapas de empanadas. Recuerda que puedes estirar con un rodillo y cortar con un pocillo. 
10 Coloca los círculos de masa en la base de un utensilio para hacer empanadas, como se ve en la fotografía. Estos aparatos los puedes conseguir en cualquier tienda de cocina. Si no tienes no te preocupes, simplemente omite este paso. 
11 Añade con la ayuda de una cucharita un poco del relleno de nuestra receta. 
12 Arma las empanadas caseras y tapa con un paño de cocina. Para cerrarlas sin máquina, humedece ligeramente el borde de la empanada y aplasta con un tenedor. 
13 Lleva un sartén al fuego con suficiente aceite para freír nuestras empanadas. Fríe hasta que estén doradas por fuera. Truco: Si deseas puedes realizarlas al horno para no añadir más calorias a la receta. 
14 Retira las empanadas a un plato con papel absorbente para quitar el exceso de grasa. 
15 Sirve las empanadas de chorizo y queso bien calientes y si quieres acompaña con un ají de aguacate, el típico ají colombiano o un poco de pico de gallo. Si deseas más recetas de empanadas caseras y tienes algún comentario o inquietud, escríbenos! ¡Disfruta!",cfb6f4ca-0cf8-42ce-bc83-428b495eb785,comida
Empanadas de carne fritas,https://www.recetasgratis.net/receta-de-empanadas-de-carne-fritas-76150.html,"2 huevos
1 cebolla
¼ morrón rojo
¼ morrón verde
¼ morrón amarillo
1 cucharada sopera de aceite
1 cucharada sopera de manteca
500 gramos de carne picada
25 centímetros cúbicos de vino blanco
12 aceitunas descarozadas
1 cucharadita de orégano
1 pizca de nuez moscada
⅓ taza de pasas de uva","1 Para empezar con la receta de las empanadas de carne, primero cocina los huevos durante 12 minutos partiendo de agua fría. 
2 Pela y pica la cebolla. También corta el morrón en cuadraditos. A continuación, saltea las verduras en una sartén a fuego alto con el aceite y la manteca. 
3 Cuando la cebolla esté transparente, baja el fuego al medio y remueve cada tanto para que no se pegue, pero se siga cocinando. 
4 Cuando las verduras estén cocidas, retíralas del fuego y vuelve a subir el fuego al máximo para saltear la carne. 
5 Cuando la carne cambie de color, agrega las verduras y llévalo todo hacia los bordes de la sartén. Todavía con el fuego alto, agrega el vino blanco y reserva hasta que cambie el olor de ácido a más dulce, ya que esto indicará que se ha evaporado el alcohol. Retíralo del fuego y reserva hasta que se enfríe. 
6 Por otro lado, corta las aceitunas en rodajitas. 
7 También pela y pisa los huevos o pícalos del tamaño que desees. 
8 Agrega ambos ingredientes al relleno junto con los condimentos al gusto. 
9 Si deseas agregar pasas de uva, hidrátalas previamente con agua tibia. 
10 Añade las pasas de uva en el relleno y reserva mientras se termina de enfriar. 
11 Cuando esté frío el relleno de empanadas de carne jugoso, agrega una cucharada del relleno mismo en el disco de empanada y humedece la mitad del borde para cerrarla, sellarla y hacerle el repulgue. Resérvalas en el freezer. 
12 Calienta el aceite en un recipiente con un diámetro no muy grande o no se sumergirán completamente y, por tanto, no se cocinará la masa para empanadas fritas de carne de forma pareja. 
13 Agrega las empanadas en aceite cuando hayan alcanzado los 180 ºC - 200 ºC. Si no tienes termómetro, cuando haga pequeñas burbujas alrededor de la empanada deberás añadirlas. Maneja las empanadas argentinas de carne con una pinza y no con algún elemento punzante para que se mantenga el relleno dentro. Además, si es necesario, gírala para que se dore de forma pareja. Retírala cuando veas que está dorada. 
14 A medida que saques las empanadas de la fritura, llévalas a un papel absorbente para retirar el exceso de aceite. 
15 Si deseas una opción más saludable, lleva las empandas a la freidora de aire, pintándolas previamente con huevo batido. Cocínalas a 160 ºC durante 10 minutos. 
16 Aquí puedes ver el resultado de las empanadas de carne fritas en la freidora de aire. Puedes quedarte con esta opción para consumir de forma frecuente y la opción frita en aceite para comer de forma esporádica, por los efectos en la salud que comentábamos al principio de la receta. 
17 Así queda el resultado de las empanadas fritas en aceite. Puedes acompañarlas con jugo de limón para cortar lo grasoso de la fritura. ¡A comer las mejores empanadas de carne! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.",c65d9054-a948-4112-b475-e92f307bef38,comida
Empanadas sin carne,https://www.recetasgratis.net/receta-de-empanadas-sin-carne-76209.html,"1 lata de atún al natural
1 cebolla
¼ morrón rojo
¼ morrón verde
¼ morrón amarillo
6 aceitunas
1 cucharadita de orégano
1 pizca de pimienta
½ cucharadita de pimentón
1 pizca de comino
1 huevo (para pintar)","1 Para empezar con la receta de las empanadas sin carne, primero pela y pica la cebolla para saltearla con 1 cucharadita de aceite en una sartén a fuego máximo hasta que esté transparente. 
2 Cuando la cebolla esté transparente, añade los morrones lavados y picados, sin las nervaduras blancas ni semillas. Luego, baja el fuego a medio-bajo y continúa salteando hasta que estén bien cocidas las verduras. Si se está pegando, agrega un poco del líquido de la conserva del atún para sumar sabor. También puedes usar agua. 
3 Cuando estén cocidas las verduras, retíralas del fuego y mézclalas con el atún previamente colado, las aceitunas cortadas en rodajitas y condimentos al gusto, como orégano, pimentón, comino y pimienta. Pruébalo y corrige si es necesario. 
4 Cuando el relleno esté frío, rellena las empanadas agregando una cucharada de la preparación de atún en el centro del disco de empanada. Luego, humedece la mitad del borde para que al cerrarlas se sellen bien y no se salga el relleno. 
5 Ciérralas con el repulgue que más te guste y llévalas a una asadera previamente engrasada con el cierre hacia arriba como ves en la imagen. Luego, píntalas con el huevo batido para que se doren bien y cocínalas en el horno precalentado a 200 ºC - 220 ºC durante unos 15 minutos hasta que estén cocidas. 
6 ¡Ya están listas para comer las empanadas al horno sin carne! ¿Qué te ha parecido esta receta? Cuéntanos en los comentarios y no te pierdas a continuación más ideas de relleno sin carne.",d65a70c8-7a2c-4966-91f8-91346fc9f8cb,comida
Empanadas de roquefort y apio,https://www.recetasgratis.net/receta-de-empanadas-de-roquefort-y-apio-76298.html,"12 tapas de empanadas
150 gramos de queso muzzarella
50 gramos de queso roquefort
30 gramos de nueces
2 ramas de apio
1 cucharada sopera de harina","1 Para empezar con la receta de empanadas de roquefort y apio, primero enciende el horno para precalentarlo a temperatura máxima 200 ºC- 230 °C. A continuación, unta con aceite y enharina la asadera donde cocinarás las empanadas. 
2 Lava perfectamente y pica las ramas de apio, tanto el tallo como las hojas. Luego, reserva. Truco: te recomendamos elegir las ramas centrales, ya que son más tiernas. 
3 Pica las nueces un poquito gruesas para que se noten y reserva las empanadas de roquefort y nuez. 
4 En un recipiente, pisa el queso azul junto la mozzarella con un tenedor. Luego, agrega la harina y unifica con los quesos formando una especie de masa. Truco: puedes usar queso cremoso para reemplazar la mozzarella. 
5 Forma bolitas alargadas con la preparación de quesos y harina. Este procedimiento te ayudará a repartir de manera más proporcional los ingredientes para armar las empanadas de roquefort sin jamón. 
6 Distribuye las tapas de empanada sobre la mesada y comienza a armarlas. A continuación, coloca una cucharada de apio en cada una y, luego, las bolitas de queso y las nueces. El orden es indistinto, lo importante es armarlas en serie para hacerlo más rápido y ordenado. 
7 Cierra las empanadas de roquefort y apio humedeciendo la mitad del borde de cada tapa con un poquito de agua. A continuación, cierra las empanadas superponiendo los bordes. Truco: humedece ligeramente los bordes porque si lo mojas demasiado, será más difícil pegarlos. 
8 Realiza el repulgue que te guste y coloca las empanadas de queso y nueces sobre la placa. A continuación, píntalas con huevo batido y llévalas a horno fuerte durante 10-15 minutos o hasta que estén doradas. 
9 Cuando retires del horno las empanadas de roquefort y muzzarella, solo espera unos minutos antes de comerlas para no quemarte y poder disfrutar su exquisito sabor. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.",474be3cb-1ebb-4484-b914-bed8b9bbe3bd,comida
"Empanadas de jamón, queso y cebolla",https://www.recetasgratis.net/receta-de-empanadas-de-jamon-queso-y-cebolla-76240.html,"6 tapas de empanada
3 lonchas de jamón natural
1 cebolla
25 centímetros cúbicos de vino blanco
1 rama de cebolla de verdeo
90 gramos de queso fresco
1 cucharada postre de orégano
2 cucharadas soperas de queso blanco untable","1 Para empezar con la receta de las empanadas de jamón, queso y cebolla, primero carameliza la cebolla con sus propios azúcares. Para ello, pélala y pícala en cubos pequeños. A continuación, saltéala en una sartén a fuego máximo con 1 cucharadita de aceite hasta que empiece a transparentarse. En ese momento, baja el fuego al medio y agrega 1 cucharada de agua caliente junto con la parte blanca del verdeo, también picada. Repite este procedimiento cada vez que se sequen teniendo en cuenta que, cuantas más veces lo hagas, más dulce quedará. Truco: reemplaza las últimas cucharadas de agua por vino blanco para proporcionar más sabor a tu salteado. 
2 Mezcla la cebolla con las fetas de jamón, el queso fresco en cubos y el queso untable. Condimenta al gusto con el orégano. Comprueba el sabor de tu relleno y corrige si es necesario. 
3 Si quieres saber cómo hacer para que las empanadas de queso al horno que no se abran, primero debes rellenar las empanadas humedeciendo la mitad del borde para que, al cerrarlo, se selle perfectamente. Puedes hacer el repulgue de las empanadas de jamón y queso que más te guste e ir disponiendo las empanadas con el cierre hacia arriba en una asadera previamente engrasada. 
4 Píntalas con huevo batido para que se doren mejor y cocínalas en el horno precalentado fuerte a 200 °C durante 20 minutos. Truco: si quieres saber cómo hacer para que las empanadas de queso no exploten, no debes abrir el horno antes del tiempo indicado o el contraste de temperaturas podría hacer que tus empanadas finalmente exploten. 
5 Cuando haya pasado el tiempo indicado y estén doradas, ya puedes servir y disfrutar tus empanadas de jamón, queso y cebolla. Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.",fef98279-ff25-44c2-87a6-be847a0d209f,comida
Empanadas de soja texturizada,https://www.recetasgratis.net/receta-de-empanadas-de-soja-texturizada-76242.html,"50 gramos de soja texturizada
1 cebolla
¼ morrón verde
¼ morrón amarillo
¼ morrón rojo
1 rama de cebolla de verdeo
1 cucharada sopera de salsa de soja
1 cucharada sopera de salsa inglesa
1 cucharadita de provenzal
1 cucharada postre de pimentón ahumado
1 cucharadita de cúrcuma","1 ¿Te preguntas cómo hidratar soja texturizada para empanadas? Pues bien, para empezar con la receta de las empanadas de soja texturizada, primero hidrata la soja con suficiente agua caliente para taparla, también añade la salsa de soja y la salsa inglesa, estas aportarán sabor y color. 
2 Pela y pica la cebolla. También lava y pica la parte blanca de la cebolla de verdeo y los morrones para saltear todos los vegetales en una sartén a fuego máximo con 1 cucharada de aceite. Cuando la cebolla esté transparente, baja el fuego a medio y continúa salteando hasta que estén bien cocidos. Truco: si se llegan a secar, puedes agregar 1 o 2 cucharadas de agua caliente para levantar el fondo de cocción. 
3 Cuando los vegetales estén cocidos, agrega la soja hidratada, unas cucharadas del líquido donde la habías hidratado y el puré de tomate. Saltea durante unos 10 minutos y agrega más de este líquido si se está secando, ya que buscamos obtener un relleno húmedo y jugoso. Luego, retira y condimenta la soja texturizada al gusto con, por ejemplo, provenzal, pimentón ahumado, ají molido y cúrcuma. 
4 Cuando el relleno esté frío, podrás rellenar tus empanadas de soja texturizada. Para ello, humedece la mitad del borde para que, al cerrarlo, se selle perfectamente. Puedes hacer el repulgue que más te guste e ir disponiendo las empanadas con el cierre hacia arriba en una asadera previamente engrasada. 
5 Si lo deseas y consumes huevo, puedes pintarlas para que se doren mejor y cocinarlas en el horno precalentado fuerte a 200 °C durante 20 minutos. Truco: si deseas elaborar unas exquisitas empanadas veganas de soja, recuerda que no debes añadir huevo. 
6 Pasado el tiempo indicado, podrás disfrutar de tus empanadas de soja texturizada. ¡A comer! ¿Qué te ha parecido esta receta? Cuéntanos en los comentarios y comparte con nosotros tu opinión.",75d3b8e5-2013-4ed7-afbb-fa4d9ee53aad,comida
Empanadas de choclo y salsa blanca,https://www.recetasgratis.net/receta-de-empanadas-de-choclo-y-salsa-blanca-76241.html,"½ taza de leche descremada
1 cucharada sopera de manteca
1 cucharada sopera de harina
8 tapas de empanadas
1 cebolla
1 lata de choclo cremoso (350 gramos)
1 cucharada postre de nuez moscada
1 pizca de pimienta
1 huevo (para batir)
1 cucharada sopera de queso rallado","1 ¿Te preguntas cómo preparar empanadas de choclo? Pues bien, para empezar con la receta de las empanadas de choclo y salsa blanca, primero pica y dora la cebolla con una cucharadita de aceite. Cuando esté dorada, agrega 2 cucharadas de agua caliente y baja el fuego al medio. Cuando se evapore, agrega la parte blanca de la cebolla de verdeo. Puedes levantar el fondo de cocción con más cucharadas de agua y repetir este proceso hasta que esté tan caramelizada en sus propios azúcares como desees. Truco: puedes reemplazar las últimas cucharadas por vino blanco para proporcionar más sabor. 
2 Retira la cebolla del fuego y mézclala con el choclo cremoso y condimentos al gusto, como nuez moscada, pimienta y queso rallado. Truco: si lo deseas, puedes utilizar choclo fresco. En este caso, hiérvelos en abundante agua durante unos 5 o 7 minutos hasta que esté bien amarillo y sus granos más blandos. 
3 En el mismo fondo de cocción de las cebollas, saltea 1 cucharada de manteca y 1 de harina con el fuego medio. Mezcla hasta que esté ligeramente dorada. 
4 En este momento, agrega la leche y mezcla hasta que la salsa blanca espese y no tenga grumos. Truco: si eres intolerante a la lactosa, puedes reemplazar la leche por deslactosada. 
5 Mezcla la salsa blanca con el relleno de choclo para empanadas, pruébalo y corrige el sabor si es necesario. Reserva para que se enfríe. 
6 Cuando esté fría la mezcla, rellena las empanadas humedeciendo la mitad del borde para que, al cerrar, se selle perfectamente. Puedes hacer el repulgue que más te guste e ir disponiendo las empanadas con el cierre hacia arriba en una asadera previamente engrasada. 
7 Pinta las empanadas de choclo cremoso y en granos con huevo batido para que se doren mejor. A continuación, cocínalas en el horno precalentado fuerte, a 200 °C durante 20 minutos. 
8 Cuando estén doradas, ya puedes servir y disfrutar tus empanadas de choclo y salsa blanca. Cuéntanos qué te ha parecido esta receta y no olvides que puedes compartir la fotografía de tu resultado en los comentarios.",d3b3373b-a9e6-4d9b-b952-a53a76e3ead4,comida
Empanadas de calabaza y queso,https://www.recetasgratis.net/receta-de-empanadas-de-calabaza-y-queso-76201.html,"400 gramos de calabaza
60 gramos de queso fresco
6 tapas de empanada
1 cucharada sopera de mostaza
1 cucharada postre de nuez moscada
1 cucharadita de provenzal
1 pizca de pimienta
1 huevo (para pintar)","1 Para empezar con la receta de las empanadas de calabaza y queso, primero deberás cocinar la calabaza. Para hacerlo, tienes diferentes opciones. Una de las opciones consiste en pelarla, cortarla en cubos y hervirla durante 20 minutos hasta que al pincharla se caiga del tenedor. Al final de la receta puedes encontrar otras formas de cocinar la calabaza. 
2 Cuando esté cocida, llévala a un colador con un recipiente debajo para colarla y que libere el agua que haya podido absorber. Tanto este líquido como el que has utilizado para hervir la calabaza, tiene numerosos nutrientes, así que querrás guardarlo para un fondo de cocción o caldo. Truco: obviar este paso puede hacer que tu relleno quede muy húmedo y se abran tus empanadas. Al final de la receta encontrarás otras formas de cocinar la calabaza donde absorbe menos humedad. 
3 Pisa la calabaza y condiméntala al gusto con la nuez moscada, pimienta, provenzal y mostaza. Estos son solo algunos ingredientes que puedes utilizar para saborizarla, pero si es de tu preferencia, puedes elegir más bien tomillo, romero, orégano, comino o ají molido si te gustan los picantes, entre otros. Prueba el relleno y corrige el sabor si es necesario. Truco: al combinarlo con la masa perderá un poco de sabor, así que asegúrate de que quede bien sabroso e intenso. 
4 Cuando el relleno esté listo, procede a rellenar las empanadillas de calabaza al horno. Para ello, toma una cucharada del puré y ubícala en el centro del disco de masa. Humedece un poco los bordes para que se sellen bien al cerrarlos y, a continuación, agrega un cubo de queso en el centro. Cierra la empanada y proporciona la forma que te guste para llevarla a una asadera previamente engrasada. 
5 Pinta las empanadillas de calabaza salada con el huevo batido y cocínalas en el horno precalentado a 200 ºC - 220 ºC durante unos 20 minutos o hasta que estén doradas. Truco: puedes cocinarlas unos 3-5 minutos en la parrilla para que el dorado y el crocante de la masa sea más intenso. 
6 Cuando estén listas las empanadas de zapallo y queso, ya podrás disfrutarlas durante un almuerzo o cena liviana saludable y deliciosa. ¡A comer! Cuéntanos qué te ha parecido esta receta en los comentarios.",99cc8b18-ef5d-461d-aa02-da9f3c5c139b,comida
