title,url,ingredients,steps,uuid,categoria
Merengue francés paso a paso,https://www.recetasgratis.net/receta-de-merengue-frances-paso-a-paso-60973.html,"3 piezas de Claras de huevo
120 gramos de Azúcar glass
120 gramos de Azúcar
1 pizca de Sal","1 En primer lugar reunimos los ingredientes que necesitaremos para la preparación de este delicioso merengue francés paso a paso. 
2 Para comenzar colocamos las caras de huevo el un tazón profundo junto con una pizca de sal y con ayuda de una batidora eléctrica debemos batirlas hasta que estén a punto de turrón. 
3 Una vez que las claras están a punto de turrón añadimos el azúcar en tres tantos sin dejar de batir, esto hace que la consistencia de nuestro merengue casero se vaya formando. 
4 Una vez añadida toda la azúcar, vamos a añadir también en tres tantos el azúcar glass, así nuestra mezcla se verá más brillante y sera aún más espesa. 
5 Una vez nuestra mezcla forme picos podemos empezar a formar los merengues franceses: para esto colocamos en una manga un poco de nuestra mezcla y sobre papel encerado o sobre una charola para hornear enmantequillada vamos colocando un poco de la mezcla dando la forma que más nos agrade. En este caso yo he formado espirales.Ahora llevamos la bandeja de merengue francés a hornear durante 2 horas a 100° C, cuidando de que no se dore de la parte inferior. 
6 Una vez listo el merengue francés paso a paso lo dejamos reposar dentro del horno abierto por toda una noche o por lo menos 8 horas. Pasado este tiempo ya podemos disfrutar de estos deliciosos postres.Y si te encantan los merengues prueba estas recetas diferentes que te recomendamos a continuación:Merengue italianoMerengue suizoMerengue almendradoMerengue italiano duroSuspiros de merengue horneados",d7c9fae9-b595-4c20-b42b-24243a17eb5d,postre
Merengue vegano con agua de garbanzos,https://www.recetasgratis.net/receta-de-merengue-vegano-con-agua-de-garbanzos-60741.html,"1 bote de Garbanzos cocidos
120 gramos de Azúcar pulverizado
1 cucharadita de Cremor tártaro (opcional)","1 Para hacer la receta del merengue vegano más fácil y rápida, nosotros hemos optado por el agua del bote de garbanzos cocidos. Si prefieres elaborar tú mismo este líquido, al final te indicamos cómo hacerlo. De esta forma, colamos los garbanzos y reservamos unos 120 ml de líquido para preparar el merengue. En cuanto a las legumbres, podemos guardarlas para preparar hummus casero en otro momento, o garbanzos con verduras. 
2 Luego, batimos el agua de garbanzos con unas varillas eléctricas a velocidad media-alta hasta obtener el punto de nieve, como si de claras de huevo se tratara.Si te preguntas cómo es posible obtener este resultado con este tipo de líquido la respuesta es muy sencilla. Al cocinar los garbanzos estos desprenden el almidón que los compone, el cual genera como una especie de espuma y ayuda a ""cuajar"" el agua. Es precisamente este proceso el que otorga al líquido la capacidad de adquirir consistencia al batirse. 
3 Cuando se formen picos, es momento de añadir el cremor tártaro y seguir batiendo. Este producto es opcional, aunque recomendamos emplearlo para obtener un merengue vegano mucho más consistente y fuerte. 
4 Una vez integrado el ingrediente anterior, podemos proceder a añadir el azúcar pulverizado poco a poco y sin dejar de batir. Puedes comprar este tipo de azúcar ya confeccionado o elaborarlo tú mismo siguiendo nuestra sencilla receta de azúcar glass. 
5 ¡Listo! Ya tenemos nuestro merengue vegano con agua de garbanzos preparado para introducirlo en una manga pastelera y elaborar suspiros o decorar una torta de chocolate vegana. Ahora que sabemos cómo sustituir las claras de huevo, ¡las posibilidades son infinitas! En este sentido, debes saber que una clara de huevo equivale aproximadamente a 60 ml de agua de garbanzos.",fb49cdbb-5bd4-41ee-b9d4-875b590d713c,postre
Merengue de frambuesa con chocolate,https://www.recetasgratis.net/receta-de-merengue-de-frambuesa-con-chocolate-60549.html,"150 gramos de Azúcar glass
3 Claras de huevos tamaño mediano
1 pizca de Sal
1 cucharadita de Pasta de frambuesas
1 gota de Colorante alimenticio rojo
100 gramos de Chocolate negro para repostería
75% de cacao
100 mililitros de Nata para montar
35% materia grasa","1 Para poder preparar los merengues cubiertos de chocolate, lo primero que debes hacer es precalentar el horno a 150 ºC con calor arriba y abajo (sin ventilación. Luego, deja lista una bandeja forrada con papel de horno o antiadherente. Truco: Añadir color y sabor a nuestro merengue 2 Una vez que tienes listo lo anterior, bate las claras con la pizca de sal en la batidora a velocidad media para montarlas hasta formar picos firmes. Sin dejar de batir, incorpora poco a poco el azúcar pulverizado y tamizado para que el merengue casero quede lo más fino posible. 3 Cuando las claras batidas y el azúcar se hayan integrado por completo, retira la preparación de la batidora, agrega la pasta de frambuesas y mezcla bien con una espátula o cuchara. De esta forma, el merengue adquirirá un sabor mucho más especial. Si no consigues esta pasta, puedes utilizar mermelada o coulis de frambuesa casero.Aparte, coge una manga pastelera con la boquilla que prefieras (yo opté por la nº12 de Wilton) y, con un palillo de madera impregnado del colorante rojo, da pequeños toques dentro de la boquilla y la manga todavía vacía. Truco: Yo he utilizado la pasta de frambuesas Home Chef, pero tú puedes usar la que quieras. 
4 Ahora, rellena la manga pastelera con el merengue de frambuesa y forma los susprios sobre la bandeja forrada, dejando un espacio de 2 cm entre ellos. Hornea los merengues durante 30 minutos aproximadamente, manteniendo la temperatura indicada. 
5 Pasado el tiempo de horneado, apaga el horno y deja los merengues caseros dentro durante toda la noche, o hasta que estén completamente fríos, y sin abrir el horno. Para preparar la salsa de chocolate, calienta la nata o crema de leche hasta que alcance el punto de ebullición. Cuando hierva, retírala del fuego y agrega el chocolate troceada, remueve y forma una crema suave, homogénea y brillante 6 Con el chocolate fundido todavía templado, baña los suspiros de merengue por completo o deja caer la salsa en forma de hilo. Deja que se sequen durante un par de horas aproximadamente.Puedes elaborar tus merengues caseros con el sabor que más te guste, teniendo en cuenta que es mejor utilizar productos en pasta (como las mermeladas) y no líquidos. Por otro lado, los merengues de frambuesa con chocolate pueden durante de 2 a 4 meses si los guardas en un recipiente con cierre hermético o en bolsas de plástico selladas, lejos de la humedad. Si te ha gustado, pásate por mi blog La Cocina de la Gata y descubre más recetas sencillas para enamorar.",31634348-12c5-4882-9181-cedf32b9066d,postre
Merengue suizo al baño maría,https://www.recetasgratis.net/receta-de-merengue-suizo-al-bano-maria-59242.html,"3 cucharadas soperas de Azúcar
1 Clara de huevo Fuente resistente al calor","1 El primer paso para realizar este merengue suizo al baño maría, lo primero que haremos será poner el azúcar con las claras en bol o una fuente resistente al calor. 
2 A continuación, colocar la fuente en un baño maría, sin que la fuente toque el agua que va a hervir. Así el merengue suizo podrá hacerse sin problemas. 
3 Una vez que el agua esté hirviendo, revolver el azúcar y las claras hasta que los cristales del azúcar estén disueltos. Entonces sacar el merengue suizo fácil del baño maría y, a continuación, batir a velocidad alta hasta tener la consistencia deseada en una superficie plana o mesa de trabajo, con ayuda de unas varillas o batidora eléctrica. Truco: Para saber si el merengue suizo está listo, levantar las varillas y, si se forma un pico firme y estable, es que ya está. 
4 ¡Y ya podremos disfrutar de nuestro merengue suizo al baño maría! Si queremos hacer merenguitos o usarlo de decoración, podemos ponerlo en una manga pastelera, hacer las formas deseadas en una bandeja y llevar el merengue suizo al horno para que se dore.Y si lo vuestro son las recetas fáciles de merengue, no os perdáis las siguientes que os recomendamos a continuación:Merengue suizoHuesitos de merengue para HalloweenMilhojas de merengueMerengues con salsa de frutos rojos",dbf1c9d0-cae3-42c6-9e45-2c3a05881401,postre
Merengue para decorar,https://www.recetasgratis.net/receta-de-merengue-para-decorar-56550.html,"6 unidades de Claras de huevo
600 gramos de Azúcar (3 tazas)
2 cucharaditas de Vainilla
1 chorro de Colorante (opcional)","1 Comenzamos batiendo las claras de huevo en un bol, hasta que queden a punto nieve. 
2 Luego, agregarle el azúcar y la vainilla. Batir de forma envolvente. Si no te gusta el sabor de la vainilla puedes añadir cualquier otra esencia o un poco de ralladura de limón. 
3 Por último, añade el colorante. Para hacer cada color sólo tienes que seguir las instrucciones del fabricante y batir hasta que el colorante se reparta de forma uniforme. Recuerda batir siempre de forma envolvente. 
4 Finalmente deja reposar el merengue para decorar en la nevera por unos 30 minutos y repártelo en mangas pasteleras para darle color a tus mejores postres, como por ejemplo:Bizcochos de cumpleañosPie de limón",aef34cb7-6b4e-43f7-98b5-b29ee5038ac9,postre
Merengue italiano duro,https://www.recetasgratis.net/receta-de-merengue-italiano-duro-55378.html,"4 unidades de Claras de huevo, temperatura ambiente
120 mililitros de Agua
250 gramos de Azúcar (1¼ tazas)","1 Echamos el agua y 200 gr de azúcar en un cazo y llevamos al fuego sin remover. Cuando el almíbar empiece a burbujear esta en su punto el almíbar. 
2 También se puede ver si el almíbar esta listo echando una gota de éste en un vaso con agua. Se debe formar una bola. 
3 Mientras se hace el almíbar, batimos las claras. Cuando estén casi montadas, le vamos añadiendo en forma de lluvia, los 50 gr de azúcar que nos quedan. Batimos hasta que estén montadas. 
4 Le vamos echando, a las claras el almíbar, con un hilo muy fino sin parar de batir. 
5 Cuando terminemos de echar todo el almíbar, seguimos batiendo hasta que esté frío, serán unos 10 minutos. Debe quedar muy blanco y muy consistente. 
6 El merengue italiano dura que más dura, a mi es el que más me gusta, para cubrir tartas o lo que quieras hacer con él. Es muy fácil de hacer, hay que perderle el miedo, un merengue que no se baja, que se mantiene duro, y que es deliciosos, espero que os guste. Adita",1b8592d7-7120-45fe-932a-5847e0c6b62f,postre
Merengue de fresa,https://www.recetasgratis.net/receta-de-merengue-de-fresa-55361.html,"100 gramos de Clara de huevo
200 gramos de Azúcar (1 taza)
100 gramos de Agua
2 gotas de Colorante rosado
50 gramos de Azúcar (¼ taza)
5 unidades de Fresas","1 Antes de realizar esta receta para San Valentín, el primer paso es alistar todos los ingredientes. 
2 Para el merengue italiano, en una olla añadir el azúcar y el agua, llevar al fuego sin mezclar y cocinar a fuego bajo hasta alcanzar una temperatura de 118ºC, si no tienes un termómetro lo ideal es contabilizar 10 minutos aproximadamente y cuando en el almíbar se vean burbujas pequeñas retirar del fuego. 
3 Mientras se está realizando el almíbar, batir las claras de huevo hasta punto de nieve, añadir el almíbar en forma de hilo sin dejar de batir hasta que el bol esté frío y se obtenga un merengue brillante y suave. 
4 Una vez esté listo el merengue italiano, añadir unas gotas de colorante y mezclar hasta obtener el color deseado. 
5 Agregar el merengue a una manga y rellenar unos capacillos en forma de corazón, hornear a 120ºC durante 2 horas. 
6 Para la salsa de fresas, en una sartén añadir las fresas cortadas en cubos muy pequeños y el azúcar, cocinar hasta obtener una salsa suave. 
7 Una vez esté lista la receta, servir los merengues y añadir la salsa de fresa sobre estos, esta receta es ideal para realizar en San Valentín y sorprender a las personas que más queremos. ¡Anímate y prepara este delicioso merengue de fresa! Puedes utilizarlo para decorar unos cupcakes de chocolate. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.",568b91dd-12fe-4db2-8510-db8198472389,postre
Merengue de café,https://www.recetasgratis.net/receta-de-merengue-de-cafe-52589.html,"50 gramos de Clara de huevo
100 gramos de Azúcar (½ taza)
15 gramos de Café instántaneo","1 Para estos merengues de café debemos alistar primero todos los ingredientes. 
2 Batir las claras de huevo hasta que queden como una nieve. Para comprobar que ya está hecho, voltea el recipiente y comprueba que las claras no se caen. 
3 Cuando estén a punto de nieve agregamos el azúcar poco a poco en forma de lluvia sin dejar de revolver. 
4 Cuando esté bien cremoso agregamos media cucharada de café. Si lo quieren con más sabor solo toca agregar más café. Seguimos mezclando hasta que cuando volteemos el recipiente el merengue no se caiga. 
5 Con una manga pastelera formamos bocaditos. Hornear los merengues a 100ºC por 25 minutos o hasta que estén duros. 
6 Servir y degustar los merengues de café. Si te gustó esta receta déjanos tus comentarios.",cde251e3-96b0-49a8-8c09-6b78bbec14c0,postre
Merengue almendrado,https://www.recetasgratis.net/receta-de-merengue-almendrado-51468.html,"80 gramos de Clara de huevo
160 gramos de Azúcar granulada
5 gramos de Esencia de vainilla
20 gramos de Almendras troceadas","1 Para hacer estos ricos almendrados lo primero que tenemos que hacer es alistar todos los ingredientes. 
2 Empezaremos a preparar un merengue tradicional, así que para ello debes batir la clara de huevo con la vainilla hasta que se forme una espuma, lo que llamamos punto de nieve. 
3 A continuación, incorpora el azúcar en forma de lluvia sin dejar de batir. Utiliza una batidora de varillas manual para hacer este merengue de almendras. 
4 Finalmente, cuando la mezcla tengo un color blanco brillante y una consistencia semi-sólida, será tiempo de agregar las almendras y seguir batiendo hasta que se formen picos firmes.Para saber que la mezcla para el merengue está en su punto, debes poner el bol completamente boca abajo, la mezcla debe permanecer en el bol, sin bajar ni moverse. 
5 Con la ayuda de una manga pastelera, dale forma a los almendrados de merengue, haciéndolos del tamaño que prefieras. Colócalos directamente en la bandeja para cocinarlos.Hornear por 45 minutos a 145ºC o hasta que estén hechos y ligeramente dorados. 
6 El merengue almendrado es perfecto para la merienda o para consentir a los pequeños de casa, como un merengue normal pero con un toque crujiente. Puedes decorarlos con virutas de colores si deseas.¡Disfrutar!",c4c8a558-1ecb-4f0b-99fc-01264ba112e0,postre
Merengue bañado en chocolate,https://www.recetasgratis.net/receta-de-merengue-banado-en-chocolate-51332.html,"5 Huevos
1/2 Vaso de aceite de girasol
200 Gramos de azúcar
250 Gramos de chocolate negro al
70% Azúcar glas
500 mililitros de agua","1 Preparamos todos los ingredientes. 
2 Ponemos el agua a calentar en una cazuela con el azúcar, para hacer una melaza. 
3 Cascamos los huevos, separando las claras de las yemas, las claras las ponemos en un bol. 
4 Antes de empezar a batir, es importante preparar un recipiente con agua y hielo para mantener las claras frías, por que si no no subirán. 
5 Cuando estén las claras casi montadas, poco a poco le iremos poniendo la melaza que habíamos preparado. 
6 Ya montadas las claras, espolvoreamos con el azúcar glas, esto formará la costra a la hora de hornearlo. Llenamos la manga pastelera y llenamos los moldes o obleas cortadas con un corta pastas. 
7 Metemos en el horno previamente calentado a 50 grados. Una vez a formada la costra, sacamos del horno. 
8 Fundimos el chocolate con un poco de aceite de girasol al baño María. 
9 Ya fundido el chocolate, bañamos los merengues y los metemos en la nevera para que se enfríen. 
10 Sacamos y servimos.",ae247b4e-785c-46da-b8ad-aa4c0deea710,postre
