title,url,ingredients,steps,uuid,categoria
Pastel de chocolate en sartén,https://www.recetasgratis.net/receta-de-pastel-de-chocolate-en-sarten-69510.html,"1 taza de azúcar (200 gramos)
2 tazas de harina (todo uso)
1 taza de leche (entera)
1 cucharada sopera de mantequilla
1 cucharada sopera de ralladura de limón
2 cucharadas soperas de esencia de vainilla
1 cucharadita de polvos de hornear
1 cucharada postre de aceite
2 cucharadas soperas de chocolate en polvo (70% cacao)
150 gramos de gotas de chocolate
1 huevo
50 gramos de azúcar glass","1 Separa las claraS y las yemas, reserva ambas por separado. Bate primero las claras hasta que logres el punto de nieve. Truco: Reserva la mitad del azúcar para batir las yemas. 
2 Por otro lado, bate las yemas con el azúcar hasta lograr una consistencia cremosa y blanquecina. Truco: Si conservas los huevos en la nevera, retíralos y deja que reposen por 30 minutos a temperatura ambiente. 
3 Integra lentamente la mantequilla derretida, la leche, la ralladura de limón y la esencia de vainilla a la mezcla. Truco: Previamente derrite la cucharada de mantequilla. 
4 Agrega los ingredientes secos (la harina, el chocolate y el polvo de hornear) a la preparación. Tamiza previamente y también al momento de añadirlos. En algunas recetas agregan el polvo de hornear casi en el paso final. Truco: Si deseas que la presencia del chocolate sea más intensa, agrega 5 o 6 cucharadas de chocolate. 
5 Agrega las 3/4 partes de las gotas, chips o chispas de chocolate y remueve muy bien. Reserva el resto. 
6 Prepara una sartén, engrasa la superficie, envuelve el interior con papel de hornear y pre-calienta. Si no posees este tipo de papel, no importa, continúa la receta. Vierte la masa del bizcocho en sartén y agrega las gotas de chocolate restante. Recuerda cubrir herméticamente la sartén con una tapa o papel de aluminio. Cocina la tarta en sartén a fuego bajo durante 30 minutos. Verifica la cocción al minutos 20 o cuando comience a oler sabroso. Pincha con un palillo, si sale húmedo sigue cocinando, y de lo contrario, está lista. Truco: Si colocas una tapa de metal sobre la hornilla, controlas mejor el calor y evitas que se dore demasiado. 
7 Si deseas que la superficie del pastel quedé dorada, puedes darle vuelta como una tortilla (utiliza un plato más grande que la sartén para ayudarte). Para esto, espera hasta que veas relativamente seca la superficie del postre. También verifica que el bizcocho esté despegado por los bordes. Antes de volver a poner el pastel en la sartén, añade algunas gotas de aceite. Tapa de nuevo. Truco: Recuerda que los tiempos de cocción varían de fogón en fogón, porque las intensidad del calor nunca es exacta en las cocinas domésticas. 
8 ¡A decorar! Espolvorea con azúcar glass la superficie del pastel de chocolate en sartén y... ¡degusta! También puedes rellenar y cubrir este postre con mermelada, crema inglesa, ganache, glaseado, manjar, compota, crema de cacahuete, dulce de leche, betún de mantequilla, entre otros. ¡La imaginación es el limite! 9 ¡Qué esponjoso! Este postre sabroso y fragante además resulta muy fácil de preparar. Ideal para tardes de té o café, meriendas, días lluviosos, domingos o cualquier día que se te antoje. Incluso si se presenta un cumpleaños inesperado, puedes resolver pronto con estos dulces fáciles en sartén.¿Preparad@s para degustar? Estos postres caseros de sartén son tan simples y económicos que los puedes preparar cuando quieras. ¿Qué te parece? Espero tus comentarios.",770c3a6c-b34d-49a6-b07c-f390f5673802,postre
Pastel de chocolate y nueces sin harina,https://www.recetasgratis.net/receta-de-pastel-de-chocolate-y-nueces-sin-harina-62723.html,"120 gramos de chocolate negro para postres (el mío sin azúcar)
90 gramos de mantequilla
1 cucharada sopera de colmada de cacao en polvo puro sin azúcar
85 gramos de azúcar (yo edulcorante equivalente en igual cantidad)
10 gramos de yogur natural (yo lo puse desnatado) (opcional)
20 gramos de harina (yo la puse de avena)
60 gramos de nueces peladas
½ cucharada postre de esencia de vainilla
¼ cucharada postre de sal
1 pizca de canela","1 En un bol derretimos la mantequilla y añadimos el chocolate en trozos y el cacao. Mezclamos hasta que quede homogéneo. 
2 Separamos las yemas y las claras de los 3 huevos. En el bol de las yemas, añadimos el azúcar, la vainilla, la sal y la canela, y batimos hasta obtener una mezcla suave y homogénea. 
3 Por otro lado, montamos las claras a punto de nieve. 
4 Añadimos la mezcla de chocolate y el yogur al bol de las yemas, y batimos. 
5 A continuación, añadimos la harina tamizada y las nueces, que previamente habremos molido con un robot de cocina. Mezclamos. 
6 Por último, añadimos las claras con cuidado, con movimientos envolventes para no perder el aire del interior. 
7 Vertemos la mezcla en un molde engrasado y horneamos el pastel de chocolate y nueces en el horno ya caliente a 180 ºC unos 20 minutos para obtener una consistencia húmeda, que es la que hice yo. Si lo queremos algo más seco, lo dejamos 5 o 10 minutos más. 
8 Por último, tras sacar el pastel de nueces y chocolate sin harina del horno y cuando esté completamente frío, antes de servir, espolvoreamos por encima azúcar (o edulcorante glas). ¡Ya veréis qué cosa más rica!Para ver más recetas de postres no os olvidéis de pasaros por mi blog Mins Cocina. ¡Un abrazo! :)",984cb4f8-abe3-4556-9ecb-d11fb846f1a8,postre
Pastel de durazno en almíbar,https://www.recetasgratis.net/receta-de-pastel-de-durazno-en-almibar-64809.html,"2 paquetes de galletas María
1 lata de duraznos en almíbar
1 lata de leche evaporada (marca Clavel en mi caso)
1 lata de leche condensada
1 lata de media crema Nestlé
190 de queso crema tipo Philadelphia
4 limones","1 Pon en la licuadora las 3 leches y el queso crema Philadelphia y revuelve. Agrega al final el jugo de los limones exprimidos y vuelve a mezclar. 
2 Vierte en tu molde la mezcla del pastel de durazno con leche condensada, luego coloca una cama de galletas y otra de duraznos en almíbar, y repite este paso hasta terminar la mezcla. 
3 Decora el pastel de durazno de tres leches con unas cuantas rodajas de duraznos por encima. 
4 Congela el pastel de durazno sin horno por 4 horas o más. Truco: Mejor si lo dejas congelar toda la noche. 
5 Desmolda y sirve el pastel de durazno en almíbar a tu gusto.",45369d54-6c37-4500-bd5e-64f164fa171e,postre
Pastel de chayote dulce con manzanas,https://www.recetasgratis.net/receta-de-pastel-de-chayote-dulce-con-manzanas-64588.html,"1½ tazas de Harina de trigo (210 gramos)
½ cucharadita de Levaruda en polvo
½ taza de Margarina (112½ gramos)
½ cucharadita de Sal
100 mililitros de Leche
2 Manzanas grandes
1 Chayota tierna grande
½ taza de Azúcar morena
1 rama de Canela o canela en polvo al gusto","1 Pelamos las manzanas y la chayota, las ponemos en una olla con agua (que las cubra un poco) el azúcar y la canela. 
2 Lo dejamos a fuego alto hasta que hierva y luego bajamos un poco la intensidad de la llama. La finalidad es cocinar la mezcla hasta que se vuelva blanda y fácil de triturar. Este proceso puede tomar de 30 a 45 minutos. Truco: En caso de notar que se seca muy rápido y aun están duras las manzanas puedes agregar un poco más de agua. 
3 Mientras se cocinan las manzanas podemos ir haciendo la mezcla para la masa de la base del pastel de chayote. En un recipiente agregamos la harina, la levadura y la sal homogeneizando los ingredientes, luego de esto agregamos la mantequilla y la leche. Amasamos hasta obtener una mezcla homogénea que no se adhiera a las manos. 
4 Rociamos un poco de harina sobre una mesa y extendemos la masa con la ayuda de un rodillo tomando en cuenta que la masa no debe quedar muy delgada para evitar que se rompa cuando agreguemos el relleno de manzana y chayota. Ahora cubrimos el molde. Si no es un molde antiadherente, cubrir con una pequeña capa de margarina y harina. Considerar que la masa debe cubrir el fondo y los bordes del molde que vayamos a utilizar. 
5 Cuando la mezcla de manzana y chayota está bien cocida y suave podemos ayudar a mejorar la textura volviéndola papilla con un pisador de papas o un tenedor. La mezcla estará lista cuando parezca un puré en espesor y veamos que están bien triturados los trozos de manzana y chayota. 
6 Luego dejamos enfriar un poco la mezcla y la agregamos en nuestro molde que ya tiene la masa extendida y lista. Retiramos los excesos de bordes de masa en caso de ser necesario. 
7 Llevar el pastel de chayote dulce al horno precalentado entre 180 y 200° C (dependiendo de la intensidad de cada horno) y dejarlo cocinar por aproximadamente 45 minutos, siempre supervisando la cocción para evitar que se queme o quede muy crudo. Cuando esté listo, déjalo enfriar y luego ¡a disfrutarlo!Y si te sobran chayotas siempre puedes utilizarlas para preparar una de estas recetas saladas:Pollo con chayoteChayote rellenoCrema de chayote y cilantroChayotes rellenos de atún gratinadosCrema de chayote light",4552985c-9a48-4c97-9b60-8070af4a3dd2,postre
Pastel de peras y manzanas,https://www.recetasgratis.net/receta-de-pastel-de-peras-y-manzanas-63773.html,"1 manzana
2 peras
8 g levadura
80 ml leche
100 g harina
80 g azúcar
40 g mantequilla
3 huevos
2 cucharadita de limón (jugo)
1 pizca de sal","1 Bate los huevos junto con la pizca de sal y el azúcar hasta que queden esponjosos. Después agrega poco a poco la mantequilla derretida y templada y la leche, y luego añade la harina y la levadura tamizadas previamente hasta conseguir una masa ni muy liquida ni muy homogénea para el pastel de manzana y pera, y por último agrega el limón y mezcla bien. 
2 Aquí debemos pelar y cortar las peras con las manzanas en láminas delgadas. 
3 Para montar la tarta de manzana y pera fácil engrasamos y enharinamos un molde con un poco de mantequilla, ponemos una cama de láminas de peras y manzanas, luego agregamos la mitad de la masa, y ponemos el resto de peras, manzanas y el resto de la masa mientras precalentamos el horno a 180 °C. 
4 Cocinamos el pastel de peras y manzanas a 180 °C por 30 minutos, dejamos que se temple un poco y listo para servir. ¡Es un receta muy sabrosa!",0bbd504d-b577-42f0-b021-79cc717821b3,postre
Pastel de chocolate húmedo y esponjoso,https://www.recetasgratis.net/receta-de-pastel-de-chocolate-humedo-y-esponjoso-63496.html,"200 gramos de Chocolate para postres
175 gramos de Mantequilla
175 gramos de Azúcar
4 Huevos
100 gramos de Harina
1 cucharada sopera de Polvos de hornear
75 mililitros de Café largo hecho en casa
100 gramos de Azúcar (½ taza)
100 mililitros de Nata líquida o crema de leche
150 gramos de Chocolate para postres troceado
4 cucharadas soperas de Caramelo líquido","1 Para hacer nuestro pastel húmedo de chocolate, primero debemos trocear el chocolate para hacer el bizcocho y derretir poco a poco en el microondas, mientras vamos removiendo cada vez que lo saquemos. Reservamos. 
2 Precalentamos el horno a 180 ºC. En un bol, ponemos la mantequilla en trozos y reblandecida (la podéis meter unos segundos en el microondas para ello), junto con el azúcar y batimos todo con ayuda de unas varillas eléctricas. 
3 Incorporamos los huevos uno a uno y batimos después de cada adición para continuar con la preparación del pastel de chocolate húmedo y esponjoso. 
4 Añadimos el chocolate fundido que teníamos reservado y seguimos batiendo con la batidora o varillas eléctricas. 
5 Mezclamos los polvos de hornear junto con la harina y tamizamos encima de la masa del pastel de chocolate. Esta vez, mezclamos con una espátula suavemente pero integrando bien la harina. 
6 Engrasamos bien un molde de plum cake de unos 26 cm de largo y vertemos la masa del pastel húmedo de chocolate en él. Nivelamos la superficie y horneamos el bizcocho a 180 ºC (170 ºC con aire) durante 40 minutos, o hasta que al pinchar un palillo en el interior, este salga libre de masa. 
7 Mientras se hornea el pastel de chocolate, haremos el sirope de la siguiente manera: calentar el café largo en el microondas, sacar e incorporar el azúcar. Mezclamos bien y dejamos que se enfríe. 
8 Dejamos enfriar el bizcocho dentro del molde de 5 a 10 minutos antes de desmoldar. Lo ponemos encima de una rejilla con una bandeja debajo una vez desmoldado. Pinchamos la superficie del pastel con una brocheta, sobre todo por los bordes del pastel, pues siempre se queda esa zona más reseca, y vamos rociando poco a poco el pastel con el sirope de café. No añadimos más líquido hasta que no se haya filtrado todo en el interior del bizcocho. Así hasta que terminemos todo el sirope. 
9 Por último, haremos una salsa para decorar el pastel de chocolate húmedo y esponjoso. Para ello, hervimos la nata líquida en el microondas, sacamos y añadimos el chocolate troceado. Removemos bien hasta que el chocolate se haya fundido del todo. 
10 Incorporamos las cuatro cucharadas de caramelo líquido y mezclamos bien. El caramelo se puede comprar ya preparado, o hacer en casa siguiendo la sencilla receta de caramelo líquido publicada en RecetasGratis. 
11 Con una cucharilla, vamos rociando esta salsa por encima del bizcocho de chocolate. 
12 Decoramos con trocitos de chocolate picado y servir este espectacular pastel húmedo de chocolate. 
13 El placer viene ahora, cuando abramos nuestro pastel de chocolate húmedo y esponjoso y lo probemos. Si eres tan goloso como nosotros, también puedes atreverte con la receta de merengues de colores o el pastel de uvas frescas.Si te ha gustado la receta, te esperan muchas más en mi blog: Cakes para ti.",ed48f489-a16a-4dd3-8baa-3d1d28aa79a4,postre
Pastel de uvas frescas,https://www.recetasgratis.net/receta-de-pastel-de-uvas-frescas-62268.html,"300 gramos de Harina
75 gramos de Azúcar
200 gramos de Mantequilla
1 Huevo
500 gramos de Uvas
150 gramos de Azúcar (¾ taza)
100 gramos de Harina
3 Huevos
250 mililitros de Leche
75 mililitros de Nata líquida o Crema de leche","1 Para preparar nuestro pastel de uvas, primero haremos la masa quebrada casera.Para ello, pondremos en un bol amplio, la harina, el huevo, el azúcar y la mantequilla fría cortada en trocitos. Amasar con las manos hasta que esté todo integrado. Truco: Podemos utilizar una masa quebrada de las que venden hechas si no disponemos de mucho tiempo para hacer el pastel. 
2 Formar una bola con la masa, envolver en papel film y reservar en la nevera 30 minutos.Existen otras versiones de esta masa para tartas que también puedes hacer de forma casera, aquí tienes las recetas paso a paso:Masa quebrada sin mantequillaMasa quebrada dulceMasa quebrada sin gluten 3 Pasado este tiempo, debemos engrasar muy bien un molde de plum cake de 25 cm de largo, con capacidad para algo más de un litro.Sacar nuestra masa quebrada de la nevera, estirar con ayuda de un rodillo en una superficie enharinada y forrar con ella el molde. Retirar el exceso de masa y volver a guardar en la nevera mientras preparamos el relleno de nuestro pastel de uvas. Truco: Es preferible dejar una capa de masa fina. 
4 Precalentar el horno a 180 ºC para tenerlo caliente en el momento de hornear el pastel.A continuación, mezclaremos las uvas con la mitad del azúcar y dejar reposar unos minutos. 
5 Aparte, en un bol batimos los huevos con la leche y la nata fría, con el resto de azúcar y la harina. Utilizamos unas varillas manuales y mezclamos hasta que no quede ningún grumo de harina y el relleno esté completamente homogéneo y con todos los ingredientes integrados. 
6 Ahora sacamos el molde forrado de la nevera y vaciamos la crema dentro, cubrimos bien el fondo con la mezcla.Reserva una parte de mezcla para el final. 
7 Incorpora las uvas azucaradas por encima de la cama de crema para montar nuestro pastel de uvas frescas. 
8 Cubrir con el resto de masa y hornear a 180 ºC con calor arriba y abajo durante 45 minutos.Tapar el pastel con papel de uvas con aluminio si ves que se está tostando en exceso la superficie. Pasado los 45 minutos, si al pinchar con un palillo, al sacarlo, todavía quedan restos de masa, apagar el horno y dejarlo que se enfríe completamente en su interior. Una vez frío, pasar a la nevera hasta el día siguiente. 
9 Este pastel de uvas frescas se debe consumir frío, cortado en rodajas no muy gruesas tal como se ve en la foto.Si os ha gustado la receta y la elaboráis en casa, me encantaría que me enviarais una foto. Si queréis conocer más recetas mías, os invito a mi blog Cakes para ti.",4c4a81dd-9f33-4702-b192-0e3a33bc9d54,postre
Pastel de galletas y leche condensada,https://www.recetasgratis.net/receta-de-pastel-de-galletas-y-leche-condensada-61537.html,"1 sobre de Gelatina neutra (10 g)
200 gramos de Galletas dulces
1 lata de Leche condensada (397 g)
200 mililitros de Nata para montar (1 taza) Caramelo líquido
1 paquete de Galletas María mini o similar","1 Para hacer esta tarta de leche condensada sin horno lo mejor es utilizar un molde de cristal de 24x14, es lo que yo he usado, pero si no tienes puedes usar cualquier otro similar o hacer el postre en molde individuales.Teniendo esto claro, empezamos por cubrir la base y los bordes del molde con caramelo líquido. Encima ponemos una capa de galletas mini y reservamos en la nevera. Lo de usar las galletas mini es para poder cubrir bien toda la base, sino tienes puedes usar galletas normales. 
2 Coloca unos 100 mililitros de agua fría en un molde y coloca la gelatina durante unos 5 minutos para hidratarla.Aparte calentamos la nata y cuando esté bien caliente, sin hervir, retiramos del fuego y añadimos la gelatina. Removemos suavemente hasta comprobar que se haya disuelto por completo. 
3 Para hacer la crema de leche condensada trituramos las galletas troceadas junto con la leche y la nata con la gelatina. Batimos bien hasta comprobar que tenemos una mezcla homogénea y entonces la vaciamos en el molde con la base de caramelo y galletas.Reservamos la tarta de leche condensada fácil en la nevera de un día para otro para que cuaje bien.Si quieres hacer la leche condensada tú mismo, puedes seguir la receta de leche condensada casera. 
4 Al día siguiente, retiramos de la nevera y dejamos que se temple durante unos 15 minutos, entonces podremos desmoldar y partimos un buen trozo de pastel de galletas y leche condensada.Como ves, al desmoldarlo queda así de bonito y si quieres decorarlo puedes usar unas hojas de menta fresca, grosellas o más caramelo.",b1dee980-fa28-44eb-a9c3-9231a2283a28,postre
Pastel de frambuesa y queso,https://www.recetasgratis.net/receta-de-pastel-de-frambuesa-y-queso-61420.html,"1 paquete de Bizcochos tipo soletillas o una plancha de bizcocho
125 mililitros de Leche
2 cucharadas soperas de Licor (ron, Cointreau...)
2 hojas de Gelatina
200 gramos de Queso crema tipo Philadelphia
175 gramos de Mermelada de frambuesa
150 mililitros de Nata para montar (¾ taza)
1 puñado de Moras y frambuesas frescas","1 Para preparar nuestro pastel de frambuesa y queso, vamos a pincelar los bizcochos de soletilla con la mezcla de la leche y el licor por una de las caras.Si utilizáis una plancha de las que venden ya elaboradas tipo bizcocho genovés básico, deberéis cortar la plancha en tiras y posiblemente cortar también por la mitad. Truco: Podéis sustituir la leche por algún zumo, el de naranja o el de piña le van muy bien a esta tarta de frambuesa fácil. 
2 A continuación, forrar un molde de plum cake de 25 cm de largo y con capacidad para algo más de un litro con papel film trasparente. Cubrir el fondo del molde con las tiras de bizcocho empapadas dejando la parte mojada de leche y licor hacia arriba. Forrar también los laterales del molde con los bizcochos. Reservar. Truco: Si los bizcochos sobresalen del molde, cortar para igualar. 
3 Poner a hidratar las dos hojas de gelatina en agua durante cinco minutos. 
4 En un bol poner el queso crema y la mermelada de frambuesas. Batir con la ayuda de una batidora eléctrica con varillas. 
5 Escurrir la gelatina y calentar unos segundos en el microondas hasta que se haya licuado. Verter en la crema de queso y la mermelada batidos y mezclar con ayuda de una espátula. 
6 Montar la nata bien firme e incorporar al queso crema con la mermelada de frambuesas. Mezclar con movimientos envolventes hasta que esté bien integrada. Este será el relleno de nuestra tarta de queso Philadelphia y frambuesa. Truco: Para que la nata monte bien, es preferible guardar también el bol donde se vaya a montar y las varillas de la batidora en la nevera unas horas antes. 
7 Verter la crema en el molde que teníamos preparado de plum cake con los bizcochos. 
8 Tapar con más bizcochos pincelados con leche y licor. Guardar en el frigorífico hasta que nuestra tarta de queso y frambuesa sin horno cuaje, al menos, 4 horas. 
9 Cuando ya esté cuajado el bizcocho de frambuesa y queso, desmoldar en un plato rectangular y retirar con cuidado el papel film. Decorar con frambuesas y moras frescas. 
10 Un postre fresco que seguro gustará a todos en casa. Si te ha gustado la receta de este pastel de frambuesa y queso y quieres conocer más sobre mi trabajo, te invito a mi blog Cakes para ti.",10c173f8-5787-445e-b8ff-11c4204d36b2,postre
Pastel de piña con gelatina y sobaos,https://www.recetasgratis.net/receta-de-pastel-de-pina-con-gelatina-y-sobaos-61087.html,"1 lata de Piña al natural (de 480 g aproximadamente)
1 chorro de Caramelo liquido
500 mililitros de Nata para montar (2½ tazas)
60 gramos de Azúcar
1 sobre de Gelatina de piña (85 g)
1 paquete de Sobaos
1 puñado de Frambuesas
1 puñado de Moras
1 rama de Menta","1 El primer paso para elaborar este pastel de piña con gelatina y sobaos es forrar con papel film de manera que sobresalga por los lados el molde que vayamos a utilizar. Yo en este caso he utilizado uno cuadrado de 22x22 cm. A continuación, lavar y secar bien las frutas rojas y la rama de menta. Luego escurrir las rodajas de piña natural y reservar su jugo. Ya también verter el caramelo en el molde de manera homogénea por toda la base y colocar encima las rodajas de piña. tal y como se muestra en la imagen. 
2 A continuación, en un bol mezclamos la nata para montar con el jugo de piña natural. Luego lo vertemos todo en un cazo, añadimos el azúcar y la gelatina y lo calentamos todo, removiendo con ayuda de unas varillas hasta que hierva.Una vez que hierva la mezcla, la dejamos entibiar y después la vertemos sobre el molde del pastel de piña sin horno con ayuda de una cuchara grande o cucharón. Colocamos los sobaos por encima de la crema de manera que toda la superficie quede bien cubierta, y si hace falta, partir en trozos los sobaos para las zonas en las que quede algún hueco sin tapar. 
3 Por último, metemos la tarta de piña con gelatina en la nevera y dejamos que se cuaje durante unas 3 o 4 horas, cuanto más tiempo mejor.Una vez cuajada, desmoldamos el pastel de piña con gelatina y sobaos sobre una bandeja o fuente y lo decoramos con los frutos rojos y las hojitas de menta. Yo también he vertido un poco de caramelo líquido por encima. ¡Espero que os guste!",4af3ca15-3c33-4a13-aefe-68bcc519c38f,postre
