title,url,ingredients,steps,uuid,categoria
Postre de Natas Colombiano,https://www.mycolombianrecipes.com/es/postre-de-natas-colombiano/,"1 galón de leche entera prefereblimente organica
2 tazas de azúcar o más si es necesario
4 yemas de huevo
Pasas a su gusto
Ron a su gusto","Lleve la leche a hervir a fuego medio, dejando que repose durante un par de segundos. Luego, utilizando un tenedor, retirar la nata que se forma en la parte superior y ponerla en otra olla. Repita este proceso hasta que no quede más crema o nata.
En una olla pequeña preparar un almíbar con el azúcar y una taza de la leche restante que queda en la olla.
Batir las yemas con una batidora eléctrica hasta que quede pálida y agregarlas al almíbar, revolviendo hasta que estén bien incorporadas. Añadir las pasas, el ron y las natas. Mezclar cuidadosamente y dejar que se cocine a fuego lento durante unos 10 minutos, sin revolver.
Transfiera a platos individuales y dejar enfriar en la nevera.",86afb07f-e16a-11ed-8281-a96d6180cd25,postre
¡Un postre NAVIDEÑO de 10!,https://www.recetasgratis.net/receta-de-tarta-de-panna-cotta-71468.html,"225 gramos de harina
75 gramos de azúcar
50 gramos de almendra molida
125 gramos de mantequilla fría sin sal
1 huevo L
4 hojas de gelatina neutra
600 gramos de nata para montar
50 gramos de azúcar (¼ taza)
100 gramos de turrón de Jijona","1 Primero, vamos a preparar la base de masa sablé de la tarta panna cotta. Para ello, ponemos en un bol la harina, el azúcar, la almendra molida y la mantequilla fría cortada a trocitos. Amasamos con las manos, deshaciendo la mantequilla junto con el resto de ingredientes hasta que tenga una textura tipo serrín. 
2 Batimos ligeramente el huevo y se lo agregamos. Seguimos mezclando todos los ingredientes con las manos hasta integrarlos. 
3 Con la masa sablé formamos una bola, la envolvemos en papel film y la reservamos en la nevera durante al menos 30 minutos. 
4 Pasado este tiempo, enharinamos ligeramente una superficie de trabajo y estiramos la masa de la torta panna cotta con ayuda de un rodillo. Engrasamos un molde redondo preferiblemente desmontable de unos 24 cm de diámetro. Ponemos la masa extendida en él y recortamos los bordes sobrantes. 
5 Acoplamos la masa bien en las paredes del molde y pinchamos el fondo con un tenedor. Ponemos encima de la masa papel de horno y lo rellenamos con legumbres secas para hacer peso y que la masa no suba al hornear. 
6 Estiramos el resto de masa y con un cortador en forma de estrella, cortamos unas galletas con esta forma para decorar el pastel panna cotta. Hacemos una estrella por comensal. 
7 Horneamos la base de la tarta y las galletas al horno precalentado a 180 ºC con calor arriba y abajo. Las galletas estarán nada más que estén ligeramente doradas, unos 7 minutos, y la base de la tarta sobre 15 minutos, momento en el que retiraremos las legumbres y el papel de horno con cuidado y la dejaremos dorar 5 minutos más. Dejamos enfriar todo en una rejilla. 
8 Y ahora vamos con el relleno de panna cotta. Ponemos las hojas de gelatina en remojo durante unos 5 minutos. 
9 En un cazo ponemos la nata y el azúcar al fuego hasta que se caliente bien la nata y el azúcar se haya disuelto. Mejor si removemos de vez en cuando para comprobar que el azúcar se va disolviendo. Retiramos la nata del fuego. 
10 Escurrimos bien las hojas de gelatina y las vamos incorporando una a una a la nata caliente mientras removemos bien para que la hoja de gelatina se integre, y hacemos lo mismo con las restantes. 
11 Troceamos en cubitos muy pequeños el turrón y los depositamos en el fondo de la torta panna cotta. 
12 Pincelamos las estrellitas de galleta con una capa de panna cotta y el resto lo vertemos en la tarta.Otro día puedes probar también esta receta de estrellas de vainilla para Navidad si te gustan este tipo de galletas. 
13 Dejamos cuajar mínimo cuatro horas en la nevera, aunque siempre es mejor hacer este tipo de tartas de un día para otro. En el momento de servir, decorar con las galletas y espolvorear con un poco de azúcar glas si se desea. 
14 A la hora de servir, acompañad cada porción de la tarta de panna cotta con una estrellita de galleta.Espero que os haya gustado la receta, es una tarta para sorprender. Si buscáis más recetas como esta, os invito a que visitéis mi blog Cakes para ti.",ae842403-4c48-43c0-9c95-84552ecb6342,postre
¡Un postre delicioso!,https://www.recetasgratis.net/receta-de-strudel-de-chocolate-70722.html,"300 gramos de harina todo uso
½ cucharadita de sal
1 huevo
125 mililitros de agua tibia
60 gramos de mantequilla (manteca)
125 gramos de chocolate amargo
125 gramos de chocolate con leche
30 gramos de cacao en polvo
500 gramos de plátanos
150 gramos de azúcar (¾ taza)
150 gramos de azúcar impalpable","1 Clarificar la mantequilla es muy fácil y existen varias técnicas. En este caso opté por el baño María, procedimiento que me parece más profesional. Para ello, coloca la cantidad de mantequilla indicada en un bol, deja que se derrita poco a poco, a fuego lento. Apenas se diluya, la retiras y la dejas reposar.También puedes derretir la mantequilla en una olla o sartén directamente, en este caso la temperatura no puede pasar de 50º para evitar que se dore. Sin embargo, el baño María es más recomendable porque controlas mejor el calor. Truco: Prepara el baño María con antelación. 
2 Cuando la mantequilla se temple, los sólidos espumosos se condensarán en la superficie. 
3 En este momento la mantequilla se ha descremado de la grasa y esta se acumula sobre la superficie. Saca los sólidos de color blancuzco con una cuchara y luego cuela el líquido amarillo vertiéndolo sobre un recipiente. Reserva. 
4 Tamiza la harina y la sal. Luego, mezcla muy bien y reserva. Una sugerencia interesante para que la masa del strudel de chocolate quede en su punto es utilizar harina 3 ceros (000) mezclada con harina 4 ceros (0000), en una porción de mitad y mitad. La harina 3 ceros (000) posee más gluten, y cuando se quiere lograr masas más elásticas esto es conveniente. Si no consigues harinas de este tipo, no hay problema, solo deberás trabajar mucho más tiempo la masa. Truco: La sal ayuda a estirar la masa con más facilidad y a mejorar el resultado final. 
5 Añade el huevo y el agua a los ingredientes secos. Una vez que los agregues, mezcla rápidamente toda la harina con la mano y remueve muy bien hasta que logres un engrudo. La masa del strudel de chocolate será pegajosa y poco manejable. Esto te indica que la harina está hidratada, por tanto el gluten también se comienza a hidratar. Truco: El agua tibia es para que la preparación se unifique mucho más rápido. 
6 Pasa la masa a la encimera (mesa de trabajo). El amasado es el momento más importante en la preparación de la receta de strudel de chocolate y plátano. 
7 Corta la mantequilla en cuadritos para trabajarla con más facilidad. Poco a poco agrega la manteca a la masa (engrudo), de manera que cada vez que añadas un poco, mezcla muy bien hasta integrarla por completo. Después verás que la masa adquiere una apariencia deforme. Esto solo indica una cosa..., ¡llegó el momento de trabajar la masa para nuestro strudel de chocolate! 8 Con la ayuda de un corno o espátula de cocina, empuja el engrudo y con la otra mano arrójalo con fuerza sobre la encimera. Esta técnica la debes repetirla hasta que la apariencia de la masa sea lisa, brillante y la puedas levantar sin que se pegue a la mesa. Recuerda que esta masa no se trabaja como la utilizada para pan.Si la masa está muy pegajosa y difícil de manejar, nunca le agregues harina, solo continúa trabajándola hasta obtener la textura deseada. De lo contrario perderás el trabajo. El tiempo empleado para este amasado se promedia entre 5 minutos y 1 hora, todo depende de la harina, la técnica, la experiencia y la fuerza del ejecutor. Lo importante será que al final obtengas un masa lisa, brillante y manejable. Truco: Puedes improvisar un corno recortando un plato de plástico cuadrado. 
9 En este punto, al estirar un poco la masa ya la notarás algo más elástica, así que después del descanso podrás estirarla bastante bien. Por último, dale forma redondeada. 
10 Estira un trozo de papel film y engrasa la superficie con la mantequilla clarificada. Coloca la bola de masa dentro y añade otro poco de mantequilla sobre ella. Ciérrala muy bien y colócala en un lugar tibio de la cocina, así se relaja la masa y el gluten actúa.Los lugares ideales para colocar la masa de la receta de strudel de chocolate es encima del horno o cerca de la cocina. Otra opción es colocarla dentro de un bol, separada con un lienzo, tela o paño. Ese bol se coloca encima de un cazo con agua tibia-caliente, como un baño María pero con el fuego apagado, pues el agua se calienta previamente. El tiempo de reposo para la masa es entre 20 o 25 minutos antes de poder estirarla. Truco: La mantequilla evita que se pegue la masa al papel film y evita que se forme una costra. 
11 Tritura las galletas (dulces o neutras ) y reserva. También puedes desmenuzar un bizcocho, pan dulce, pan, panque, etc. Es interesantes combinar ciertos sabores con el chocolate, por ejemplo: bizcocho de naranja, bizcocho de limón, bizcocho de vainilla, galletas de jengibre, etc. 
12 Corta en trozos pequeños el chocolate. Puedes utilizar chocolate amargo solo o combinado con chocolate con leche y cacao en polvo con 80% como en este caso. 
13 Corta los plátanos (bananos) en rodajas. En este caso, para la receta de strudel de chocolate y plátano, utilicé una variedad de plátano (cambur) venezolano llamado manzano que resulta más dulce que el convencional, sin embargo..., ¡todos son buenos! Reserva. 
14 Mezcla el azúcar con la canela muy bien y reserva. 
15 Sobre una superficie, coloca un lienzo o papel encerado. Espolvorea harina generosamente. El área donde trabajes debe poseer una temperatura tibia. Puedes poner en la cocina una cazuela con agua a fuego medio-bajo para ambientar. Apenas desenvuelvas la masa, espolvorea suficiente harina sobre ella. También agrega bastante harina sobre tus manos y antebrazos. Truco: Debes trabajar rápido una vez que comiences. 
16 En este paso sería ideal que estires la harina con ayuda de otra persona, pero si solo estás tú, trabaja con mucha paciencia. La masa del strudel debe estar elástica para ceder ante el trabajo con los brazos.Para amasar existen dos opciones:Coloca tus manos debajo de la masa y muy lentamente estira desde el centro. Utiliza tus nudillos y no tus dedos o se rasgará. Balancea la masa de lado a lado, dejando que caigan lentamente los extremos. Poco a poco la masa alcanzará a tus antebrazos. Cuando la masa alcance el medio metro con el trabajo de manos y antebrazos, deberás apoyarla en la mesa. Una vez allí síguela estirando, siempre con los nudillos por debajo de la masa y nunca con los dedos. La densidad final de la masa debe ser semejante a una tela transparente y permitir mirar a través de ella.Coloca la masa sobre la mesa y directamente estira con un rodillo, hasta lograr un grosor muy delgado. Comienza desde el centro hacia los extremos. Debes poner especial empeño donde veas partes muy densas y en los bordes. Cuando logres al menos medio metro, continúa estirando la masa pero con las manos, ponlas por debajo y utiliza los nudillos. El grosor final de la masa debe posibilitar leer una carta a través de ella, es decir, debe ser semejante a un papel vegetal. Esta opción es preferible para los más novatos.El resultado final de cualquiera de las 2 opciones debe ser una masa de 1 metro cuadrado. Al llegar a este punto, déjala reposar un rato antes de rellenarla. Si observas ampollas en la masa, durante el estiramiento, significa que la trabajaste bien. Truco: La masa se mantendrá flexible mientra el ambiente donde trabajes sea tibio. 
17 Acto seguido, barniza la superficie de la masa con pinceladas de mantequilla clarificada. Truco: Al enfriarse la masa se vuelve quebradiza, ya no debes estirarla más y no puedes corregir hoyos en ella. 
18 Recorta los bordes de la masa porque son duros. Agrega las migas de galletas por toda la masa para empezar a preparar el strudel de chocolate. El relleno debería ocupar 2/3 del espacio total, repartidos a tu gusto. Sin embargo, es aconsejable para rellenos crudos repartir por toda la masa, mientras que para rellenos cocidos solo una parte. Siempre deja libre las dos ultimas vueltas, es decir los 2 últimos bordes. Truco: Reserva los borde que recortaste, después pueden servirte para reparar posibles hoyitos en la masa. 
19 Coloca a lo largo de la masa las rodajas de plátano, siempre respetando los bordes. 
20 Reparte el chocolate por toda el área donde colocaste las migas de galleta y los plátanos. Por último, agrega la mezcla del azúcar con la canela por toda la masa. 
21 Dobla 2 centímetros de un lado de la masa (horizontal), así al cocinar la masa no se saldrán los líquidos. Esta doblez hazla empujando la masa hacia adentro con ayuda de la tela. Si algunas partes se pegan, baja la tela y con ayuda de las manos despega cuidadosamente. Este pliegue pequeño permite contener la salida de los jugos durante la cocción.También, pliega el lado inverso de la masa y colócalo sobre el relleno. Para realizar este pliegue utiliza la tela como en el paso anterior. Baja de nuevo el lienzo. Truco: Debes halar la tela con un movimiento envolvente con la intención de enrollar su contenido. Sé rápido pero cuidadoso. 
22 ¡Momento del enrollado! Ahora debes hacer girar la masa sobre sí misma con ayuda de la tela o papel. Hazlo con seguridad pero cuidadosamente. A medida que se enrolla el strudel de chocolate y plátano debes ir recogiendo (enrollando) la tela sobrante. Truco: Puedes reparar ciertas rupturas mientras la masa continúe tibia. 
23 Engrasa previamente un molde con mantequilla. Coloca el strudel de chocolate en la placa o molde con mucho cuidado, utilizando aún la tela. Otra opción es colocarlo sobre uno de los antebrazos y la parte que quede fuera sujetarla con la otra mano, desplazando el strudel con mucho cuidado hacia la bandeja. 
24 Ya en el molde, acomoda el strudel dándole la forma tradicional, que se asemeja a una herradura, ideal para rellenos secos. Después, barniza la superficie con la manteca clarificada. El pincelado es para proteger la masa que es muy frágil. Este procedimiento se repite al principio del horneado, a la mitad e inmediatamente después de sacarlo del horno. Justo después del ultimo barnizado, debes agregarle el azúcar impalpable para que se quede adherida a la masa.Para hornear el strudel de chocolate existen dos opciones:Cocinar a 150 grados por 40 o 50 minutos. Así el strudel conservará su color blanquecino.Hornear a 180 grados (calor moderado) durante 35 a 40 minutos. 
25 Este strudel de chocolate es tradicional pero con un toque moderno aportado por el plátano. ¡Crujiente y aromático! Este postre exquisito lo puedes acompañar con salsa inglesa de vainilla o naranja, helado de vainilla o naranja. 
26 Esta versión de la receta tradicional es algo que necesitas experimentar. Por su textura y sabor, el strudel de chocolate y plátano resulta un postre magnifico. ¡Una versión que compite con la original!¡Vamos, anímate a llevar esta exquisitez a tu mesa! Pero no olvides compartir tu experiencia con nosotros. ¿Qué puede ser mejor que una foto?",8119492d-e23b-4fee-8ae3-115721cda5e3,postre
¡Un postre muy típico!,https://www.recetasgratis.net/receta-de-mbourake-senegales-70362.html,"1 barra de pan de bocadillo
3 cucharadas soperas de crema de cacahuetes
3 cucharadas soperas de panela
1 cucharada sopera de esencia de vainilla
1 chorro de leche de soja","1 Para esta receta vas a necesitar una barra de pan pequeña de bocadillo, mejor dura del día anterior. Ralla la barra de pan y tamízalo para eliminar los trozos más grandes. 
2 Añade la panela, la crema de cacahuetes, la vainilla y un chorro de leche vegetal en el bol con el pan rallado. 
3 Mezcla bien todos los ingredientes y amasa hasta obtener una masa muy densa y compacta. 
4 Introduce la masa de mboruake senegalés en moldes redondos o en una taza aplastando bien con una cuchara. Dale la vuelta al molde y desmolda los pastelitos sobre un plato. 
5 Sirve el mbourake de Senegal a temperatura ambiente con fruta, por ejemplo, plátano, hojas de menta y ralladura de limón. 
6 También puedes servir este dulce senegalés con helado, yo lo he servido con helado de avena sabor vainilla. En Vegspiration, mi blog de inspiración vegana, encontrarás muchísimas recetas más de postres y platos salados de otras culturas del mundo si te interesan.",51838f20-9b73-4394-ba14-8d462f1ee605,postre
¡Un postre sencillo y económico!,https://www.recetasgratis.net/receta-de-batatas-en-almibar-caseras-67773.html,"500 gramos de batatas pequeñas
1 limón
1 rama de canela
500 gramos de azúcar (2½ tazas)
400 mililitros de agua
1 rama de canela
3 clavos de olor","1 Pela las batatas y córtalas dándoles una forma pareja. Inmediatamente, sumerge los tubérculos en agua, dentro de un bol con el zumo de medio medio limón, de lo contrario se ennegrecerán. 
2 Para la cocción de las batatas en dulce, prepara una cacerola con agua y una ramita de canela. Espera a que alcance su punto de ebullición para agregar los tubérculos. Cocina aproximadamente 5 minutos, cuida que no queden muy tiernas las batatas. Truco: Paralelo a la batata, prepara el almíbar. 
3 Escurre muy bien los tubérculos y reserva. 
4 Para cocinar el almíbar, prepara una cacerola con agua y agrega el azúcar. Cocina hasta lograr el punto del almíbar. Aromatiza con la canela y clavos de olor. 
5 Conseguido el punto, incorpora las batatas cocidas. Espera hasta que se cocinen las batatas en almíbar; sabrás que el dulce está listo cuando los tubérculos se vean brillantes. 
6 ¿Sabes a qué sabe este fragante dulce? La batata en almíbar casera posee cierta semejanza al sabor del dulce de manzana. Este postre resulta exquisito acompañado de queso fresco o para rellena una tarta, como un bizcocho de plátano. ¿Tú cómo lo acompañarías?",b4044142-9305-4fbd-a6ac-2e8cf7588c00,postre
Postre de fresa sin huevo ni leche,https://www.recetasgratis.net/receta-de-postre-de-fresa-sin-huevo-ni-leche-67625.html,"300 gramos de fresas o fresones
2 cucharadas de postre de miel
20 gramos de harina de maíz (maicena)
1 limón menta","1 Lava las fresas sin quitarles el tallo para que no les entre agua y mantengan mejor su sabor; sécalas bien. Quita el rabito, córtalas en trocitos y tritúralas con una batidora. Truco: Cuando compres fresas y fresones debes fijarte que sean gruesas, brillantes y de apariencia fresca; esto es muy importante porque son frutas muy delicadas y perecederas. 
2 Pasa el puré de fresas a una cazuela y ponla a fuego lento. Añade la ralladura de limón y la miel, mezcla y deja que se cueza el postre de fresa sin lactosa a fuego lento removiendo continuamente. 
3 Disuelve la maicena en dos cucharadas de agua fría y añádela a la crema de fresas; mezcla a fuego lento hasta que el postre de fresa sin huevo espese. 
4 Rellena tres moldes con la crema de fresa y deja que se enfríen en la nevera durante unas horas. 
5 Pasadas unas 4 horas, desmolda el postre de fresa sin huevo ni leche y decora con unas láminas de fresas y unas hojas de menta. Si quieres convertir este rico postre en un plato más completo puedes acompañarlo de nata montada o crema batida. Si quieres hacerlo más ligero o para diabéticos, sustituye la miel por dos cucharaditas de edulcorante. Pásate por mi blog Mandarinas y miel y navega entre todas las recetas que te ofrezco. 
6 Puedes congelar fresas ahora que empieza su temporada y están muy bien de precio. Para congelar frutas pequeñas y con mucha agua como las fresas, moras o frambuesas debes limpiarlas bien, ponerlas planas en una bandeja o táper y meterlas en el congelador.",6e26ad35-510c-475f-a687-e899552e1390,postre
¡Un postre delicioso!,https://www.recetasgratis.net/receta-de-crema-de-cappuccino-67426.html,"1 litro de leche de soja
8 cucharadas soperas de preparado soluble para cappuccino
60 mililitros de caramelo líquido
5 hojas de gelatina neutra Bolitas tres chocolates para decorar","1 Ponemos a hidratar las hojas de gelatina neutra en un bol con agua fría. 
2 En una cazuela ponemos la leche de soja y la calentamos. Removemos de vez en cuando para evitar que se pegue. Truco: Si quieres un postre más cremoso sustituye parte de la leche de soja por nata para montar. 
3 Cuando la leche comience a humear y antes de que rompa a hervir, añadimos las cucharadas de preparado para cappuccino y removemos bien con las varillas para que se disuelva completamente. 
4 A continuación, añadimos el caramelo líquido a la vez que vamos removiendo para evitar que se deposite en el fondo y la crema de cappuccino se queme. 
5 Escurrimos las hojas de gelatina y las añadimos a la cazuela. Removemos bien para que se deshagan y se integren en la crema. Mantenemos al fuego unos minutos más. 
6 Retiramos del fuego y vertemos la crema de capuchino en los vasitos o boles que hayamos elegido para presentarlos. Truco: Como está muy líquido y para evitar quemaduras yo lo pongo en una jarrita y desde ahí voy poniéndolo en los vasitos. Es limpio porque no se derrama nada y muy seguro ya que evitas quemaduras. 
7 Esperamos a que se enfríe, tapamos y metemos en la nevera hasta que cuaje. Antes de servir los vasitos de gelatina de cappuccino, decoramos con unas bolitas de tres chocolates. ¡Buen provecho!",bfdf704f-a522-42e8-8b85-1b50110c2710,postre
Postre de gelatina de fresa con yogur natural y leche,https://www.recetasgratis.net/receta-de-postre-de-gelatina-de-fresa-con-yogur-natural-y-leche-65033.html,"1 tarro de leche evaporada
1 yogur natural
1 sobre de gelatina de fresa","1 Deja enfriando la leche evaporada en el refrigerador hasta que esté muy helada. En un recipiente pon dos tazas de agua hirviendo, vierte la gelatina y disuelve completamente. Yo he usado gelatina de fresa, pero la receta sirve para otros sabores. 
2 En otro recipiente, vacía la leche evaporada y bate durante dos minutos, o hasta que esté espumosa. Para ello, mejor utiliza varillas eléctricas. 
3 Añade el yogur natural a la leche batida y sigue batiendo para continuar con la preparación del postre de gelatina y leche evaporada. 
4 Una vez que se haya mezclado bien el yogur con la leche, agrega la gelatina y sigue batiendo. 
5 Bate hasta que todos los ingredientes se incorporen bien. Una vez listo, coloca en moldes o vasos individuales y deja en el refrigerador por dos horas para que cuaje. 
6 Sirve el postre de gelatina de fresa con yogur natural y leche acompañado de crema batida, merengue, nata montada..., ¡lo que más te guste!",d0e44ceb-9d68-4900-b84f-f77fe755fa4a,postre
¡Postre exquisito muy fácil y rápido!,https://www.recetasgratis.net/receta-de-copa-de-turron-blando-64678.html,"35 gramos de Azúcar
35 gramos de Azúcar glas
1 pizca de Sal
1 Clara de huevo a temperatura ambiente
75 gramos de Azúcar
1 cucharadita de Canela en polvo
100 gramos de Turrón de Jijona
6 Naranjas","1 Primero haremos los mini merengues, que si queréis, los podéis comprar ya hechos. Si los vamos a hacer en casa, lo primero será pesar la clara de huevo. Esto es muy importante, pues a partir de aquí mediremos la misma cantidad de azúcar y de azúcar glas. Mi clara pesaba 35 g.Montar la clara con unas varillas eléctricas junto con una pizca de sal. Cuando la clara esté casi montada, ir incorporando el azúcar (35 gramos o la misma cantidad que haya pesado vuestra clara) mientras seguimos batiendo. Truco: Recordar que podéis comprar los merenguitos ya hechos y si son grandes, simplemente desmenuzar con las manos. Os ahorraréis mucho tiempo y el resultado es el mismo. 
2 Tamizar el azúcar glas (35 gr o la misma cantidad que haya pesado vuestra clara) y añadir de golpe a la clara montada con el azúcar. Mezclar suavemente con una espátula, pero hasta que esté bien integrada. No la mezcléis con la batidora, sino con la espátula. 
3 Poner el merengue casero en una manga pastelera con una boquilla redonda, con un agujero no muy grande. Forrar una bandeja de horno con papel sulfurizado y hacer pequeños montoncitos de merengue. Hornear a 100 ºC con calor sólo abajo y dejar hornear durante 1 hora o hasta que los mini merengues estén secos (se conservan durante muchos días). Truco: Los merengues los podéis hacer con días de antelación y así sólo hacer el montaje de la copa en el último momento o el día previo. 
4 Y ahora, vamos con la elaboración de las copas de naranja y turrón: para ello, primero, exprimir el zumo de dos naranjas. Poner en un cazo junto con el azúcar y la cucharadita de canela molida. Llevar a ebullición y retirar del fuego. Dejar enfriar. 
5 Pelar el resto de naranjas quitando lo máximo posible la parte blanca e incluso la piel, así que cortar bastante con el cuchillo. Trocear las naranjas. 
6 A continuación, trocear también el turrón blando en cubos pequeños. 
7 A la hora de montar las copas de turrón, repartir los trozos de naranja en seis copas. Repartir el almíbar de zumo de naranja. 
8 Seguidamente, poner por encima varios cubos de turrón de Jijona. 
9 Repartir también varios mini merengues. Espolvorear con un poco de canela en polvo y decorar si se desea con unas hojitas de menta fresca. 
10 Si no se van a consumir enseguida, reservar las copas de turrón blando en la nevera. Se pueden preparar con un día de antelación. También podéis dejar de un día para otro la naranja dentro del almíbar y hacer el montaje al día siguiente. Servir bien frías.Si te ha gustado la receta, me encantaría que me enviaras una foto. Si quieres más recetas como esta, te invito a visitar mi blog Cakes para ti.",f71f2a2e-4b3e-458f-94b7-7e581ca46263,postre
Postre de piña con Thermomix,https://www.recetasgratis.net/receta-de-postre-de-pina-con-thermomix-62497.html,"300 gramos de Piña congelada
100 gramos de Azúcar (½ taza)
2 cucharadas soperas de Limón
1 Clara de huevo
6 Frambuesas
12 Arándanos","1 Para empezar a preparar el postre de piña con Thermomix, pon el azúcar en el vaso (tiene que estar muy seco) y pulveriza 10 segundos a velocidad progresiva 5-10. 
2 Añade los trozos de piña congelada y las dos cucharadas de zumo de limón. Tritura todo 15 segundos a velocidad progresiva 5-10. Ya tienes el helado de piña casero hecho, que será la base de la copa. Así, con una cuchara llena un poquito las copas. 
3 Coloca la mariposa en las cuchillas y añade la clara de huevo. Programa 2minutos a velocidad 4. Ya tenemos la segunda textura de la copa, el mouse. Con una cuchara acaba de rellenar las copas. 
4 Decora este postre tan fácil hecho con la thermomix con frambuesas y arándanos y ¡disfrútalo!",aed979fe-30a8-4256-ab2b-9a0784336736,postre
