title,url,ingredients,steps,uuid,categoria
Camarones con Salsa de Cilantro,https://www.mycolombianrecipes.com/es/camarones-con-salsa-de-cilantro/,"4 cucharadas de aceite de oliva
4 dientes de ajo finamente picados
1 cucharaditas de hojuelas de pimientón rojo
1 cucharadita de comino molido
1 libra de camarones pelados y limpios
1 taza de cilantro fresco
2 cebollas largas picadas
2 tazas de crema de leche
Sal y pimienta al gusto","En una sartén a fuego medio, caliente el aceite. Agregue los camarones y cocine, revolviendo, hasta que este rosados, unos 4 minutos. Llévelos a un plato.
Regresar la sartén a fuego medio. Agregue el ajo y el pimentón, y saltee hasta que esté suave, aproximadamente 30 segundos. Coloque el cilantro, cebolla larga y crema en una licuadora y mezcle hasta que estén bien combinados.
Añadir la salsa a la sartén y cocine por 1 minuto. Devuelva el camarón a la sartén y revuelva para cubrir con la salsa. Pruebe y ajuste la sazón con sal y pimienta y servir inmediatamente.",86af71bd-e16a-11ed-be2a-a96d6180cd25,comida
Camarones Guisados,https://www.mycolombianrecipes.com/es/guisado-de-camarones/,"3 cucharadas de mantequilla
1 taza de cebolla picada finamente
½ taza de pimentón verde cortado en cubitos
4 dientes de ajo picados
1 ½ tazas de caldo de camarón
2 tazas de tomates triturados
1 cucharadita de comino en polvo
1 libra de camarun pelado y desvenado
Sal y pimienta al gusto
1 cucharada de jugo de limón
¼ taza de perejil fresco picado","Derretir la mantequilla en una sartén grande a fuego medio. Añadir las cebollas y el pimentón, cocinar hasta que estén tiernos, unos 7-8 minutos.
Añadir el ajo y cocinar por un minuto más. Mezclar el caldo con los tomates y el comino, y cocine a fuego lento durante 20 minutos.
Agregue los camarones y cocine durante unos 5 minutos. Sazone con sal y pimienta a su gusto.
Añadir el jugo de limón y el perejil. Servir sobre arroz blanco.",86af71f5-e16a-11ed-aa13-a96d6180cd25,comida
Camarones a la Criolla con Coco,https://www.mycolombianrecipes.com/es/camarones-a-la-criolla-con-coco/,"2 libras de camarón fresco pelado y desvenado
1 cucharada de mantequilla
1 cucharada de aceite vegetal
2 tazas de tomate picado
4 dientes de ajo picados
1 taza de cebolla picada
¼ taza de perejil picado
¼ de taza de cilantro picado
1 taza de pimientón rojo picado
¼ cucharadita de comino molido
Sal y pimienta
1 hoja de laurel
Pimienta recién molida
2 latas de leche de coco","En una olla grande, poner el agua a hervir. Apague el fuego, agregue los camarones y cubra. Deje los camarones en el agua caliente durante 1 minuto, escurrir y reservar.
En una cacerola grande a fuego medio, derrita la mantequilla y el aceite vegetal. Añadir la cebolla, tomate, pimientón rojo, ajo, comino molido, sal y pimienta. Cocinar unos 10 minutos, revolviendo ocasionalmente.
Añadir la leche de coco a la cacerola, llevar la salsa a hervir y luego baje el fuego a medio-bajo. Agregue los camarones y cocinar en la salsa durante 5 minutos, retirar del fuego y añadir el perejil picado y el cilantro picado. Añadir sal y pimienta si es necesario y deseche la hoja de laurel. Sirva cada porción en un plato con arroz.",86af721c-e16a-11ed-a413-a96d6180cd25,comida
Camarones al Ajillo,https://www.mycolombianrecipes.com/es/camarones-al-ajillo/,"2 cucharadas de mantequilla
5 cucharadas de aceite de oliva
8 dientes de ajo finamente rebanados
½ cucharadita de hojuelas de pimienta roja seca
Sal y pimienta negra al gusto
2 cucharadas de perejil picado un poco más para adornar
1 libra de camarones grandes pelados y limpios","En una sartén grande, caliente la mantequilla y el aceite de oliva a fuego lento. Agregue el ajo, hojuelas de pimienta roja, sal y pimienta negra y cocine unos 4 minutos, revolviendo ocasionalmente, hasta que el ajo esté suave pero no dorado.
Aumente el fuego a medio y agregue los camarones y saltear, volteando el camarón una vez con pinzas, hasta que los camarones esten cocinados por completo y rosados, aproximadamente 2 minutos por cada lado.
Agregar el perejil y cocine durante otros 2 minutos. Con unas pinzas, retire los camarones de la sartén, vierta la salsa sobre los camarones, adornar con el perejil y servir inmediatamente.",86af721e-e16a-11ed-88b8-a96d6180cd25,comida
Ceviche de Camarones,https://www.mycolombianrecipes.com/es/ceviche-de-camarones/,"2 libras de camarones grandes pelados y limpios
½ taza de cebolla picada
½ de taza de cilantro fresco picado
½ de taza de perejil fresco picado
1 diente de ajo picado
½ taza de jugo de limón fresco
1 taza de salsa de tomate
½ cucharadita de salsa Tabasco
1 cucharada de aceite de oliva
Sal y pimienta al gusto
Hojas de lechuga y galletas saladas para servir","En una olla mediana, ponga 4 tazas de agua a hervir, apagar el fuego, agregar los camarones y tapar. Dejalos en el aguan por 2 minutos. Escurra el agua y coloque los camarones en un recipiente de pluástico.
Agregue la salsa de tomate, jugo de limón, la cebolla, el cilantro, el perejil, la salsa Tabasco, el aceite de oliva, ajo, sal y pimienta al gusto. Revuelva para combinar todos los ingredientes. Refrigerar y servir fría sobre hojas de lechuga con galletas de soda.",86af9a1d-e16a-11ed-8ca2-a96d6180cd25,comida
Coctel de Camarones,https://www.mycolombianrecipes.com/es/coctel-de-camarones/,"1 ½ libras de camarones grandes pelados y limpios
½ taza de jugo de limón dividido
¼ taza de cebolla finamente picada
¼ taza de perejil fresco picado un poco más para adornar
½ de cucharadita de sal
Pimienta recién molida al gusto
½ taza de mayonesa
½ taza de salsa de tomate
½ cucharadita de salsa picante opcional
Aceite de oliva para decorar","Coloque los camarones en un tazón mediano; agregue ⅓ taza de jugo de limón. Ponga en el refrigerador por 30 minutos. Escurra el camarón y deseche el jugo de limón.
En una olla mediana a fuego medio alto, coloque el agua y la sal. Cuando empieza a hervir añadir los camarones y apagar el fuego. Deje que el camarón en el agua sólo hasta que estén cocinados  de 3 a 5 minutos. Retirar los camarones a un recipiente de plástico y refrigerar.
En un tazón pequeño combine la cebolla, el jugo de limón restante, la salsa de tomate, la mayonesa, la pimienta, la salsa picante y el perejil.
Agregue el camarón y sirva en tazones de cristal sobre la lechuga. Servir con galletas saladas y adornar con aceite de oliva y perejil.",86af9a36-e16a-11ed-9d6f-a96d6180cd25,comida
Aguacates Rellenos de Camarones,https://www.mycolombianrecipes.com/es/aguacates-rellenos-de-camarones/,"3 aguacates maduros
24 camarones pelados y desvenados
¼ de taza de cebolla finamente picada
Jugo de 2 limones
¾ taza de salsa rosada
3 cucharadas de cilantro fresco y más para decorar
3 cucharadas de perejil fresco
Sal y pimienta
Lechuga para servir","Lleve el agua a hervir en una olla pequeña. Agregue el camarón, cubra y apague el fuego. Dejar los camarones en el agua durante 5 minutos y escurrir.
En un tazón mediano, colocar el camarón, cebolla, salsa rosada, cilantro, perejil, sal y pimienta. Mezclar bien.
Cortar los aguacates a lo largo y quitar la pepa, lloviznar con el jugo de limón y espolvorear con sal y pimienta.
Coloque la lechuga en un plato de servir y coloque los aguacates en la parte superior. Llena cada aguacate con la mezcla de camarones.
Espolvorear con cilantro fresco y servir inmediatamente.",86af9a3a-e16a-11ed-98c1-a96d6180cd25,comida
Camarones al Ajillo,https://www.mycolombianrecipes.com/es/camarones-al-ajillo/,"2 cucharadas de mantequilla
5 cucharadas de aceite de oliva
8 dientes de ajo finamente rebanados
½ cucharadita de hojuelas de pimienta roja seca
Sal y pimienta negra al gusto
2 cucharadas de perejil picado un poco más para adornar
1 libra de camarones grandes pelados y limpios","En una sartén grande, caliente la mantequilla y el aceite de oliva a fuego lento. Agregue el ajo, hojuelas de pimienta roja, sal y pimienta negra y cocine unos 4 minutos, revolviendo ocasionalmente, hasta que el ajo esté suave pero no dorado.
Aumente el fuego a medio y agregue los camarones y saltear, volteando el camarón una vez con pinzas, hasta que los camarones esten cocinados por completo y rosados, aproximadamente 2 minutos por cada lado.
Agregar el perejil y cocine durante otros 2 minutos. Con unas pinzas, retire los camarones de la sartén, vierta la salsa sobre los camarones, adornar con el perejil y servir inmediatamente.",86af9a3e-e16a-11ed-9863-a96d6180cd25,comida
Aguacates Rellenos de Camarones,https://www.mycolombianrecipes.com/es/aguacates-rellenos-de-camarones/,"3 aguacates maduros
24 camarones pelados y desvenados
¼ de taza de cebolla finamente picada
Jugo de 2 limones
¾ taza de salsa rosada
3 cucharadas de cilantro fresco y más para decorar
3 cucharadas de perejil fresco
Sal y pimienta
Lechuga para servir","Lleve el agua a hervir en una olla pequeña. Agregue el camarón, cubra y apague el fuego. Dejar los camarones en el agua durante 5 minutos y escurrir.
En un tazón mediano, colocar el camarón, cebolla, salsa rosada, cilantro, perejil, sal y pimienta. Mezclar bien.
Cortar los aguacates a lo largo y quitar la pepa, lloviznar con el jugo de limón y espolvorear con sal y pimienta.
Coloque la lechuga en un plato de servir y coloque los aguacates en la parte superior. Llena cada aguacate con la mezcla de camarones.
Espolvorear con cilantro fresco y servir inmediatamente.",86afb058-e16a-11ed-9d2d-a96d6180cd25,comida
Nigiri roll de remolacha confitada y camarones en tempura,https://www.recetasnestle.com.co/recetas/nigiri-roll-de-remolacha-confitada,"   ½  libra de arroz para sushi lavado hasta que el agua salga transparente (250 g)
      1 ¼  taza de agua (250 g)
      2  láminas de alga nori (5,6 g)
      ½  aguacate cortado en tiras (100 g)
      ¼  de libra queso campesino cortado en bastones (125 g)
      1  cucharada de queso crema (14 g)
      18  unidades de camarones (100 g)
      6 cucharadas de harina de trigo (76 g)
      ¼ taza de agua fría (63 ml)
      2 cubos de hielo      ½ cucharadita de sazonador SAZONADOR NATURISIMO MAGGI®  (3 g)
      2 cucharadas de remolacha Confitada (30 g)
      1  cucharada de gary (jengibre encurtido)
 (15 g)
      1  cucharada salsa soya (15 g)
      1 cucharada de semillas de ajonjolí para espolvorear  (10 g)
  ","    1.  Lleva a fuego alto en una olla el arroz y el agua dejando cocinar durante 6 minutos, tapa la olla, baja a fuego bajo, deja cocinar por 10 minutos más y reserva hasta el momento de usar.                  
2.  Calienta el aceite a fuego medio por 5 minutos.                   
3.  En un tazón aparte,  pon todos los ingredientes de la tempura (harina de trigo, hielo, agua, el SAZONADOR NATURISIMO MMAGGI®),  hasta integres bien, pasa por esta mezcla los camarones y fríe hasta que estén dorados y crocantes, retira, pon en papel absorbente para retirar el exceso de grasa y reserva.                  
4.  Extiende la esterilla de bambú cubierta con papel vinipel sobre la mesa y coloca encima media hoja de alga nori, toma una pequeña cantidad de arroz y extiéndela  sobre el alga cubriendo solo la cuarta parte, espolvorea el ajonjolí y dale la vuelta  a la esterilla de tal forma que el arroz quede abajo.                  
5.  Encima del alga pon queso crema, una tira de aguacate, otra de queso campesino,  enrolla el alga y cierra con el arroz haciendo presión.                  
6.  Corta los bocados, pon encima remolacha confitada y el camarón en tempura.                  
7.  Sirve con la salsa de soya y el gary.             ",,comida
