title,url,ingredients,steps,uuid,categoria
Sudado de Carne de Res,https://www.mycolombianrecipes.com/es/sudado-de-carne-de-res/,"2 libras de carne para estofado
1 cucharada de aceite vegetal
½ taza de cebolla picada
¼ de taza de pimientón rojo picado
1 diente de ajo picado
2 tazas de tomate picado
1 tableta de caldo de res
¼ cucharadita de comino en polvo
¼ de taza de cilantro fresco picado
¼ de cucharadita de sal
¼ cucharadita de pimienta
8 papas pequeñas amarillas peladas y cortadas por la mitad
½ libra de yuca fresca o congelada
3 tazas de agua","En una olla grande, caliente el aceite vegetal a fuego medio. Añadir la cebolla y el pimientón rojo y saltee hasta que las cebollas estén transparentes, unos 3 minutos. A continuación, añadir los tomates, el ajo, la sal y la pimienta molida y sofría por 5 minutos más.
Añadir la carne, el agua, el caldo de res y comino en polvo. Reduzca el fuego a bajo y cocine por 45 a 50 minutos, revolviendo ocasionalmente.
Agregue la papa, yuca y cilantro, y cocine por 30 minutos más o hasta que las verduras estén blandas. Sirva sobre arroz blanco.",86af71da-e16a-11ed-aac2-a96d6180cd25,comida
Carne Desmechada o Ropa Vieja,https://www.mycolombianrecipes.com/es/carne-desmechada/,"2 libras de sobrebarriga
9 tazas de agua
1 cucharadita de sal
½ cucharadita de pimienta molida fresca
½ tazas Hogao
1 cucharadita de pasta de tomate","En una olla, coloque la carne, el agua, la sal y la pimienta. Cocine a fuego medio durante aproximadamente 1 hora y 15 minutos o hasta que la carne esté cocida.
Mida 1 taza del líquido de cocción de la carne. Ponga a un lado.
Retirar la carne de la olla, dejar enfriar y desmechar con un tenedor o con las manos.
En una olla, coloque la carne desmechada, hogao, pasta de tomate y 1 taza de líquido de la carne. Cocine durante 6 a 8 minutos, revolviendo ocasionalmente. Servir caliente con arroz blanco, patacones o arepa.",86af71de-e16a-11ed-b4f8-a96d6180cd25,comida
Carne con Champiñones,https://www.mycolombianrecipes.com/es/carne-con-champinones/,"4 cucharadas de mantequilla
1 libra de solomito o lomo cortado en cubos de ½ pulgadas
½ cucharadita de comino molido
½ cucharadita de tomillo molido
1 taza de cebolla blanca finamente picada
4 dientes de ajo picados
1 libra de champiñones en rodajas
¼ taza de caldo de carne
Sal y pimienta para probar
¼ taza de crema de leche","En una sartén grande, caliente 2 cucharadas de mantequilla a fuego medio-alto. Añadir la carne, el comino y el tomillo y cocine revolviendo con frecuencia, hasta que se dore unos 2 minutos. Transferir la carne a un plato.
Añadir la cebolla, el ajo y los champiñones con el resto de la mantequilla a la sartén y cocine a fuego medio-alto, revolviendo con frecuencia, hasta que los champiñones estén ligeramente dorados, unos 5 minutos. Añadir el caldo de carne y cocinar durante unos 4 minutos más. Retirar del fuego y añadir la carne, crema de leche, sal y pimienta. Cocinara a fuego lento, revolviendo constantemente hasta que la crema se caliente, aproximadamente 4 minutos. No permita que hierva. Se sazona con sal y pimienta a su gusto.",86af71e0-e16a-11ed-af85-a96d6180cd25,comida
Carne Afanada Colombiana,https://www.mycolombianrecipes.com/es/carne-afanada-colombiana/,"½ libra de carne molida de res
½ libra de carne molida de cerdo
2 huevos batidos
½ taza de pan rallado
2 cucharadas de harina de trigo
½ cucharadita de comino molido
Sal y pimienta
1 taza de hogao
1 cucharada de aceite
3 to mates grandes picados
½ taza de cebolla picada
1 diente de ajo picado
Vinagre blanco 1 cucharada
2 cucharadas de jugo de carne
Sal y pimienta
½ cucharadita de comino molido","Para hacer el rollo de carne: En un tazón grande mezcle la carne molida de res, carne de cerdo molida, hogao, el pan rallado, la harina, huevos, sal, comino y pimienta. Mezclar bien.
Formar un rollo de carne y colocar en el refrigerador durante 30 minutos.
Mientras tanto, calentar el aceite en una sartén grande que se pueda poner al horno y añadir los ingredientes de la salsa. Cocinar durante unos 10 minutos a fuego medio. Añadir el rollo de carne a la salsa y cocine por 5 minutos por cada lado.
Caliente el horno a 350 ° F. Transferir la cacerola con el pastel de carne al horno y cocinar durante unos 45 minutos.
Servir caliente con arroz blanco y verduras en el lado.",86af71e1-e16a-11ed-b0dd-a96d6180cd25,comida
Carne con Chimichurri al Estilo Colombiano,https://www.mycolombianrecipes.com/es/carne-con-chimichurri-al-estilo-colombiano/,"1 ½ libra carne para asar
El jugo de ½ limón 
2  cucharadas de aceite de oliva
½ cucharadita de sal
½ cucharadita de pimienta negra
½ cucharada de comino molido
1 diente de ajo pelado
1 ½ taza de perejil fresco
½ taza de cilantro fresco
½ de taza de cebolla verde picada
3 cucharadas de vinagre de vino tinto
3 cucharadas de aceite de oliva
Sal y pimienta","Combine 2 cucharadas de aceite de oliva, ½ cucharadita de sal, ½ de cucharadita de pimienta, ½ cucharada de comino molido y ½ cucharadita de mostaza en un tazón pequeño, mezcle bien. Frote la carne con la marinada y colocar en una bolsa grande. Cerra la bolsa y refrigerar durante al menos 3 horas o durante la noche.
Para preparar el chimichurri: Coloque todos los ingredientes del chimichurri en un procesador de alimentos y procesar hasta que quede mezclado. Transferir a un frasco.
Para preparar la carne: Retirar la carne de la bolsa de la marinada y eliminar la mayor cantidad de la marinada que sea posible. Deseche la marinada restante. Coloque la carne en la parrilla precalentada y cocine por 5 minutos por cada lado para un medio punto de cocción o cocinar hasta el grado deseado de cocción.
Retirar de la parrilla y deje que la carne repose durante 10 minutos. Cortar la carne en contra del grano y servir con la salsa chimichurri.",86af71fa-e16a-11ed-947a-a96d6180cd25,comida
Chuzos o Pinchos de Carne de Res,https://www.mycolombianrecipes.com/es/chuzos-o-pinchos-de-carne-de-res/,"1 ½ libra filete de res cortado en cubos
½ de taza de cebolla finamente picada
2 dientes de ajo picados
1 cebolla de rama picada
½ cucharadita de comino molido
½ taza de cerveza
El aceite de oliva para asar la carne
Sal y pimienta negra","Mezcle la cebolla, el ajo, la cebolla de rama, comino molido, cerveza, sal y pimienta en una bolsa de plástico con cierre hermético grande.
Agrega la carne y dejar marinar durante toda la noche o durante al menos 5 horas en el refrigerador.
Precaliente la parrilla. Ponga la carne en los pinchos y el untela con aceite de oliva. Asar hasta que se dore por todos los lados, 5-7 minutos en total. Servir los chuzos con papá salada y arepa.",86af71fe-e16a-11ed-94df-a96d6180cd25,comida
Plátano Relleno de Carne Desmechada,https://www.mycolombianrecipes.com/es/platano-relleno-de-carne-desmechada/,"6 plátanos maduros pelados enteros
2 cucharadas de mantequilla derretida o aceite
1 receta de carne desmechada o ropa vieja ver la receta aquí
1 taza de queso mozzarella rallado
Cilantro fresco picado","Precalentar el horno a 400 F. Hacer una ranura horizontal en el centro de cada plátano.
Colocarlos en una bandeja para hornear y unta mantequilla o aceite.
Hornear los plátanos durante unos 30 minutos, luego voltea y hornear por otros 10 minutos o hasta que estén dorados por ambos lados.
Retire los plátanos del horno y rellena con carne desmechada y cubra con el queso y el cilantro picado. Sirva caliente.",86af720c-e16a-11ed-beab-a96d6180cd25,comida
Pusundao de Carne Serrana,https://www.mycolombianrecipes.com/es/pusundao-de-carne-serrana/,"½ libra de carne de res con sal cortada en trozos
8 piezas de pollo
½ libra de carne para guiso cortada en trozos
10 tazas de agua
½ taza de salsa de aliuños Ver receta aquí
½ taza de hogao Ver receta aquí
3 papas grandes peladas y cortadas en trozos
2 plátanos verdes peladas y cortadas en trozos
½ libra de yuca pelada y cortada en trozos
2 huevos duros
Sal y pimienta al gusto
¼ taza de cilantro fresco o perejil","Ponga la carne salada en agua hirviendo durante 10 minutos.
Deseche el agua y poner la carne en una olla grande con el pollo y los trozos de carne.
ufffdAgregar 8 tazas de agua y la salsa de aliuños y cocinar durante unos 20 minutos.
Luego se agrega el hogao, papa, plátano y yuca. Sazone con sal y pimienta y cocine por unos 20 minutos.
Cuando todo esté cocinado, servir, adornar cada plato con rodajas de huevo duro. Servir el arroz blanco en el lateral.",86af722b-e16a-11ed-a270-a96d6180cd25,comida
Patacones con Carne Desmechada,https://www.mycolombianrecipes.com/es/patacones-con-carne-desmechada/,"8 patacones receta aquí
Carne desmechada o ropa vieja receta aquí
2 tazas de guacamole receta aquí
½ taza de queso mozzarella rallado
¼ taza de cilantro fresco picado","Ponga el guacamole en los patacones.
Añadir la carne desmechada y cubra con el queso y el cilantro. Servir y disfrutar.",86af7230-e16a-11ed-8c8d-a96d6180cd25,comida
Empanaditas de Carne,https://www.mycolombianrecipes.com/es/empanaditas-de-carne/,"2 cucharadas de aceite vegetal
½ taza de cebolla blanca destrozado
½ pimientón cortado en cubitos
2 dientes de ajo picados
½ cucharadita de achiote molido
1 cucharadita de comino molido
½ libra de carne molida
1 taza papas cocinadas y cortadas en cubitos
½ taza de caldo de carne
Sal al gusto
1 yema de huevo
2 tazas de harina       
½ cucharadita  de sal
½  cucharadita de polvo de hornear
4  cucharadas de mantequilla
¼  de taza de agua helada     ","Para hacer el relleno: En una sartén grande, caliente el aceite. Añadir la cebolla, el pimientón, el ajo, achiote, comino y cocinar durante unos 6 minutos a fuego medio.
Añadir la carne y las papas cocinadas, y cocinar durante unos 7 minutos. Añadir el caldo, sazonar con sal y cocinar hasta que la carne esté bien cocida.
Para hacer la masa: Colocar la harina y la sal en un procesador de alimentos. Añadir la mantequilla y el agua hasta que se forme una masa. Formar una bola, cubra con papel plástico y coloque en el refrigerador por unos 30 minutos.En una superficie ligeramente enharinada, extienda la masa en un rectángulo delgado. Corte f discos redondos con un cortador o un plato pequeño.Rellenar los discos de empanadas con la mezcla de carne. Untar los bordes con huevo y cerrar el relleno presionando los bordes juntos para formar una media luna.
Precalentar el aceite en una olla profunda a 375 grados F. Freír las empanadas en el aceite durante unos 3 minutos por cada lado. Retirar del aceite y escurra en papel toalla.",86af723a-e16a-11ed-9503-a96d6180cd25,comida
