title,url,ingredients,steps,uuid,categoria
Chuletas de Cerdo con Salsa de Ciruelas,https://www.mycolombianrecipes.com/es/chuletas-de-cerdo-con-salsa-de-ciruelas/,"4 chuletas de cerdo
¼ taza de sal
4 tazas de agua
2 cucharadas de aceite de oliva
1 taza de ciruelas pasas sin semilla
2 cucharadas de azúcar
½ taza de vino tinto
2 cucharadas de mantequilla
1 taza de agua
Una pizca de sal","Disolver la sal en el agua en un recipiente grande, coloque las chuletas de cerdo en la mezcla, cubrir y refrigerar por 20 minutos.
Retire las chuletas de cerdo de la mezcla y secar con toallas de papel.
Calentar el aceite de oliva en una sartén grande a fuego medio. Coloque las chuletas en el aceite caliente y cocine durante aproximadamente 5-7 minutos por cada lado, dependiendo del grosor de las chuletas son. Transferir las chuletas de cerdo en un plato.
Baje el fuego a medio-bajo. En la misma sartén añadir la mantequilla, las ciruelas pasas, agua, una pizca de sal y azúcar. Cocine por unos 15 a 20 minutos, revolviendo de vez en cuando con una cuchara de madera.
Añadir el vino y la sal y continuar la cocción durante 15 minutos más. Verter la mitad de la salsa sobre las chuletas y servir inmediatamente, utilizando el resto de la salsa como mesa de salsa.",86af71eb-e16a-11ed-93a4-a96d6180cd25,comida
Chuletas de Cerdo a la Criolla,https://www.mycolombianrecipes.com/es/chuletas-de-cerdo-a-la-criolla/,"4 chuletas de cerdo con hueso
2 cucharadas de aceite vegetal
3 dientes de ajo picados
½ cucharada de mostaza
1 cucharada de comino molido
3 to mates cortados en cubitos
2 cebollas medianas cortadas en rodajas
¼ taza de cilantro picado
Sal y pimienta negro","Coloque las chuletas de cerdo en una bolsa de plástico con cierre. Añadir la mostaza, el comino, el ajo, la sal y la pimienta.
Refrigere durante 1 hora o toda la noche. Asegúrese de que las chuletas de cerdo están cubiertos de manera uniforme.
En una sartén grande, caliente el aceite a fuego medio. Coloque las chuletas de cerdo en la sartén y cocine por 3 minutos por cada lado. Retire la carne de cerdo de la sartén y mantener a un lado en un plato.
Añadir la cebolla y los tomates a la misma sartén donde cocino la carne de cerdo, adicione una cucharada adicional de aceite si es necesario.
Cocine a fuego medio durante unos 5-7 minutos o hasta que se ablanden, revolviendo con frecuencia para evitar que se queme. Agregar las chuletas de cerdo reservadas reduzca el fuego a medio-bajo y cocine a fuego lento hasta que la carne esté tierna y apenas rosa en el centro, unos 15 minutos. Divida las chuletas en platos adicione la salsa, agregue el cilantro y sirva inmediatamente.",86af71fc-e16a-11ed-aaec-a96d6180cd25,comida
Lomo de Cerdo Relleno,https://www.mycolombianrecipes.com/es/lomo-de-cerdo-relleno/,"1 taza de jamón en cubos
1 zanahoria grande pelada y cortada en cubitos
1 pimiento rojo asado cortado en cubitos
1 cebolla pequeña cortada en cubitos
2 cebollas largas picadas
3 dientes de ajo
¾ taza de migas de pan
1 huevo batido
1 lomo de cerdo de 3 a 4 libras
2 cucharadas de aceite de oliva
1 cucharadita de comino molido
Sal y pimienta","Para hacer el relleno: coloque el jamón, la zanahoria, el pimentón asado, las cebollas y el ajo en un procesador de alimentos. Transferir a un tazón, añadir el huevo y las migas de pan.
Coloque el cerdo, con el lado de grasa hacia abajo, sobre la superficie de trabajo con 1 extremo corto hacia usted. Usando un cuchillo afilado y comenzando ½ pulgada por encima de la parte inferior del asado, corte ½ pulgada a lo largo del lado derecho. Continúe cortando ½ pulgada sobre el lado de abajo, desenrollando el cerdo.
Precaliente el horno a 400 grados F. Coloque una rejilla del horno en el centro del horno.
Una vez que el cerdo está en una pieza plana, utilice un mazo de carne para golpear el cerdo para que la mayor parte de la carne está en una capa uniforme. Ponga el relleno sobre el cerdo.
Enrolle el cerdo, coloque el lado de la costura hacia abajo sobre la superficie de trabajo. Ate el cerdo con pita de cocina. Transferir el cerdo a un caldero o una cacerola de asar.
Frote el cerdo con el aceite de oliva y luego sazone con sal y pimienta.
Asar el cerdo a 400 grados F hasta que un termómetro de lectura instantánea insertado en el centro del lomo de 140-160 durante aproximadamente 1 hora y 30 minutos. Deje reposar el cerdo por lo menos 25 minutos antes de cortar.",86af7209-e16a-11ed-81da-a96d6180cd25,comida
Lomo de Cerdo Asado con Piña,https://www.mycolombianrecipes.com/es/lomo-de-cerdo-asado-con-pina/,"1 cucharada de comino en polvo
1 cucharada de ajo en polvo
1 cucharada de cebolla en polvo
1 cucharada de pimentón molido
1 cucharadita de canela molida
1 cucharada de aceite
Sal y pimienta al gusto
Para el lomo de cerdo asado:
5  libras de lomo de cerdo ancho
2 tazas de jugo de piña
2 cebollas blancas grandes
1 piña pelada y cortada en rodajas
3 cucharadas de mantequilla
½ cucharada de fécula de maíz o maizena
Cilantro fresco para servir
¼ taza de crema de leche","Precaliente el horno a 400F.
Mezclar los ingredientes del condimento en un tazón pequeño. Atar el lomo de cerdo con pita de cocina.
Frote el lomo de cerdo con la mezcla de condimentos. Coloque la carne de cerdo en un molde para hornear grande. Organizar la cebolla y rodajas de piña alrededor del lomo de cerdo.
Vierta el jugo de piña en el molde. Hornee a 400 F por 40 minutos.
Cubra la carne de cerdo con papel de aluminio y bajar la temperatura del horno a 350F. Rociar el lomo de cerdo con los jugos. Hornear durante aproximadamente 1 hora y 20 minutos, rociando cada 20 minutos.
Saque del horno, añadir la mantequilla y dejar reposar el cerdo durante unos 10 minutos antes de cortar y servir.
Mientras tanto preparar la salsa: Colar los jugos de la sartén en una pequeña olla y cocine a fuego alto durante unos 15 minutos.
Añadir la crema y almidón de maíz. Deje que la salsa se cocine a fuego medio hasta que empiece a espesar
Cortar el lomo de cerdo asado y servir con la salsa de piña y rodajas de piña asadas y su elección de acompañamientos.",86af7212-e16a-11ed-a17c-a96d6180cd25,comida
Chuletas de Cerdo con Salsa de Ciruelas,https://www.mycolombianrecipes.com/es/chuletas-de-cerdo-con-salsa-de-ciruelas/,"4 chuletas de cerdo
¼ taza de sal
4 tazas de agua
2 cucharadas de aceite de oliva
1 taza de ciruelas pasas sin semilla
2 cucharadas de azúcar
½ taza de vino tinto
2 cucharadas de mantequilla
1 taza de agua
Una pizca de sal","Disolver la sal en el agua en un recipiente grande, coloque las chuletas de cerdo en la mezcla, cubrir y refrigerar por 20 minutos.
Retire las chuletas de cerdo de la mezcla y secar con toallas de papel.
Calentar el aceite de oliva en una sartén grande a fuego medio. Coloque las chuletas en el aceite caliente y cocine durante aproximadamente 5-7 minutos por cada lado, dependiendo del grosor de las chuletas son. Transferir las chuletas de cerdo en un plato.
Baje el fuego a medio-bajo. En la misma sartén añadir la mantequilla, las ciruelas pasas, agua, una pizca de sal y azúcar. Cocine por unos 15 a 20 minutos, revolviendo de vez en cuando con una cuchara de madera.
Añadir el vino y la sal y continuar la cocción durante 15 minutos más. Verter la mitad de la salsa sobre las chuletas y servir inmediatamente, utilizando el resto de la salsa como mesa de salsa.",86afd8b1-e16a-11ed-a587-a96d6180cd25,comida
Cerdo agridulce con miel y ajonjolí,https://www.recetasnestle.com.co/recetas/cubitos-cerdo-agridulce-miel-ajonjoli,"   1 cucharada de aceite vegetal (14 g)
      1 cucharadita de raíz de jengibre pelado y rallado (5 g)
      1 diente de ajo pelado y finamente picado (3 g)
      2 cucharadas de miel de abejas (42 g)
      1/2 cucharada de salsa soya (7 ml)
      1/2 cucharada de vinagre balsámico (7 ml)
      1 cucharadita de cebollín finamente picado (3 g)
      1 cucharada de ajonjolí tostado (10 g)
      1 kilo de lomo de cerdo sin grasa cortado en cubos medianos (1000 g)
      1 sobre de JUGOSO AL HORNO MAGGI® POLLO AL PIMENTÓN  (30 g)
  ","    1.  Precalienta el horno a 180° C (350° F), 30 minutos antes de la preparación.                  
2.  Calienta en una olla a fuego medio el aceite por 3 minutos y saltea el jengibre con el ajo por unos segundos.                  
3.  Adiciona la miel, la salsa soya, el vinagre balsámico y cocina a fuego medio hasta que hierva y espese.                  
4.  Abre el sobre de JUGOSO AL HORNO MAGGI® POLLO AL PIMENTÓN , acomoda el lomo dentro de la bolsa y ciérrala, pon la bolsa dentro de una refractaria y hornea durante 30 minutos o hasta que el lomo de cerdo esté completamente cocinado.                  
5.  Abre cuidadosamente la bolsa, retira el lomo de cerdo y córtalo en cubos medianos.                  
6.  Agrega los cubos de cerdo a la salsa agridulce y mezcla hasta integrar bien.                  
7.  Sirve el lomo agridulce sobre el arroz blanco caliente y decora con el cebollín y el ajonjolí.             ",,comida
Fricasé de cerdo,https://www.recetasnestle.com.co/recetas/fricase-de-cerdo,"   1 libra de lomo de cerdo partido en trocitos (500 g)
      1 cucharadita de SAZONADOR NATURISIMO MAGGI® (6 g)
      2 cucharadas de aceite vegetal (28 ml)
      1/2 taza de agua (125 ml)
      ¼ libra de cebolla cabezona finamente picada (125g)
      ½ libra de habichuela cortada en rodajas (250 g)
      ½ libra de arveja desgranada fresca (250 g)
      1 pimentón rojo finamente picado (119 g)
      2 tallos de apio cortado en cuadros pequeños (34 g)
      1 doy pack de CREMA DE LECHE NESTLÉ® Light (186 g)
      2 cucharadas de almendras picadas (20 g)
      2 cucharadas de uvas pasas (24 g)
      1 cucharadita de curry (2 g)
  ","    1.  En una sartén calienta el aceite, agrega el SAZONADOR NATURISIMO MAGGI® sobre la carne y sofríe hasta que esté dorada y cocida.                  
2.  Agrega los vegetales , deja sofreír, incorpora la CREMA DE LECHE NESTLÉ®,  el agua, el curry y deja al fuego durante 10 minutos.                  
3.  Agrega las uvas pasas y las almendras al momento de servir.             ",,comida
Cerdo agridulce con miel y ajonjolí,https://www.recetasnestle.com.co/recetas/cubitos-cerdo-agridulce-miel-ajonjoli,"   1 cucharada de aceite vegetal (14 g)
      1 cucharadita de raíz de jengibre pelado y rallado (5 g)
      1 diente de ajo pelado y finamente picado (3 g)
      2 cucharadas de miel de abejas (42 g)
      1/2 cucharada de salsa soya (7 ml)
      1/2 cucharada de vinagre balsámico (7 ml)
      1 cucharadita de cebollín finamente picado (3 g)
      1 cucharada de ajonjolí tostado (10 g)
      1 kilo de lomo de cerdo sin grasa cortado en cubos medianos (1000 g)
      1 sobre de JUGOSO AL HORNO MAGGI® POLLO AL PIMENTÓN  (30 g)
  ","    1.  Precalienta el horno a 180° C (350° F), 30 minutos antes de la preparación.                  
2.  Calienta en una olla a fuego medio el aceite por 3 minutos y saltea el jengibre con el ajo por unos segundos.                  
3.  Adiciona la miel, la salsa soya, el vinagre balsámico y cocina a fuego medio hasta que hierva y espese.                  
4.  Abre el sobre de JUGOSO AL HORNO MAGGI® POLLO AL PIMENTÓN , acomoda el lomo dentro de la bolsa y ciérrala, pon la bolsa dentro de una refractaria y hornea durante 30 minutos o hasta que el lomo de cerdo esté completamente cocinado.                  
5.  Abre cuidadosamente la bolsa, retira el lomo de cerdo y córtalo en cubos medianos.                  
6.  Agrega los cubos de cerdo a la salsa agridulce y mezcla hasta integrar bien.                  
7.  Sirve el lomo agridulce sobre el arroz blanco caliente y decora con el cebollín y el ajonjolí.             ",,comida
Fricasé de cerdo,https://www.recetasnestle.com.co/recetas/fricase-de-cerdo,"   1 libra de lomo de cerdo partido en trocitos (500 g)
      1 cucharadita de SAZONADOR NATURISIMO MAGGI® (6 g)
      2 cucharadas de aceite vegetal (28 ml)
      1/2 taza de agua (125 ml)
      ¼ libra de cebolla cabezona finamente picada (125g)
      ½ libra de habichuela cortada en rodajas (250 g)
      ½ libra de arveja desgranada fresca (250 g)
      1 pimentón rojo finamente picado (119 g)
      2 tallos de apio cortado en cuadros pequeños (34 g)
      1 doy pack de CREMA DE LECHE NESTLÉ® Light (186 g)
      2 cucharadas de almendras picadas (20 g)
      2 cucharadas de uvas pasas (24 g)
      1 cucharadita de curry (2 g)
  ","    1.  En una sartén calienta el aceite, agrega el SAZONADOR NATURISIMO MAGGI® sobre la carne y sofríe hasta que esté dorada y cocida.                  
2.  Agrega los vegetales , deja sofreír, incorpora la CREMA DE LECHE NESTLÉ®,  el agua, el curry y deja al fuego durante 10 minutos.                  
3.  Agrega las uvas pasas y las almendras al momento de servir.             ",,comida
Paté de cerdo,https://www.recetasgratis.net/receta-de-pate-de-cerdo-57361.html,"500 gramos de Costillas de cerdo
2 latas de Cerveza rubia
2 hojas de Laurel
2 ramas de Tomillo
1 pizca de Pasta de ajo
1 pizca de Sal
1 pizca de Pimienta negra
2 cucharaditas de Mayonesa o Queso crema
3 cucharaditas de Salsa bbq
1 cucharadita de Perejil fresco
1 cucharadita de Orégano seco
1 pizca de Pasta de ajo
1 pizca de Sal
1 pizca de Pimienta negra
1 unidad de Cebolla morada","1 Nuestro primer paso para realizar el paté casero es prealistar los ingredientes. 
2 Lleva una olla honda a fuego medio, una vez caliente añade una cucharadita de aceite de girasol y agrega las costillas de cerdo con sal, pimienta y pasta de ajo al gusto. 
3 Una vez salteadas las costillas de cerdo, añade la cerveza y si no se cubre en su totalidad complementa con agua hasta cubrir. Agrega laurel, tomillo y cocina hasta que estén blandas. 
4 Ahora vamos a prealistar los ingredientes para hacer el paté de cerdo. 
5 En un procesador de alimentos añade la carne de la costilla con la cebolla. Procesa muy bien los ingredientes de nuestro paté casero. 
6 Agrega el perejil fresco y vuelve a procesar como observas en la fotografía. Lo que queremos es obtener esas consistencia con la carne de cerdo. 
7 Lleva la mezcla de nuestro paté casero a un bol y añade la mayonesa, el orégano y salsa bbq. Mezcla bien todos los ingredientes. Este tipo de salsa para carnes puedes comprarla en cualquier supermercado o hacerla tú mismo siguiendo la receta de salsa barbacoa. Truco: Recuerda que si no te gusta la mayonesa puedes utilizar queso crema untable. 
8 Lo ideal es obtener una consistencia cremosa y untuosa como se observa en la fotografía. Rectifica sabor y adiciona una pizca de sal, pimienta negra y pasta de ajo. 
9 Lleva nuestro paté de cerdo al molde donde vamos a servir, lo ideal es darle forma uniforme en la parte de arriba con una pala para untar y mantenerlo en la nevera o refrigerador hasta el momento de servir. 
10 Saca de refrigeración nuestro paté de cerdo y sirve con mini tostadas de pan o palitroques. Este receta es totalmente original, diferente y deliciosa! y si quieres sorprender aun más a tus comensales puedes acompañar con paté de tomates secos o paté de aguacate y queso. Si deseas más recetas con carne y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!",a21784b1-0dd0-4a26-84c2-e0316cf2d8e8,comida
