title,url,ingredients,steps,uuid,categoria
Pescado Aborrajado,https://www.mycolombianrecipes.com/es/pescado-aborrajado/,"1 huevo batido
4 cucharadas de harina de trigo para todo uso
½ cucharada de sazón con color
¼ de taza de leche
Sal y pimienta
4 filetes de bacalao o trucha
Sal y pimienta
½ cucharadita de comino molido
Aceite vegetal o de canola para cocinar el pescado","Hacer la masa: En un tazón, mezclar el huevo batido, harina, sazón con color, leche, sal y pimienta. Batir para hacer una masa suave.
Sazone el pecado con sal, pimienta y comino molido. Sumerja los filetes de pescado en la mezcla, dejando gotear el exceso.
Caliente aceite en una sartén. Freír el pescado durante unos 5 a 7 minutos hasta que estén crujientes y dorados. Retire el pescado y coloque sobre toallas de papel. Sazone con sal y pimienta y sirva caliente.",86af71c3-e16a-11ed-aeb2-a96d6180cd25,comida
Pescado Frito Colombiano,https://www.mycolombianrecipes.com/es/pescado-frito-colombiano/,"2 tilapias pequeñas o pargo rojo limpios
1 cebolla larga finamente picado
El jugo de 1 limón
Sal y pimienta
¼ de taza de harina
2 tazas de aceite vegetal o de canola para freír","Enjuague el pescado en agua fría y seque con toallas de papel. Con un cuchillo afilado, hacer 3-4 cortes en cada lado de los pescados.
Sazone el pescado dentro y por fuera con sal y pimienta. Frote el pescado con la cebolla verde y el jugo de limuón. Reservar por 10 minutos antes de cocinar.
Cubrir el pescado con harina. Vierta el aceite en una sartén grande al menos 1 pulgada de profundidad.
Calentar el aceite a fuego medio-alto, puede probarlo dejando caer en un pequeuño cubo de pan. Si chisporrotea es que estuá listo, o si tiene un termómetro, la temperatura correcta es 375 F.
Con cuidado, coloque el pescado en el aceite y luego baje el fuego a medio.
Freír el pescado, por unos 5 a 7 minutos. Voltee el pescado y freír unos 5 a 7 minutos muás o hasta que la piel estué crujiente. Pasar a un plato cubierto con toallas de papel y servir con patacones, arroz con coco, aguacate y rodajas de limón.",86af71d9-e16a-11ed-af2b-a96d6180cd25,comida
Albóndigas de Pescado,https://www.mycolombianrecipes.com/es/albondigas-de-pescado/,"1 libra de pescado blanco cortado en trozos pequeños halibut, tilapia o mahi-mahi
1 taza de migas de pan
½ cebolla picada
3 dientes de ajo picados
½ pimentón rojo picado
1 huevo batido
Sal y pimienta
1 cucharada de aceite de canola o vegetal
1 cebolla blanca pequeña cortados en cubitos
1 pimiento rojo pequeño cortado en cubitos
½ pimentón verde cortado en cubitos
2 dientes de ajo picados
1 taza de tomate picado
2 tazas de leche de coco
Sal y pimienta","En un procesador de alimentos, coloque el pescado, la cebolla, el ajo y el pimentón rojo y procese hasta que parezca carne molida. Mezclar con las migas de pan, huevo, sal y pimienta. Forme la mezcla en 8 bolas.
Para hacer la salsa: En una sartén mediana a fuego medio, saltear la cebolla y el pimentón. Cocine hasta que las verduras se hayan ablandado, unos 6 minutos. Añadir el ajo y cocinar por 2 minutos más. Sazone con sal y pimienta negra y agregue los tomates y la leche de coco. Cocine a fuego lento hasta que la salsa se haya espesado y las verduras estén muy tiernas, unos 5 minutos.
Añadir las bolas a la sartén. Cocine durante unos 5 minutos, cubra, luego gire las bolas en la salsa y cocine por otros 5 a 7 minutos, hasta que las bolas estén completamente cocidas.",86af7204-e16a-11ed-b87d-a96d6180cd25,comida
Pescado Relleno de Mariscos,https://www.mycolombianrecipes.com/es/pescado-relleno-de-mariscos/,"2 pescados (pargo, lubina, trucha o tilapia, limpios y escalados)
El jugo de 2 limones
Sal y pimienta
2 cucharadas de mantequilla
½ taza de cebolla picada
4 dientes de ajo picados
½ taza de pimentón rojo picado
¼ taza de vino blanco
Media libra de camarones pelados y cortados en cubitos
Media libra de mahimahi en cubitos bacalao o su pescado favorito
Media libra de vieiras
1 cucharadita de comino en polvo
¼ cucharadita de polvo de achiote o color
Sal y pimienta al gusto
5 cucharadas de mantequilla
¼ taza de cebolla finamente picada
2 cucharadas de harina para todo uso
2 tazas de leche
Sal y pimienta al gusto","Frote el pescado dentro y por fuera con jugo de limón, sal y pimienta. Poner en un molde de hornear y reservar.
Para hacer el relleno: Derrita la mantequilla en una cacerola a fuego medio, agregue el ajo picado, el pimiento rojo y cebolla, cocine por unos 2 minutos.
Agregue los camarones, pescado cortado en cubitos, el comino, achiote y cocine por otros 2 minutos. Añadir el vino blanco y vieiras, cocine por otros 2 minutos y retirar del fuego. Sazone con sal y pimienta a su gusto.
Para hacer la salsa: Derretir la mantequilla en una cacerola grande, agregar la cebolla y cocinar por unos 5 minutos. Agregue la harina y cocine por 1 minuto a fuego lento, revolviendo constantemente con un batidor. Añadir la leche, la sal y la pimienta, y cocine a fuego medio-bajo. Continuar revolviendo con un batidor, durante unos 5 minutos. Retirar del fuego y reservar. Mezcle el relleno con la mitad de la salsa.
Precaliente el horno a 375 ° F. Rellene cada pescado con el relleno y añadir el resto de la  salsa por encima. Hornear durante 20-25 minutos, o hasta que esté bien cocido. Retirar del horno y servir inmediatamente.",86af7215-e16a-11ed-9355-a96d6180cd25,comida
Chicharrón de Pescado con Ají de Mango,https://www.mycolombianrecipes.com/es/chicharron-de-pescado-con-aji-de-mango/,"1 ½ libra de pescado blanco cortado en trozos
Sal y pimienta al gusto
El jugo de 2 limones
½ taza de harina de yuca
Vegetal o aceite de canola para freír
1 ají amarillo peruano o medio habanero sin semillas
2 tazas de jugo de mango
1 cucharadita de aceite de oliva
2 cucharadas de jugo de limón
Sal y pimienta al gusto
2 cucharadas de cilantro finamente picado","Sazonar los trozos de pescado con sal, pimienta y jugo de limón.
Añadir la harina para cubrir el pescado. Poner en una bolsa de plástico y agite.
Freír en el aceite caliente durante unos 2 minutos por cada lado o hasta que estén dorados. Coloque en un plato cubierto con papel de cocina y servir inmediatamente con la salsa picante de mango o su salsa favorita.
Para hacer la salsa: Mezclar la pimienta con el jugo de mango, aceite de oliva y jugo de limón hasta que todo este mezclado. Sazone con sal y pimienta. Utilice inmediatamente o guardarlo hasta por una hora en la nevera.",86af7224-e16a-11ed-991c-a96d6180cd25,comida
Picillo de Pescado,https://www.mycolombianrecipes.com/es/picillo-de-pescado/,"1 libra de bacalao o pescado salado
2 cucharadas de aceite
1 cebolla blanca cortada en cubitos
3 cebollas largas picadas
3 dientes de ajo picados
1 pimentón rojo cortado en cubitos
2 to mates grandes picados
Sal y pimienta molida
1 cucharadita de comino molido
½ cucharadita de achiote molido o color","Remoje el pescado toda la noche en agua, cambiando el agua 2 veces.
En una olla mediana, con agua suficiente para cubrir el bacalao salado, cocinar por unos 15 minutos. Colar y quitar los huesos. Ponga a un lado.
En una sartén grande caliente el aceite. Añadir la cebolla, el cebolla larga, el pimentón rojo, tomate y ajo. Cocine hasta que las verduras estuén blandas. Sazone con sal y pimienta. Añadir el pescado, mezclar bien y cocinar por unos 5 minutos más.
Sirva caliente con arepa.",86af7225-e16a-11ed-a2af-a96d6180cd25,comida
Tapao de Pescado,https://www.mycolombianrecipes.com/es/tapao-de-pescado/,"6 tazas de agua
2 plátanos verdes pelados y cortados en cubitos
4 papas peladas y en cubitos
½ libra de yuca pelada y cortada en cubitos
4 cebollas largas picadas
2 dientes de ajo picados
1 cucharada de cilantro picado
Sal y pimienta al gusto
2 libras de filetes de pescado","Coloque todos los ingredientes, excepto el pescado, en una olla mediana o cazuela, tapar y cocinar hasta que las verduras estén suaves, unos 20 minutos.
Añadir el pescado y cocine a fuego lento durante unos 10 minutos muás. Agregar el cilantro fresco y servir caliente.",86af7227-e16a-11ed-a2d6-a96d6180cd25,comida
Encocado de Pescado y Camarón,https://www.mycolombianrecipes.com/es/encocado-de-pescado-y-camaron/,"1 cebolla blanca finamente picada
4 dientes de ajo picados
El jugo de 1 limón
1 libra de pez espada o cualquier otro pescado firme cortado en trozos medianos
1 cucharada de aceite canola o aceite vegetal
2 to mates pequeños pelados y picados
3 cebollas largas finamente picadas
1 pimientuón cortado en cubitos
1 cucharadita de comino molido
½ cucharadita de achiote molido
1 lata de14 oz de leche de coco
½ libra de camarones pelados y limpios
¼ taza de cilantro fresco picado finamente
Sal y pimienta al gusto","En un tazón, mezcle la mitad de la cebolla, la mitad del ajo y jugo de limón. Agregue el pescado y revuelva para cubrir. Cubra con papel plástico y deje marinar en la nevera durante 1 hora.
Calentar el aceite y agregar el resto de la cebolla, los tomates, el pimientón, la cebolla larga y el resto del ajo, cocine por unos 5 minutos a fuego medio.
Añadir la leche de coco, comino y achiote a la mezcla de tomate, revolver y cocinar durante unos 8 minutos. Agregue el pescado, cubra la sartén, reduzca el fuego a bajo y cocine a fuego lento durante unos 10 a 15 minutos. Agregue los camarones y cubrir parcialmente y deje hervir a fuego lento durante unos 10 minutos más o hasta que el pescado este suave y los camarones cocinados y rosados. Sazone con sal y pimienta. Añadir el cilantro fresco y servir con arroz.",86af7228-e16a-11ed-9187-a96d6180cd25,comida
Viudo de Pescado,https://www.mycolombianrecipes.com/es/viudo-de-pescado/,"10 tazas de agua
½ cebolla blanca cortada en trozos grandes
2 dientes de ajo enteros
2 cebollas largas
½ cucharadita de comino molido
2 pluátanos verdes pelados y cortados en trozos grandes
1 libra de yuca pelada y cortada en trozos
6 papas pequeuñas peladas
½ libra de calabaza pelada y cortada en trozos
2 libras de pescado blanco cortadas en trozos
Sal y pimienta al gusto
1 taza de hogao","En una olla grande colocar el agua con la cebolla, los dientes de ajo, la cebolla larga, el comino, la sal, la pimienta y los pluátanos. Cocine a fuego medio durante unos 5 minutos.
Reduzca el fuego a medio-bajo. Auñadir las papas, yuca y calabaza, y cocinar durante unos 10 minutos muás.
Auñadir el pescado y cocinar por unos 10 a 15 minutos muás o hasta que las verduras estuén tiernas y el pescado cocinado. Coloque todas las verduras y el pescado en platos individuales, excepto el caldo, dividiendo el pescado y las verduras de manera uniforme.
Luego cubra con hogao y servir con arroz blanco y aguacate. Pruebe y ajuste la sazuón. Servir el caldo en platos hondos y decorar con cilantro fresco.",86af7233-e16a-11ed-a37d-a96d6180cd25,comida
Chicharrón de Pescado con Ají de Mango,https://www.mycolombianrecipes.com/es/chicharron-de-pescado-con-aji-de-mango/,"1 ½ libra de pescado blanco cortado en trozos
Sal y pimienta al gusto
El jugo de 2 limones
½ taza de harina de yuca
Vegetal o aceite de canola para freír
1 ají amarillo peruano o medio habanero sin semillas
2 tazas de jugo de mango
1 cucharadita de aceite de oliva
2 cucharadas de jugo de limón
Sal y pimienta al gusto
2 cucharadas de cilantro finamente picado","Sazonar los trozos de pescado con sal, pimienta y jugo de limón.
Añadir la harina para cubrir el pescado. Poner en una bolsa de plástico y agite.
Freír en el aceite caliente durante unos 2 minutos por cada lado o hasta que estén dorados. Coloque en un plato cubierto con papel de cocina y servir inmediatamente con la salsa picante de mango o su salsa favorita.
Para hacer la salsa: Mezclar la pimienta con el jugo de mango, aceite de oliva y jugo de limón hasta que todo este mezclado. Sazone con sal y pimienta. Utilice inmediatamente o guardarlo hasta por una hora en la nevera.",86af9a43-e16a-11ed-918d-a96d6180cd25,comida
