title,url,ingredients,steps,uuid,categoria
Sudado de Pollo,https://www.mycolombianrecipes.com/es/sudado-de-pollo/,"8 muslos de pollo sin la piel
1 cucharada de aceite vegetal
½ taza de cebolla picada
½ de taza de pimientón rojo picado
1 diente de ajo picado
2 tazas de tomate picado
1 cucharada de Sazuón con azafran
½ cucharadita de comino en polvo
½ de taza de cilantro fresco picado
½ de cucharadita de sal
½ cucharadita de pimienta
8 papas pequeuñas amarillas peladas y cortadas por la mitad
3 tazas de caldo de pollo","En una olla grande, caliente el aceite vegetal a fuego medio.
Añadir la cebolla y el pimiento rojo y saltee hasta que las cebollas estén transparentes, unos 3 minutos. A continuaciuón, auñadir los tomates, el ajo, la sal y la pimienta molida y sofría por 5 minutos muás.
Agregue el pollo, el caldo de pollo, la sazuón y comino en polvo.
Tapar y cocinar durante 25 minutos, revolviendo ocasionalmente.
Añadir las papas y el cilantro y cocine por 30 minutos muás o hasta que las papas estén tiernas. Sirva sobre arroz blanco.",86af61e5-e16a-11ed-abef-a96d6180cd25,comida
Cazuela de Pollo y Coco,https://www.mycolombianrecipes.com/es/cazuela-de-pollo-y-coco/,"4 cucharadas de mantequilla
½ taza de cebolla finamente picada
1 pimentón rojo pequeño picado
2 cebollas largas picadas
1 zanahoria grande pelada y rallada
¼ cucharadita de comino molido
¼ cucharadita de achiote molido o color
2 papas amarillas peladas y cortadas en trozos
4 tazas de caldo de pollo
2 pechugas de pollo cortada en cubitos
2 cucharadas de pasta de tomate
2 mazorcas de maíz cortadas en trozos o granos
2 tazas de leche de coco
½ taza de crema de leche
1 taza de arvejas
Sal y pimienta al gusto
Cilantro fresco picado para servir","En una olla mediana, derrita la mantequilla a fuego medio. Añadir la cebolla, pimentón rojo, cebolla larga, zanahorias, comino y achiote. Cocine hasta que estén suaves, unos 3 a 5 minutos.
Añadir las papas, pechuga de pollo, pasta de tomate y el caldo, aumentar el fuego a medio-alto y llevar a hervir. Baje el fuego y cocine a fuego lento con la olla parcialmente cubierta hasta que las papas estén tiernas, unos 20 a 30 minutos.
Añadir la leche de coco y el  maíz, continuar la cocción a fuego lento durante otros 5 a 10 minutos. Añadir la crema, las arvejas y cocinar por otros 5 minutos. Añadir sal y pimienta al gusto. También puede añadir más leche de coco o caldo si la sopa está demasiado espesa. Agregar el cilantro fresco y servir.",86af71ca-e16a-11ed-8ad2-a96d6180cd25,comida
Caldo de Pollo con Papa,https://www.mycolombianrecipes.com/es/caldo-de-pollo-con-papa/,"2 grandes pechugas de pollo con hueso
12 tazas de caldo de pollo
1 cucharadita de comino molido
5 dientes de ajo
1 taza de cebolla cortada en cubitos
6 cebollas largas picadas
½ taza de cilantro fresco picado
1 libra de papas peladas y cortadas en trozos
Sal y pimienta al gusto","Ponga el pollo en una olla grande con el comino, la sal, la pimienta y el agua. Coloque el ajo, las cebollas en una licuadora con ¼ taza de agua y mezcla. Añadir esta mezcla a la olla.
Llevar a hervir, reduzca el fuego y cocine a fuego lento durante unos 30 minutos.
Agregue la mitad del cilantro y papas. Sazone con sal y pimienta y cocinar durante unos 30 minutos más o hasta que las papas estén tiernas.
Retire el pollo de la olla y retire la carne del hueso con un tenedor, y devolver el pollo a la sopa. Espolvorear con el cilantro picado y servir caliente.",86af71d5-e16a-11ed-82c9-a96d6180cd25,comida
Piernas de Pollo Asadas al Estilo Colombiano,https://www.mycolombianrecipes.com/es/piernas-de-pollo-asadas-al-estilo-colombiano/,"12 muslos de pollo con piel
Aceite en aerosol para cocinar el pollo
5 cebollas largas picadas
3 dientes de ajo
½ taza de cebolla blanca picada
½ taza de cilantro fresco
1 cucharada de tomillo fresco
1 cucharada de comino molido
1 cucharada de pimentón
Sal y pimienta
2 cucharadas de vinagre blanco","En un procesador de alimentos, coloque la cebolla verde, ajo, cebolla, cilantro, tomillo, vinagre, comino, pimentón, sal y pimienta. Procesar hasta obtener una pasta.
Coloque el pollo en una bolsa y agregue la marinada. Muéva el pollo para cubrir uniformemente. Refrigere toda la noche.
Cubra una bandeja para hornear con papel aluminio y cubrir con aceite en aerosol. Coloque la parrilla del horno en el centro del horno y calentar la parrilla a fuego alto.
Coloque las piernas de pollo en la bandeja para hornear. Ase a la parrilla durante unos 10 minutos y girar las piernas una vez y cocine por 12 a 15 minutos muás o hasta que el pollo esté bien cocido y la piel se dore. Dejar reposar durante 5 minutos y se transfiere a un plato de servir.",86af71e2-e16a-11ed-b603-a96d6180cd25,comida
Pollo Asado,https://www.mycolombianrecipes.com/es/pollo-asado/,"1 pollo entero alrededor de 5 libras
3 cebollas largas
1 cucharada de aceite vegetal
3 dientes de ajo
1 cucharada de comino molido
¼ cucharadita de orégano seco
¼ taza de cilantro
½ cucharadita de tomillo fresco
Sal y pimienta
1 taza de cerveza","En un procesador de alimentos, coloque la cebolla, el ajo, el cilantro, tomillo, comino, orégano, sal y pimienta. Procesar hasta tener una pasta.
Coloque el pollo en un recipiente grande de plástico, unte con el aceite vegetal y añadir la marinada uniformemente.
Ate las patas de pollo con hilo de cocina y refrigerar el pollo durante la noche.
Al día siguiente cuando esté listo para asar el pollo: Precaliente el horno a 425F.
Coloque el pollo en una bandeja para horno y añadir la cerveza. Ase el pollo durante aproximadamente 1 hora y 30 minutos o hasta que la piel esté crujiente y los jugos del pollo esten claros cuando se corta entre una pierna y el muslo.
Retire el pollo de la bandeja y colocar en un plato. Cubra con papel de aluminio y dejar reposar durante unos 15 minutos. Servir con sus papas favoritas.",86af71e4-e16a-11ed-a3d9-a96d6180cd25,comida
Pollo en Leche de Coco,https://www.mycolombianrecipes.com/es/pollo-en-leche-de-coco/,"4 piernas de pollo con hueso y la piel o pechugas de pollo
1 cucharada de aceite
½ taza de cebolla picada
1 diente de ajo picado
½ de pimientuón rojo picado
1 tableta de caldo de pollo
½ cucharadita de comino en polvo
1 cucharada de pasta de tomate
1 lata 13.5 onzas de leche de coco o fresca
Sal y pimienta
Cilantro para adornar
Arroz blanco para servir","Calentar el aceite en una cacerola mediana a fuego medio. Coloque el pollo y cocine por 3 minutos o hasta que las piernas estén doradas, voltee y cocine por 3 minutos muás o hasta que el segundo lado se dore.
Sacar de la sartén y reservar. Añadir la cebolla, el ajo y el pimientón rojo a la cacerola de la salsa. Cocine, revolviendo de vez en cuando durante 6 minutos. Agregue la pasta de tomate y comino y cocine revolviendo constantemente durante 2 minutos.
Regrese el pollo a la sartén y revuelva con la leche de coco y el caldo de pollo. Llevar a hervir, reduzca el fuego a medio-bajo, tape y deje que se cocine a fuego lento durante unos 20 minutos o hasta que el pollo esté cocinado. Pruebe y agregue sal y pimienta. Añada el cilantro picado y servir caliente con arroz blanco.",86af7205-e16a-11ed-bed7-a96d6180cd25,comida
Estofado de pollo con Vegetales,https://www.mycolombianrecipes.com/es/estofado-de-pollo-con-vegetales/,"1-1 / 4 libras de pechugas de pollo sin piel cortadas en trozos
Sal y pimienta
1 cucharadita de comino molido
½ cucharadita de achiote o color
2 cucharadas de aceite vegetal
1 cebolla amarilla mediana finamente picada
2 cebollas largas picadas
4 dientes de ajo picados
3 tazas de caldo de pollo
2 papas peladas y en cubitos
½ libra de yuca pelada y cortada en trozos pequeños
½ taza de arvejas congeladas
½ taza de zanahorias en cubitos
½ taza de habichuelas verdes cortadas en pedazos pequeños
¼ taza de cilantro fresco picado","Espolvorear uniformemente el pollo con sal, pimienta, achiote y comino en polvo.
Calentar el aceite en una sartén a fuego alto. Añadir la cebolla y cocine, revolviendo ocasionalmente, hasta que estén suaves, unos 3 minutos. Agregue la cebolla larga y el ajo y cocine por un minuto más.
Añadir el pollo, las papas, la yuca y el caldo, llevar a hervir, reduzca el fuego a medio y cocinar unos 20 minutos.
Añadir las arvejas, las habichuelas y las zanahorias, baje el fuego a medio-bajo y cocine hasta que el pollo y las verduras estén cocinadas, unos 10 minutos más. Añadir el cilantro fresco y se sazona con sal y pimienta si lo desea.",86af720e-e16a-11ed-a891-a96d6180cd25,comida
Pollo al Limón y Miel,https://www.mycolombianrecipes.com/es/pollo-al-limon-y-miel/,"4 pechugas de pollo con hueso y con piel
2 cucharadas de aceite de oliva
Sal y pimienta molida al gusto
½ taza de miel
4 cucharadas de jugo de limón
1 cucharada de mostaza de Dijon","Precaliente el horno a 350 ° F. Frote la pechuga de pollo con aceite de oliva y espolvorear generosamente con sal y pimienta.
Coloque el pollo con la piel hacia abajo en una fuente para hornear y hornee durante 30 minutos. Cuando el pollo se cocine, en un tazón pequeño mezcle la miel, jugo de limón, la mostaza, la sal y la pimienta.
Vierta la mezcla de miel sobre las pechugas de pollo y hornee durante otros 10 a 15 minutos o hasta que las pechugas estuén cocinadas y los jugos salgan claros al insertar un pincho en la parte más gruesa de la carne.
Retire el pollo a un plato de servir y dejar reposar durante 5 minutos y luego servir.",86af7220-e16a-11ed-afbb-a96d6180cd25,comida
Crema de Pollo,https://www.mycolombianrecipes.com/es/crema-de-pollo/,"2 pechugas de pollo cortadas en trozos
2 cucharadas de aceite o mantequilla
1 taza de cebolla blanca cortada en cubitos
3 cebollas largas picadas
4 dientes de ajo machacados
1 cucharadita de comino molido
4 papas amarillas medianas peladas y cortadas en trozos
6 tazas de caldo de pollo
½ taza de leche
½ taza de crema
Sal y pimienta","Calentar el aceite en una olla grande agregue las cebollas, ajo y  cocine a fuego medio durante unos 8 minutos, revolviendo ocasionalmente.
Agregue el pollo, el comino, el caldo y las papas, llevar a hervir.
Reduzca la temperatura y cocine a fuego lento hasta que el pollo esté bien cocinado y las papas estén tiernas, unos 30 minutos.
Sazone con sal y pimienta, retirar del fuego y dejar enfriar la sopa hasta que sea seguro para licuar.
Mezcle la sopa con la leche y crema, y ponga de nuevo en el fuego. Adorne con cilantro fresco o cebollas larga y sirva caliente.",86af7221-e16a-11ed-81d3-a96d6180cd25,comida
Pollo a la Plancha,https://www.mycolombianrecipes.com/es/pollo-a-la-plancha/,"4 pechugas de pollo sin hueso y sin piel
¼ cucharadita de achiote molido
3 cebollas largas picadas
1 taza de cebolla picada
5 dientes de ajo machacados
½ cucharada de comino molido
½ taza de la cerveza
Sal y pimienta","Lave y seque el pollo. Golpee cada pechuga para darles un espesor uniforme.
Coloque los ingredientes de la marinada en la licuadora y mezcle hasta que esté suave.
Coloque el pollo machacado en una bolsa de plástico con cierre grande o en un tazón y cubrir con la marinada. Deje marinar por lo menos 3 horas, o durante la noche es ideal.
Precaliente la parrilla o la plancha. Coloque el pollo en la parrilla y cocnar por 5 minutos a alta temperatura, voltéelo y déjelo por 5 minutos muás para sellarlo por ambos lados. Deje que el en la parrilla para descansar durante unos 5 minutos, tapado, antes de servir.",86af722e-e16a-11ed-9999-a96d6180cd25,comida
