title,url,ingredients,steps,uuid,categoria
Ceviche de pulpo y camarón,https://www.recetasgratis.net/receta-de-ceviche-de-pulpo-y-camaron-57381.html,"1 paquete de Mariscos en conserva de aceite aliñados (Pulpo, camarones, etc.)
1 unidad de Cebolla Morada en su defecto Blanca
2 unidades de Tomates
1 unidad de Pepino
3 unidades de Limones
1 cucharadita de Sal y Pimienta","1 Para este ceviche de mariscos, el primer paso es alistar todos los ingredientes. Utiliza los mariscos que más te gusten y no olvides incluir los principales que son pulpo y camarones. 
2 Exprime los limones y reserva el zumo en un recipiente espacioso. Si quieres puedes pasar el líquido por un colador para evitar que se cuelen semillas. 
3 Corta la cebolla del tamaño que más tle guste. Luego mezcla con el zumo de limón en el mismo recipiente amplio. Par el ceviche te recomiendo cortar la cebolla en juliana muy fina. 
4 A continuación, añada los mariscos al recipiente. 
5 Aparte, pica los tomates y el pepino en pequeños cuadros y añádelo al mismo recipiente anterior. 
6 Deja reposar en la nevera para que los cítricos marinen los mariscos, al menos unos 15 minutos. Comprueba la sazón y corrige con un poco de sal y pimienta. 
7 Sirve el ceviche de pulpo y camarón y decora con rodajas de limón. Este plato se puede servir acompañado con galletas de soda, casabe u otro pan neutral. Y si te gusta el toque cítrico del ceviche puedes probar el ceviche vegano de plátano.",94170597-86f4-4336-8b32-5908ba0fa329,comida
Pintxo de patata confitada y pulpo,https://www.recetasgratis.net/receta-de-pintxo-de-patata-confitada-y-pulpo-50324.html,"4 patas de pulpo Sal gruesa
2 patatas Sal Maldon Pimentón de la Vera (dulce ó / y picante) Aceite de oliva virgen extra
6 grs. de Lecitina de soja Medio litro del agua de cocción del pulpo Pimentón de la Vera","1 Ponemos en una cazuela agua a hervir. 
2 Cuando empiece a hervir añadimos sal gorda y las patas del pulpo. Desechamos las puntas, para otra preparación (ensalada por ejemplo). 
3 Dejamos que cueza durante 20 minutos, hasta que veamos que estén en su punto (podemos pincharlas con un palillo para saber si están ya cocidas). Dejamos enfriar dentro de la olla. 
4 Mientras se nos cuece el pulpo, pelamos las patatas y las cortamos en cuadrados del mismo grosor que las patas. 
5 Ponemos en un cazo abundante aceite para cubrir con ella los trozos de patata. 
6 Confitamos a fuego suave (es decir, cocemos en aceite), durante 20 minutos (dependerá del tamaño y del tipo de patata). 
7 Una vez que la patata esté hecha la sacamos sobre un papel de cocina, para que suelte el exceso de aceite. 
8 Para hacer el aceite de pimentón, mezclamos en un cuenco unas cucharas de aceite de oliva virgen extra crudo, con un par de cucharitas (de café), de pimentón, dulce y/o picante. 
9 Disolvemos y lo guardamos en un biberón. 
10 Montamos el caldo para formar el aire de pimenton. 
11 Para montar los pinchos, cortamos las patas en trozos del mismo tamaño que la patata. 
12 Ponemos en el fondo de cada cucharilla, un cuadrado de patata. Encima ponemos un trozo de pulpo y los insertamos con un palillo. 
13 Aliñamos con unas escamas de sal Maldon y unas gotas del aceite de pimentón.",e464a6df-30fd-4e34-b9da-39b91f29947a,comida
Pulpo a la vinagreta frio,https://www.recetasgratis.net/receta-de-pulpo-a-la-vinagreta-frio-47252.html,"Pulpo cocido 1/3 de pimiento verde
1/2 cebolla pequeña
1 tomate mediano
5 cucharadas de aceite
2 cucharadas y
1/2 de vinagre
1 cucharadita de sal","1 Ya cocido el pulpo, lo troceamos con unas tijeras y dejamos que se enfríe.Picamos a la brunoise el pimiento, la cebolla y el tomate.En un bol pequeñito, mezclamos el aceite, el vinagre y la sal.Incorporamos a esa mezcla las verduras y dejamos que macere unos minutos.Una vez frío el pulpo, mezclamos todo bien en el recipiente donde vayamos a servir.Es preferible esperar mínimo 1h antes de servir para que el pulpo esté bien tomado.",ba8b22ea-11bc-4853-ba6c-79f2a5a95623,comida
Ceviche de pulpo,https://www.recetasgratis.net/receta-de-ceviche-de-pulpo-37907.html,"500 gramos de Pulpo cocinado
1 pizca de Pimienta roja
10 gramos de Cilantro
8 unidades de Limones
2 unidades de Cebolla roja
1 cucharada sopera de Aceite de oliva
120 gramos de Sour cream o queso crema
1 pizca de Sal","1 El primer paso para realizar esta receta de ceviche de pulpo es prealistar los ingredientes. 
2 Lo primero que vamos a hacer es cortar el pulpo en rodajas finas como se observa en la fotografía. Luego, llévalo a un bol para poder marinarlo. 
3 Adiciona el zumo de limón al bol donde tenemos el pulpo y deja marinar durante 20 minutos en la nevera o refrigerador. Si deseas y consideras que no hay suficiente zumo de limón, añade un poco más para que puedas adaptar la receta a tu gusto. 
4 Una vez transcurra este tiempo adiciona al bol donde tenemos ya el pulpo marinado la cebolla en plumas como se observa en la fotografía. 
5 Agrega un poco de sal, pimienta roja y el cilantro finamente picado (si deseas puedes añadir un poco de ajo en polvo para dar un toque y sabor adicional). 
6 Por último, y ya para servir nuestra receta de ceviche fácil, añade el sour cream o el queso crema y mezcla muy bien todos los ingredientes. Si no deseas el ceviche cremoso no le adiciones este ingrediente. 
7 Sirve el ceviche de pulpo acompañando de patacones de plátano verde, pues estos acompañan muy bien nuestra deliciosa receta. Puedes consumirla como entrada de un almuerzo o cena o como plato fuerte. Si deseas más recetas de ceviches y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!",eba6753b-3272-4a1a-9e4b-92503a34c24b,comida
Montadito de Pulpo a la vinagreta,https://www.recetasgratis.net/receta-de-montadito-de-pulpo-a-la-vinagreta-31486.html,Pulpo pimiento rojo pimiento verde cebolla vinagre aceite sal,"1 Se cuece el pulpo y se trocea. 
2 Se pincha en un palillo y se le añade la vinagreta que habremos preparado con el resto de los ingredientes.",28203d0b-15b7-41de-95e7-83784b6469e5,comida
"Ceviche de pescado, pulpo y camarón",https://www.recetasgratis.net/receta-de-ceviche-de-pescado-pulpo-y-camaron-58699.html,"1 libra de Camarones o Langostinos
2 filetes de Pescado blanco
50 gramos de Maíz tostado
6 Pulpos baby
2 Cebollas moradas
1 manojo de Cilantro fresco
6 Limones
1 pizca de Jengibre
1 pizca de Pimienta roja
1 pizca de Sal
1 pizca de Pimienta negra
1 pizca de Pasta de ajo
1 taza de Vieiras","1 Para comenzar a realizar la receta de ceviche de pescado debes alistar los ingredientes. Truco: Puedes escoger la variedad de pescado blanco que más te guste. 
2 Corta el pescado blanco en cuadros medianos, como se observa en la fotografía, y llévalo a un tazón hondo con el zumo de los limones. Lo ideal es que el pescado se marine en el zumo durante unos 20 minutos aproximadamente. Al ser el pH del zumo de limón tan ácido, se consigue desnaturalizar la proteína y cocinarla en él. 
3 Mientras se marina el pescado blanco prepara los mariscos para el ceviche mixto. Entonces, lleva una olla honda con suficiente agua a fuego medio, limpia los camarones y el pulpo (debes retirar la piel y lo que se encuentra dentro de la cabeza de los pulpos).Luego, retira y desecha todo lo retirado. Una vez que el agua esté hirviendo, introduce todos los mariscos (camarones, vieiras y pulpos) y cocínalos durante 40 segundos, 60 segundos como máximo. Retíralos y corta la cocción pasando los frutos del mar por agua fría. 
4 Corta en cuadros medianos los langostinos, los pulpos baby e introdúcelos en el tazón donde se encuentra el pescado blanco. Mezcla bien hasta que se integren los ingredientes del ceviche de pulpo. Por último, añade las vieiras y mezcla bien los ingredientes. 
5 Adiciona el cilantro finamente picado con el jengibre, pasta de ajo y pimienta roja. Mezcla bien los ingredientes del ceviche de pescado y pulpo. La cantidad de picante depende de tus gustos personales. 
6 Lo ideal es que el ceviche de pulpo y pesacdo quede como observa en la fotografía, con todos los ingredientes bien distribuidos. Ahora, añade la cebolla roja finamente picada y sal al gusto. 
7 Sirve el ceviche de pescado, pulpo y camarón espolvoreando el maíz tostado por encima. También puedes colocar un langostino o camarón entero en cada plato a modo de decoración.Si te ha gustado esta receta de aperitivo y quieres conocer otras variantes, no te pierdas el ceviche de surimi y el ceviche de lentejas, ¡te sorprenderán! Recuerda que puedes compartir las fotos del resultado final de tu receta con nosotros y escribirnos si tienes algún comentario o inquietud. ¡Disfruta!",78b22185-9ea2-4dad-b2f2-bf62c4edd686,comida
Ceviche de pulpo y pescado,https://www.recetasgratis.net/receta-de-ceviche-de-pulpo-y-pescado-57787.html,"1 filete de Pescado blanco
200 gramos de Pulpo
50 gramos de Pimiento rojo
50 gramos de Cebolla roja
1 cucharada sopera de Cilantro
3 unidades de Limón
1 chorro de Ají tabasco
100 gramos de Lechuga
1 pizca de Sal
1 pizca de Pimienta","1 Antes de realizar esta receta, el primer paso es alistar todos los ingredientes. 
2 En un bol agregar el pescado cortado en cubos pequeños y mezclar con el zumo de limón. Refrigerar durante 20 minutos hasta que el pescado se cocine con el limón y su color cambie a blanco. 
3 Pasado este tiempo, es momento de añadir el pulpo previamente cocinado en agua hirviendo durante 10 minutos, mezclar todo muy bien y refrigerar 10 minutos más. Si tienes duda sobre cómo cocinar el pulpo puedes comprarlo ya cocido o revisar la receta de pulpo cocido. 
4 Añadir el cilantro finamente picado, la cebolla cortada en plumas y el pimiento en tiras. Mezclar todos los ingredientes para el ceviche y agregar también un poco de ají tabasco y salpimentar al gusto. 
5 Es momento de servir el ceviche de pulpo y pescado sobre hojas de lechuga. Puedes acompañar este plato con unas tortillas de maíz.Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.",c9614c9f-086b-4b2b-9b63-c7a8e8df5c66,comida
Nigiri de pulpo,https://www.recetasgratis.net/receta-de-nigiri-de-pulpo-56692.html,"150 gramos de Pulpo cocinado
250 gramos de Arroz de sushi cocinado
1 tarro de Queso crema
1 hoja de Alga nori","1 El primer paso para realizar nuestra receta de nigiri de pulpo es prealistar los ingredientes. 
2 Realiza con el arroz de sushi bolas de tamaño mediano como se observa en la fotografía. ¿No sabes cómo cocinar este tipo de arroz? ¡Te lo enseñamos! Consulta la receta de arroz para sushi y sigue los pasos. 
3 Agrega un poco de queso crema encima de cada bola como se observa en la imagen. 
4 Añade un pedazo de pulpo cocinado encima de cada uno de los nigiri. 
5 Cubre con una tira de alga nori como se observa en la fotografía para que podamos asegurar nuestro pulpo cocinado. ¡Listo! Ya puedes disfrutar de tu nigiri de pulpo fácil y rápido. Acompáñalo con salsa teriyaki o salsa de soja. Si deseas más recetas de sushi y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!",126ea261-b4f6-4671-b7b9-c7046edecaf7,comida
Ceviche de pulpo y camarón,https://www.recetasgratis.net/receta-de-ceviche-de-pulpo-y-camaron-57381.html,"1 paquete de Mariscos en conserva de aceite aliñados (Pulpo, camarones, etc.)
1 unidad de Cebolla Morada en su defecto Blanca
2 unidades de Tomates
1 unidad de Pepino
3 unidades de Limones
1 cucharadita de Sal y Pimienta","1 Para este ceviche de mariscos, el primer paso es alistar todos los ingredientes. Utiliza los mariscos que más te gusten y no olvides incluir los principales que son pulpo y camarones. 
2 Exprime los limones y reserva el zumo en un recipiente espacioso. Si quieres puedes pasar el líquido por un colador para evitar que se cuelen semillas. 
3 Corta la cebolla del tamaño que más tle guste. Luego mezcla con el zumo de limón en el mismo recipiente amplio. Par el ceviche te recomiendo cortar la cebolla en juliana muy fina. 
4 A continuación, añada los mariscos al recipiente. 
5 Aparte, pica los tomates y el pepino en pequeños cuadros y añádelo al mismo recipiente anterior. 
6 Deja reposar en la nevera para que los cítricos marinen los mariscos, al menos unos 15 minutos. Comprueba la sazón y corrige con un poco de sal y pimienta. 
7 Sirve el ceviche de pulpo y camarón y decora con rodajas de limón. Este plato se puede servir acompañado con galletas de soda, casabe u otro pan neutral. Y si te gusta el toque cítrico del ceviche puedes probar el ceviche vegano de plátano.",f7793e28-f459-4ef5-bcf5-4f7a76147f3d,comida
Pintxo de patata confitada y pulpo,https://www.recetasgratis.net/receta-de-pintxo-de-patata-confitada-y-pulpo-50324.html,"4 patas de pulpo Sal gruesa
2 patatas Sal Maldon Pimentón de la Vera (dulce ó / y picante) Aceite de oliva virgen extra
6 grs. de Lecitina de soja Medio litro del agua de cocción del pulpo Pimentón de la Vera","1 Ponemos en una cazuela agua a hervir. 
2 Cuando empiece a hervir añadimos sal gorda y las patas del pulpo. Desechamos las puntas, para otra preparación (ensalada por ejemplo). 
3 Dejamos que cueza durante 20 minutos, hasta que veamos que estén en su punto (podemos pincharlas con un palillo para saber si están ya cocidas). Dejamos enfriar dentro de la olla. 
4 Mientras se nos cuece el pulpo, pelamos las patatas y las cortamos en cuadrados del mismo grosor que las patas. 
5 Ponemos en un cazo abundante aceite para cubrir con ella los trozos de patata. 
6 Confitamos a fuego suave (es decir, cocemos en aceite), durante 20 minutos (dependerá del tamaño y del tipo de patata). 
7 Una vez que la patata esté hecha la sacamos sobre un papel de cocina, para que suelte el exceso de aceite. 
8 Para hacer el aceite de pimentón, mezclamos en un cuenco unas cucharas de aceite de oliva virgen extra crudo, con un par de cucharitas (de café), de pimentón, dulce y/o picante. 
9 Disolvemos y lo guardamos en un biberón. 
10 Montamos el caldo para formar el aire de pimenton. 
11 Para montar los pinchos, cortamos las patas en trozos del mismo tamaño que la patata. 
12 Ponemos en el fondo de cada cucharilla, un cuadrado de patata. Encima ponemos un trozo de pulpo y los insertamos con un palillo. 
13 Aliñamos con unas escamas de sal Maldon y unas gotas del aceite de pimentón.",f3083fe9-ad99-4558-a686-a870675b4e9f,comida
Pulpo a la vinagreta frio,https://www.recetasgratis.net/receta-de-pulpo-a-la-vinagreta-frio-47252.html,"Pulpo cocido 1/3 de pimiento verde
1/2 cebolla pequeña
1 tomate mediano
5 cucharadas de aceite
2 cucharadas y
1/2 de vinagre
1 cucharadita de sal","1 Ya cocido el pulpo, lo troceamos con unas tijeras y dejamos que se enfríe.Picamos a la brunoise el pimiento, la cebolla y el tomate.En un bol pequeñito, mezclamos el aceite, el vinagre y la sal.Incorporamos a esa mezcla las verduras y dejamos que macere unos minutos.Una vez frío el pulpo, mezclamos todo bien en el recipiente donde vayamos a servir.Es preferible esperar mínimo 1h antes de servir para que el pulpo esté bien tomado.",4e3c5e95-497e-4c20-b318-0c09d15149c1,comida
Ceviche de pulpo,https://www.recetasgratis.net/receta-de-ceviche-de-pulpo-37907.html,"500 gramos de Pulpo cocinado
1 pizca de Pimienta roja
10 gramos de Cilantro
8 unidades de Limones
2 unidades de Cebolla roja
1 cucharada sopera de Aceite de oliva
120 gramos de Sour cream o queso crema
1 pizca de Sal","1 El primer paso para realizar esta receta de ceviche de pulpo es prealistar los ingredientes. 
2 Lo primero que vamos a hacer es cortar el pulpo en rodajas finas como se observa en la fotografía. Luego, llévalo a un bol para poder marinarlo. 
3 Adiciona el zumo de limón al bol donde tenemos el pulpo y deja marinar durante 20 minutos en la nevera o refrigerador. Si deseas y consideras que no hay suficiente zumo de limón, añade un poco más para que puedas adaptar la receta a tu gusto. 
4 Una vez transcurra este tiempo adiciona al bol donde tenemos ya el pulpo marinado la cebolla en plumas como se observa en la fotografía. 
5 Agrega un poco de sal, pimienta roja y el cilantro finamente picado (si deseas puedes añadir un poco de ajo en polvo para dar un toque y sabor adicional). 
6 Por último, y ya para servir nuestra receta de ceviche fácil, añade el sour cream o el queso crema y mezcla muy bien todos los ingredientes. Si no deseas el ceviche cremoso no le adiciones este ingrediente. 
7 Sirve el ceviche de pulpo acompañando de patacones de plátano verde, pues estos acompañan muy bien nuestra deliciosa receta. Puedes consumirla como entrada de un almuerzo o cena o como plato fuerte. Si deseas más recetas de ceviches y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!",98e60fa3-6f9c-42b3-818c-ad6b14801f3e,comida
