title,url,ingredients,steps,uuid,categoria
Sushi vegano con pan de molde,https://www.recetasgratis.net/receta-de-sushi-vegano-con-pan-de-molde-58007.html,"4 lonchas de Pan de molde vegano
1 tarro de Paté vegano al gusto
2 láminas de Alga nori
1 unidad de Pepino
1 unidad de Pimiento asado","1 Para hacer este original sushi con pan de molde el primer paso será alistar los ingredientes. Ten en cuenta que puedes usar cualquier tipo de pan de molde o pan especial para hacer rollitos, solo comprueba que no tenga ningún tipo de porteína animal si quieres que la receta sea vegena.En cuanto al paté, puedes comprar el que más te guste o hacerlo de forma casera siguiendo las recetas de:Dip de tomates secos y albahacaPaté de champiñonesPaté de arvejas 2 Para empezar, corta los bordes al pan y solapa dos rebanadas. Luego aplasta con la ayuda de un rodillo sobre una superficie plana. La idea es que queden dos tiras de pan fino y más compacto. 
3 A continuación, unta el paté vegetal que hayas elegido por toda la superficie y coloca algunas tiras de pepino crudo y pimientos asados. 
4 Enrolla el pan apretando bien y cuando tengas listo el rollo, envuélvelo en un trozo de alga nori, como si se tratase del clásico sushi california. Truco: Recuerda humedecer los bordes de alga para que se pegue 5 Corta rebanadas del sushi con pan de molde y disfruta de este delicioso sushi vegano original y diferente. Si quieres aprender lo mejor de la cocina vegana no olvides visitar el blog de Cocina con Luz Verde, donde encontrarás este y muchos otros platos.",10b340b6-fef2-4512-86d3-30f8e0228460,comida
Sushi con salmón ahumado,https://www.recetasgratis.net/receta-de-sushi-con-salmon-ahumado-42418.html,"2 tazas de Arroz para sushi
6 cucharadas soperas de Vinagre de arroz
6 láminas de Alga Nori
1 unidad de Aguacate
1 unidad de Pepino
225 gramos de Salmón ahumado
2 cucharadas de postre de Pasta wasabi Queso crema (opcional)","1 El secreto de un buen sushi es el arroz. Así que antes de prepararlo, debes lavar muy bien el arroz y dejarlo en remojo unas 4 horas. Pasado este tiempo, cocina el arroz de forma tradicional, con el agua y cuando esté listo añade el vinagre de arroz y mezcla hasta que se integre bien. Luego deja reposar el arroz en un bol amplio para que se enfríe por completo.Si tienes duda en cuanto a este paso puedes revisar la receta de arroz para sushi. 
2 Extiende sobre una superficie plana, la esterilla de madera o silicona para hacer sushi y coloca en el centro una buena porción de arroz. Humedece los dedos y extiende el arroz por toda la lámina, dejando libre un espacio de centímetro y medio más o menos para que luego pueda sellar bien el roll de sushi. Truco: Recuerda que el arroz debe estar completamente frío. 
3 A continuación, corta el aguacate, el pepino y el salmón ahumado en tiras delgadas. Si tienes salmón fresco puedes seguir la receta de salmón ahumado y hacerlo de forma casera. 
4 Para hacer el sushi con salmón ahumado, empieza esparciendo un poco de wasabi por toda la superficie de arroz y encima ve colocando las tiras de salmón, aguacate y pepino. Puedes combinarla al gusto o colocar siempre todos los ingredientes. Coloca estos ingredientes a unos 2 centímetros y medio de la parte inferior de la lámina. Truco: Puedes añadir tiras de queso crema si deseas, la combinación es deliciosa. 
5 Para cerrar el roll, humedece un poco la parte superior del alga, la que no tiene arroz, y enrolla de arriba hacia abajo, haciendo presión con la esterilla. El rollo debe quedar bien apretado y debe estar listo en tres pasos. 
6 Cuando vayas a servir el sushi con salmón ahumado, asegúrate de tener un cuchillo bien afilado y corta el rollo en ocho piezas. Y si quieres más recetas de sushi aquí tienes la de sushi california roll con fotos en cada paso.",03840b55-a4ba-4149-a306-c0f6367fb7de,comida
Sushi con wasabi,https://www.recetasgratis.net/receta-de-sushi-con-wasabi-39408.html,"250 gramos de Arroz para sushi
200 gramos de Pescado fresco (atún o salmón)
2 láminas de Alga Nori Wasabi Jengibre dulce encurtido Salsa soja
1 cucharada postre de Azúcar
1 chorro de Vinagre","1 Para hacer el arroz para sushi, primero lávalo bien con abundante agua y cocínalo con un 30% más de agua de lo habitual. Añade también un poco de azúcar y vinagre. Si tienes dudas, puedes consultar las instrucciones del fabricante o revisar la receta paso a paso de arroz para sushi. 
2 Con el tema del arroz resuelto, pasamos a preparar el relleno. Para ello, corta el pescado en tiras del mismo largo que las hojas de alga Nori. Si deseas, también puedes añadir algunas verduras como aguacate o pepino, cortándolas de la misma forma que el pescado. 
3 Para armar el sushi, coloca la esterilla de madera en una superficie plana y encima la lámina de alga Nori. Coloca en el centro una bola de arroz y ve extendiendo por toda la superficie con la punta de los dedos humedecidas en un poco de agua. Truco: Si no tienes una esterilla puedes utilizar un plástico o un trapo forrado con papel transparente de cocina. 
4 A continuación coloca unos puntos de wasabi sobre el arroz, en el centro a lo largo de superficie. Entonces coloca el pescado y las verduras si has decidido incluirlas. 
5 Enrolla el sushi haciendo presión tres veces, primero una vuelta y presión, luego otras y presiona y una vez más hasta enrollar toda la lámina. Repite este proceso hasta terminar con todos los ingredientes, recuerda que puedes hacer distintas combinaciones de ingredientes. Truco: El queso crema también queda muy bien en este tipo de sushis con wasabi. 
6 Para servir el sushi con wasabi utiliza un cuchillo bien afilado y corta las piezas de sushi. Y si quieres conocer más de la comida japonesa puedes probar el omelette japonés o el pollo frito estilo japonés.",3d509a4b-3474-40e0-ae39-db924b620692,comida
Sushi vegetariano con tomates secos,https://www.recetasgratis.net/receta-de-sushi-vegetariano-con-tomates-secos-57641.html,"325 mililitros de Agua
1 trozo de Alga Kombu (opcional)
4 cucharadas soperas de Vinagre de arroz
250 gramos de Arroz para sushi
1 lata de Pimientos
6 unidades de Tomate seco en aceite
150 gramos de Mozzarella
1 puñado de Hojas de albahaca","1 Para empezar a preparar el arroz de sushi, debemos lavar éste con abundante agua. Lava el arroz hasta que el agua salga limpia, entonces escurre lleva a un cazo con un trozo de alga Kombu, si tienes. 
2 Calienta el cazo a fuego alto hasta que comience a hervir, entonces retira el alga, tapa la olla y continua con la cocción a fuego bajo por 10 minutos. Pasado este tiempo, retira del fuego y deja reposar el arroz para sushi unos 15 minutos. Truco: Es muy importante que destapes el arroz hasta que hayan pasado los 15 minutos de reposo fuera del fuego. 
3 Para terminar con el arroz para sushi, coloca todo en un bol amplio y añade el vinagre. Remueve utilizando una cuchara de madera, con movimientos rápidos pero delicados, intentando no romper los granos de arroz. 
4 Para hacer el prensado necesitarás un molde de emplatado cuadrado como se ve en la fotografía y par de cartones de la misma medida del molde que usaremos para presionar. Coloca el molde sobre una superficie plana y cúbrelo con papel transparente que sobresalga por los lados. Truco: Si este proceso te parece muy complicado también puedes prensar el sushi de forma tradicional, haciendo un rollo con los ingredientes en el centro, como si se tratará de un sushi california. 
5 Añade el arroz y llena el molde hasta la mitad aproximadamente. Utiliza el papel transparente que sobró por los lados para cubrir el arroz y presiona con los moldes de cartón. Esto hará que se iguale la superficie y quede más uniforme. 
6 Retira el sobrante del papel transparente, añade un chorrito de aceite y coloca los ingredientes del relleno cortados en tiras finas. Coloca primero la mozarella, luego las hojas de albahaca y por último los pimientos y el tomate. 
7 Para terminar, vuelve a cubrir todo con papel film y presiona con los moldes de cartón. Coloca encima algo de peso y deja reposar el sushi en la nevera una media hora para que compacte bien. 
8 Sirve el sushi vegetariano de tomate seco cortando piezas con un cuchillo bien afilado y ligeramente húmedo y acompaña con un poco de salsa soja. Y si te gusta el sushi prueba también el clásico sushi california.",2e3c5c50-0025-4f7d-9513-13a098c21f40,comida
Sushi de aguacate y quinoa,https://www.recetasgratis.net/receta-de-sushi-de-aguacate-y-quinoa-57343.html,"100 gramos de Arroz para sushi
100 gramos de Quinoa
1 chorro de Vinagre
1 pizca de Sal
1 cucharadita de Azúcar
1 unidad de Aguacate
1 unidad de Limón
1 pizca de Pimienta negra molida","1 Reunimos todos los ingredientes para elaborar el sushi de aguacate y quinoa. 
2 En dos ollas diferentes cocemos el arroz y la quinoa. Los tiempos de cocción dependerán de las indicaciones de los fabricantes. 
3 Partimos el aguacate por la mitad y añadimos sal y limón para que no se oxide. A continuación lo cortamos en bastoncitos. 
4 Una vez cocido el arroz y la quinoa, esperamos a que se enfríen. A continuación, extendemos un trapo o toalla limpia y encima ponemos una capa de papel transparente. Si acostumbramos a Truco: Este paso lo realizamos con trapo o toalla porque no disponemos de esterilla para enrollar sushi. Aquellos que tengáis esterilla lo haréis más fácil con este utensilio. 
5 Preparamos el arroz para sushi, mezclando un poco de vinagre de vino blanco, una pizca de sal, una cucharadita de azúcar y unas gotas de agua. Mezclamos bien y lo añadimos al arroz cocido. Extendemos una capa fina de arroz sobre el papel transparente, como si fuésemos a preparar un sushi california. 
6 El siguiente paso para preparar el sushi de aguacate y quinoa es extender una capa de quinoa sobre el arroz. 
7 Es el momento de colocar los bastoncitos de aguacate sobre la quinoa y salpimentar. 
8 Enrollamos el sushi de aguacate y quinoa con la ayuda de nuestro trapo de cocina. Una vez envuelto, lo dejamos con el papel transparente y lo metemos en el congelador durante 12 minutos. De este modo nos será más fácil cortarlo. Truco: Para esta receta también se puede utilizar alga nori como envolvente del sushi. 
9 Una vez cortado el sushi de aguacate y quinoa, ya está listo para comer. Si os gustan las recetas diferentes, podéis probar los makis de melón con jamón. ¡Que aproveche!",47b1f0e3-c5c7-4f7d-9463-8cfb71ac07c3,comida
Sushi california roll,https://www.recetasgratis.net/receta-de-sushi-california-roll-57169.html,"1 taza de Arroz para sushi
100 gramos de Atún fresco
100 gramos de Salmón fresco
½ unidad de Pepino
3 hojas de Alga nori
1 unidad de Aguacate
100 gramos de Queso crema","1 El primer paso para preparar sushi es cocer el arroz. Las indicaciones dependen de la marca de esté, así que te recomiendo que sigas las instrucciones del fabricante. Normalmente, se lava bien para eliminar el almidón y hierve con agua hasta que quede un poco pasado, luego se mezcla con vinagre especial y un poco de azúcar. Si tienes dudas échale un vistazo a la receta de arroz para sushi. 
2 Aparte, corta el pescado en tiras más o menos finas. Te recomiendo usar la parte del lomo, lavarlo bien y cortar las piezas por el lado más largo del salmón y el atún. 
3 Haz lo mismo con el pepino, elimina la piel y corta tiras alargadas tal y como se ven en la fotografía. Truco: También puedes incluir zanahoria u otros vegetales de tu elección 4 Para cortar el aguacate, pica la fruta en dos y haz cortes verticales como se ve en la foto. Luego desprende la pulpa de la cáscara con ayuda de una cuchara y tendrás todas las tiras perfectas. 
5 Con todos los ingredientes listos pasaremos a montar el california roll. Para hacer el sushi, coloca sobre una esterilla una hoja de alga y encima una cucharada de arroz. Humedece tus manos con agua y ve estirando el arroz hasta cubrir toda la alga, dejando un fino borde libre. Truco: Hay esterillas especiales para sushi, puedes usarla de madera o de silicona. Si no tienes puedes usar un trapo 6 Coloca el pescado, la verdura y el queso crema por debajo de la mitad de la alga. Para colocar el queso crema, agarra una porción con las manos y ve formando una tira del mismo tamaño que del pescado. 
7 Usa tu imaginación y haz las mezclas de ingredientes que más te gusten. Las mías han sido, salmón con aguacate y atún con pepino. El queso crema es un ingrediente opcional, pero le da un toque cremoso muy bueno al california sushi roll. 
8 Para cerrar el roll, haz un primer dobles y presiona bien haciendo que la punta del alga se pegue al arroz, tal y como se ve en la fotografía. 
9 Termina de cerrar el rollo, enrollando y apretando con suavidad. Al final humedece un poco el borde libre del alga para que pegue bien. Haz tanto rollos como te alcancen los ingredientes, en esta receta han salido tres. 
10 Una vez terminados todos los rollos de sushi podrás cortar las piezas con un ancho de 2-3 centímetros. Córtalos todos, sírvelos en un plato llano y acompaña los sushi california con un poco de salsa soja.",91032a58-dde7-455b-9b62-4c562bbe7f89,comida
Sushi de piel de salmón,https://www.recetasgratis.net/receta-de-sushi-de-piel-de-salmon-56323.html,"1 taza de Arroz de sushi cocinado
2 unidades de Piel de salmón sobrante
4 unidades de Algas nori
1 unidad de Aguacate o palta
1 tarro de Queso crema","1 El primer paso para realizar nuestra receta es prealistar los ingredientes de nuestro sushi casero. 
2 Recuerda que siempre para la elaboración de sushi debemos tener un bol con agua para poder humedecer las manos y el cuchillo. 
3 Es muy importante contar con una esterilla de bambú para realizar los rollos de sushi. Forra la esterilla con papel film. Aparte, prepara el arroz para sushi siguiendo las instrucciones de esta sencilla receta. 
4 Lleva una olla a fuego medio con suficiente aceite para freír. Una vez caliente agrega las pieles de salmón y fríelas hasta que se encuentren crocantes. 
5 Reserva la piel de salmón en un plato con papel absorbente para retirar el exceso de grasa. 
6 Adiciona una lámina de alga nori en la esterilla, es importante recordar que la parte donde vamos agregar el arroz es la parte arrugada. Agrega el arroz con las manos, un poco de queso crema encima del arroz y pedazos de palta o aguacate. 
7 Agrega la piel de salmón crocante como se observa en la fotografía. 
8 Es importante que mojes con el agua que tienes en el bol el resto del alga nori restante y que enrolles el sushi ejerciendo presión para que este quede bien apretado y no se desarme cuando lo cortemos en bocados. 
9 Lo importante es que nuestro rollo quede firme. Luego, debes cortar con cuidado para no desbaratar los bocados de sushi, aproximadamente de un rollo de sushi pueden salir 8 o 10 bocados. Recuerda mojar el cuchillo cada vez que cortes una porción para que te sea más fácil realizar esta labor. 
10 Sirve el sushi de piel crocante de salmón añadiendo un poco de salsa teriyaki al costado del plato. Esta opción es nueva en los diferentes tipos de restaurante japoneses pero es una idea innovadora e ideal para aprovechar todos los ingredientes de nuestra materia prima. Si deseas más recetas de sushi y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!",8086e018-b6a2-4395-bfd8-7f8af4a479dc,comida
Sushi de salmón y aguacate,https://www.recetasgratis.net/receta-de-sushi-de-salmon-y-aguacate-56319.html,"1 taza de Arroz de sushi
1 unidad de Aguacate
4 unidades de Algas nori
300 gramos de Salmón fresco
1 tarro de Queso crema tipo Philadelphia","1 El primer paso para realizar esta receta de sushi de salmón y aguacate es prealistar todos los ingredientes que vayamos a utilizar. 
2 Para empezar, debemos tener en cuenta que nuestro arroz para sushi es muy aglutinado por esta razón debemos tener un bol con agua para poder lavar el cuchillo con el que cortaremos los rollos de sushi de salmón crudo y también para humedecer nuestras manos. 
3 Debemos tener esterillas de bambú para realizar el sushi de arroz y salmón como la que tenemos en la fotografía, y es importante forrarlas con papel film. 
4 Adiciona un alga nori sobre la esterilla forrada. Estas algas son las especializadas para realizar las recetas de sushi, y lo ideal es que el relleno lo pongan por la parte arrugada y la parte lisa quede por fuera. 
5 Adiciona el arroz de sushi con las manos hasta la mitad del alga nori como se observa en la fotografía. Agrega un poco de queso crema encima de el arroz. 
6 Añade el aguacate, lo ideal es que este esté entero para que quede bien en el rollo del sushi casero. 
7 Adiciona las tiras de salmón fresco al lado del aguacate, tal y como se muestra en la imagen. 
8 Añade también una tira de queso crema por encima del relleno y empieza a enrollar el alga nori ejerciendo presión con la ayuda de la esterilla de bambú para formar el rollo de sushi de salmón y aguacate. 
9 Agrega un poco de queso crema en las puntas del rollo de sushi de salmón para que se pegue bien, y con el agua que tenemos en el bol agrega agua en el alga nori para humedecerla. 
10 Enrolla muy bien el rollo de sushi de salmón y philadelphia y, cuando lo tengas, ya esteremos listos para cortarlo en pequeñas porciones. Para ello, deberás humedecer el cuchillo en agua cada vez que cortes un bocado o porción. 
11 Si deseas, antes de cortar el sushi de salmón crudo en bocados asegúrate que cada uno de los rollos estén bien apretados antes de cortarlos. 
12 Una vez hayas cortado cada bocado de sushi de salmón y aguacate con queso crema, lo ideal es que queden de esta manera. 
13 Sirve el sushi de salmón y aguacate añadiendo un poco de salsa teriyaki, salsa soya, wasabi o jengibre encurtido, y acompáñalo con palos de madera tradicionales japoneses. Si deseas más recetas de diferentes tipos de sushi y/o tienes algún comentario o inquietud, escríbenos. ¡Disfruta!",e7914f5c-f757-41f6-9c62-bd572bfd0909,comida
Sushi original,https://www.recetasgratis.net/receta-de-sushi-original-14876.html,"2 tazas de arroz para sushi
2 tazas de agua
75ml de minagre para sushi (todo esto se compra en tiendas especializadas para comida japonesa)
1 makisu (tapetito de bambú para enrollar el sushi)
4 hojas de papel de alga (nori)
1/2 tazas de ajonjoli
100g. queso crema
1 pepino sin semilla
1 aguacate maduro
4 camarones pelados y cocidos jugo de limón al gusto salsa de soya japonesa jugo de naranja al gusto","1 Lava el arroz muy bien, hasta que el agua salga transparente, dejalo escurrir, heri e el arroz con agua a fuego medio, luego tapalo; dejalo hervir a fuego alto 2 mtos.luego a fuego medio 5 mtos. y por último, a fuego minimo 15 mtos. 
2 Que absorba el resto del agua. 
3 Trata de no destapar la olla para que obrengas mejores resultados. 
4 Retira la tapa, cubre con un paño y deja enfriar 10 mtos. 
5 Cacialo en refractario y muévelo constantemente, ve añadiendo el vinagre hasta que este frio, manténlo tapado con plástico. 
6 Coloca el makisu, encima una hoja de nori cubierta de arroz y rociale ajonjoli. 
7 Voltea la hoja, en la orilla coloca una capa fina de queso crema, una tira de pepino, una de aguacate y camarón. 
8 Ve enrollando y presionando con el makisuhasta formar los rollos, Sigue el mismo procedimientocon las otras algas. 
9 Humedece un cuchillo con agua, corta los rollos en 6 ó 8. 
10 Sirvelo acompañado de salsa de soya con jugo de limon y naranja. 
11 También con esta receta, combinarla en vez de camarón, hacerla con salmón, cangrejo, atún.",1ba9f5d6-8cd7-44af-ae52-be4e23442091,comida
Sushi fácil,https://www.recetasgratis.net/receta-de-sushi-facil-31221.html,"400 gramos de Arroz para sushi
200 gramos de Salmón
200 gramos de Atún
1 unidad de Alga nori Wasabi (pasta de rábano picante)
1 unidad de Pepino pequeño cortado en juliana de
5 cm. Salsa de soja Jengibre marinado","1 Para poder realizar el sushi, lo primero que hay que hacer es preparar el arroz. Para ello, te aconsejamos que consultes la receta de arroz para sushi y sigas los pasos. 
2 Una vez tengas el arroz listo, coloca una lámina de alga nori sobre una esterilla de bambú, o cualquier otro material, previamente forrada con papel film. 
3 Distribuye el arroz de forma uniforme hasta la mitad de la lámina y dejando una frande unos 2 cm. de grosor alrededor. 
4 Extiende una pequeña cantidad de wasabi en el centro del arroz. Coloca el pepino y el pescado cortado en tiras encima del wasabi. 
5 Luego, empieza a enrollar la lámina por el lado del arroz, ejerciendo presión con la ayuda de la esterilla. Para que quede bien pegado, añade una pizca de queso crema en las puntas opuestas de la lámina (en la mitad sin arroz) y acaba de enrollar. Debe quedar un rollo firme. 
6 Corta el rollo con un cuchillo afilado y mojado en agua. Las rodajas deben tener unos 2-2.
5 cm de grosor aproximadamente. 
7 Sirve el sushi acompañado con salsa de soja, wasabi y jengibre marinado. Para más detalles, no te pierdas nuestras recetas de sushi de piel de salmón y nigiri de salmón, con fotos en todos los pasos.",90cb8e45-8f21-4bd8-98ca-9bb01c4e0e4b,comida
