title,url,ingredients,steps,uuid,categoria
Tacos de Pescado,https://www.mycolombianrecipes.com/es/tacos-de-pescado/,"1 libra de pescado blanco
½ cucharadita de comino molido
¼ de cucharadita de chile en polvo opcional
El jugo de 2 limones dividido
Sal y pimienta
8 to rtillas de maíz
2 cucharadas de cilantro fresco picado
2 cucharadas de cebolla picada
1 aguacate pequeño cortado en cubitos
1 taza de lechuga picada
1 cucharada de aceite de oliva","Coloque el pescado en un plato y espolvorear con el comino, la sal, la pimienta y el chile en polvo. Rocíe con aceite de oliva y el jugo de 1 limón.
Precalentar una sartén a fuego medio-alto. Añadir el pescado y cocinar hasta que esté dorado. Sacar de la sartén y transferir a un plato.
Combine el aguacate, el jugo de 1 limón, cebolla, cilantro, sal y pimienta y reservar.
Calentar las tortillas en una sartén antiadherente sin engrasar y envolver las tortillas en una toalla limpia para mantenerlos calientes.
Para armar los tacos, coloque una cantidad igual de pescado en cada tortilla, junto con una cucharada de la mezcla de aguacate y con lechuga picada. Servir con su salsa favorita.",86af724b-e16a-11ed-a32a-a96d6180cd25,comida
Tacos de lengua asada,https://www.recetasgratis.net/receta-de-tacos-de-lengua-asada-63251.html,"1 Lengua pre cocida
1/2 Cebolla
1 Manojito de hierbas de olor (tomillo y mejorana)
2 cucharadas de aceite Tortillas taqueras Cilantro picado Cebolla picada finamente Salsa de tu preferencia Sal","1 Enjuaga la lengua, cuécela en la olla de presión durante media hora con sal, las hierbas de olor y la media cebolla. Cuando la lengua este suave retirala del fuego y deja entibiar. 
2 Una vez tibia retira la capa de piel de la superficie, es muy facil solo cortas con un cuchillo bien afilado y luego jalas este pellejito. 
3 Una vez limpia, rebana con un cuchillo afilado rebanadas delgadas o hazla en trocitos como sea tu preferencia. Calienta el aceite y frie ligeramente y retira la lengue, calienta las tortillas en el mismo sartén para que estén con poco de aceite. Sirve acompañado con el cilantro y la cebolla picadas y agrega tu salsa. Ya puedes disfrutar de estos tacos de lengua.",21bba95a-ed88-4a89-824a-64caa3fb29b6,comida
Tacos mexicanos de carne,https://www.recetasgratis.net/receta-de-tacos-mexicanos-de-carne-62377.html,"200 gramos de Harina de maíz (Maseca)
100 gramos de Carne molida cocida (res y cerdo)
2 hojas de Lechuga
1 Tomate Queso rallado al gusto
1½ tazas de Agua (360 mililitros)
1 pizca de Sal
1 pizca de Azúcar
1 chorro de Aceite
1 cucharadita de Mostaza
1 puñado de Albahaca fresca","1 Para poder comer unos ricos tacos mexicanas, lo primero que debemos es hacer la masa de las tortillas. Entonces, mezclar la harina con el agua y amasar.La proporción correcta es de 1 taza y media de agua por cada dos tazas de harina, aunque puede que se requiera un poco más de agua en función del tipo de harina que usemos. 
2 Amasar hasta conseguir una masa homogénea y suave. Hacer bolitas de tamaño medio y aplanar con un rodillo o plancha, dejando como resultado tortillas circulares con un grosor 1 cm aproximadamente. 
3 Para cocinar las tortillas, se colocan en la plancha o sartén caliente y las vamos volteando cada 30 segundos, por lo menos unas 3 veces, hasta dorar suavemente. Retirar y colocar sobre una servilleta.Si quieres consultar otras recetas similares, desde RecetasGratis te recomendamos echar un vistazo a la receta de tortillas de maíz mexicanas. 
4 Antes de armar los tacos mexicanas, debemos tener lista la carne molida. En este caso la hemos dorado sazonando con cebollino, ajo y especias. Aparte también debemos elaborar la ensalada de lechuga y tomate con albahaca, sal, pimienta vinagre, aceite, mostaza y un toque de azúcar. 
5 Para armar nuestro tacos mexicanos de carne, simplemente extendemos la tortilla, colocamos la carne, la ensalada y terminamos con una buena porción de queso rallado. También puedes acompañar con un poco de pico de gallo o hacer más variedades de tacos, como los famosos tacos al pastor. ¡Buen provecho!",4547ebd5-883b-4967-b82a-35c44f4f77ca,comida
Tacos de arrachera,https://www.recetasgratis.net/receta-de-tacos-de-arrachera-57588.html,"1 pieza de Arrachera
125 mililitros de Aceite de oliva
125 mililitros de Salsa de soja
3 dientes de Ajo
2 piezas de Limón
1 cucharadita de Pimienta
500 gramos de Cebolla
1 kilogramo de Tortillas de maíz","1 Lo primero es recopilar todos los ingredientes para estos tacos mexicanos. Desde el día anterior, debemos preparar la receta para marinar y dejar la arrachera toda la noche en la nevera. 
2 Tomamos una cebolla mediana y la cortamos en trozos medianos. Molemos la pimienta y el ajo por separado. En un recipiente colocamos el aceite, la salsa de soya, la pimienta molida, el jugo de los limones, los ajos molidos y la cebolla picada. Mezclamos perfectamente. 
3 En un recipiente colocamos la arrachera y vertemos la salsa sobre ella para marinarla. Tapamos y dejamos que repose en la nevera toda la noche anterior al momento de consumirla. Truco: Mínimo hay que marinar por ocho horas. 
4 Para asar la arrachera en la plancha o parrilla, partimos una cebolla por la mitad y vamos a tallar con ella la superficie de la parrilla. Cuando esté bien caliente colocamos la arrachera. Vamos a cortar la pieza de la arrachera en cortes largos. 
5 Una vez asada, cortamos la arrachera de forma transversal, de esta manera nos quedará suave y jugosa. 
6 En la misma parrilla, mientras cortamos la carne vamos calentando las tortillas de maíz para formar los tacos mexicanos. 
7 Doblamos las tortillas y servimos los tacos de arrachera acompañados de cebollas asadas y salsa verde o roja de nuestro agrado.",08c53e44-606d-4a08-831d-dde291d43349,comida
Tacos sudados de canasta,https://www.recetasgratis.net/receta-de-tacos-sudados-de-canasta-57307.html,"1 kilogramo de Tortillas
1 lata de Chiles en vinagre
1 kilogramo de Papas
500 gramos de Longaniza
500 gramos de Frijoles refritos
500 gramos de Chicharrón
1 kilogramo de Jitomate
5 piezas de Chile guajillo
1 cucharadita de Comino
500 gramos de Tomate
10 piezas de Chiles serranos
1 manojo de Cilantro
2 dientes de Ajo
1 trozo de Cebolla
500 mililitros de Aceite
3 piezas de Chile cascabel
1 kilogramo de Cebolla
1 pieza de Canasta
5 piezas de Papel estraza
2 piezas de Jergas
2 piezas de Bolsas de plástico grandes","1 Para hacer los tacos sudados, podemos utilizar los guisos que nos vayan quedando de la semana. O bien preparar papas con chorizo, frijoles refritos, chicharrón en salsa roja, en RecetasGratis.net encontraras estas recetas y otras que sean de tu agrado para elaborar los tacos sudados o de canasta. 
2 Para hacer el guiso, vamos a rebanar el kilo de cebolla en rodajas finas. Las reservamos. Asamos los chiles cascabel, los remojamos en agua caliente y los dejamos 15 minutos. En la licuadora molemos los chiles con el medio kilo de aceite y lo ponemos a calentar a que hierva. 
3 Ahora vamos a forrar la canasta. 
4 Cubrimos la parte interior de la canasta con uno de los plásticos, éste debe ser lo suficientemente grande para que cubra la cesta y quede un excedente hacia los lados. Luego colocamos una de las jergas sobre la cubierta de plástico, y luego colocamos 2 capas de papel de estraza. Truco: Podemos utilizar un recipiente de plástico suficientemente grande en vez de la canasta. 
5 Repetimos el proceso, otro plástico, otra jerga y papel de estraza. Enseguida colocamos papel aluminio en el fondo del recipiente. Y sobre ella una capa de cebolla. 
6 Enseguida vamos a rellenar los tacos. Colocamos una cucharada de guisado en la tortilla, la doblamos en forma de quesadilla o dobladita, la colocamos dentro de la canasta y formamos la primera capa. Truco: Para que los tacos se suden debe estar las tortillas bien calientes, los guisos muy calientes y el aceite hirviendo. 
7 Luego barnizamos con el aceite hirviendo la primera capa de tacos y colocamos cebolla sobre ellos. Enseguida ponemos otra capa de tacos, cebolla y aceite, así hasta llenar la canasta. 
8 Cubrimos muy bien la canasta, dejamos que los tacos se suden aproximadamente por 1 o 2 horas. Mientras procedemos a elaborar la salsa verde, y abrimos la lata de chiles en vinagre, que nos servirán para acompañar los tacos. 
9 Para preparar la salsa asamos los chiles, tomates, el ajo y la cebolla y licuamos. Agregamos sal al gusto, y le picamos cilantro. Abre la cesto y disfruta de los tacos sudados de canasta, una receta tradicional mexicana que seguro te encantará.",7afc3650-21cb-406c-a92c-48ea9ff777d8,comida
Tacos de canasta receta de la abuela,https://www.recetasgratis.net/receta-de-tacos-de-canasta-receta-de-la-abuela-76179.html,"1 kilogramo de tortillas de maíz taqueras
½ taza de aceite vegetal
4 chile guajillo
1 trozo de cebolla
2 dientes de ajo
1 pizca de comino sal y pimienta al gusto
1 pieza de cebolla mediana en julianas
2 tazas de frijoles refritos
2 chiles chipotle adobados
3 papas medianas cocidas
1 pizca de perejil seco
1 canasta papel destraza o encerado el suficiente","1 Para empezar con la receta de tacos de canasta, primero prepara los guisados. Asimismo, en una olla con una cucharada de aceite añade los frijoles refritos y los chiles chipotle, estos últimos pueden ser enteros o picados. A continuación, con ayuda de un machacador, ve mezclando y machacando para integrar el frijol con el chile chipotle. Mantén a una temperatura baja para evitar que se quemen los frijoles, una vez se hayan integrado bien con el chile, cocina solo durante un par de minutos más. Luego, reserva. 
2 Para el relleno de papa, en una olla calienta una cucharada de aceite y, enseguida, añade las papas previamente cocidas en agua. Apóyate de un machacador para aplastar las papas y que se vuelvan puré. Agrega también sal, pimienta y perejil seco, cocina alrededor de unos 5 a 8 minutos, después reserva. 
3 Para el adobo de los tacos, coloca en la licuadora un trozo de cebolla blanca, un par de dientes de ajo, de tres a cuatro chiles guajillo, una pizca de comino y una taza de agua caliente, licua todo muy bien durante 2 o 3 minutos hasta que se haya molido todo. Puedes hidratar los chiles guajillo previamente con suficiente agua tibia o caliente para que se suavicen y sea más fácil licuarlos. 
4 En una olla calienta el aceite y, enseguida vierte la salsa de chile guajillo licuada, puedes colar la antes si lo prefieres. A continuación, a fuego bajo mezcla para que se vaya integrando, añade también un poco de sal y pimienta al gusto y cocina durante 6-8 minutos. Cuando esté lista la salsa, reserva. 
5 Ahora es momento de armar los tacos. Para ello, utiliza tortillas de maíz taqueras que estén ligeramente calientes para que se puedan doblar fácilmente y no se rompan. Asimismo, primero agrega el relleno, que puede ser con el frijol con chile chipotle o la papa cocida, elige el relleno que más te guste. Si quieres que las tortillas tengan una textura ligeramente crujiente puedes freírlas antes, pero este paso es completamente opcional. 
6 Dobla la tortilla con el relleno y sumérgelas en la salsa de chile, puede ser solo la mitad o completamente. La salsa debe estar caliente para que al momento de pasarlo la canasta o la olla empiece a generar vapor. 
7 Ve acomodando los tacos en una canasta con papel destraza. Si no tienes una canasta, puedes usar una olla con papel destraza o papel encerado, ve alternando capas de tacos y de cebolla fileteada, continúa hasta llenar tu canasta o tu olla. Cuando esté llena y, si te sobró un poco de la salsa, con aceite baña todos los tacos y cubre con más papel. Añade una servilleta de tela y una bolsa plástica para que selle bien y no se enfríen. Deja reposar durante 15 a 20 minutos los tacos dentro de la canasta o la olla antes de servir. 
8 Pasado el tiempo de reposo de los tacos al vapor, ya los podrás servir y disfrutar. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.",04e53d98-cc2c-4e8e-b926-0db1509bd14c,comida
Tacos de bistec con papas,https://www.recetasgratis.net/receta-de-tacos-de-bistec-con-papas-76099.html,"500 gramos de bistec de res o de cerdo
2 chile serranos
1 pieza de cebolla chica
2 piezas de papas chicas
500 gramos de tortillas de maiz
2 cucharadas soperas de aceite vegetal sal al gusto pimienta al gusto","1 Empieza la receta de tacos de bistec con papas picando en tiras o cubitos el bistec de res. Truco: si lo deseas, puedes omitir este paso, pero al picar será más fácil armar el taco y, sobre todo, comerlo. 
2 Pica la cebolla y el chile serrano en tiras, rectángulos delgados o cubitos, elige la forma que más te guste. Si no quieres que piquen los tacos, puedes retirar las semillas a los chiles. Truco: este paso, además, servirá para que al momento de cocinar el chile no sea tan picoso. 
3 También pica en tiras o cubitos las papas. Primero, lávalas muy bien y, si quieres dejar la cáscara, puedes hacerlo. Conforme las vayas picando, colócalas en un bol con agua fría y, cuando estén listas, drena el agua y seca muy bien. 
4 Calienta en una sartén amplia o en una olla dos cucharadas de aceite. Cuando esté caliente el aceite, agrega las papas, una pizca de sal y cocina moviendo constantemente durante unos 10 minutos. Truco: para evitar accidentes, antes de añadir las papas, debes saber que es importante que estén secas o poco húmedas. 
5 Añade la cebolla picada, el bistec y un poco de sal y pimienta al gusto. Mueve y deja cocinar durante otros 10 minutos. Truco: mantén una temperatura media baja para que no se seque el bistec. 
6 Agrega el chile serrano y cocina todo otros 3-5 minutos, mezcla muy bien para que se integre todo. Asimismo, comprueba el sabor y, si lo ves necesario, agrega un poco más de sal al gusto. 
7 Para servir, calienta más tortillas de maíz y, enseguida, agrega un poco del guisado de bistec con papas. ¡Ya puedes disfrutar de estos ricos tacos de bistec con papas! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.",845be341-b5bf-4030-a985-e43c639415df,comida
Tacos de arrachera con queso,https://www.recetasgratis.net/receta-de-tacos-de-arrachera-con-queso-76038.html,"1 kilogramo de arrachera de res
4 dientes de ajo
½ cebolla fileteada
1 pizca de sal al gusto
1 pizca de pimienta al gusto
1 cucharada sopera de aceite de oliva
1 pizca de chile quebrado seco
1 limón
1 puñado de romero seco
½ kilogramo de tortillas de maíz
200 gramos de queso para gratinar rallado","1 Comienza la receta de tacos de arrachera con queso por la preparación de la carne. En algunos sitios la encuentras ya sazonada, pero si no es así extiende primero los cortes de carne en un plato amplio para poder sazonarla por ambos lados. 
2 Machaca los dientes de ajo hasta formar una pasta. Puedes hacerlo manualmente en un molcajete o usar la licuadora o triturador; también puedes usar una prensa para ajos. 
3 Cuando tengas lista la pasta de ajo, agrega el chile quebrado, una pizca de pimienta, una pizca de sal, una pizca de romero seco, el jugo de un limón y el aceite de oliva. Mezcla todo hasta formar una especie de salsa. 
4 Unta la carne de arrachera con la salsa. Primero, barniza por completo un lado, luego dale la vuelta y vuelve a barnizar. Si te sobra salsa puedes agregarla por encima. Luego, deja que la carne repose durante 40 minutos como mínimo para que se marine.En este artículo encontrarás otras formas de marinar la carne para asar, así puedes variar tu receta cada vez que prepares tacos de arrachera con queso. 
5 Pasado el tiempo de marinado, es momento de cocinar la carne. Para ello, puedes usar una sartén o asarla en parrilla al carbón. En cualquier caso, cocina la carne durante uno o dos minutos por lado. 
6 Deja reposar la carne para que suelte sus jugos y, mientras tanto, en la misma sartén con un poquito de aceite saltea la cebolla fileteada. Agrega un poco de sal y pimienta al gusto y cocina la cebolla hasta que haya cambiado su color a uno más transparente. Resérvala. 
7 Para servir los tacos de arrachera con queso, usa tortillas de maíz calientes, agrega una porción de la carne, incorpora la cebolla cocida y añade queso para gratinar al gusto. El mismo calorcito de la carne hará que el queso se funda. El mejor queso que le puedes poner es el chihuahua, pero también lo puedes acompañar con queso oaxaca, queso manchego o monterrey, o si quieres puedes usar queso fresco desmoronado o queso panela.Puedes preparar tus propias tortillas con esta sencilla Receta de masa para tacos. Ya sabes que la carne y el queso siempre hacen bien equipo y qué mejor que en unos ricos tacos. Truco: Otra deliciosa opción para estos tacos es calentar la tortilla y encima colocar el queso para que se funda. Cuando esté fundido, agrega la porción de carne de arrachera, así tendrás una cama de queso en el taco. También puedes picar la carne cocinada, agregar el queso y servirla como alambre.",b3a39d77-b404-47a7-a555-eaf940d9d31d,comida
Tacos dorados de atún,https://www.recetasgratis.net/receta-de-tacos-dorados-de-atun-76020.html,"2 latas de o sobres de atún en agua
½ pieza de cebolla
1 rama de cilantro fresco
2 piezas de chile chipotle adobados sal y pimienta al gusto
12 piezas de tortillas de maíz calientes
1 cucharada sopera de aceite vegetal","1 Para empezar con la receta de tacos dorados de atún, primero pica en cuadritos la cebolla, que puede ser blanca o morada. También pica la rama de cilantro y, por último, los chiles chipotles adobados. 
2 Calienta en una olla o sartén una cucharada de aceite y, enseguida, añade la cebolla picada. Deja dorar hasta que haya cambiado su color ligeramente, tomará alrededor de unos 2-3 minutos. 
3 Agrega el atún de lata o de sobre, este debe estar muy bien drenado. A continuación, añade sal y pimienta al gusto y deja cocinar con la cebolla durante unos 3 minutos, moviendo constantemente. Para drenar mejor el atún, utiliza un colador y presiona con una cucharada para que salga el agua. 
4 Pasados los 3 minutos, agrega el cilantro y los chiles chipotles picados, mezcla y deja cocinar todo por 3 minutos más. Si observas muy seca la mezcla, añade un par de cucharadas de agua solo para que se hidrate ligeramente. Cuando ya esté listo el guisado de atún, retira de la estufa y reserva. 
5 Para armar los tacos utiliza la tortilla de maíz ligeramente caliente para que se pueda enrollar fácilmente. Para ello, toma una tortilla, agrega un par de cucharadas del guisado de atún y enrolla, presionando un poco, continúa hasta terminar con las tortillas. 
6 Antes de dorar los tacos, te recomendamos dejar reposar a temperatura ambiente durante unos 30 minutos, esto para que la tortilla tome su forma enrollada y no se abra al momento de freír u hornear. Si decides freír, calienta suficiente aceite en una sartén y fríe los tacos hasta que estén dorados. Por otro lado, si decides hornear, lleva al horno a 180 °C durante 30 minutos. 
7 Para servir puedes acompañar con una ensalada de lechuga, crema, queso y la salsa de tu preferencia. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.",93518537-bdca-4dee-8f93-fb9d21566db5,comida
Tacos de pollo desmenuzado,https://www.recetasgratis.net/receta-de-tacos-de-pollo-desmenuzado-76004.html,"1 pechuga de pollo limpia
50 gramos de puré de tomate
1 tomate mediano
1 cebolla chica
1 diente de ajo
1 chile de árbol
1½ litros de agua sal al gusto pimienta al gusto
1 pizca de comino
2 hojas de laurel
1 cucharada sopera de aceite
10 tortillas de maíz
1 rama de cilantro
50 gramos de queso rallado salsa picante al gusto","1 Para empezar con la receta de tacos de pollo desmenuzado, primero en una sartén o comal debes asar el tomate, el diente de ajo y el chile de árbol. Debes vigilar que este último no se queme, cuando todo esté tostado, retira del comal y reserva. 
2 Pica finamente la cebolla, ya sea en cuadritos o en julianas. Luego, reserva. 
3 En la licuadora coloca el tomate, el diente de ajo, el chile de árbol, la sal, la pimienta al gusto, la pizca de comino, las 2 hojitas de laurel, el puré de tomate y una taza de agua, licúa todo durante 3 minutos. 
4 Prepara una olla para cocinar el pollo. Asimismo, calienta una cucharada de aceite, agrega la cebolla y sella la pechuga de pollo, puede estar entera o cortada en trozos. 
5 Vierte sobre la pechuga la salsa licuada previamente y 1 litro de agua, mantén a una temperatura media baja y deja cocinar por unos 30-40 minutos. 
6 Pasado el tiempo de cocción, notarás que el pollo ya está cocido, comprueba el sabor y, si lo ves necesario, añade más sal al gusto. Luego, desmenuza con ayuda de un tenedor. Truco: si lo deseas, también puedes freír el pollo y elaborar unos deliciosos tacos de pollo frito. 
7 Para servir los tacos mexicanos de pollo, calienta las tortillas, que pueden ser de maíz o harina, agrega una porción del pollo desmenuzado ya cocido, un poco de queso rallado, unas hojitas de cilantro y salsa al gusto.",cf753dce-1803-4000-95d9-1cef6344dc47,comida
