title,url,ingredients,steps,uuid,categoria
Tarta de queso y cebolla,https://www.recetasgratis.net/receta-de-tarta-de-queso-y-cebolla-76567.html,"3 cebollas grandes
2 huevos
100 centímetros cúbicos de crema de leche
150 gramos de queso muzzarella
1 disco de masa de tarta salada sal, pimienta y nuez moscada a gusto","1 Lo primero que debes hacer para preparar la tarta de queso y cebolla, es pelar y cortar la cebolla en forma de pluma. 
2 Vierte una cucharada de aceite en una sartén y cocina allí las cebollas hasta dorarlas. Reserva 3 Posteriormente, corta la muzzarella en cubos y reserva. 
4 Enciende el horno para precalentarlo a 180 °C y forra la tartera con el disco de masa para tarta. 
5 Bate los huevos con crema de leche y los condimentos (sal, pimienta y nuez moscada) en un recipiente. 
6 Para armar el relleno de la tarta de queso y cebolla, vierte el batido de huevo sobre las cebollas y agrega también los cubos de queso. Mezcla bien todos los ingredientes hasta integrar. 
7 Vuelca el relleno en la tartera forrada, cierra con un repulgue para decorar y cocina en horno precalentado a 180°C durante aproximadamente 20 o 30 minutos, hasta que se cocine el huevo y se dore la masa. 
8 Retira la tarta de queso y cebolla del horno y deja reposar 5 minutos antes de cortar y servir. ¡A comer! ¿Qué te pareció esta receta? Cuéntanos en comentarios y comparte con nosotros foto de tu tarta.",0d445087-62fd-4304-a333-c6575c0214bb,postre
Tarta de carne picada,https://www.recetasgratis.net/receta-de-tarta-de-carne-picada-76350.html,"300 gramos de carne picada
1 huevo
2 masas de tarta
1 cebolla grande
¼ morrón rojo
1 cucharadita de comino
1 pizca de laurel en polvo
1 cucharada postre de pimentón dulce
1 pizca de pimienta","1 Para empezar con la receta de tarta de carne picada, pela y pica la cebolla para saltearla en una sartén con 1 cucharadita de aceite a fuego medio. Puedes usar manteca, pero con aceite el salteado es más saludable. Truco: puedes combinar cebolla común con la de verdeo. En este caso, saltea la parte blanca en este paso y reserva la parte verde para más adelante. 
2 Cuando se haya transparentado, añade el morrón previamente limpio, picado, sin las nervaduras blancas y las semillas. A continuación, saltea las verduras unos minutos hasta que estén tiernas. Puedes levantar el fondo de cocción con un poco de agua caliente, aproximadamente 1 cucharada, para que no se quemen ni se hiervan. Truco: puedes mezclar morrón verde con rojo o utilizar solo 1 de ellos. 
3 Cuando las verduras estén cocidas, retíralas del fuego y saltea, en el mismo fondo de cocción, la carne picada. Puedes hacerlo en tandas para que no se hierva y tome un color dorado que le aportará mucho sabor a tu tarta o pastel relleno de carne. 
4 Mientras, prepara el molde donde cocinarás tu tarta o pastel de carne. En este caso es uno de 20 centímetros de diámetro y hemos cubierto la base con un poco de pan rallado para que la misma se mantenga crocante. Puedes utilizar polenta o avena con el mismo fin. 
5 Cuando tengas tu carne salteada, mézclala con las verduras y los condimentos al gusto. Reserva hasta que se enfríe para mezclarla con el huevo. Si utilizaste cebolla de verdeo en el primer paso, agrega en este la parte verde picada. Truco: puedes mezclarle al relleno de tu tarta huevo duro picado y aceitunas, como tiene el clásico relleno de empanadas criollas, así como pasas de uva hidratadas en agua caliente. También puedes agregar un poco de tomate fresco rallado para aportarle más humedad. 
6 Cuando tengas tu relleno listo, tapa la tarta con la segunda masa y emprolija los bordes. Haz una pequeña cruz en el centro para que funcione como volcán, liberando el vapor que se genera durante la cocción de tu tarta. Truco: puedes pintar la masa con huevo batido si deseas que se dore más. También puedes espolvorearla con azúcar 7 Cocina tu tarta en el horno precalentado a 200-220 ºC durante unos 30 minutos y disfruta de esta deliciosa tarta de carne molida o picada. ¡A comer! ¿Qué te pareció esta receta? Cuéntanos en los comentarios",88bf7508-d66f-4c98-bcb8-2ea9921ecb69,postre
Tarta de verduras asadas,https://www.recetasgratis.net/receta-de-tarta-de-verduras-asadas-57154.html,"1 lámina de Masa quebrada
1 unidad de Zuccini o Calabacín
1 unidad de Berenjena
100 gramos de Jamón cocido
200 gramos de Queso crema
100 gramos de Queso semicurado Mostaza
1 chorro de Aceite de oliva
1 unidad de Huevo","1 El primer paso será asar las verduras de forma tradicional. Para ello, cortado todo en rodajas finas y coloca en una bandeja para horno con papel aluminio. Rocía sal, aceite, un poco de ajo finamente picado y cocina por 20 minutos a 180ºC. 
2 Mientras, estira la masa quebrada sobre un molde desmontable para tartas. Recuerda consultar las instrucciones del fabricante, ya que algunas masas deben hacerse un poco antes. Si quieres hacer la masa casera puedes consultar estas recetas:Masa quebrada tradicionalMasa quebrada sin mantequillaMasa quebrada sin gluten 3 Cubre la base con mostaza y coloca las verduras asadas alternando con el jamón y trozos de queso. Ve haciendo capas hasta terminar todos los ingredientes. 
4 Aparte, bate el huevo con el queso crema, agrega sal y una pizca de pimienta negra o todos los saborizantes que desees. Vacía esta mezcla sobre las capas de verdura y da unos golpecitos al molde para que se vierta por todas partes. 
5 Finalmente, lleva la tarta de verduras al horno y cocina por 20-30 minutos a 190ºC. Vigila la cocción y retira cuando veas que se ha dorado lo suficiente. 
6 Deja reposar unos minutos y disfruta de esta tarta de verduras asadas para la hora de la comida. Esta receta es ideal para llevar y comer en el trabajo o para una cena diferente. También puedes probar la quiche de bacon y espinacas, ¡delicioso!",3ac7fa58-e157-4809-9f28-b81fba884bb4,postre
Tarta de acelga y carne,https://www.recetasgratis.net/receta-de-tarta-de-acelga-y-carne-76312.html,"500 gramos de carne picada
1 cebolla
1 huevo
1 diente de ajo
30 hojas de acelga
90 gramos de queso fresco
1 cucharadita de comino
1 cucharadita de nuez moscada
1 pizca de pimienta
1 pizca de ají molido","1 Para empezar con la preparación de la tarta de acelga y carne, pela y pica la cebolla junto al diente de ajo, para saltearlos con una cucharadita de aceite en una sartén antiadherente. Cuando la cebolla esté transparente, baja el fuego a medio-bajo y agrega una cucharada de agua caliente si se está secando. Repite cada vez que sea necesario hasta que la cebolla se caramelice. 
2 Cuando la cebolla esté cocida, retírala de la sartén y sube el fuego a máximo. Agrega la carne picada en dos o tres tandas para que se dore. Cuando esto pase, mezcla toda la carne en la sartén, junto con las hojas de acelga previamente lavadas. Saltéalas unos minutos para que tomen sabor y la carne picada termine de cocinarse. 
3 Retira el relleno de carne y acelga del fuego y condiméntalo a gusto con el comino, la nuez moscada, el ají molido y la pimienta. Pruébalo y, si te gusta, añade el huevo. Por otro lado, prepara la masa de tarta en un molde engrasado y, si lo deseas, cubre la base con pan rallado, avena o polenta para que absorba la humedad del relleno y quede crocante. 
4 Rellena tu pastel de acelga y carne picada agregando el queso fresco cortado en tiras. También podrías rallarlo, sería aconsejable congelarlo previamente para que no se deshaga. En este caso, es una tarta de carne y verduras con masa simple, pero puedes cubrirla en este momento con una segunda masa. 
5 Hazle el cierre que más te guste a la tarta y cocínala en el horno precalentado a 200 °C -220 °C por unos 25 o 30 minutos hasta que la masa esté dorada y el queso gratinado. 
6 Sirve tu tarta de acelga sin tapa con una ensalada fresca, como en este caso, de tomate y pepino, que combina de maravilla y ¡a comer! ¿Qué te pareció esta receta? Cuéntanos en los comentarios. Truco: si lo deseas, puedes presentar diferentes tartitas de acelga y elaborar más de una.",a36cec57-e698-4f03-9b9f-c80ee7996f0e,postre
Tarta de carne y choclo,https://www.recetasgratis.net/receta-de-tarta-de-carne-y-choclo-75928.html,"1 masa de tarta
500 gramos de carne picada
1 cebolla grande
¼ morrón
½ choclo
1 cebolla de verdeo
25 centímetros cúbicos de vino tinto
1 cucharadita de pimentón
1 cucharadita de pimentón ahumado
1 hoja de laurel
1 pizca de ají molido
1 cucharadita de comino
1 huevo","1 Para empezar con la receta de tarta de carne y choclo, primero debes pelar y picar la cebolla. A continuación, saltéala en una sartén a fuego fuerte con 1 cucharada de aceite y no la muevas hasta que esté transparente. Cuando esté transparente, remueve, baja el fuego a medio y añade 1 cucharada de agua caliente. Cuando se evapore, repite el proceso. 
2 Mientras salteas la cebolla, lava y pica el morrón para agregarlo cuando hayas terminado el paso anterior. Si es necesario, agrega otra cucharada de agua caliente y repite tantas veces como quieras teniendo en cuenta que, cuantas más veces lo hagas, más dulce y cocida quedará la verdura. 
3 En una olla con abundante agua para taparlo, cocina el choclo unos 10 minutos o, hasta que cambie su color a amarillo brillante. 
4 Cuando tengas la cebolla y morrón cocido, sube el fuego al máximo y coloca la cebolla en los costados de la sartén para agregar en el centro la mitad de la carne picada con una nueva cucharada de aceite. No la muevas hasta que empiece a cambiar su color. Remueve con las verduras. 
5 Retira el salteado y resérvalo mientras salteas la otra mitad de la carne. No la muevas hasta que empiece a evaporarse el líquido y cambie de color, así se dorará y tomará sabor. Antes de retirarla de la sartén, agrega el vino tinto y reserva hasta que se evapore el alcohol. 
6 Condimenta la carne con los condimentos que más te gusten. En este caso, hemos utilizado pimentón, ají molido, pimentón ahumado y comino. Los mismos ingredientes que se utilizan en la receta original de las empanadas de carne, pero puedes variar a tu gusto. Agrega también el verdeo lavado y picado. 
7 Añade los granos del choclo al relleno que has cocinado previamente, remueve y resérvalo hasta que enfríe. Pruébalo para corroborar que está rico. 
8 Una vez frío, agrega el huevo y prepara el molde de tu tarta de carne y choclo, engrasándolo y cubriéndolo con la masa. 
9 Rellena la tarta con la carne, las verduras y el choclo. A continuación, cocínala en el horno a 200 ºC, aproximadamente unos 30 minutos o hasta que la masa esté dorada. ¡Ya puedes servir tu deliciosa tarta de carne y choclo! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.",d1ea7ace-54b3-44fd-bfa6-552962badf87,postre
tarta de pollo y papa,https://www.recetasgratis.net/receta-de-tarta-de-pollo-y-papa-43495.html,"250 gramos de pechuga de pollo deshuesada y cortada en tiras
2 papas cocidas y en cubos
1 tomate
1 consomate
1/4 de cebolla picada
1/2 taza de leche
3 rebanadas de queso amarillo
1/2 barra de mantequilla","1 Pica el tomate en cubos y ponlo a freir con la cebolla medio consomate hasta que hierva. Licua el queso con la leche e incoroporalo con el tomate y dejalo hasta que hierva. Guisa las papas con la otra mitad del consomate y reserva en un refractario coloca una cama de papas y vierte la salsa. 
2 Despues coloca las tiras de pollo y otra cama de papas y el restante de la salsa hornea a 250º de 25 a 30 minutos y sirve.",6ece91cf-d5d6-4c2d-91a2-0aa9285d913e,postre
tarta de queso con galletas tipo digestive,https://www.recetasgratis.net/receta-de-tarta-de-queso-con-galletas-tipo-digestive-33340.html,"200 g. de galletas tipo digestive
50 g. (1/4 de taza) de azúcar granulado
120 g. de mantequilla fundida
1 kg. de queso crema (quark philadelphia)
1 taza (200 g) de azúcar
3 cucharadas (35 g) de harina
5 huevos enteros
1/3 de taza (80 ml) de nata líquida
1 cucharadita de extracto de vainilla ralladura de
1 limón
250 ml de crema agria o
1 yogur natural sin azúcar
2 cucharadas de azúcar blanco
1/2 cucharadita de extracto de vainilla","1 Machacar las galletas hasta que queden completamente trituradas. Echamos las migas en un tazón mediano y las mezclamos con 50 g de azúcar (1/4 de taza). Derretimos la mantequilla a fuego medio-bajo. La mezclamos con las migas de galletas y mezclamos hasta que queden completamente impregnadas. En un recipiente desmontable engrasado echamos la mezcla y con ayuda del fondo de algún recipiente o vaso las aplastamos hasta que la base de la tarta quede uniforme. También extendemos la mezcla aproximadamente 2,5 cm en los bordes del molde. Cubrimos y refrigeramos mientras preparamos el relleno de la tarta de queso. 
2 Ponemos en la taza de la batidora el queso crema, el azúcar (200 g) y la harina. Batir a velocidad media hasta que esté suave (alrededor de 1 minuto). Añadir los huevos, uno a la vez, batiendo bien (cerca de 30 segundos) después de cada adición. 
3 Añadir la nata o crema de leche, la ralladura de limón y la vainilla y batir hasta que se incorpore (alrededor de 1 minuto). 
4 Sacamos la base de la tarta del frigorífico y vertemos la mezcla sobre ella. Horneamos a 180ºC durante aproximadamente 15 minutos. Luego, reducimos la temperatura del horno a 120ºC y continuamos la cocción durante otra 1 1/2 horas o hasta que esté firme y sólo el centro de la tarta de queso parezca humedo. 
5 Retirar del horno y colocar sobre una rejilla. Para prevenir que aparezcan grietas en la superficie de la tarta de queso mientras se enfría, podemos pasar un cuchillo alrededor de la base, despegándola del borde.En un bol mediano mezclar la crema agria, el azúcar (2 cucharadas=30 gramos) y la vainilla. Extendemos el relleno sobre la tarta de queso caliente y nuevamente lo metemos al horno durante 15 minutos más. 
6 Retirar del horno y dejar enfriar (esta tarta de queso sabe mejor después de haber sido refrigerada durante unas 12 horas). Se puede comer tal cual o adornar con mermelada de fresas y fresas naturales o en conserva.",f50019b8-f84a-4044-8783-02d099f7be18,postre
Tarta de verduras al horno,https://www.recetasgratis.net/receta-de-tarta-de-verduras-al-horno-61156.html,"1 Pimiento rojo
1 Pimiento verde
100 mililitros de Aceite de oliva
1 Berenjena mediana
1 Boniato pequeño
1 Calabacín pequeño
2 Cebollas medianas
2 hojas de Laurel
300 gramos de Masa brisa
8 ramas de Tomillo (solo las hojas)
120 gramos de Queso ricota
120 gramos de Queso feta
7 unidades de Tomates cherry
3 unidades de Huevos
300 mililitros de Nata para montar (1½ tazas)
1 pizca de Pimienta negra molida
1 cucharadita de Sal","1 Precalentamos el horno a 200ºC y preparamos todas las verduras. Esto quiere decir que cortaremos todo en dados menos la cebolla que la cortaremos en rodajas finas y los tomates cherry que los picaremos por la mitad.En cuanto a los pimientos, extraemos el corazón y las semillas para colocarlos enteros en la bandeja del horno.Entonces mezclamos la berenjena en un bol con cuatro cucharadas de aceite de oliva y una pizca de sal y pimienta. Los ponemos en una fuente apta para horno junto al boniato y el calabacín y metemos al horno para que se vayan asando a la vez que los pimientos, los dejamos unos 30 minutos para que estén bien hechos. 
2 Pasado este tiempo, retiramos del horno y bajamos la temperatura a 180ºC.Una vez fríos los pimientos, los pelamos y cortamos en tiras.Mientras se están asando las verduras, calentamos a fuego medio 2 cucharadas de aceite de oliva en una sartén. Salteamos las cebollas con las hojas de laurel y una pizca de sal durante 20 minutos, removiendo de vez en cuando hasta que estén blandas. Retiramos del fuego, sacamos las hojas de laurel y reservamos. 
3 Untamos un molde para tartas con aceite o con spray, extendemos la masa brisa cubriendo el molde, tapamos esta con papel de horno y esparcimos por encima legumbres secas (como garbanzos para hacer peso), horneamos durante 30 minutos.Transcurrido este tiempo, retiramos las legumbres y el papel y horneamos 10 minutos mas. Sacamos del horno y dejamos enfriar.Esta tarta de verduras con masa brisa también se puede hacer con la clásica masa para quiche o con masa quebrada. 
4 A continuación, repartimos la cebolla sobre la masa y encima las verduras asadas. Espolvoreamos por encima la mitad de las hojas de tomillo, ambos quesos desmigajados y los tomates partidos por la mitad, con la parte cortada hacia arriba.También batimos los huevos y la nata en un bol con una pizca de sal y pimienta y vertemos poco a poco sobre la mezcla de los ingredientes. Echamos el resto del tomillo y horneamos entre 35 a 40 minutos o hasta que la tarta esté cuajada y dorada.Retiramos y dejamos reposar al menos 10 minutos antes de servir. 
5 La tarta de verduras al horno es un plato fantástico para la hora de la cena, además, una tarta mediterránea como esta es ideal para disfrutar de los sabores de las verduras de temporada que tenemos a mano.Y si estás organizando una cena en familia, desde RecetasGratis te recomendamos preparar un pica-pica junto con unas croquetas de setas o cualquiera de los platos que puedes encontrar en el blog de La Cocina de Catina.",3787e129-9670-4370-8d87-ff2c6e81044b,postre
Tarta de zapallitos y choclo CREMOSO,https://www.recetasgratis.net/receta-de-tarta-de-zapallitos-y-choclo-75294.html,"1 lámina de masa para tarta (puede ser integral)
3 zapallitos (zucchinis)
1 cebolla grande
150 gramos de choclo
1 huevo
3 cucharaditas de queso untable
1 pizca de nuez moscada
1 cucharadita de mostaza
1 pizca de pimienta
1 pizca de ajo en polvo","1 Pica y dora la cebolla en una cazuela con aceite en aerosol o 1 cucharadita de aceite. 
2 Cuando la cebolla esté transparente, sube el fuego a fuerte y agrega los zapallitos previamente lavados y cortados en cubitos. Mantén el fuego alto para que no pierdan mucho líquido y, cada 1 o 2 minutos, revuelve para que no se peguen. Esto aportará sabor, pero no te preocupes por cocinarlos del todo porque lo harán en el horno. Retira la verdura salteada y llévala a un recipiente amplio. Truco: puedes añadir más verduras, como zanahoria, siempre procurando que todas queden del mismo tamaño. 
3 Mezcla la verdura salteada previamente con el choclo. Truco: puedes reemplazar el choclo por garbanzos y quedará una tarta de zapallitos igual de rica. Además, de esta manera incorporas legumbres en tu alimentación. 
4 Una vez que esté fría, agrega el huevo, los condimentos al gusto y el queso untable (queso crema tipo Philadelphia). Integra todos los ingredientes.Si te apetece preparar una tarta de zapallitos y choclo cremoso 100 % casera, no te pierdas nuestra Receta de queso crema casero. 
5 Forra un molde de tarta previamente engrasado con aceite con la lámina de masa. Puedes cubrir la base con 1 cucharada de polenta, avena o pan rallado para que quede crocante. Rellena con la mezcla de zapallitos y choclo y cierra los bordes si quieres. Cocina la tarta al horno a 200 °C por 25 minutos.¿Quieres preparar tu propia masa? En RecetasGratis tenemos una sencilla Receta de masa para tarta integral. 
6 Retira la tarta de zapallitos y choclo del horno, sírvela y disfrútala. Si quieres congelarla, conviene que la cortes en porciones, la dejes enfriar y luego la congeles. Durará en el congelador unos 3 meses.",a322836c-6f31-4f61-87a9-2235d67370dd,postre
Tarta de atún y espinaca,https://www.recetasgratis.net/receta-de-tarta-de-atun-y-espinaca-75241.html,"1 masa de tarta
1 cebolla
1 zanahoria
2 latas de lomitos de atún al natural
100 gramos de espinaca
1 cucharada sopera de avena, pan rallado o polenta
¼ ají o pimiento rojo
1 huevo pimienta, comino y tomillo al gusto","1 Empieza armando este pastel de atún y espinacas dorando la cebolla. Para ello, pícala y saltéala en una sartén antiadherente con aceite en aerosol o 1 cucharadita de aceite que se haya calentado previamente. Una vez que la cebolla haya dorado, baja el fuego y agrega 2 cucharadas de agua caliente para levantar el fondo de cocción. 
2 Cuando el agua se haya evaporado, agrega la zanahoria y el ají en cubitos. Si se empieza a pegar, vuelve a agregar 2 cucharadas de agua caliente. Repite tantas veces como quieras, cuantas más veces lo hagas, más cocida quedará la verdura y mejorará la digestión. Si queda mas crujiente, mantendrá más nutrientes. Reserválas. 
3 En un bol o recipiente grande, vuelca los lomitos de atún sin el líquido con el que vienen en la lata. 
4 Mezcla los lomitos de atún con la espinaca picada, previamente lavada y desinfectada. 
5 También, agrega las verduras que has salteado anteriormente. Condiméntala al gusto y asegúrate de probar el relleno para rectificar el sabor si es necesario. 
6 Una vez que te haya gustado, agrega el huevo e intégralo. 
7 Cubre un molde de tarta con aceite en aerosol o 1 cucharadita de aceite desparramada con la mano o servilleta. Fórrala con la masa de tarta. Cubre la base de la masa con la avena, pan rallado o polenta 8 Rellena tu tarta con la preparación de atún y espinaca. Cocínala en horno fuerte (200 ºC) por 25 o 30 minutos y ya podrás disfrutar de esta deliciosa tarta de espinaca y atún light y deliciosa.",4a469275-251b-4f5d-b66a-a97220e7a59d,postre
