title,url,ingredients,steps,uuid,categoria
Mojito de mango,https://www.recetasgratis.net/receta-de-mojito-de-mango-75999.html,"100 gramos de mango
1 lima
6 hojas de hierbabuena
2 cucharadas soperas de azúcar moreno
100 mililitros de gaseosa, soda o agua con gas
40 mililitros de ron blanco
5 cubos de hielo","1 ¿Te preguntas cómo preparar un mojito de mango? Pues bien, para hacer la receta de mojito de mango, primero prepara el mango. Para ello, pela una mitad del mango, pues más o menos serán los 100 gr que necesitas para realizar el mojito. A continuación, corta la mitad del mango en cubos con ayuda de un cuchillo afilado. 
2 En un bol añade los cubos de mango, podrás cortarlos al ras del hueso con un cuchillo. Incorpora también media lima bien lavada y cortada en gajos. No retires la piel, pues no será necesario para elaborar mojito de mango. Añade también las hojas de hierbabuena bien lavadas y el azúcar moreno. Luego, con ayuda de la mano de un mortero, machaca bien toda la pulpa de mango junto con la hierbabuena, la lima y el azúcar. 
3 Cuando estén los ingredientes más o menos machacados, incorpora la gaseosa, el agua con gas o la soda y sigue machacando con la mano del mortero para que quede más fina la mezcla. 
4 Cuando observes que tienes un mojito más fino en textura, incorpora el ron blanco y mezcla bien con el mortero. Truco: también puedes utilizar ron negro y añadir más o menos cantidad de alcohol según tus preferencias. Si lo quieres sin alcohol, puedes sustituir el ron por zumo de mango y elaborar un delicioso mojito de mango sin alcohol. 
5 Cuando tengas todo bien mezclado, cuela el mojito de mango con ayuda de un colador y, si observes que quedan aún trozos de mango, machaca con la mano del mortero. Al colarlo, retirarás las hojas grandes de hierbabuena y los restos de la corteza de la lima. 
6 Pon el mojito de mango en un vaso ancho y amplio. A continuación, añade los cinco cubitos de hielo o al gusto. 
7 Sirve enseguida acompañado de una ramita de hierbabuena. Asimismo, ya tienes listo tu mojito de mango para disfrutarlo en casa, al lado de la piscina, en tu terraza o fresquito en casa. Anímate a prepararlo y cuéntanos qué te ha parecido este mojito de mango. Envíanos una foto para que veamos el resultado y cuéntanos tus impresiones.Espero que te haya gustado la receta y te invito a que visites mi blog Cakes para ti.",9c26dfd7-1bb3-479f-9658-1cd1bef05990,licor
Mojito cubano original,https://www.recetasgratis.net/receta-de-mojito-cubano-original-43351.html,"¼ vaso de Ron blanco
4 hojas de Hierbabuena
2 cucharadas soperas de Azúcar flor
1 chorro de Jugo de limón
1 puñado de Hielo picado Soda o agua mineral
3 gotas de Amargo de angostura
1 rama de Hierbabuena","1 Poner el hielo bien picado en un recipiente y rellenar con soda o agua mineral, dejar caer 2 o 3 gotas de amargo de angostura. Reservar para más adelante. 
2 Cogemos un vaso de whisky y añadimos las hojas de hierbabuena y las dos cucharadas de azúcar. Con un mortero, machacamos bien la hierbabuena para que suelte su jugo y se mezcle con el azúcar. 
3 Luego, añadimos el ron y el jugo de limón. Rellenamos el vaso con el hielo picado que tenemos reservamos y, si deseamos, podemos dejar caer 1 o 2 gotas más de amargo de angostura. Finalmente, decoramos con hierbabuena y ¡a disfrutar! 4 Si la primera vez notas que el mojito cubano te queda demasiado amargo, deberás ir probando hasta encontrar las cantidades que se adaptan a tus gustos personales. Y si quieres saber cómo hacer un mojito sin alcohol, no te pierdas esta receta.",940a1b79-66bc-4f9a-9ad1-cd3d2f0164e7,licor
Mojito cubano auténtico (con o sin alcohol),https://www.recetasgratis.net/receta-de-mojito-cubano-autentico-con-o-sin-alcohol-65175.html,"30 mililitros de lima (zumo de media lima)
2 ramas de hierbabuena (las hojas y el tallo)
1 cucharada sopera de azúcar blanco
60 mililitros de ron Havana Club
3 (o 2 onzas) (si lo queremos con alcohol) agua con gas
1 cuchara larga de cóctel
1 rama de hierbabuena","1 Para hacer un buen mojito cubano original cogemos un vaso tipo Collins porque es el mejor para mezclar y en el que todo queda mejor estilizado, y echamos en él el azúcar y el zumo de lima en ese orden. Es mejor utilizar el zumo de lima recién exprimido y no machacar la fruta para no aportar las connotaciones amargas de la piel de la lima a la bebida. Truco: ¿No se añade azúcar moreno? No porque se disuelve peor y porque da una apariencia de ""sucio""al mojito. 
2 Acto seguido echamos la hierbabuena y aplastamos su tallo con una mano de mortero o un macerador (sin machacar ni trocear). Truco: ‎¿No se aplasta la hierbabuena? No porque puede dar más sabor del que queremos y porque al beber el mojito cubano puede resultar molesto toparte con los trozos de hierbabuena. 
3 Después agregamos el ron (o la misma cantidad de agua con gas si lo queremos sin alcohol) y removemos, dejando que el azúcar se disuelva, y volvemos a aplastar para que todo coja sabor. Truco: ¿Se usa ron Havana Club 3? Sí porque es el ron cubano que se usa originalmente en la receta en Cuba. 
4 Después añadimos cubitos de hielo hasta que rebosen del vaso y terminamos de llenar el vaso con agua con gas. Si se hace el mojito con Sprite no será un auténtico mojito cubano. Truco: No se usa 7up/Sprite/similar porque alteran el sabor del buen mojito y aportan sabores artificiales que no congenian con el cóctel cubano. ¿Se usan cubitos de hielo y no hielo picado? Sí porque es más difícil que con los cubitos el hielo se derrita. 
5 Decoramos el mojito cubano auténtico con la ramita de hierbabuena y con la cuchara de cóctel. Si queremos más sabor a esta hierba aromática debemos aplastar más la hierbabuena con la cuchara para obtener más sabor.",7a4a2b66-9c93-4b48-9cc4-2815581e6a0d,licor
Mojito casero en 10 minutos,https://www.recetasgratis.net/receta-de-mojito-casero-en-10-minutos-59378.html,"3 cucharadas soperas de Azúcar moreno
½ Lima o limón (jugo) Hierbabuena o menta
1 chorro de Ron
1 chorro de Agua con gas
2 Hielo (cubitos)","1 El primer paso para preparar un mojito es reunir todos los ingredientes que vamos a utilizar. 
2 Seguidamente, cogemos un vaso ancho de mojito, exprimimos el jugo de la lima o el limón en él y le ponemos las 3 cucharadas de azúcar moreno junto con unas cuantas hojas de menta al gusto. Machacamos un poco el conjunto con una mano de mortero para que se integren bien todos los sabores del mojito cubano. 
3 Añade los cubitos de hielo en el vaso del mojito y déjalo reposar. 
4 Luego añade el ingrediente por excelencia del mojito: el ron. Puedes añadir la cantidad que quieras según tu preferencia, pero recuerda que después tienes que cubrir la parte del vaso que queda libre con agua con gas. Lo ideal es que añadas unos 2 dedos de alcohol y que el ron sea ron blanco, pero si no tienes, también puedes usar un ron negro. Truco: También puedes utilizar gaseosa, soda, Sprite, o Seven Up para rellenar el vaso de mojito. 
5 Por último, remueve bien todo el cóctel con alcohol con una cuchara hasta que se deshaga bien el azúcar moreno ¡y ya está! Disfruta de tu mojito en cualquier ocasión.Y si te gustan las recetas de mojito, échale un vistazo a estas recomendadas:Mojito de cocoMojito de fresaMojito de fruta de la pasiónMojito de flor de Jamaica",259d6cdf-b0db-4634-972d-2a7b5d51af6d,licor
Mojito de coco,https://www.recetasgratis.net/receta-de-mojito-de-coco-58360.html,"1 manojo de Menta fresca
2 onzas de Ron blanco
1 onza de Leche de coco
1 unidad de Soda
1 unidad de Limón
2 cucharaditas de Azúcar moreno
10 gotas de Coco rallado","1 El primer paso para realizar la receta de mojito de coco es prealistar los ingredientes. 
2 Con la ayuda de un mortero de madera podemos realizar de manera casera nuestro mojito de coco. Así que trata de incluir este utensilio en la mesa de trabajo. 
3 En el mortero, adiciona las hojas de menta junto con el azúcar y el zumo de limón. Macera estos ingredientes hasta que se mezclen y el resultado sea una pasta. Procura tratar con cuidado las hojas de menta, ya que si se machacan mucho pueden dar un sabor amargo al trago. 
4 En cada uno de los vasos donde vamos a servir nuestro cáctel adiciona el ron blanco y la soda. Si deseas, añade unos cascos de limón al gusto como se observa en la fotografía.Seguidamente, incorpora la leche de coco y el resto de ingredientes que tenemos en el mortero. 
5 Sirve nuestro mojito de coco añadiendo unas hojas de menta para decorar y coco rallado encima, lo ideales que se consuma frío y con bastante hielo. Ya verás como la mezcla del coco y el ron va de maravilla y si quieres probar otras variaciones del famoso mojito puedes probar el mojito de maracuyá o el mojito sin alcochol.¡Disfruta!",e4c810ae-801d-48b9-b959-434e8964cff8,licor
Mojito de flor de jamaica,https://www.recetasgratis.net/receta-de-mojito-de-flor-de-jamaica-57314.html,"3 cucharadas soperas de Flor de jamaica
10 hojas de Hierbabuena
1 unidad de Limón
1 copa de Ron blanco
1 cucharada sopera de Azúcar","1 Antes de realizar el mojito, el primer paso es alistar todos los ingredientes. 
2 En una olla con un vaso de agua, cocinar la flor de Jamaica durante 10 minutos, colar y reservar. Truco: Esperar a que enfrié el agua para realizar el cóctel. 
3 Escarchar un vaso con limón y azúcar, agregar la hierbabuena, el azúcar y el limón. Macerar durante 2 minutos para extraer todos los sabores. 
4 Agregar la copa de ron y mezclar muy bien. Es importante que el azúcar este completamente disuelta. 
5 Finalmente agregar el agua de Jamaica y mezcla. Añade un poco de hielo al mojito de flor de Jamaica y una hoja de hierbabuena para decorar. Disfrutar de este delicioso cóctel con ron con unas alitas de pollo al curry. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.",65465ff8-a57b-4ca2-bc27-fdd237074435,licor
Mojito de fresa sin alcohol,https://www.recetasgratis.net/receta-de-mojito-de-fresa-sin-alcohol-57266.html,"2 botellas de Soda
200 gramos de Fresas o frutillas
4 unidades de Limones
1 puñado de Hielo
1 manojo de Menta
4 cucharaditas de Azúcar","1 El primer paso para realizar el mojito de fresa sin alcohol es prealistar los ingredientes. ten en cuenta que es muy importante usar menta fresca y que a diferencia del mojito clásico, para este cóctel con frutas usaremos azúcar blanca. 
2 Añade unas 4 rocas de hielo directamente en los vasos donde vamos a servir los mojitos. Esto lo hacemos con el fin de que nuestros vasos se refresquen y enfríen. 
3 Añade la soda a cada uno de los vasos. 
4 Aparte, en un mortero machaca las fresas con el azúcar. La cantidad de azúcar puede variar, añade más o menos si lo consideras necesario, yo recomiendo una cucharadita por vaso. 
5 Añade algunas hojas de menta y dos limones en cascos al mortero. Macera muy bien estos ingredientes para que desprendan todo su sabor y aroma. Este proceso puedes realizarlo directamente en los vasos donde vayas a servir el mojito. 
6 Corta los otros dos limones en rodajas delgadas, como se observa en la fotografía. Estas rodajas nos servirán para decorar nuestro cóctel sin alcohol. 
7 Añade las rodajas de limón a cada uno de los vasos junto con el macerado de fresas, revuelve de nuevo todo y listo! Ya podrás disfrutar con tus amigos del delicioso mojito de fresa sin alcohol y para el que prefiera, también puedes preparar un mojito clásico sin alcohol. Si deseas más recetas de bebidas y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!",279aeeb1-7ca9-4b95-ad0e-82272aab4e6e,licor
Mojito de fruta de la pasión,https://www.recetasgratis.net/receta-de-mojito-de-fruta-de-la-pasion-55326.html,"250 mililitros de Ron (blanco o negro)
5 unidades de Agua tónica
200 gramos de Hielo
5 unidades de Limón
1 manojo de Menta o hierbabuena
100 gramos de Azúcar (½ taza)
3 unidades de Maracuyá o fruta de la pasión","1 El primer paso para la elaboración de nuestros cócteles afrodisíacos es prealistar los ingredientes de la receta. 
2 Corta los limones por la mitad y añade a cada vaso una de las mitades cortada en trozos pequeños, como se observa en la fotografía. La otra mitad lo reservamos para utilizar luego con los mojitos de San Valentín. 
3 Añade una cucharada de azúcar blanca, o morena si lo prefiere, a cada uno de los vasos donde tenemos el limón en cuadros pequeños y añade algunas hojas de hierbabuena, unas 15 por vaso. 
4 Con la ayuda de una cucharada de madera macera el azúcar con los limones y las hojas de hierbabuena como se observa en la fotografía. De esta forma se hace la base de esta bebida especial para San Valentín. 
5 Una vez macerados los ingredientes añade el maracuyá o la fruta de la pasión como se observa en la foto, es importante que se mezcle muy bien todos los ingredientes. Si no tienes la fruta natural puedes utilizar un poco de pulpa. 
6 Añade hielo para que se refresque nuestro trago y podamos servir frío nuestro cóctel afrodisíaco. Agrega el zumo del medio limón restante a cada vaso y mezcla muy bien. 
7 Añade el agua tónica y mezcla muy bien con todos los ingredientes que encontramos en los vasos. Al agua tónica o aguaquina le dará un sabor fuerte al cóctel, si quieres destacar más el sabor de la fruta puedes utilizar soda. 
8 Por último añade una copa de ron (blanco u oscuro, el que desees) y mezcla muy bien hasta integrar los ingredientes de nuestro mojito afrodisíaco. 
9 Sirve este deliciosos cóctel de San Valentín adicionando un mezclador a cada uno de los vasos. Recuerda que esta bebida debe realizarse al momento para evitar que se deshaga el hielo en exceso y deje aguado nuestro mojito afrodisíaco. 
10 Si te gustó esta receta también puedes revisar la del cóctel rojo también ideal para sorprender a tu pareja en San Valentín.",51eeea2b-3013-4acc-8f1b-b56b67e31492,licor
Mojito sin alcohol,https://www.recetasgratis.net/receta-de-mojito-sin-alcohol-53324.html,"1 unidad de Lima
15 hojas de Menta fresca
1 cucharada sopera de Azúcar moreno
1 puñado de Hielo picado
1 vaso de Soda","1 El mojito sin alcohol es una bebida refrescante ideal para días de calor. El primer paso para preparar este famoso cóctel será lavar y trocear la lima. Corta en 6 partes y reserva una o dos rodajas finas para decorar. 
2 Para hacer el mojito sin alcohol utiliza un vaso no muy alto de boca ancha, un vaso tipo whisky. Añade en él los trozos de lima, el azúcar moreno y tritura con la ayuda de un mortero. Golpea contra el fondo del vaso hasta aplastar por completo los trozos de lima, mezclando con el azúcar. 
3 A continuación, lava las hojas de menta, dales una ligera palmada y añade al vaso. Puedes utilizar menta o hierbabuena y recuerda que la medida estándar para el azúcar es una cucharada pero puedes añadir más o menos dependiendo de qué tan dulce te guste el trago. 
4 Vuelve a utilizar el mortero, pero esta vez tritura las hojas de menta muy suavemente, no las machaques en exceso porque pueden amargar el sabor del mojito. 
5 Llena el vaso con hielo picado y presiona con la mano para que quede muy compacto. Si no tienes hielo picado puedes darle un toque al hielo normal en la licuadora o golpear con el mortero hasta trocear. 
6 Por último, añade soda hasta el tope del vaso y mezcla con una cuchara larga de forma envolvente. Procura que se mezclen bien los trozos de lima y las hojas de mente, deben repartirse por todo el vaso. Puedes utilizar cualquier tipo de soda o gaseosa. 
7 Decora con las rodajas de limón cortadas anteriormente y disfruta en un caluroso día de verano. Este cóctel sin alcohol es muy popular en la India donde recibe el nombre de Nimbu Pani.",587c534a-cc58-43b4-9585-b67f25ed02b7,licor
Mojito cubano,https://www.recetasgratis.net/receta-de-mojito-cubano-8512.html,"2 ramas de Hierbabuena
1 cucharadita de Azúcar
1 unidad de Limón
50 mililitros de Ron blanco
1 lata de Soda
1 paquete de Hielo picado
2 gotas de Amargo de angostura","1 Para preparara un auténtico mojito, lo primero que des hacer es agregar al fondo de un vaso de boca ancha el azúcar y una lima cortada en trozos pequeños. Presiona ligeramente la lima contra el azúcar, para que suelte el juego, puedes utilizar un mortero. 
2 Luego incorpora las hojas de hierba buena y repetimos el macerado, esta vez no tan fuerte para no romper las hojas. La hierba buena se puede sustituir por menta fresca. 
3 Llena el vaso con hielo picado y agrega el ron, mezcla todo con una cuchara larga, haz movimientos ascendentes para que las hojas suban. 
4 Para terminar nuestro mojito cubano llena el resto del vaso con la soda, agrega las gotas de amargo de angostura y decora con una rueda de lima o una rama de hierba buena.",8e333db5-9faa-4fc7-a1fc-bfe0d5e25e7f,licor
