title,url,ingredients,steps,uuid,categoria
Ponche crema de Oreo,https://www.recetasgratis.net/receta-de-ponche-crema-de-oreo-65970.html,"1½ tazas de leche evaporada
1½ tazas de leche condensada (360 gramos)
1 taza de agua (240 mililitros)
3 huevos (la yema)
12 galletas Oreo (trituradas)
6 clavos dulces (opcional en polvo)
3 ramas de canela
1 pizca de nuez moscada
1 taza de ron blanco","1 Prepara tu mesa de trabajo con todos los ingredientes necesarios para hacer este magnifico ponche crema de Oreo. Así, tritura las galletas de chocolate. Puedes triturar las Oreo de muchas maneras: dentro de una bolsa pasando un rodillo por encima, en un procesador de alimentos, en la licuadora o con el mortero. 
2 Mezcla la leche evaporada con el agua, las galletas Oreo, la canela y los clavos dulces. 
3 Hierve a fuego muy bajo la mezcla. Espera hasta que el líquido reduzca a la mitad, unos 15 minutos aproximadamente. Enfría a temperatura ambiente y reserva para seguir con la receta de ponche crema de Oreo. 
4 Mezcla la leche condensada y las yemas. Cuela para eliminar sólidos y reserva. Si quieres restar calorías al ponche crema casero de Oreo, puedes preparar leche condensada sin azúcar en casa. 
5 Incorpora la mezcla reservada (galletas Oreo, leche evaporada y especias) a las yemas con leche condensada. Remueve hasta integrar todos los ingredientes. 
6 Vierte dentro de un cazo pequeño la mezcla final obtenida y cocina al baño María a fuego muy bajo por 20 minutos. Remueve constantemente para evitar que se pegue a los bordes. Cuando el ponche consiga la textura que deseas, podrás retirarlo del fuego. Recuerda, tú decides cómo de espeso lo deseas, es cuestión de gustos. Truco: El agua debe haber empezado a hervir suavemente para cuando vayas a utilizar el baño María. 
7 Retira del fuego y vierte en otro recipiente. Mueve vigorosamente hasta que se enfríe a temperatura ambiente. 
8 Agrega el ron y nuez moscada a la mezcla y remueve. Vierte en una botella limpia y refrigera antes de servir. Se mantiene hasta una semana en la nevera. Truco: Recuerda que este ponche crema casero se puede beber caliente y recién preparado o frío, incluso con hielos. 
9 Este ponche crema de Oreo es indescriptible. Otra maravillosa receta creada con una de las galletas más versátiles de mundo..., ¡las galletas Oreo! Si por alguna razón te falta tiempo o ingredientes para preparar esta bebida, te recomiendo mi receta de ponche crema de café, ¡es demasiado fácil y económica! Para esa preparación basta con que reemplaces el café por el sabor de tú preferencia y, ¡listo! 10 Te aseguro que cuando pruebes este ponche tan especial, se convertirá en tu receta preferida de la temporada decembrina. Por favor, comparte tu experiencia al preparar esta receta, si lo acompañas de una foto mejor. ¡Felices fiestas!",e7c69039-996d-48d9-bd04-1ea33675f744,licor
Ponche crema de café casero,https://www.recetasgratis.net/receta-de-ponche-crema-de-cafe-casero-65832.html,"250 mililitros de café (opcional descafeinado)
250 mililitros de ron blanco (opcional aguardiente)
1 litro de leche (opcional semidesnatada)
250 gramos de azúcar blanco
4 yemas de huevo","1 Dispón los ingredientes y utensilios necesarios sobre tu mesa de trabajo para preparar esta embriagante receta de ponche crema de café. Para ello, primero separa las yemas de las claras de los 4 huevos y reserva. Segundo, vierte en varios recipientes el resto de los ingredientes, después de medirlos. 
2 Mezcla el azúcar con las 4 yemas de huevo, hasta lograr una consistencia cremosa. 
3 Vierte la leche dentro de un cazo y caliéntala a fuego medio-alto. 
4 Antes de que la leche hierva, agrega las yemas de huevos y el café. Mezcla hasta integrar todos los ingredientes por completo. Remueve de forma constante y sigue cocinando a fuego medio-bajo para que el ponche crema de café quede en su punto. 
5 Cuando logres el espesor que deseas, agrega el ron y siegue removiendo. Mezcla hasta que el licor se integre al contenido por completo. La consistencia ideal del ponche crema de café es ligeramente espesa, es decir ni muy líquida ni muy densa. Sin embargo, la textura de los ponches caseros y artesanales siempre depende del gusto de quien los prepara. Truco: el ron se agrega cerca del final de la preparación porque si no se evapora. 
6 Esta bebida navideña la puedes servir caliente cuando esté recién preparada o dejarla refrigerada para servirla fría. En Venezuela se consume fría, muchas veces servida con hielo. Este ponche de café se conserva muy bien en el refrigerador durante una semana, incluso más tiempo. 
7 Sin duda, el ponche de café casero le encantará a tus comensales por su textura y delicado sabor. Por favor, comparte con nosotros tu entusiasmo navideño con comentarios y el resultado de tu receta reflejado en una foto. ¡Sería un maravilloso regalo! Y si te apetece probar el ponche de huevo tradicional para servir ambas versiones, no te pierdas esta otra receta: ""Ponche de huevo navideño"".",5bf274d0-a7bc-49fe-b4e9-61cef968d819,licor
Ponche crema Venezolano con huevo,https://www.recetasgratis.net/receta-de-ponche-crema-venezolano-con-huevo-41271.html,"1 botella (3/4 de litro) de ron de caña de azúcar mejor blanco o claro, aunque también puede emplearse ron añejo
3 latas leche condensada
8 yemas de huevo
1 lata de leche evaporada","1 En una licuadora se mezclan a baja velocidad las yemas de huevo hasta que estén cremosas. 
2 Se agrega lentamente la leche condensada, luego la leche evaporada y finalmente el ron. 
3 Se envasa en botellas limpias y secas que se tapan bien y se refrigeran. 
4 Rinde tres litros y medio. 
5 Se puede sustituir el ron por brandy, cognac o vodka. 
6 Se puede aromatizar con vainilla, canela, nuez moscada, gotas de amargo de Angostura, o ralladura de cáscara de limón. 
7 Una agradable variante se prepara con café líquido concentrado o con café instantáneo en polvo. 
8 Otra variante se logra haciendo hervir previamente las latas de leche condensada sin destapar en agua durante por lo menos una hora y media, proceso mediante el cual se carameliza el azúcar de la misma y el producto pasa a llamarse ""arequipe"" o ""dulce de leche"". 
9 Dejar enfriar las latas antes de abrirlas. El arequipe es bastante más espero que la leche condensada, debido a lo cual deberá añadirse una lata más de leche evaporada y una taza más de ron. El ponche crema se conserva en perfecto estado durante más de seis meses. 
10 En climas tropicales como el nuestro suele servirse en vasos cortos con hielo picado. 
11 En climas fríos puede tomarse al natural, o incluso caliente. 
12 El poche crema nterviene en numerosos cócteles. 
13 La versión industrial de este producto cuenta con más de un siglo de tradición en Venezuela.",3f7ba4b6-904f-4173-849d-7660579d2db4,licor
Ponche crema original,https://www.recetasgratis.net/receta-de-ponche-crema-original-35979.html,"6 yemas de huevos
2 latas de leche evaporada
315g
1 lata de leche condensada
186g
1/2 cucharadita de nuez moscada
1 cucharada de vainilla
1/2 taza de azucar
2 latas de leche descremada (de la misma de la leche evaporada)
1/2 taza de ron","1 Batir en la licuadora las yemas por 3 minutos, luego agregue la azucar, la vainilla y la nuez mozcada y bata por 1 1/2 minutos mas y reserve. 
2 Ponga al fuego las leche evaporadas, condensadas y descremada, y mover constantemente. Cuando comienze a hervir echar la mezcla de las yemas y continuar moviendo por 4 minutos. 
3 Pasados los 4 minutos, retirar del fuego, vierta el ron, deje enfriar y colarlo antes de entrar a la nevera.",fa7eb0f9-49f1-42c4-8924-3b93af894e19,licor
Ponche crema venezolanisimo,https://www.recetasgratis.net/receta-de-ponche-crema-venezolanisimo-32114.html,"5 yemas de huevo
1 lata de leche condensada
1/4 de taza de leche condesada de ron
1/4 de taza de ron
1 cucharadita de vainilla.","1 Licuar primero las yemas de huevo por un periodo de 3 minutos (esto para que pierda el sabor a huevo) 2 Agregar la leche condensada, el ron y la vainilla. 
3 Licuar todo esto por un periodo de 5 minutos. 
4 Colocar en botellas de vidrio y refrigerar. 
5 Se puede tomar al momento pero si la dejas en la nevera unos 3 días quedara mucho mejor.",60f90a0e-d3d7-42ab-97ce-6ac23c7762e2,licor
Ponche crema casero,https://www.recetasgratis.net/receta-de-ponche-crema-casero-26723.html,"1 sobre de Flan
1 lata de Leche condensada
1 lata de Crema de leche
7 cucharadas soperas de Leche en polvo
¼ litro de Ron
4 tazas de Agua (960 mililitros)","1 Lo primero que hay que hacer para elaborar este ponche crema casero es, en cuatro tazas de agua preparar la leche en polvo, colocar en un recipiente al fuego y empezar a calentarlo. 
2 Sobre la misma leche preparada añadir el sobre de flan y mezclar hasta que comience a hervir. Cuando empiece a hacerlo dejar por unos 5 minutos al fuego sin dejar de batir, para evitar que se derrame la mezcla del ponche crema y se queme. Luego retirar del fuego y dejar enfriar hasta su solidificación. 
3 Al estar solido el flan se agrega en un vaso de licuadora y se licua sin parar con el fin de agregar los siguientes ingredientes: primero se vierte en el vaso la lata de leche condensada sin dejar de licuar, posteriormente se añade la crema de leche (con media lata es suficiente) y se continua licuando, y por último agregamos poco a poco el cuarto de litro de ron sin dejar de licuar. 
4 Al observarse que la mezcla del ponche crema casero está perfectamente homogénea se deja de licuar, se envasa en una botella bien limpia y previamente esterilizada con agua caliente, se tapa el envase y se guarda en el refrigerador.Para servir el ponche crema se puede poner solo o acompañado con un poco de hielo picado. ¡Y buen provecho! Truco: El contenido de esta receta da para un litro y medio de ponche.",3adc8fbd-8d57-45c7-ae2c-f5044a385c48,licor
Ponche crema tradicional,https://www.recetasgratis.net/receta-de-ponche-crema-tradicional-26523.html,"2 latas de leche condensada
3 latas de agua
8 yemas de huevo
1 y
1/2 taza de ron","1 Coloca las latas de leche condensada en una olla, el agua y las yemas de huevo. Cocina sin dejar de revolver con una cuchara de madera. 
2 Asegúrate de que no hierva para que no se corte. Cuando espese ligeramente, retira del fuego, añade el ron y mezcla bien. Lava las botellas, primero con agua y luego con un poquito de ron. 
3 Es muy importante que cueles la mezcla y la dejes enfriar. Embotella el ponche crema y mételas en la nevera. Sirve bien frío y disfruta de todo el sabor de la tradición venezolana.",890e4f76-9b6c-40cc-ad03-7bea891677d9,licor
Ponche crema con huevo,https://www.recetasgratis.net/receta-de-ponche-crema-con-huevo-16293.html,"1 botella de Ron
4 latas de Leche condensada
15 unidades de Yema de huevo
1 cucharadita de Vainilla
1 cucharadita de Amargo de Angostura
5 unidades de Huevo","1 En un recipiente coloque 5 huevos completos y posteriormente agregue las 15 yemas, agregar el amargo de Angostura, la vainilla, las 4 latas de leche condensada y el ron (a su gusto). 
2 Batir vigorosamente hasta que la mezcla sea homogénea. Añadir ralladura de limón y dejar enfriar bien antes de servir el ponche crema casero.",6056031a-5793-4ded-ad57-abed56c85d9a,licor
Ponche crema tia nelly,https://www.recetasgratis.net/receta-de-ponche-crema-tia-nelly-11511.html,"7 latas de leche condensada
7 a
10 amarillos de huevo
1 botella de ron de
0.
75 lts. Vainilla y amargo de Angostura al gusto. Salen
4 botellas.","1 Vaciar el contenido de las 7 latas de leche condensada en un bowl. Reserve. 
2 Batir los amarillos de huevo hasta que queden espesos, se unen a la leche condensada y se sigue batiendo hasta mezclarlos bien, se agrega el ron y se sigue batiendo hasta que todo quede bien unido. 
3 Agregar la vainilla y el amargo de Angostura. 
4 NOTA: Prueben esta receta y se daràn cuenta que es el mejor Ponche crema que hayan degustado en su vida..!! 5 Me gustarìa sus comentarios.",1692bbc0-e197-47be-8f5d-1b08887043a0,licor
Ponche crema sin huevo,https://www.recetasgratis.net/receta-de-ponche-crema-sin-huevo-44011.html,"1 paquete de Flan natural
1 lata de Leche condensada Aguardiente claro","1 Lo primero que debes hacer para poder elaborar el ponche crema sin huevo es preparar el flan siguiendo las instrucciones del paquete. Y si lo que quieres es hacer tu propio flan, no te pierdas esta receta de flan de huevo. 
2 Cuando el flan haya cuajado por completo, tritúralo en la licuadora junto con la leche condensada y el aguardiente al gusto. Si quieres, puedes incorporar un poco de azúcar. 
3 Cuando el ponche crema sin huevo esté listo, sírvelo bien frío. Y si no vas a consumirlo al momento, guárdalo en envases con cierre y resérvalo en el frigorífico para una mejor conservación.mejorAutora de la fotografía: Luz Marina Useche",610b944e-f7c4-4f8a-be74-78302bf0fd36,licor
