title,url,ingredients,steps,uuid,categoria
Daiquiri cubano original (y con sabores),https://www.recetasgratis.net/receta-de-daiquiri-cubano-original-y-con-sabores-65877.html,"Zumo de media lima (3cl) 2 cucharaditas de azúcar
6 cl de ron cubano (Havana Club 3 mejor) (si lo queremos con alcohol)
6 cl de agua (si lo queremos sin alcohol)
3 cl sirope del sabor que queramos Hielo picado (1 taza aproximadamente)","1 Hay dos maneras de preparar esta receta original de daquiri: en coctelera o en licuadora. 
2 En coctelera: llenar la coctelera con hielos, añadir todos los ingredientes (menos el hielo picado) y agitar bien durante 15 segundos. Truco: Si lo queremos de algún sabor 3cl añadir sirope/zumo de ese sabor. Ejemplo: si lo queremos de fresa, añadir 3cl de sirope de fresa. 
3 En licuadora: añadir todos los ingredientes y batir a una potencia alta durante 15 segundos. 
4 Si hemos el daquiri cubano hecho en coctelera, llenamos una copa de Martini (u otro vaso, pero este es el mejor) con hielo picado y servimos. 
5 Si lo hicimos en licuadora simplemente servimos en la copa y decoramos el daiquiri cubano original con una rodaja de lima puesta en el borde del vaso.",a615f2f1-490f-4b7f-aede-bd5f2198d814,licor
Daiquiri,https://www.recetasgratis.net/receta-de-daiquiri-59565.html,"3 vasos pequeños de Ron blanco
½ Limón (jugo)
½ cucharada postre de Azúcar Hielo","1 El primer paso para elaborar este cocktail daiquiri es, por muy poco profesional que parezca, coger una batidora de vaso eléctrica y meter todos los ingredientes del cóctel con alcohol. Truco: Ten cuidado de no pasarte con los hielos para que el daiquiri no salga muy aguado. 
2 Encedemos la máquina y batimos todos los ingredientes del daiquiri durante unos 30 segundos aproximadamente para que el hielo quede picado y los sabores del ron, el limón y el azúcar se integren bien. 
3 Una vez lo hemos batido, ya podemos servir nuestro daiquiri en una copa de cóctel o martini escarchada con azúcar. Esto es, colocando un plato con un poco de azúcar, moja el borde de la copa con jugo de lima o limón y coloca la copa boca bajo en el plato. De esta manera el azúcar quedrá pegado en el borde de la copa y tendrá un auténtico daiquiri cubano.Y si los coktails daiquiri o los cócteles con frutas son los que más te gustan, echa un vistazo a estas recetas de la web recomendadas:Daiquiri de sandíaDaiquiri de plátano y fresaDaiquiri de mango",7656a6d8-52db-4556-943d-cab22f540bf9,licor
Daiquiri de sandia,https://www.recetasgratis.net/receta-de-daiquiri-de-sandia-58740.html,"120 mililitros de Ron blanco
200 gramos de Sandía
2 unidades de Limón
1 cucharada sopera de Azúcar
1 vaso pequeño de Hielo","1 Antes de realizar este delicioso cóctel con frutas, el primer paso es alistar todos los ingredientes. 
2 En una licuadora agregar la pulpa de la sandia, sin ninguna semilla, junto con el zumo de limón, el azúcar, el ron blanco y un chorro de agua. Procesar todo muy bien hasta obtener una mezcla homogénea. 
3 Es momento de agregar el hielo y procesar nueva mente durante 1 minuto.Aparte, puedes escarchar el vaso donde vas a servir este delicioso cóctel de verano para mejorar su presentación. Para hacerlo, moja la boca del vaso con zumo de limón y luego pásalo por un plato llano con azúcar, la idea es hacer una capa de azúcar en el borde del vaso. 
4 Finalmente servir el daiquiri de sandia y disfrutar de inmediato en una tarde calurosa. Y si te gustan los cócteles con fruta, te recomiendo probar otros como el daiquiri de fresa, el daiquiri de mango o el mojito sin alcohol.Si te ha gustado este cóctel con ron, tienes algún comentario o inquietud, danos tu opinión.",72f3d0de-6c79-4fd6-bc4f-dc5d8ce36a6b,licor
Daiquiri de plátano y fresa,https://www.recetasgratis.net/receta-de-daiquiri-de-platano-y-fresa-58359.html,"80 gramos de Fresas frescas
20 gramos de Helado de fresa
2 Plátanos
100 mililitros de Ron blanco
40 mililitros de Leche de coco
2 cucharadas soperas de Azúcar
150 gramos de Hielo en cubos","1 Antes de comenzar a realizar la receta debes alistar los ingredientes. Debemos recordar que al plátano se le conoce en otros países como banano o cambur. 
2 En una licuadora adiciona el ron y el helado de fresa. El helado puede ser industrial o casero siguiendo las instrucciones de esta receta de helado de fresas casero, todo dependerá de cómo desees realizar la receta y del tiempo que tengas. Licua bien los ingredientes de nuestro cóctel de frutas. 
3 Agrega la leche de coco, el plátano y las fresas enteras, y sigue licuando hasta que estos ingredientes se integren por completo con el resto. 
4 Añade el azúcar y el hielo. Licua nuevamente para dar ese toque refrescante al daiquiri de fresa y plátano. 
5 Sirve el daiquiri de plátano y fresas decorando cada copa con hojas de menta y fresas frescas. Verás que se trata de un cóctel de ron y frutas realmente exquisito e idóneo para los amantes de estos dos ingredientes que la componen. Recuerda que si tienes alguna duda o inquietud, puedes consultarnos. ¡Disfruta!",c034a360-e895-4732-8d24-d6bdf70f89b5,licor
Daiquiri con Thermomix,https://www.recetasgratis.net/receta-de-daiquiri-con-thermomix-31160.html,"40 mililitros de Zumo de limón
50 gramos de Azúcar (¼ taza)
60 mililitros de Ron blanco
240 gramos de Hielo","1 Poner todos los ingredientes en el vaso 40 segundos a velocidad 3, 5, 8. 
2 Se debe pasar por las velocidades 3 y 5 despacio para que el hielo quede frapé. 
3 Esta medida puede dar alrededor de 20 copas (recordar que las copas son como las de vino) y advertir que esta bebida entra suavecito pero que tiene buen efecto.",9337195d-2f84-458f-9132-14ca9730d5fe,licor
Daiquiri de mango rustico,https://www.recetasgratis.net/receta-de-daiquiri-de-mango-rustico-51307.html,"500 gramos de mango con cascara
200 ml de ron
150 ml de zumo de limón
2 cucharadas de azúcar morena Hielo","1 Prealistar los ingredientes. 
2 En un bowl adicionar el mango y el limón.Procesar con un mixer. 
3 Una vez se cumpla el paso anterior adicionar el ron y el azúcar morena.Procesar. 
4 Una vez se cumpla el paso anterior adicionar el hielo.Procesar. 
5 Servir y disfrutar.NOTA: LA IDEA DE ESTE DAIQUIRI RUSTICO ES QUE TENGA EL MANGO LA CASCARA PARA QUE SE PUEDA DISFRUTAR AL MOMENTO DE CONSUMIRLO, SI PREFIERE RETIRAR LA CASCARA ES TOTALMENTE VALIDO.",f63e996a-62b2-45ab-a8d6-0683eb2f5f80,licor
Daiquiri de frutilla o fresa,https://www.recetasgratis.net/receta-de-daiquiri-de-frutilla-o-fresa-51306.html,"500 gramos de fresa
200 ml de ron
100 gramos de dulce de frutilla o fresa
150 ml de zumo de limón","1 Prealistar los ingredientes. 
2 Quitar el tallo y lavar las fresas.En un bowl adicionar las fresas y el ron.Procesar con un mixer. 
3 Adicionar el zumo de limón.Procesar. 
4 Adicionar el dulce de frutilla o fresa.Procesar. 
5 Escarchar la copa.Servir y disfrutar.",dd863b9f-4bd6-4575-95b4-b446d537d901,licor
Daiquiri Criollo con ron blanco,https://www.recetasgratis.net/receta-de-daiquiri-criollo-con-ron-blanco-41361.html,"1
1/2 Medidas de Ron Blanco
1 Medida de Jugo de Limón
1/2 Medida de Azúcar
1/2 Medida de Granadina.","1 Vierta los ingredientes en la coctelera con hielo. 
2 Agite bien y cuele sobre un vaso alto con hielo. 
3 Decore con cerezas.",94e0badf-62a5-4e1c-ab65-6faf30a2b992,licor
Daiquiri puertoriqueño,https://www.recetasgratis.net/receta-de-daiquiri-puertoriqueno-41317.html,"2 onzas de Ron blanco
1½ cucharadas soperas de Jugo de limón
1 cucharadita de Azúcar
1 vaso de Hielo picado","1 En una coctelera, mezcle el ron, el jugo de limon y el azucar con hielo. 
2 Cuele y sirva en copa para coctel,fria.",f19a6531-b473-4d5e-b4ee-e3b8435b30f6,licor
Daiquiri con ron y limon,https://www.recetasgratis.net/receta-de-daiquiri-con-ron-y-limon-41312.html,"1/4 caballito (1/4onza) de jugo de limon
1/2 caballito de licor de cacao
1
1/2 caballito de ron añejo
1 cucharadita de azucar","1 En la licuadora con hielo picado vertir todos los ingredientes. 
2 1.-Batir a velocidad maxima durante unos 10 segundos y servir en copa fria. 
3 2.-Servir con chocolare amargo y vainilla.",e991136c-3a38-4e97-80df-96dcf132a8cb,licor
DAIQUIRI FLORIDA,https://www.recetasgratis.net/receta-de-daiquiri-florida-41070.html,"1 onza de ron blanco
1 onza de jugo de toronja
1/2 onza de licor de marrasquino
1
1/2 cucharadita de azúcar
4 cubos de hielo","1 Ponga todos lo ingredientes en la licuadora y licue hasta que el hielo quede como granizado. 
2 Sirva y decore con hojas de menta y una cereza en el borde.",89e8f87e-1859-49ad-a8cb-f36b72c72fa5,licor
daiquiri piña,https://www.recetasgratis.net/receta-de-daiquiri-pina-32001.html,"1 medida de ron blanco...( pero del bueno)
1 medida de triplesec
1 medida de jugo de piña hielo en cubos gusto","1 Poner todos los ingredientes en una coctelera, batir por 10 segundos.... y ya.. facil, rico y rebueno!!!...que lo disfruten!!",9fd4a502-b3b0-4ec6-815d-6b9c75ada955,licor
Daiquiri de fresa,https://www.recetasgratis.net/receta-de-daiquiri-de-fresa-19713.html,"1 taza de fresas
2 limones
1 taza de ron blanco o vodka
8 cubos de hielo","1 Lava muy bien las fresas y córtalas en pedazos fáciles de licuar. 
2 Exprime los limones hasta llenar aproximadamente 1/4 de taza. 
3 Agrega los cubos de hielo, las fresas, el limón y el licor a la licuadora. El daiquirí original es con ron blanco, pero también puedes usar vodka. 
4 Licúa muy bien hasta que los ingredientes se mezclen de forma homogénea. Si ves que el daiquiri queda muy aguado, solo tienes que echar un par de cubos de hielo extra. Truco: Si te gusta más dulce, puedes añadir azúcar o preparar un almíbar como endulzante. 
5 Sirve el daiquiri de fresa en tus vasos o copas preferidas. Puedes adornar la copa con fresas o colocar fresas troceadas en la superficie. ¡Listo! Podrás disfrutar de un exquisito daiquirí que combatirá el calor.",b26ff739-c075-421b-bc47-17d6f68adb81,licor
Daiquiri de tequila,https://www.recetasgratis.net/receta-de-daiquiri-de-tequila-19714.html,"1 cubilete de Tequila
1 cubilete de Jugo de limón
2 cucharadas soperas de Almíbar Hielo","1 Introduce el tequila, el zumo de limón y el almíbar en un vaso mezclador con hielo o coctelera y mezcla bien. 
2 Vierte el daiquiri de tequila en diferentes copas o vasos y decora con rodajas de limón.",778e4cd3-c7aa-4c10-a6c7-9debe65366c1,licor
Daiquiri criollo,https://www.recetasgratis.net/receta-de-daiquiri-criollo-19712.html,"1
1/2 medidas de Ron Blanco
1 medida de Jugo de Limón
1/2 medida de Azúcar
1/2 medida de Granadina","1 Vierta los ingredientes en la coctelera con hielo. 
2 Agite bien y cuele sobre un vaso alto con hielo. 
3 Decore con cerezas.",ff775063-9f8b-4ae9-aea8-4aca96994f3b,licor
Daiquiri de durazno,https://www.recetasgratis.net/receta-de-daiquiri-de-durazno-73321.html,"45 mililitros de ron blanco cubano
1 durazno
1 cucharada sopera de jugo de limón
2 cucharaditas de azúcar
1 vaso de hielo","1 Pica el durazno en pedacitos y prepara tu licuadora. 
2 Introduce el hielo en la licuadora para picarlo. Si tu licuadora no puede picar hielo, hazlo aparte hasta que quede muy bien picado. Saca de la licuadora y reserva. 
3 Añade los ingredientes a la licuadora en el siguiente orden: primero el durazno y el azúcar, luego el zumo de limón, el ron y, por último, el hielo picado. Licúa durante unos 15 segundos, dependiendo de la potencia de tu licuadora. ¡Vierte tu daiquiri de durazno en un vaso y disfruta! Puedes decorarlo con duraznos y pajitas.",0393c642-052d-4e37-bbba-65da46d3dda6,licor
