title,url,ingredients,steps,uuid,categoria
Licor de oro de Chiloé,https://www.recetasgratis.net/receta-de-licor-de-oro-de-chiloe-47509.html,"1 l leche cruda
1 l agua hervida tibia
1 l alcohol de
90 grados
1 kg azúcar granulada o en panes Jugo de
2 limones
10 clavos de olor
2 ramas de vainilla
1 pizca azafrán","1 Se colocan todos los ingredientes del licor de oro juntos en un tiesto de vidrio durante 8 días (en maceración), cuidando de revolver diariamente para que se disuelva el azúcar y se mezclen todos los ingredientes. 
2 Después del octavo día se filtra y se embotella. 
3 Sirve el licor de oro de Chiloé como aperitivo en pequeños vasos como se hace típicamente en el sur de Chile.Si te gustan te recomiendo que pruebes estas otras recetas de licores caseras que podrás preparar fácilmente:Licor de mandarinasLicor de morasLicor de naranjaLicor de parchitaLicor de café",8a78c1d5-4bb4-4267-8319-7731e8affbfc,licor
Licor de parchita,https://www.recetasgratis.net/receta-de-licor-de-parchita-45183.html,"1 kilogramo de Parchita o Maracuyá (pulpa)
½ kilogramo de Azúcar
1½ litros de Ron o aguardiente blanco
1 litro de Agua","1 El primer paso para preparar licor de parchita o maracuyá es cortar las parchitas por la mitad y extraer la pulpa con una cuchara. Cuando tengamos un kilo de pulpa aproximadamente, la colocamos el un frasco o bote de vidrio junto con el ron o aguardiente blanco que hayamos elegido, y la dejamos macerar mínimo durante 8 días. 
2 Una vez hayan pasado los días pertinentes, para seguir con la elaboración del licor de maracuyá, lo que hacemos es colocar el azúcar y el agua en una olla y esperar a que hierva. Cuando la mezcla esté hirviendo, la dejamos cocinar por 3 minutos y esperamos a que se enfríe completamente. 
3 Mientras esperamos a que se enfríe el almíbar, colamos la pulpa macerada que ya teníamos para así obtener el alcohol que ya ha absorbido el sabor de la parchita o maracuyá. Así con la pulpa macerada, el licor de parchita tendrá muchísimo más sabor a maracuyá o fruta de la pasión. 
4 Por último, agregamos al licor de maracuyá el almíbar ya enfriado ¡y listo! Envasa tu licor de parchita en una botella de vidrio o de plástico y disfrútalo bien frío. Puedes conservarlo a temperatura ambiente y añadirle hielo cuando quieras tomártelo.Y si lo tuyo son los licores, no te pierdas estas recetas que te recomendamos:Licor de moras caseroLicor de naranjaSangría con licor",f4ad86f1-f3d9-4522-8161-1496e1b284ce,licor
Licor de nisperos al Bonilla,https://www.recetasgratis.net/receta-de-licor-de-nisperos-al-bonilla-43719.html,"1 litro de Alcohol para consumo o aguardiente
1 kilogramo de Níespero
600 gramos de Azúcar (3 tazas)
2 litros de Agua
2 hojas de Menta
½ rama de Vainilla
4 unidades de Clavo de olor
10 unidades de Uvas pasas
4 unidades de Granos de café","1 PREPARAMOS UNA GARRAFA DE 5L, DE LAS DE AGUA,añadimos los nísperos limpios y cortados, por la mitad sin hueso, y añadimos todos los ingredientes, meno el agua y el azúcar, estos los dejamos para después de la maceración, añadimos el alcohol, y movemos la garrafa para que todos los ingredientes queden mojados por el alcohol. 
2 Despues lo dejamos en sitio fresco y oscuro a ser posible, 30 días, cada 2 o 3 días lo movemos, pasado ese tiempo, preparamos un almimbar, con el agua y el azúcar, dejaremos hervir 5 minutos, dejaremos enfriar, después lo añadiremos a la garrafa, y todo junto lo dejaremos, un día, después lo filtraremos con un colador de gasa fina, y lo embotellamos, lo guardaremos 10 días para que repose, y listo para beber, eso si, muy frió.",1686d238-b22d-4be1-aa34-8577248d588a,licor
Licor de mandarina casero,https://www.recetasgratis.net/receta-de-licor-de-mandarina-casero-67920.html,"8 mandarinas
750 mililitros de orujo, alcohol fino o aguardiente
500 gramos de azúcar (2½ tazas)
500 mililitros de agua","1 Lo primero que tienes que hacer es la maceración de las cáscaras de las mandarinas. Como vas a utilizar las pieles, lava bien las mandarinas para eliminar todo resto de polvo o de abonos. Pela las mandarinas y recoge las cáscaras y quita con la punta de un cuchillo la parte blanca de la piel, ya que si no la quitas le daría un sabor amargo al licor casero. Luego, córtalas en trozos o tiras. 
2 Pon en un frasco de cristal hermético de boca ancha los trozos de cáscara limpias y añade todo el orujo, aguardiente, ron o alcohol fino. Guarda el frasco en un lugar oscuro y seco y deja que macere durante 3 o 4 semanas más o menos. 
3 Pasado el tiempo de maceración prepara el almíbar. Para ello, pon un cazo al fuego con el agua y el azúcar, cuece durante unos cinco minutos y deja que se enfríe. Aparte, cuela el alcohol de las cáscaras de mandarina y añade el almíbar frío. 
4 Es el momento de embotellar toda la mezcla. Pon el licor de mandarina casero en las licoreras que vayas a utilizar y deja que repose una o dos semanas más en el mismo sitio antes de consumirlo. Luego guárdalo en la nevera para tomarlo fresquito. ¡Y a disfrutar de un delicioso licor! Esta bebida es perfecta para finalizar prácticamente cualquier comida, como un plato de merluza rebozada o una hamburguesa casera. Pásate por mi blog Mandarinas y miel y conoce todas mis elaboraciones. Truco: Yo he utilizado un orujo gallego que compré hace tiempo en Santiago, pero puedes utilizar el alcohol que tengas.",e055a869-0537-4ff7-bbe8-78bffd9a43d6,licor
Licor de café,https://www.recetasgratis.net/receta-de-licor-de-cafe-16568.html,"1/2 ud. naranja (de la piel seca)
2 rama canela
150 gr. café (en grano)
100 gr. anís dulce
2 l. agua
1 kg. azúcar orujo (al gusto)","1 Se lleva a ebullición el agua, el café, la piel de naranja seca, las barras de canela y el anís. 
2 Con el azúcar realizaremos un caramelo que no llegue a amargar y le pondremos la preparación anterior ya colada. 
3 Lo volveremos a hervir para deshacer el caramelo y le pondremos el orujo al gusto.",af8bf699-5d70-45ae-8f4f-db81ff1f153f,licor
Licor japonés Umeshu,https://www.recetasgratis.net/receta-de-licor-japones-umeshu-50244.html,"1 kilogramo de Ciruelas verdes
500 gramos de Azúcar en rocas
1,
8 litros de Aguardiente","1 Lavar muy bien las ciruelas y dejarlas dentro del agua más menos 12 horas. Secar con toallitas de papel o al sol durante un par de horas, dándoles vueltas de vez en cuando para que estén completamente secas. 
2 Quitarles el rabo con mucho cuidado con un escarbadientes. 
3 Aparte, lavar muy bien un recipiente de cristal con cierre hermético. Echar un poco de licor para desinfectar (que puede ser el alcohol destilado de la receta), agitar y vaciar. Dejarlo así sin secar. 
4 Meter un poco de ciruelas, azúcar y repetir ésto hasta que se acaben los ingredientes. Echar el alcohol destilado y cerrar. 
5 Dejar el recipiente en un lugar oscuro y fresco durante cinco meses. Agitar de vez en cuando el recipiente (sin destapar) para que el líquido quede bien mezclado. 
6 Pasado este tiempo, podrás disfrutar del auténtico licor Japonés Umeshu.",b99a4f0c-a2f8-42d8-82e0-f848200d785c,licor
Licor de moras con vodka,https://www.recetasgratis.net/receta-de-licor-de-moras-con-vodka-41440.html,"Moras de zarza, enteras y bien maduras (NO las de árbol) Una botella de vodka 12 almendras Azucar","1 Llenar 1/4 de la botella de moras. 
2 Las 12 almendras machacadas. 
3 4 cucharadas de azúcar. 
4 Llenar a completar con el vodka (de buena calidad, sin casi sabor). 
5 Dejas quieto, preferentemente en un lugar fresco y con poca luz. 
6 Los 5 primeros días agitas la botella 5 minutos. 
7 Dejas reposar 30 días. 
8 Si lo dejas más tiempo interviene en la maceración las pequeñas pepitas de madera y suelta. 
9 Filtras. 
10 Reposo de al menos tres meses, y mejor seis. 
11 El resultado es un líquido rojo trasparente suave como el terciopelo y con la fuerza del vodka.",3eff32a2-6ff8-4a58-a826-b237c9fa4594,licor
Licor de Majuelo casero,https://www.recetasgratis.net/receta-de-licor-de-majuelo-casero-41281.html,"300 gramos de majuelos maduros
1 litro de aguardiente, coñac o ginebra
2 ramitas de toronjil
250 gramos de azúcar","1 En una cacerola de porcelana o de esmalte se ponen los majuelos, limpios y secos, junto con el aguardiente y el toronjil. Se deja el recipiente en un lugar, protegido y a temperatura constante, durante 8 días. 
2 Pasado este tiempo, se filtra el contenido a través de un paño de lino. Para exprimir al máximo el líquido, debe retuércese bien el paño. Al jugo obtenido se le añade el azúcar, removiendo hasta que se disuelva totalmente. Luego se deja reposar y, con mucho cuidado para que no se enturbie con los posos, se pasa a una botella quedando listo el licor para el momento de usarlo.",3ecea1c3-de92-4359-8d83-0a3aae5993b8,licor
Licor de higos secos caseros,https://www.recetasgratis.net/receta-de-licor-de-higos-secos-caseros-41245.html,"1/2 kilo de higos secos bien sanitos
1/2 kilo de azúcar hecha almíbar
2 tazas de rhum (ron negro)
2 tazas de aguardiente de cana o mejor de uva
3 hojas frescas de higuera
1 palo de vainilla
3 clavos de olor","1 Para este tipo de licores se usa una botella de boca ancha, se colocan uno a uno los higos ayudándose con un palito de anticucho en forma ordenada y metiendo al medio los aliños. El primer día se agrega el rhum, el segundo día el aguardiente y el tercer día el almíbar que debe ser clara . 
2 Ponerla al sol durante una semana y a seguir 4 meses a la sombra en el lugar en donde acostumbre a guardar los licores. Al final de los 4 meses puede resolver colarlo o dejarlo con las frutas adentro, (yo dejo las frutas adentro y después las utilizo para queque ingles.",de1a40d0-b542-4485-b3cf-44b3f9d51943,licor
Licor de grosella con vainilla casero,https://www.recetasgratis.net/receta-de-licor-de-grosella-con-vainilla-casero-41239.html,"2 l escasos de licor
1 kg grosella roja
6 hojas de grosellero
1 l aguardiente de orujo
1 vaina de vainilla natural
½ kg azúcar ¾ l Agua","1 Lavar las grosellas y las hojas. 
2 Escurrirlas y secarlas sobre un paño limpio. 
3 Pasarlas a un tarro, previamente esterilizado, alternándolas con las hojas de grosellero, y la vainilla partida en varios trozos. 
4 Añadir el orujo, tapar y dejar en maceración durante 2 meses. 
5 Pasado este tiempo, filtrar por un tamiz de tela y reservar este orujo. 
6 Poner las grosellas con los ¾ l. De agua en un recipiente amplio. 
7 Y triturarlas ligeramente con una batidora de mano. 
8 Pasar por tamiz de tela, poner este líquido en la cazuela de confituras. 
9 Añadir el azúcar y disolver a fuego lento. 
10 Cocer 5 min. Y dejar enfriar. 
11 Mezclar con el orujo reservado, pasar a botellas y esperar 1 mes antes de consumir. 
12 Servir frío o con hielo. 
13 Utilización: con piña y melocotón (natural o en almíbar), con helado de vainilla, con sorbete de frambuesa.",726daf8e-344b-4dcd-9b80-88d0945d5c3b,licor
