title,url,ingredients,steps,uuid,categoria
Bizcocho de manzana y avena,https://www.recetasgratis.net/receta-de-bizcocho-de-manzana-y-avena-76569.html,"1 manzana
100 gramos de avena
1 huevo
⅓ taza de aceite
⅓ taza de azúcar mascabo
1 cucharada postre de esencia de vainilla
1 cucharada postre de polvo para hornear
¼ cucharada postre de bicarbonato de sodio
½ taza de leche (120 mililitros)","1 El primer paso de esta preparación consiste en disponer en una licuadora el huevo, el aceite, la esencia de vainilla y el azúcar. Bate hasta obtener una preparación blanquecina y esponjosa. Puedes añadir otros condimentos para aportar sabor como nuez moscada, canela y/o ralladura de limón o naranja. Truco: si no tienes licuadora, recomendamos batas estos ingredientes con batidora de mano por unos 3 minutos. Puedes reemplazar el azúcar mascabo por blanco. 
2 Agrega en esta preparación la avena, el polvo de hornear y el bicarbonato de sodio. Truco: si realizas esta preparación sin licuadora, puedes usar la misma cantidad de harina de avena o bien reemplazar la mitad por harina integral. 
3 Mientras procesas, añade la leche lentamente hasta que logres una consistencia fluida y un poco más ligera que la que necesitas para hacer panqueques. Resérvala. 
4 Por otro lado, lava y pela la manzana para cortarla con la mandolina en finos gajos, retirando las semillas. Si no tienes este elemento, puedes cortarla en finas rodajas con ayuda de un cuchillo o bien utilizarla en otro formato. Por ejemplo, procesarla con el resto de los ingredientes o agregarla al final en forma de cubos. 
5 Comprueba la consistencia de tu bizcocho de avena y manzana light de acuerdo a las indicaciones mencionadas en pasos anteriores y, si es necesario, añade más leche. Esto es porque al pasar el tiempo, la avena se hidrata y puede espesar la preparación. Una vez lista, vuélcala en el molde previamente engrasado y enharinado. En este caso, es de 24 x 9 x 6 cm. 
6 Añade los gajos de manzana superpiniéndolos en el centro del bizcocho de manzana y avena. Cocínalo en un horno precalentado a 160 ºC por unos 30 a 40 minutos o hasta que al pinchar fuera del sector donde están las manzanas, no salgan restos de la preparación. 
7 Deja que se enfríe para desmoldarlo y listo para comer el delicioso bizcocho de manzana y avena. ¿Qué te ha parecido esta receta? Nos encantaría saber tu opinión, déjala en los comentarios.",30215d3c-a384-455b-ab72-fa9063451c42,postre
Bizcocho en freidora de aire,https://www.recetasgratis.net/receta-de-bizcocho-en-freidora-de-aire-76490.html,"2 huevos
125 mililitros de leche
150 gramos de azúcar (¾ taza)
180 gramos de harina
1 cucharada postre de levadura
60 mililitros de aceite de oliva suave ralladura de un limón azúcar glas","1 Para empezar con la receta de bizcocho en freidora de aire, primero precalienta la freidora a 170 ºC. A continuación, en un bol añade los huevos y el azúcar, bate con unas varillas hasta que quede bien mezclado, cremoso y con volumen. 
2 Añade la leche, bate y mezcla bien. Seguido, añade el aceite de oliva suave y bate igual. Lava el limón, sécalo bien y ralla la piel sin llegar a la parte blanca, añádela al bol junto con la masa. 
3 Añade la harina en un bol aparte con la levadura, tamízala. Debes añadirla al bol poco a poco y mezclando muy bien para que no queden grumos. 
4 Coge un molde desmontable apto para el horno de aire, la medida debe ser adecuada al tamaño de la freidora, nuestro molde es de 15 cm. Sin embargo, lo puedes añadir de 18cm. A continuación, añade una hoja de papel vegetal o úntalo de mantequilla y espolvorea un poco de harina, así se desmoldará mejor el bizcocho. Añade en él la masa del bizcocho. Truco: si lo deseas, puedes hacer el bizcocho en freidora de aire sin molde y añadirlo en la cesta de la freidora. 
5 Introduce el molde en la freidora de aire y cierra. 
6 Añade la freidora de aire a 160 ºC o 170 ºC unos 30 minutos y, cuando lleve unos 20 minutos, abre la freidora y pincha para ver como va la masa. Cierra y déjalo en el interior unos 20 minutos más o lo que necesite para que esté listo el bizcocho. Truco: la temperatura puede variar según la freidora y la capacidad, el primer bizcocho siempre cuesta más, hasta que cojas el tiempo que necesita, por eso es mejor ir mirando y controlando. 
7 Observa el bizcocho de la freidora de aire y déjalo hasta que esté templado, retíralo. 
8 Desmolda el bizcocho en horno de aire, añádelo en una fuente de servir y espolvorea con un poco de azúcar glas. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final. Además, si quieres conocer las mejores freidoras de aire calidad precio para elaborar esta receta, sigue leyendo.",8860073c-987c-41ae-b0de-9278fe7c2f2b,postre
Bizcocho Integral SIN AZÚCAR,https://www.recetasgratis.net/receta-de-bizcocho-integral-sin-azucar-73553.html,"1 yogur natural (sin azúcar)
3 vasos de harina integral
½ vaso de aceite de oliva
3 huevos
1 cucharada sopera de esencia de vainilla
1 limón (ralladura y zumo) u otra fruta
2 cucharaditas de polvos de hornear","1 Bate los huevos con el yogur natural hasta integrar por completo los ingredientes. Puedes sustituir el yogur por leche de vaca o vegetal. La cantidad será un vaso de leche. No importa el tipo de vaso que uses, lo verdaderamente importante es que utilices el mismo vaso para medir todos los ingredientes. Así mismo, recuerda añadir el plátano triturado si has decidido usar esta fruta. Nosotros usaremos un limón. Truco: Reserva el vaso del yogur, ya que con él deberás medir el resto de ingredientes. 
2 Añade el aceite de oliva e integra. Incorpora también la esencia de vainilla, que puedes sustituir por canela en polvo. Agrega también la ralladura de limón y el zumo. Recuerda que puedes sustituir esta fruta por otra que te guste. Truco: Precalienta el horno a 180 ºC con calor arriba y abajo. 
3 Agrega la harina integral e intégrala haciendo movimientos envolventes suaves. Añade también los polvos de hornear. Si has escogido otra fruta como manzana o pera, retira la piel, córtala en cubos y añádela a la masa. Así mismo, puedes hacer el bizcocho integral con nueces añadiendo estos frutos secos picados. Truco: La harina integral no se tamiza, sin embargo, sí conviene moverla con un tenedor antes de añadirla para airearla y conseguir un bizcocho integral más esponjoso. 
4 Vierte la masa en un molde de unos 25 cm de diámetro previamente engrasado con aceite. Hornea el bizocho integral sin azúcar durante 40-45 minutos, o hasta que esté listo. Nosotros hemos usado un molde para bundt cake, pero puedes utilizar cualquier otro molde que tengas en casa. Truco: Para conseguir que quede más esponjoso y jugoso, hornea con calor solo abajo durante los primeros 30 minutos, luego activa el calor arriba. 
5 Deja el bizcocho en el horno pero con la puerta entreabierta durante unos minutos, de esta forma el cambio de temperatura no será tan fuerte y no perderá su volumen. Así, si alguna vez te ha pasado y te has preguntado por qué se baja el bizcocho al sacarlo del horno, este es uno de los principales motivos. Cuando esté frío, podrás desmoldarlo y servirlo. Este bizcocho integral sin azúcar ni edulcorante queda jugoso y esponjoso, por lo que no tiene nada que envidiar a cualquier otra torta. Además, este bizcocho es saludable y ligero, perfectamente compatible para dietas de adelgazamiento. Y si añadimos fruta, el resultado es todavía más delicioso.",808febf1-6b02-444b-981f-fdc7f2f7fa6d,postre
Bizcocho de Leche Condensada,https://www.recetasgratis.net/receta-de-bizcocho-de-leche-condensada-73394.html,"397 gramos de leche condensada (1 lata)
1 lata de harina común
½ lata de aceite de oliva
3 huevos
2 cucharaditas de polvos de hornear
1 cucharada sopera de esencia de vainilla (opcional)","1 Bate la leche condensada con los huevos hasta conseguir una mezcla espumosa. Para ello, recomendamos utilizar unas varillas eléctricas. Precalienta el horno a 180 ºC con calor arriba y abajo. Truco: Para conseguir un bizcocho de leche condensada muy esponjoso, separa las yemas de las claras y bate las claras a punto de nieve. 
2 Añade el aceite y la esencia de vainilla y sigue batiendo para integrarlo. Recuerda que para medir la harina y el aceite hemos utilizado la misma lata de la leche condensada vacía. Truco: También puedes hacer un bizcocho de leche condensada y limón sustituyendo la vainilla por este jugo. 
3 Agrega la harina e intégrala haciendo movimientos envolventes suaves con una espátula o varilla manual. Incorpora también los polvos de hornear. Si utilizas harina común, tamízala primero para airearla y romper los grumos. Si usas harina integral, no es necesario tamizarla.Descubre más trucos para conseguir un bizcocho esponjoso en este artículo: ""Cómo hacer un bizcocho esponjoso"". Truco: Si has batido las claras a punto de nieve, agrégalas después de integrar la harina. 
4 Vierte la masa en el molde engrasado o forrado con papel de hornear y hornea el bizcocho de leche condensada durante 40 minutos. Comprueba que está bien hecho introduciendo un palillo en el centro y observando si sale limpio. Truco: Para que suba correctamente, hornea durante los primeros 30 minutos solo con calor abajo. Luego, activa también el calor arriba. 
5 Apaga el horno, deja el bizcocho dentro pero con la puerta ligeramente abierta durante 10 minutos, retíralo y desmóldalo con cuidado. Este es uno de los trucos que te ayudarán a evitar que el bizcocho se baje al sacarlo del horno. ¡Y listo! Existen distintas variantes de esta receta de bizcocho de leche condensada, como por ejemplo el bizcocho de leche condensada y yogur, pero esta es la más sencilla y práctica. En caso de querer añadir yogur, retira un huevo de la receta y agrega un yogur natural sin azúcar, ¡así de fácil!",07355708-d32c-49a8-b00e-ea39b2933a24,postre
Bizcocho de Calabaza y Yogur,https://www.recetasgratis.net/receta-de-bizcocho-de-calabaza-y-yogur-73374.html,"350 gramos de calabaza cruda
1 yogur
3 vasos de harina (usando el vaso del yogur)
2 vasos de azúcar (usando el vaso del yogur)
125 mililitros de aceite de girasol
1 sobre de levadura (polvos de hornear)
1 cucharada postre de canela
2 huevos","1 Bate los huevos con el azúcar hasta que quede la mezcla blanca y espumosa. Añade el aceite y el yogur y sigue mezclando. Precalienta el horno a 180 ºC con calor arriba y abajo. Si lo prefieres, puedes hacer el bizcocho de calabaza y yogur sin azúcar eliminando directamente este ingrediente de la receta. Truco: Bate enérgicamente para introducir todo el aire posible y conseguir un bizcocho de calabaza y yogur esponjoso. 
2 Aparte, cuece la calabaza al microondas durante 5 minutos a máxima potencia o ásala en el horno si prefieres elaborar un bizcocho de calabaza asada, pero ten en cuenta que de esta forma tardarás un poco más. Una vez cocinada, tritúrala con la ayuda de un tenedor. 
3 Tamiza la harina, la levadura y la canela lo tamizamos y ve añadiendo estos ingredientes a la mezcla de líquidos. Agrega los ingredientes secos poco a poco y haciendo movimientos envolventes hasta que quede la harina integrada. 
4 Añade la calabaza y mezcla hasta conseguir una masa homogénea y sin grumos. 
5 Introduce la masa en un molde engrasado y enharinado. Nosotros hemos usado un molde rectangular de unos 25 cm de largo, pero puedes utilizar uno circular sin problemas. Hornea el bizcocho de calabaza y yogur durante 30-40 minutos, o hasta que al pincharlo con un palillo este salga seco. 
6 Deja que el bizcocho se entibie un poco, desmóldalo y deja que se acabe de enfriar sobre una rejilla. ¡Listo! Ya puedes servir este delicioso bizcocho de calabaza y yogur durante el desayuno o la merienda. Si te has quedado con ganas de más, prueba esta otra receta de bizcocho de calabaza y nueces, ¡es igualmente espectacular!",8e1dbd3c-136e-4065-8458-d4b73253bd95,postre
Bizcocho con Harina de Arroz,https://www.recetasgratis.net/receta-de-bizcocho-con-harina-de-arroz-73301.html,"3 huevos
½ taza de aceite de coco
150 mililitros de agua
1½ tazas de harina de arroz integral
½ taza de almidón de yuca o tapioca
2 cucharadas soperas de semillas de lino
1 cucharada postre de sal
1 cucharada sopera de semillas de chia
1 cucharada sopera de semillas de girasol
1 cucharada sopera de levadura química semillas para decorar","1 Mezcla los ingredientes secos: el harina de arroz integral, la linaza y la sal. 
2 En una licuadora, bate los huevos, el aceite de coco y el agua, hasta que quede una mezcla cremosa y suave. 
3 Agrega 1 cucharada de los ingredientes secos a la licuadora, hazlo poco a poco. Bate siempre muy bien entre cada adición. Cuando hayas añadido todo, bate a máxima velocidad durante 5 minutos hasta que la mezcla espese bien. De esta forma, te asegurarás de que tu bizcocho tenga la textura adecuada. 
4 Pasa la masa del bizcocho de harina con arroz a un tazón. Agrega las semillas de chía, las de girasol y la levadura. Revuelve bien. 
5 Vierte la mezcla en un molde engrasado con aceite de coco y enharinado con harina de arroz. Decora con las semillas de tu preferencia. 
6 Hornea el bizcocho con harina de arroz en el horno a 210 ºC, durante 30 minutos. Comprueba que el bizcocho está listo insertando un palillo para ver si sale limpio. ¡Sirve y disfruta! Si quieres otras recetas de bizcochos sin gluten, puedes visitar estas:Bizcocho de manzana sin glutenBizcocho al microondas fitnessTarta de zanahoria sin gluten y sin huevo",15224b35-4c83-443b-b5a1-5018979080bf,postre
Bizcocho de Chocolate y Nueces Esponjoso,https://www.recetasgratis.net/receta-de-bizcocho-de-chocolate-y-nueces-72683.html,"200 gramos de maicena
2 cucharaditas de polvos de hornear
1 vaso de azúcar
1 vaso pequeño de aceite de oliva
1 yogur natural
2 huevos
6 cucharadas soperas de cacao en polvo
200 gramos de nueces","1 Separa las claras de las yemas de los huevos para empezar a preparar el bizcocho de chocolate y nueces. Aunque este paso no es obligatorio, es recomendable debido a que nos ayuda a que el bizcocho quede más esponjoso. Aparte, precalienta el horno a 200 ºC con calor arriba y abajo. 
2 Bate las yemas con el azúcar hasta integrar por completo ambos ingredientes. Nosotros hemos optado por hacer el bizcocho con azúcar blanco, no obstante, para que sea más saludable puedes utilizar azúcar moreno, reduciendo la cantidad a la mitad. 
3 Añade el yogur natural a las yemas y el aceite, y sigue mezclando. Este es un bizcocho de chocolate y yogur deliciosos y súper fácil. Nuevamente, para que sea más ligero aconsejamos optar por yogur natural sin azúcar. 
4 Ahora, es momento de integrar el cacao en polvo a la mezcla anterior. Recomendamos tamizarlo previamente para que se rompan los grumos y se airee. Así mismo, si utilizas cacao puro el resultado será más saludable. 
5 Añade la maicena tamizada con los polvos de hornear e integra con movimientos suaves y envolventes. Al usar este tipo de harina conseguimos un bizcocho de chocolate y nueces sin gluten, sin embargo, también se puede preparar con harina de trigo sin problema. 
6 Aparte, bate las claras a punto de nieve. Este es uno de los trucos que nos permitirá obtener un bizcocho de chocolate esponjoso, ya que nos permite introducir muchísimo aire a la masa. 
7 Añade las claras batidas a la mezcla e intégralas con cuidado para que no pierdan su volumen. 
8 Por último, agrega las nueces picadas a la masa y distribúyelas bien. Otra opción totalmente válida es repartir la cantidad de nueces entre este fruto seco, avellanas y almendras, así quedará un bizcocho mucho más sabroso. 
9 Engrasa el molde, vierte la mezcla y hornea el bizcocho de chocolate y nueces a 180 ºC, con calor solo abajo durante 30 minutos. Pasado este tiempo, activa también el calor arriba y deja que se hornee durante 10 minutos más. El tiempo total de horneado será de unos 40 minutos aproximadamente, aunque recomendamos realizar la prueba del palillo para verificarlo. 
10 ¡Y listo! Dejamos que se entibie un poco, desmoldamos y colocamos el bizcocho sobre una rejilla para que se acabe de enfriar, ya que así no quedará húmedo por abajo. Esta es una receta de bizcocho de chocolate y nueces muy sencilla y deliciosa, ideal para el desayuno o la merienda. Y si te animas a decorarlo, no te pierdas estas coberturas que encajan a la perfección con los sabores de la torta:Frosting de quesoGanache de chocolate",94fa154d-3b62-415c-9f95-31bbdc155b4a,postre
Bizcocho de Queso Fresco ESPONJOSO,https://www.recetasgratis.net/receta-de-bizcocho-de-queso-fresco-69166.html,"225 gramos de queso fresco
5 huevos
340 gramos de harina
250 gramos de mantequilla
450 gramos de azúcar
15 gramos de levadura química","1 Batimos el queso y la mantequilla hasta obtener una crema homogénea. Se puede utilizar queso fresco de Burgos, queso fresco batido o el que más nos guste. 
2 Vamos añadiendo el azúcar poco a poco y batimos hasta que esté bien integrado en la masa del bizcocho de queso. 
3 Ahora, agregamos los huevos uno a uno. De esta forma, no añadimos el siguiente huevo hasta que el anterior esté bien mezclado. 
4 Incorporamos la harina mezclada con la levadura poco a poco a la masa. 
5 Ponemos la mezcla en el molde y horneamos el bizcocho de queso fresco con el horno precalentado a 170 °C, durante aproximadamente 1 hora. Vigilamos que no se queme y comprobamos con una aguja si está hecho o no. 
6 Cuando esté, lo sacamos, dejamos que se enfríe y disfrutamos de esta deliciosa receta de bizcocho de queso esponjoso.",450e30e3-8ce8-40c2-800c-8fe775c44ccb,postre
Bizcocho de Nata MUY ESPONJOSO,https://www.recetasgratis.net/receta-de-bizcocho-de-nata-casero-muy-esponjoso-72607.html,"250 gramos de harina de repostería (leudante)
300 gramos de azúcar (1½ tazas)
200 mililitros de nata para montar (1 taza)
4 huevos
1 cucharadita de polvos de hornear
¼ vaso de aceite de oliva Mantequilla para engrasar el molde","1 Separamos las claras de las yemas de los huevos. De esta forma, el bizcocho de nata nos quedará mucho más esponjoso. 
2 Después, batimos las yemas con el azúcar y el aceite hasta integrar por completo. Recomendamos emplear unas varillas eléctricas para este paso, puesto que nos permitirá batir mucho mejor los ingredientes y añadir una mayor cantidad de aire. 
3 Aparte, montamos las claras, también, con unas varillas eléctricas preferiblemente. Sin duda, este paso es uno de los grandes trucos para conseguir un bizcocho de nata esponjoso, ya que introduce muchísimo aire a la masa. 
4 Cuando tengamos las claras montadas, las agregamos a las yemas batidas e integramos con movimientos envolventes suaves, puesto que no queremos que pierdan volumen. 
5 Montamos la nata y la incorporamos también la masa, haciendo los mismos movimientos envolventes. Precalentamos el horno a 180 ºC con calor arriba y abajo. 
6 Por último, agregamos la harina tamizada junto con los polvos de hornear y mezclamos. Es muy importante no saltarse el paso de tamizar la harina si queremos obtener un bizcocho de nata muy esponjoso. ¿Por qué? Muy sencillo, porque al tamizarla se rompen los grumos y se consigue airear la harina, algo fundamental para lograr que la masa suba adecuadamente en el horno. 
7 Vertemos la masa en el molde previamente engrasado con mantequilla o aceite, lo que más nos guste. Horneamos el bizcocho de nata con calor solo abajo durante 30 minutos. Después, activamos también el calor arriba y horneamos unos 10 minutos más, aunque es importante resaltar que dependiendo del tipo de horno el tiempo de cocción puede variar. Esto quiere decir que es fundamental conocer el electrodoméstico que tenemos, puesto que si nuestro horno es de los que calientan bastante, con 35-40 minutos será suficiente. Ahora bien, si no calienta tanto es posible que el tiempo ascienda a 45-50 minutos. Truco: Nosotros hemos usado un molde de unos 20 cm de diámetro. 
8 Dejamos que se enfríe un poco, desmoldamos y colocamos el bizcocho sobre una rejilla para que se acabe de enfriar. Esta receta de bizcocho de nata montada es muy fácil y podemos hacerla para cualquier ocasión. Así mismo, esta torta de nata es perfecta para elaborar pasteles de cumpleaños, puesto que podemos cortarla por la mitad, rellenarla de mermelada de fresa, por ejemplo, y cubrirla con ganache de chocolate. Por supuesto, también podemos decorar el bizcocho con más nata montada.",172c7752-0a61-49cb-8574-353e96972650,postre
Bizcocho con levadura fresca,https://www.recetasgratis.net/receta-de-bizcocho-con-levadura-fresca-76279.html,"35 mililitros de agua
2 gramos de levadura fresca
55 gramos de harina de fuerza
55 gramos de harina de fuerza
100 gramos de azúcar (½ taza)
1 pizca de sal
5 gramos de levadura fresca
2 huevos L
15 mililitros de leche
100 gramos de mantequilla sin sal reblandecida","1 ¿Te preguntas cómo hacer un bizcocho casero con levadura fresca? Pues bien, para empezar con la receta de bizcocho con levadura fresca, en primer lugar, prepara el prefermento que va a hacer que el bizcocho quede mucho más rico. Para ello, templa ligeramente los 35 ml de agua y disuelve en ella los dos gramos de levadura para bizcocho fresca.Aquí puedes leer sobre ¿Se puede congelar la levadura fresca? 2 Añade la levadura diluida en el agua a los 55 g de harina de fuerza y mezcla con una cuchara. 
3 Cubre el bol con papel film y deja reposar la masa en un lugar cálido sin corrientes de aire durante 3 horas hasta que doble su volumen. 
4 Pasado el tiempo de reposo, coloca todos los ingredientes para el bizcocho casero en un bol: la harina de fuerza, la sal, el azúcar, los huevos, la mantequilla troceada, los huevos, la leche, la levadura troceada y el prefermento. Bate con un robot de cocina o con una batidora de mano hasta que esté todo bien integrado. 
5 Cuando adquieras una masa homogénea, cubre el bol con papel film y deja reposar en un lugar cálido sin corrientes de aire durante 6 horas. Truco: puedes dejar el bol reposando en la nevera toda la noche para seguir con la preparación del bizcocho con levadura fresca al día siguiente. 
6 Pasado el segundo tiempo de reposo de la masa del bizcocho con levadura fresca, engrasa un molde redondo de unos 22 cm de diámetro o fórralo con papel de horno. Vierte la masa del bizcocho ya reposada en él y alisa la superficie. Cubre con un paño o con papel film y deja reposar 1 hora más en un lugar cálido. Truco: si has dejado toda la noche la masa de bizcocho en la nevera, al día siguiente, déjalo reposar 2 horas en vez de 1. 
7 Precalienta el horno a 180 ºC y cuando esté bien caliente, introduce el bizcochuelo con levadura fresca retirando el papel film. Hornea con calor arriba y abajo durante 40 minutos a 180 ºC. Truco: si quieres un toque crujiente en el bizcocho, una vez horneado, desmolda y prosigue con el horneado 5 minutos más. 
8 Deja que se enfríe antes de servir. ¡Verás qué sabor tan rico adquiere este bizcocho con harina de fuerza y levadura fresca! Al tener levadura fresca, consume preferiblemente el mismo día de su elaboración. Si te animas a prepararlo en casa, cuéntanos qué te ha parecido, si te ha resultado largo su proceso y si ha tenido éxito entre los tuyos. También puedes enviarnos una foto con el resultado final.Espero que te haya gustado la receta y te invito a que visites mi blog Cakes para ti.",fa1c85b9-9309-4a05-a07d-49d25c98b977,postre
