title,url,ingredients,steps,uuid,categoria
Dulce de Papaya,https://www.mycolombianrecipes.com/es/dulce-de-papaya/,"1 papaya mediana
El jugo de 1 limón
2 tazas de azúcar
3 tazas de agua","Pelar y cortar la papaya. Retire todas las semillas.
Cortar la papaya en rodajas medianas y colocarlas en una olla mediana con el azúcar.
Añadir el agua y llevar a hervir a fuego medio, hervir durante unos 10 minutos con la tapa puesta.
Destape y cocine a fuego lento durante unos 30 a 40 o hasta que el almíbar espese. Agregue el jugo de limón. Retire del fuego y servir con una rodaja de queso.",86af9a4c-e16a-11ed-9349-a96d6180cd25,postre
Dulce de Brevas o Brevas Caladas,https://www.mycolombianrecipes.com/es/dulce-de-brevas-o-brevas-caladas/,"24 brevas o higos frescos y firmes
El jugo de 1 limón
1 libra de panela
2 ramas de canela
Agua","Hacer un corte en cruz en la parte superior de cada breva. Colocarlas en un recipiente grande.
Agregar 4 tazas de agua, jugo de limón y dejar en remojo durante la noche.
Al día siguiente enjuagar las brevas y reservar.
Coloque la panela, canela en rama y 7 tazas de agua en una olla grande y cocine a fuego lento hasta que la panela se disuelva por completo.
Agregar las brevas y cocine a fuego lento hasta que la panela tenga consistencia de jarabe, durante aproximadamente 1 hora y 40 minutos, revolviendo de vez en cuando.
Servir las brevas con queso fresco o guardarlas en el refrigerador en un frasco cubierto hasta por una semana.",86afb041-e16a-11ed-bbee-a96d6180cd25,postre
Dulce de Uchuvas,https://www.mycolombianrecipes.com/es/dulce-de-uchuvas/,"1 taza de grosellas o uchuvas lavadas
⅓ taza de agua
½ taza de azúcar","En una olla pequeña a fuego medio, agregar el agua y el azúcar y llevar a hervir.
Baje el fuego a medio-bajo, agregue las uchuvas y cocinar unos 20 minutos. Retire del fuego
y guarde en un recipiente de vidrio y refrigere.",86afb077-e16a-11ed-80d6-a96d6180cd25,postre
Dulce de Tomate de Arbol,https://www.mycolombianrecipes.com/es/dulce-de-tomate-de-arbol/,"12 to mates de árbol pelados
2 palitos de canela
½ taza de azúcar
4 tazas de agua","Coloque el agua, el azúcar y la canela en una olla mediana. Llevar a hervir a fuego medio-alto, revolviendo hasta que el azúcar se disuelva. Reduzca el fuego a bajo y cocine por unos 5 minutos.
Añadir los tomates de árbol y llevar a hervir. Reduzca el fuego a medio-bajo y cocine por unos 10 minutos.",86afb07c-e16a-11ed-9f35-a96d6180cd25,postre
Dulce de Cascos de Limón,https://www.mycolombianrecipes.com/es/dulce-de-cascos-de-limon/,"6 limones orgánicos lavados
2 tazas de azúcar
3 tazas de agua","Corte los extremos los limones y cortarlos por la mitad. Raspar la cascar un poco con un rallador. Use una cuchara pequeña de bordes afilados para raspar las partes fibrosas duras fuera de la cáscara interior, dejando una capa muy delgada blanca que queda dentro en la cáscara.
En una olla, se combinan las cáscaras de limón con agua fría suficiente para cubrir. Llevar a hervir, escurrir en un colador.
Repita este proceso cuatro veces, y luego quitar las cáscaras de la olla y reservar.
Cuando haya terminado todo el proceso, vierta 3 tazas de agua en la olla junto con 2 tazas de azúcar. Revuelva mientras que el agua se calienta, hasta que se disuelva el azúcar. Añadir las cáscaras de limón.
Reduce el fuego a bajo. Deje las cascaras a fuego lento durante 30 a 45 minutos, revolviendo cada 15 minutos. El dulce está listo cuando los cascos están blandos y fáciles de morder.",86afb080-e16a-11ed-bcbe-a96d6180cd25,postre
Dulce de Papaya,https://www.mycolombianrecipes.com/es/dulce-de-papaya/,"1 papaya mediana
El jugo de 1 limón
2 tazas de azúcar
3 tazas de agua","Pelar y cortar la papaya. Retire todas las semillas.
Cortar la papaya en rodajas medianas y colocarlas en una olla mediana con el azúcar.
Añadir el agua y llevar a hervir a fuego medio, hervir durante unos 10 minutos con la tapa puesta.
Destape y cocine a fuego lento durante unos 30 a 40 o hasta que el almíbar espese. Agregue el jugo de limón. Retire del fuego y servir con una rodaja de queso.",86afb081-e16a-11ed-8b96-a96d6180cd25,postre
Dulce de Brevas o Brevas Caladas,https://www.mycolombianrecipes.com/es/dulce-de-brevas-o-brevas-caladas/,"24 brevas o higos frescos y firmes
El jugo de 1 limón
1 libra de panela
2 ramas de canela
Agua","Hacer un corte en cruz en la parte superior de cada breva. Colocarlas en un recipiente grande.
Agregar 4 tazas de agua, jugo de limón y dejar en remojo durante la noche.
Al día siguiente enjuagar las brevas y reservar.
Coloque la panela, canela en rama y 7 tazas de agua en una olla grande y cocine a fuego lento hasta que la panela se disuelva por completo.
Agregar las brevas y cocine a fuego lento hasta que la panela tenga consistencia de jarabe, durante aproximadamente 1 hora y 40 minutos, revolviendo de vez en cuando.
Servir las brevas con queso fresco o guardarlas en el refrigerador en un frasco cubierto hasta por una semana.",86afb08b-e16a-11ed-ad5e-a96d6180cd25,postre
Dulce de Uchuvas,https://www.mycolombianrecipes.com/es/dulce-de-uchuvas/,"1 taza de grosellas o uchuvas lavadas
⅓ taza de agua
½ taza de azúcar","En una olla pequeña a fuego medio, agregar el agua y el azúcar y llevar a hervir.
Baje el fuego a medio-bajo, agregue las uchuvas y cocinar unos 20 minutos. Retire del fuego
y guarde en un recipiente de vidrio y refrigere.",86afd8b6-e16a-11ed-807a-a96d6180cd25,postre
Dulce de papaya madura,https://www.recetasgratis.net/receta-de-dulce-de-papaya-madura-69926.html,"300 gramos de papaya madura
100 gramos de azúcar moreno
1 rama de canela
1 cucharadita de extracto de vainilla
½ limón (cáscara)
1 cucharadita de levadura en polvo
1 trozo de queso (vegano)
1 taza de agua (240 mililitros)","1 Pela y limpia la papaya. Córtala en trozos rectangulares de tamaño mediano y déjala en remojo en agua mezclada con la levadura en polvo durante 1 hora. A continuación, lava bien la papaya y déjala escurrir. 
2 Introduce la papaya en una olla junto con el azúcar, la canela, la cáscara de limón, la vainilla y el agua. 
3 Tapamos la olla y dejamos cocinar la papaya durante una hora hasta que el agua se reduzca y se convierta en caramelo. 
4 Dejamos enfriar el dulce de papaya madura y lo servimos con trocitos de queso o helado por ejemplo.Ahora que ya sabes cómo hacer dulce de papaya casero te propongo que visites mi blog Vegspiration y aprendas a preparar una de las muchas recetas de quesos veganos que ofrezco para acompañar este delicioso postre :)",24eeb92a-5b69-4299-8c50-18a02c2d76f5,postre
Dulce de manzana sin azúcar,https://www.recetasgratis.net/receta-de-dulce-de-manzana-sin-azucar-69147.html,"10 manzanas pequeñas
1 rama de canela
2 gelatina neutra (sin sabor)
100 mililitros de agua (para la gelatina)
4 clavos
2 guayabitas","1 Diluye la gelatina sin sabor (2 sobres o 20 gramos) en 100 mililitros de agua. Remueve muy bien hasta disolverla por completo. Ten presente que cuanto más tiempo dejes la gelatina neutra reposando, mejor se hidratará; el mínimo es 4 o 5 minutos. Al final la gelatina será semejante a un trozo de gel. Reserva. Truco: El proceso para preparar gelatina sin sabor se llama hidratación y este es el primer paso. 
2 Lava y seca las manzanas. Corta el centro, elimina el corazón, las pepitas y el vástago. Pica en cubitos la fruta. Truco: Procura que las manzanas sean muy rojas, pues contienen más azúcar natural. Elige una o dos verdes también. 
3 Para preparar el dulce de manzana sin azúcar, deposita en un cazo las manzanas cortadas en cubos, las especias y 2 litros de agua. Cocina durante 1 hora aproximadamente a fuego medio-bajo. Cuando observes que se deshacen los trozos de manzana y se consume el líquido, debes comenzar a remover sin parar. Sabrás que el dulce de manzana sin azúcar está listo cuando pases la cuchara de madera y se creen surcos en el fondo del cazo. Retira del fuego, saca todas las especias, deja enfriar y reserva. 
4 Elimina la canela y tritura la preparación de manzana con cualquier ayudante de cocina que tengas a mano. Deposita la mezcla en un recipiente o cazo y reserva. 
5 Coloca el puré de manzana en un cazo y agrega otra rama de canela y el resto de las especias. Remueve constantemente hasta finalizar la cocción. 
6 Cocina al baño María para culminar el proceso de hidratación de la gelatina sin sabor. Diluye la gelatina solida, removiendo con una cuchara de madera para facilitar el proceso. El baño María es ideal para controlar el calor en la gelatina, ya que si hierve pierde sus propiedades de gelificacion. 
7 Agrega la gelatina diluida al puré de manzana reservado. Mezcla hasta que todo quede integrado por completo. 
8 Vierte el dulce de manzana sin azúcar dentro de un molde y refrigera hasta el día siguiente, barnizando el recipiente con aceite previamente. Te recomiendo utilizar un molde de silicona, el cual facilita el posterior proceso de desmoldado y te proporcionará más opciones de presentación. Si quieres utilizar un molde de plástico, vidrio o metal, recuerda forrarlo con papel film previamente. Después de verter la mezcla, cubre el recipiente también con papel film y refrigera.El dulce debe permanecer en la nevera hasta el día siguiente (24 horas preferible) o 2 horas como mínimo. Pasado el tiempo desmolda y sirve. Truco: Antes de forrar con papel film el molde de plástico, vidrio o metal, debes humedecerlo con un poco de agua. 
9 ¡Magnifico! Este delicioso dulce de manzana sin azúcar posee la consistencia del dulce de membrillo pero sin empalagar. Este postre se puede acompañar con queso, bizcochos, galletas, pan o simplemente comerlo solo. ¿Cuando preparas el tuyo? 10 ¡Anímate a cocinar este dulce receta de gelatina de manzana sin azúcar! La preparación es sencilla, los ingredientes pocos y el resultado..., ¡juzga por ti mism@! Esperamos tu comentario acerca de esta receta porque tu opinión es muy valiosa para nosotros. Y si quieres descubrir otras preparaciones con manzana, no te pierdas la mermelada de manzana y canela.",dc50aa4f-5729-421e-9703-734a910deadf,postre
