title,url,ingredients,steps,uuid,categoria
Helado de mango con coco,https://www.recetasnestle.com.co/recetas/helado-de-mango-con-coco,"   1/2 taza de leche de coco (120 g)
      2 tazas de mango pelado y cortado en trozos medianos (330 g)
      2 duraznos en almíbar sin el almíbar, cortados en trozos medianos (146 g)
      1/4 de coco en láminas láminas de coco fresco (100 g)
  ","    1.  En el vaso de la licuadora, añade la leche de coco, el mango, el durazno y licúa por 40 segundos o hasta que integres bien.                  
2.  Vierte la mezcla en un tazón y lleva al congelador por 6 horas aproximadamente o hasta que tenga consistencia de helado.                  
3.  Pasado el tiempo de congelación, retira el helado, sirve y decora con las láminas de coco.             ",,postre
Helado de frutos amarillos y cúrcuma,https://www.recetasnestle.com.co/recetas/helado-de-frutos-amarillos,"   2 tazas de yogurt tipo griego sin azúcar (500 g)
      1/2 taza de LECHE CONDENSADA LA LECHERA® Light (140 g)
      1 mango, pelado y cortado en trozos medianos (150 g)
      1 durazno mediano cortado en cubos medianos (80 g)
      1 taza de uchuvas (120 g)
      1 cucharada de cúrcuma (10 g)
      1 doy pack de CREMA DE LECHE NESTLÉ® Light (186 g)
  ","    1.  Prepara el helado con anticipación licuando todos los ingredientes por 10 segundos o hasta integrar bien.                  
2.  Pon la mezcla en un tazón y congela durante mínimo 4 horas o preferiblemente de un día para otro.             ",,postre
"Helado de Banano, Caramelo y Canela",https://www.recetasnestle.com.co/recetas/helado-de-banano-caramelo-y-canela,"   1 taza de agua (250 ml)
      4 cucharadas de azúcar blanca (64 g)
      1 cucharada de mantequilla (14 g)
      1 cucharadita de canela molida  (5 g)
      10 cucharadas de LECHE CONDENSADA LA LECHERA® (150 g)
      2 bananos (300 g)
      1 taza de yogur griego (245 g)
  ","    1.  En una olla pequeña a fuego medio pon el azúcar y el agua, cocina  hasta que se haga un caramelo claro.                  
2.  En una sartén mediana derrite la mantequilla, saltea el banano hasta que esté dorado y suave, espolvorea  la canela y retira del fuego, pon el banano en un recipiente hondo y con ayuda de un tenedor tritura hasta obtener un puré.                  
3.  Aparte, con una batidora eléctrica o batidor manual, mezcla la LECHE CONDENSADA LA LECHERA®, el yogur natural y el puré de banano, vierte en un recipiente mediano, pon encima la salsa de caramelo y mezcla rápidamente con un tenedor para formar vetas  con el caramelo.                  
4.  Tapa el recipiente y lleva al congelador por 4 horas o preferiblemente de un día para otro.                  
5.  Pasado el tiempo de congelación, retira el helado y sirve en porciones iguales.             ",,postre
Helado de tres leches | Recetas Nestlé,https://www.recetasnestle.com.co/recetas/helado-de-tres-leches,"   1 lata de LECHE CONDENSADA LA LECHERA® (395 g)
      1 lata de CREMA DE LECHE NESTLÉ® (295 g)
      1/2 taza de leche (125 ml)
      2 sobres de gelatina en polvo (14 g)
      1/4 de libra de fresa (125 g)
      1/4 de libra de mora (125 g)
      4 cucharadas llenas de  azúcar blanca (64 g)
      1/4 de libra de pan de torta (125 g)
  ","    1.  En el vaso de la licuadora vierte la LECHE CONDENSADA LA LECHERA®, LA CREMA DE LECHE NESTLÉ® y la leche,  licúa  por 20 segundos o hasta obtener una mezcla homogénea.                   
2.  Disuelve la gelatina en 5 cucharadas de agua y derrite en una sartén a fuego bajo o en microondas.                  
3.  Agrega la gelatina a la licuadora y licúa por unos segundos más, vierte la mezcla del helado en un recipiente y lleva al congelador por 5  horas aproximadamente.                  
4.  En una sartén coloca la fresa y la mora junto con el azúcar a fuego bajo por 10 minutos hasta que obtengas una salsa ligera. Retira del fuego y deja enfriar.                  
5.  Sirve el helado en copas con los cubitos de torta o ponqué y baña con la salsa de frutos rojos.             ",,postre
Helado de fruta con LA LECHERA®,https://www.recetasnestle.com.co/recetas/frozen-yogur-con-la-lechera,"   2 tazas de fruta congelada de su preferencia  (288 g)
      1½ tazas de yogur sin dulce tipo griego (360 ml)
      6 cucharadas de LECHE CONDENSADA LA LECHERA® (90 g)
  ","    1.  En el vaso de la licuadora, adiciona la fruta congelada, el yogur y 4 cucharadas de LECHE CONDENSADA LA LECHERA®, licua por 40 segundos o hasta que integre bien.                  
2.  Sirve en 4 vasos en partes iguales y decora con media cucharada de LECHE CONDENSADA LA LECHERA® por vaso.             ",,postre
Helado de frutas deshidratadas,https://www.recetasnestle.com.co/recetas/helado-de-frutos-secos,"   8 cucharadas de LECHE CONDENSADA LA LECHERA® Light (120 g)
      8 cucharadas de CREMA DE LECHE NESTLE® Light (120 g)
      1 taza de yogur griego (249 g)
      zumo de 2 limones (96 ml)
      1 taza de frutas deshidratadas (uvas pasas, arándanos, albaricoques)
 (130 g)
  ","    1.  Con una batidora eléctrica o batidor manual mezcla la LECHE CONDENSADA LA LECHERA®, la CREMA DE LECHE NESTLÉ®, el yogurt y el jugo de limón hasta obtener una textura cremosa y sin grumos, luego Integra las frutas deshidratadas.                  
2.  Vierte la mezcla en moldes pequeños individuales y congela por 4 horas o de un día para otro preferiblemente.                  
3.  Retira  los moldes de helado del congelador, desmolda y decora con un poco de frutas deshidratadas antes de servir.             ",,postre
Helado de mango con coco,https://www.recetasnestle.com.co/recetas/helado-de-mango-con-coco,"   1/2 taza de leche de coco (120 g)
      2 tazas de mango pelado y cortado en trozos medianos (330 g)
      2 duraznos en almíbar sin el almíbar, cortados en trozos medianos (146 g)
      1/4 de coco en láminas láminas de coco fresco (100 g)
  ","    1.  En el vaso de la licuadora, añade la leche de coco, el mango, el durazno y licúa por 40 segundos o hasta que integres bien.                  
2.  Vierte la mezcla en un tazón y lleva al congelador por 6 horas aproximadamente o hasta que tenga consistencia de helado.                  
3.  Pasado el tiempo de congelación, retira el helado, sirve y decora con las láminas de coco.             ",,postre
Helado de frutos amarillos y cúrcuma,https://www.recetasnestle.com.co/recetas/helado-de-frutos-amarillos,"   2 tazas de yogurt tipo griego sin azúcar (500 g)
      1/2 taza de LECHE CONDENSADA LA LECHERA® Light (140 g)
      1 mango, pelado y cortado en trozos medianos (150 g)
      1 durazno mediano cortado en cubos medianos (80 g)
      1 taza de uchuvas (120 g)
      1 cucharada de cúrcuma (10 g)
      1 doy pack de CREMA DE LECHE NESTLÉ® Light (186 g)
  ","    1.  Prepara el helado con anticipación licuando todos los ingredientes por 10 segundos o hasta integrar bien.                  
2.  Pon la mezcla en un tazón y congela durante mínimo 4 horas o preferiblemente de un día para otro.             ",,postre
"Helado de Banano, Caramelo y Canela",https://www.recetasnestle.com.co/recetas/helado-de-banano-caramelo-y-canela,"   1 taza de agua (250 ml)
      4 cucharadas de azúcar blanca (64 g)
      1 cucharada de mantequilla (14 g)
      1 cucharadita de canela molida  (5 g)
      10 cucharadas de LECHE CONDENSADA LA LECHERA® (150 g)
      2 bananos (300 g)
      1 taza de yogur griego (245 g)
  ","    1.  En una olla pequeña a fuego medio pon el azúcar y el agua, cocina  hasta que se haga un caramelo claro.                  
2.  En una sartén mediana derrite la mantequilla, saltea el banano hasta que esté dorado y suave, espolvorea  la canela y retira del fuego, pon el banano en un recipiente hondo y con ayuda de un tenedor tritura hasta obtener un puré.                  
3.  Aparte, con una batidora eléctrica o batidor manual, mezcla la LECHE CONDENSADA LA LECHERA®, el yogur natural y el puré de banano, vierte en un recipiente mediano, pon encima la salsa de caramelo y mezcla rápidamente con un tenedor para formar vetas  con el caramelo.                  
4.  Tapa el recipiente y lleva al congelador por 4 horas o preferiblemente de un día para otro.                  
5.  Pasado el tiempo de congelación, retira el helado y sirve en porciones iguales.             ",,postre
Helado de tres leches | Recetas Nestlé,https://www.recetasnestle.com.co/recetas/helado-de-tres-leches,"   1 lata de LECHE CONDENSADA LA LECHERA® (395 g)
      1 lata de CREMA DE LECHE NESTLÉ® (295 g)
      1/2 taza de leche (125 ml)
      2 sobres de gelatina en polvo (14 g)
      1/4 de libra de fresa (125 g)
      1/4 de libra de mora (125 g)
      4 cucharadas llenas de  azúcar blanca (64 g)
      1/4 de libra de pan de torta (125 g)
  ","    1.  En el vaso de la licuadora vierte la LECHE CONDENSADA LA LECHERA®, LA CREMA DE LECHE NESTLÉ® y la leche,  licúa  por 20 segundos o hasta obtener una mezcla homogénea.                   
2.  Disuelve la gelatina en 5 cucharadas de agua y derrite en una sartén a fuego bajo o en microondas.                  
3.  Agrega la gelatina a la licuadora y licúa por unos segundos más, vierte la mezcla del helado en un recipiente y lleva al congelador por 5  horas aproximadamente.                  
4.  En una sartén coloca la fresa y la mora junto con el azúcar a fuego bajo por 10 minutos hasta que obtengas una salsa ligera. Retira del fuego y deja enfriar.                  
5.  Sirve el helado en copas con los cubitos de torta o ponqué y baña con la salsa de frutos rojos.             ",,postre
